"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL31","Aerospace",5,0.14,10.89,27.77,"west"
"NL32","Aerospace",41,0.73,23.32,27.77,"west"
"NL33","Aerospace",72,0.85,29.04,27.77,"west"
"NL31","Batterietechnologie",3,0.16,8.77,34.36,"west"
"NL32","Batterietechnologie",12,0.39,26.6,34.36,"west"
"NL33","Batterietechnologie",40,0.86,34.32,34.36,"west"
"NL23","CO2 vrije elektriciteit",2,0.67,22.21,27.09,"west"
"NL31","CO2 vrije elektriciteit",25,1.15,32.82,27.09,"west"
"NL32","CO2 vrije elektriciteit",54,1.56,60.55,27.09,"west"
"NL33","CO2 vrije elektriciteit",71,1.36,52.94,27.09,"west"
"NL31","Circulair Bouwen",2,0.92,14.57,52.37,"west"
"NL32","Circulair Bouwen",3,0.87,26.15,52.37,"west"
"NL33","Circulair Bouwen",4,0.77,17.17,52.37,"west"
"NL23","Cybersecurity",2,0.52,3.71,5.16,"west"
"NL31","Cybersecurity",10,0.35,6.82,5.16,"west"
"NL32","Cybersecurity",42,0.94,28.05,5.16,"west"
"NL33","Cybersecurity",40,0.59,13.73,5.16,"west"
"NL31","Defensietechnologie",1,0.27,8.43,52.75,"west"
"NL32","Defensietechnologie",1,0.17,14.65,52.75,"west"
"NL33","Defensietechnologie",2,0.23,14.9,52.75,"west"
"NL31","E-health",11,0.83,22.73,2.35,"west"
"NL32","E-health",22,1.04,43.88,2.35,"west"
"NL33","E-health",14,0.44,19.85,2.35,"west"
"NL31","Engineering Fabrication - Additive manufacturing",11,0.82,8.87,46.5,"west"
"NL32","Engineering Fabrication - Additive manufacturing",16,0.75,19.02,46.5,"west"
"NL33","Engineering Fabrication - Additive manufacturing",34,1.06,32.17,46.5,"west"
"NL31","Engineering Fabrication - Autonomous robots",5,0.96,14.24,43.97,"west"
"NL32","Engineering Fabrication - Autonomous robots",11,1.33,14.46,43.97,"west"
"NL33","Engineering Fabrication - Autonomous robots",14,1.12,50,43.97,"west"
"NL32","Hergebruik plastic",1,0.52,16.9,46.09,"west"
"NL33","Hergebruik plastic",1,0.34,18.79,46.09,"west"
"NL23","Imaging",1,0.22,7.73,11.19,"west"
"NL31","Imaging",33,1.01,19.99,11.19,"west"
"NL32","Imaging",46,0.89,32.55,11.19,"west"
"NL33","Imaging",53,0.68,21.86,11.19,"west"
"NL23","Innovatief Waterbeheer",1,1.59,34.56,26.23,"west"
"NL31","Innovatief Waterbeheer",6,1.31,47.21,26.23,"west"
"NL32","Innovatief Waterbeheer",11,1.51,71.95,26.23,"west"
"NL33","Innovatief Waterbeheer",47,4.28,63.17,26.23,"west"
"NL31","Klimaatneutrale Landbouw",3,2.11,56.45,36.62,"west"
"NL32","Klimaatneutrale Landbouw",3,1.33,74.35,36.62,"west"
"NL33","Klimaatneutrale Landbouw",6,1.76,70.05,36.62,"west"
"NL31","Kringloop Landbouw",6,0.86,23.62,30.58,"west"
"NL32","Kringloop Landbouw",7,0.63,38.41,30.58,"west"
"NL33","Kringloop Landbouw",16,0.95,33.09,30.58,"west"
"NL23","Life sciences - Biotechnology",11,1.14,54.33,11.79,"west"
"NL31","Life sciences - Biotechnology",243,3.45,79.09,11.79,"west"
"NL32","Life sciences - Biotechnology",184,1.64,72.91,11.79,"west"
