"id";"x";"y";"label";"color";"count"
"JP";2015;56,5789473684211;"JP";"yellow";129
"JP";2017;45,6273764258555;"JP";"yellow";120
"JP";2018;37,1621621621622;"JP";"yellow";110
"JP";2019;39,7003745318352;"JP";"yellow";106
"JP";2016;43,0327868852459;"JP";"yellow";105
"JP";2014;52,6627218934911;"JP";"yellow";89
"JP";2013;53,0864197530864;"JP";"yellow";86
"US";2018;16,5540540540541;"US";"red";49
"JP";2011;60,4938271604938;"JP";"yellow";49
"DE";2018;15,2027027027027;"DE";"green";45
"DE";2019;16,8539325842697;"DE";"green";45
"US";2016;17,6229508196721;"US";"red";43
"US";2019;16,1048689138577;"US";"red";43
"DE";2016;16,8032786885246;"DE";"green";41
"JP";2012;44,7058823529412;"JP";"yellow";38
"US";2017;13,3079847908745;"US";"red";35
"DE";2017;12,5475285171103;"DE";"green";33
"JP";2010;46,969696969697;"JP";"yellow";31
"DE";2013;19,1358024691358;"DE";"green";31
"JP";2020;21,1678832116788;"JP";"yellow";29
"DE";2014;16,5680473372781;"DE";"green";28
"US";2020;20,4379562043796;"US";"red";28
"CN";2019;10,1123595505618;"CN";"orange";27
"KR";2018;9,12162162162162;"KR";"lightgreen";27
"JP";2009;54,1666666666667;"JP";"yellow";26
"DE";2015;11,4035087719298;"DE";"green";26
"JP";2008;53,1914893617021;"JP";"yellow";25
"DE";2020;18,2481751824818;"DE";"green";25
"US";2021;40,9836065573771;"US";"red";25
"US";2015;9,21052631578947;"US";"red";21
"JP";2006;57,1428571428571;"JP";"yellow";20
"US";2014;11,2426035502959;"US";"red";19
"CN";2017;7,22433460076046;"CN";"orange";19
"FR";2019;7,11610486891386;"FR";"blue";19
"DE";2012;21,1764705882353;"DE";"green";18
"KR";2015;7,01754385964912;"KR";"lightgreen";16
"JP";2007;45,4545454545455;"JP";"yellow";15
"DE";2010;21,2121212121212;"DE";"green";14
"US";2013;8,64197530864197;"US";"red";14
"KR";2017;5,32319391634981;"KR";"lightgreen";14
"CN";2018;4,72972972972973;"CN";"orange";14
"CN";2020;9,48905109489051;"CN";"orange";13
"UK";2015;5,70175438596491;"UK";"lightred";13
"DE";2008;25,531914893617;"DE";"green";12
"UK";2016;4,91803278688525;"UK";"lightred";12
"DE";2021;19,672131147541;"DE";"green";12
