"id";"x";"y";"label";"color"
"Optical systems (general)";2005;5877;"Optical systems (general)";"blue"
"Optical systems (general)";2010;7254;"Optical systems (general)";"blue"
"Optical systems (general)";2011;8953;"Optical systems (general)";"blue"
"Optical systems (general)";2012;11159;"Optical systems (general)";"blue"
"Optical systems (general)";2013;12512;"Optical systems (general)";"blue"
"Optical systems (general)";2014;13504;"Optical systems (general)";"blue"
"Optical systems (general)";2015;13187;"Optical systems (general)";"blue"
"Optical systems (general)";2016;14552;"Optical systems (general)";"blue"
"Optical systems (general)";2017;16216;"Optical systems (general)";"blue"
"Optical systems (general)";2018;16648;"Optical systems (general)";"blue"
"Optical systems (general)";2019;17351;"Optical systems (general)";"blue"
"Optical systems (general)";2020;18063;"Optical systems (general)";"blue"
"Optical systems (general)";2021;9111;"Optical systems (general)";"blue"
"Holography";2008;183;"Holography";"blue"
"Holography";2009;123;"Holography";"blue"
"Holography";2006;113;"Holography";"blue"
"Holography";2007;143;"Holography";"blue"
"Holography";2004;100;"Holography";"blue"
"Holography";2005;145;"Holography";"blue"
"Holography";2010;116;"Holography";"blue"
"Holography";2011;98;"Holography";"blue"
"Holography";2012;123;"Holography";"blue"
"Holography";2013;109;"Holography";"blue"
"Holography";2014;142;"Holography";"blue"
"Holography";2015;114;"Holography";"blue"
"Holography";2016;171;"Holography";"blue"
"Holography";2017;189;"Holography";"blue"
"Holography";2018;202;"Holography";"blue"
"Holography";2019;203;"Holography";"blue"
"Holography";2020;149;"Holography";"blue"
"Holography";2021;83;"Holography";"blue"
"Screen displays (vehicules)";2008;120;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2009;127;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2004;54;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2005;89;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2006;104;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2007;92;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2010;119;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2011;175;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2012;212;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2013;362;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2014;390;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2015;499;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2016;500;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2017;576;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2018;611;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2019;654;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2020;410;"Screen displays (vehicules)";"blue"
"Screen displays (vehicules)";2021;170;"Screen displays (vehicules)";"blue"
"Optical Components";2008;1905;"Optical Components";"blue"
"Optical Components";2006;1690;"Optical Components";"blue"
"Optical Components";2004;960;"Optical Components";"blue"
"Optical Components";2007;1895;"Optical Components";"blue"
"Optical Components";2005;1335;"Optical Components";"blue"
"Optical Components";2009;2139;"Optical Components";"blue"
"Optical Components";2011;2911;"Optical Components";"blue"
"Optical Components";2010;2323;"Optical Components";"blue"
"Optical Components";2014;4089;"Optical Components";"blue"
"Optical Components";2013;3648;"Optical Components";"blue"
"Optical Components";2015;3833;"Optical Components";"blue"
"Optical Components";2016;4279;"Optical Components";"blue"
"Optical Components";2017;4375;"Optical Components";"blue"
"Optical Components";2018;4628;"Optical Components";"blue"
"Optical Components";2019;5238;"Optical Components";"blue"
"Optical Components";2020;5756;"Optical Components";"blue"
"Optical Components";2012;3480;"Optical Components";"blue"
"Optical Components";2021;2856;"Optical Components";"blue"
"Arrangement for software engineering";2008;971;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2009;862;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2004;597;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2007;912;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2005;696;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2006;739;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2010;804;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2011;952;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2012;1211;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2013;1309;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2014;1803;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2015;1720;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2016;1783;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2017;2052;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2018;2304;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2019;2918;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2020;2624;"Arrangement for software engineering";"blue"
"Arrangement for software engineering";2021;1491;"Arrangement for software engineering";"blue"
"Automotive ECUs";2008;47;"Automotive ECUs";"blue"
"Automotive ECUs";2005;24;"Automotive ECUs";"blue"
"Automotive ECUs";2007;32;"Automotive ECUs";"blue"
"Automotive ECUs";2004;21;"Automotive ECUs";"blue"
"Automotive ECUs";2009;46;"Automotive ECUs";"blue"
"Automotive ECUs";2010;61;"Automotive ECUs";"blue"
"Automotive ECUs";2011;75;"Automotive ECUs";"blue"
"Automotive ECUs";2012;81;"Automotive ECUs";"blue"
"Automotive ECUs";2013;150;"Automotive ECUs";"blue"
"Automotive ECUs";2014;165;"Automotive ECUs";"blue"
"Automotive ECUs";2015;226;"Automotive ECUs";"blue"
"Automotive ECUs";2017;259;"Automotive ECUs";"blue"
"Automotive ECUs";2018;288;"Automotive ECUs";"blue"
"Automotive ECUs";2019;257;"Automotive ECUs";"blue"
"Automotive ECUs";2020;128;"Automotive ECUs";"blue"
"Automotive ECUs";2006;34;"Automotive ECUs";"blue"
"Automotive ECUs";2016;238;"Automotive ECUs";"blue"
"Automotive ECUs";2021;58;"Automotive ECUs";"blue"
