"id";"x";"y";"label";"color";"count"
"CN";2012;5,41447053186392;"CN";"orange";226
"NL";2015;5,4904831625183;"NL";"black";225
"KR";2010;8,96302250803859;"KR";"lightgreen";223
"NL";2013;4,95828367103695;"NL";"black";208
"KR";2009;8,30434782608696;"KR";"lightgreen";191
"DE";2007;9,1862206689965;"DE";"green";184
"KR";2007;8,88666999500749;"KR";"lightgreen";178
"NL";2012;4,26449448969813;"NL";"black";178
"NL";2014;3,86284722222222;"NL";"black";178
"NL";2010;6,87299035369775;"NL";"black";171
"DE";2008;8,43195266272189;"DE";"green";171
"DE";2006;9,54519932622122;"DE";"green";170
"NL";2008;8,23471400394477;"NL";"black";167
"NL";2016;3,68070953436807;"NL";"black";166
"DE";2021;5,40355677154583;"DE";"green";158
"NL";2009;6,39130434782609;"NL";"black";147
"KR";2008;6,80473372781065;"KR";"lightgreen";138
"DE";2005;9,41259731068648;"DE";"green";133
"NL";2007;6,29056415376935;"NL";"black";126
"KR";2006;6,96238068500842;"KR";"lightgreen";124
"CN";2011;3,42669845053635;"CN";"orange";115
"NL";2017;2,50381014587416;"NL";"black";115
"NL";2011;3,3969010727056;"NL";"black";114
"DE";2004;10,4549854791868;"DE";"green";108
"UK";2013;2,35995232419547;"UK";"lightred";99
"NL";2018;1,99170124481328;"NL";"black";96
"FR";2018;1,97095435684647;"FR";"blue";95
"NL";2020;1,60163571306867;"NL";"black";94
"FR";2014;1,953125;"FR";"blue";90
"FR";2016;1,97339246119734;"FR";"blue";89
"NL";2019;1,60753880266075;"NL";"black";87
"UK";2010;3,45659163987138;"UK";"lightred";86
"UK";2018;1,78423236514523;"UK";"lightred";86
"UK";2009;3,73913043478261;"UK";"lightred";86
"UK";2011;2,53277711561383;"UK";"lightred";85
"FR";2020;1,44828761288124;"FR";"blue";85
"IN";2015;2,0497803806735;"IN";"lightblue";84
"UK";2017;1,78532549531896;"UK";"lightred";82
"FR";2017;1,72000870890486;"FR";"blue";79
"UK";2015;1,92776964372865;"UK";"lightred";79
"NL";2006;4,37956204379562;"NL";"black";78
"UK";2012;1,82079540009583;"UK";"lightred";76
"UK";2006;4,09882088714205;"UK";"lightred";73
"UK";2016;1,61862527716186;"UK";"lightred";73
"FR";2019;1,33037694013304;"FR";"blue";72
"KR";2005;4,74168435951875;"KR";"lightgreen";67
"CN";2010;2,69292604501608;"CN";"orange";67
"AT";2014;1,41059027777778;"AT";"lightblue";65
"UK";2014;1,3671875;"UK";"lightred";63
"FR";2013;1,50178784266984;"FR";"blue";63
"NL";2021;2,15458276333789;"NL";"black";63
"FR";2012;1,48538572113081;"FR";"blue";62
"FR";2015;1,48853099072718;"FR";"blue";61
"UK";2004;5,71151984511133;"UK";"lightred";59
"CN";2009;2,56521739130435;"CN";"orange";59
"UK";2007;2,84573140289566;"UK";"lightred";57
"UK";2008;2,56410256410256;"UK";"lightred";52
"AT";2015;1,24450951683748;"AT";"lightblue";51
"UK";2019;0,923872875092387;"UK";"lightred";50
"KR";2004;4,84027105517909;"KR";"lightgreen";50
"UK";2005;3,46779900920028;"UK";"lightred";49
"AT";2013;1,14421930870083;"AT";"lightblue";48
"CA";2014;1,01996527777778;"CA";"lightgrey";47
"FR";2010;1,84887459807074;"FR";"blue";46
"CH";2017;1,00152405834966;"CH";"lightblue";46
"NL";2004;4,35624394966118;"NL";"black";45
"AT";2016;0,975609756097561;"AT";"lightblue";44
"TW";2008;2,12031558185404;"TW";"lightblue";43
"UK";2020;0,732663145339922;"UK";"lightred";43
"FR";2021;1,43638850889193;"FR";"blue";42
"FR";2007;2,04692960559161;"FR";"blue";41
"CN";2008;1,9723865877712;"CN";"orange";40
"AT";2019;0,73909830007391;"AT";"lightblue";40
"FR";2008;1,92307692307692;"FR";"blue";39
"NL";2005;2,76008492569002;"NL";"black";39
"CH";2014;0,824652777777778;"CH";"lightblue";38
"CH";2015;0,902879453391898;"CH";"lightblue";37
"CA";2012;0,862482031624341;"CA";"lightgrey";36
"TW";2014;0,78125;"TW";"lightblue";36
"FR";2009;1,56521739130435;"FR";"blue";36
"FR";2011;1,07270560190703;"FR";"blue";36
"CH";2013;0,858164481525626;"CH";"lightblue";36
"HK";2011;1,07270560190703;"HK";"lightblue";36
"CA";2008;1,7258382642998;"CA";"lightgrey";35
"CH";2011;1,01311084624553;"CH";"lightblue";34
"MY";2018;0,705394190871369;"MY";"lightblue";34
"MY";2019;0,628233555062823;"MY";"lightblue";34
"CA";2006;1,85289163391353;"CA";"lightgrey";33
"CA";2007;1,64752870693959;"CA";"lightgrey";33
"CA";2018;0,684647302904564;"CA";"lightgrey";33
"CH";2010;1,32636655948553;"CH";"lightblue";33
"HK";2012;0,790608528988979;"HK";"lightblue";33
"TW";2013;0,762812872467223;"TW";"lightblue";32
"AT";2017;0,696712388417157;"AT";"lightblue";32
"CN";2007;1,59760359460809;"CN";"orange";32
"TW";2009;1,34782608695652;"TW";"lightblue";31
"TW";2010;1,2459807073955;"TW";"lightblue";31
"CA";2020;0,528199011756688;"CA";"lightgrey";31
"CH";2016;0,665188470066519;"CH";"lightblue";30
"CA";2017;0,653167864141084;"CA";"lightgrey";30
"CH";2012;0,718735026353618;"CH";"lightblue";30
"AT";2010;1,16559485530547;"AT";"lightblue";29
"AT";2018;0,601659751037344;"AT";"lightblue";29
"CH";2018;0,601659751037344;"CH";"lightblue";29
"TW";2019;0,517368810051737;"TW";"lightblue";28
"FR";2006;1,57215047725997;"FR";"blue";28
"CH";2009;1,17391304347826;"CH";"lightblue";27
"TW";2012;0,646861523718256;"TW";"lightblue";27
"CA";2016;0,598669623059867;"CA";"lightgrey";27
"AT";2009;1,1304347826087;"AT";"lightblue";26
"HK";2017;0,56607881558894;"HK";"lightblue";26
"HK";2008;1,28205128205128;"HK";"lightblue";26
"CA";2019;0,480413895048041;"CA";"lightgrey";26
