"id";"x";"y";"label";"color";"count"
"US";2020;38,08;"US";"red";238
"US";2019;37,2093023255814;"US";"red";224
"US";2014;45,5188679245283;"US";"red";193
"US";2015;41,8823529411765;"US";"red";178
"US";2018;34,6456692913386;"US";"red";176
"US";2017;40,625;"US";"red";169
"US";2016;43,7908496732026;"US";"red";134
"US";2007;53,75;"US";"red";129
"US";2012;40,3174603174603;"US";"red";127
"CN";2020;19,84;"CN";"orange";124
"US";2021;37,4622356495468;"US";"red";124
"CN";2019;19,4352159468439;"CN";"orange";117
"US";2009;44,1767068273092;"US";"red";110
"US";2010;48,868778280543;"US";"red";108
"US";2008;43,0894308943089;"US";"red";106
"US";2013;36,013986013986;"US";"red";103
"US";2005;51,2690355329949;"US";"red";101
"US";2006;44,811320754717;"US";"red";95
"US";2004;53,5294117647059;"US";"red";91
"US";2011;39,8104265402844;"US";"red";84
"CN";2018;15,5511811023622;"CN";"orange";79
"JP";2020;11,36;"JP";"yellow";71
"JP";2018;13,5826771653543;"JP";"yellow";69
"JP";2019;10,1328903654485;"JP";"yellow";61
"JP";2013;21,3286713286713;"JP";"yellow";61
"JP";2014;14,1509433962264;"JP";"yellow";60
"JP";2012;18,7301587301587;"JP";"yellow";59
"CN";2021;15,4078549848943;"CN";"orange";51
"JP";2015;12;"JP";"yellow";51
"JP";2017;12,2596153846154;"JP";"yellow";51
"JP";2008;20,3252032520325;"JP";"yellow";50
"JP";2016;15,359477124183;"JP";"yellow";47
"JP";2010;19,9095022624434;"JP";"yellow";44
"DE";2019;6,81063122923588;"DE";"green";41
"DE";2018;7,8740157480315;"DE";"green";40
"DE";2020;6,24;"DE";"green";39
"FR";2015;8,70588235294118;"FR";"blue";37
"JP";2006;16,9811320754717;"JP";"yellow";36
"CN";2017;8,65384615384615;"CN";"orange";36
"JP";2007;13,3333333333333;"JP";"yellow";32
"JP";2011;15,1658767772512;"JP";"yellow";32
"JP";2005;15,7360406091371;"JP";"yellow";31
