"id";"x";"y";"label";"color";"count"
"CN";2020;28,42518870851;"CN";"orange";5498
"JP";2019;26,8730272994075;"JP";"yellow";4853
"JP";2018;26,8888117551776;"JP";"yellow";4648
"JP";2017;27,0948229852339;"JP";"yellow";4569
"CN";2019;25,1951935323108;"CN";"orange";4550
"JP";2012;34,1114058355438;"JP";"yellow";4501
"JP";2020;23,0999896598077;"JP";"yellow";4468
"JP";2013;31,2093811811246;"JP";"yellow";4418
"JP";2014;29,4711506318112;"JP";"yellow";4408
"US";2020;22,7639334091614;"US";"red";4403
"CN";2017;25,9325149736109;"CN";"orange";4373
"JP";2016;28,3525405971713;"JP";"yellow";4330
"CN";2018;24,30290408423;"CN";"orange";4201
"JP";2015;27,5401258573146;"JP";"yellow";3895
"US";2018;21,1037834085387;"US";"red";3648
"US";2019;19,7297746276095;"US";"red";3563
"JP";2011;33,502781507769;"JP";"yellow";3493
"US";2014;23,2198970381761;"US";"red";3473
"US";2017;20,3937614896519;"US";"red";3439
"US";2016;22,0665269774751;"US";"red";3370
"CN";2016;20,455735987428;"CN";"orange";3124
"US";2015;22,0603832284522;"US";"red";3120
"CN";2021;31,8750646395698;"CN";"orange";3082
"US";2013;20,86747668833;"US";"red";2954
"US";2007;34,5559845559846;"US";"red";2685
"US";2008;31,4533085961657;"US";"red";2543
"US";2012;19,2724516862448;"US";"red";2543
"CN";2015;17,1321501803012;"CN";"orange";2423
"JP";2009;28,3255872377842;"JP";"yellow";2255
"US";2009;28,1246074613742;"US";"red";2239
"JP";2010;28,7774457580876;"JP";"yellow";2215
"US";2006;32,3094924674565;"US";"red";2209
"US";2011;20,71743717629;"US";"red";2160
"JP";2008;26,6542980828695;"JP";"yellow";2155
"US";2010;27,5821748733273;"US";"red";2123
"US";2005;33,4730056406124;"US";"red";2077
"US";2021;21,2638328679284;"US";"red";2056
"JP";2021;21,1293825628297;"JP";"yellow";2043
"CN";2014;13,6457845824697;"CN";"orange";2041
"JP";2007;24,9420849420849;"JP";"yellow";1938
"JP";2006;28,0971186192775;"JP";"yellow";1921
"KR";2020;9,67842001861235;"KR";"lightgreen";1872
"US";2004;32,7214966466643;"US";"red";1854
"CN";2013;12,9909578977112;"CN";"orange";1839
"KR";2019;9,28622847333739;"KR";"lightgreen";1677
"JP";2005;26,204673650282;"JP";"yellow";1626
"IN";2012;11,9893899204244;"IN";"lightblue";1582
"KR";2018;9,0419993057966;"KR";"lightgreen";1563
"KR";2017;8,07685465219712;"KR";"lightgreen";1362
"JP";2004;23,7027885633604;"JP";"yellow";1343
"KR";2015;8,76758820617974;"KR";"lightgreen";1240
"KR";2016;7,94918805657412;"KR";"lightgreen";1214
"IN";2013;7,66459451822549;"IN";"lightblue";1085
"KR";2014;7,00675269104767;"KR";"lightgreen";1048
"IN";2011;9,89833109533858;"IN";"lightblue";1032
"KR";2013;7,21248940378638;"KR";"lightgreen";1021
"CN";2012;7,51042061386889;"CN";"orange";991
"KR";2012;7,19211822660098;"KR";"lightgreen";949
"KR";2021;9,79418760988727;"KR";"lightgreen";947
"DE";2019;4,49083559444044;"DE";"green";811
"KR";2011;7,7498561289085;"KR";"lightgreen";808
"IN";2014;5,1882061910811;"IN";"lightblue";776
"DE";2020;3,8258711612036;"DE";"green";740
"DE";2018;4,25199583477959;"DE";"green";735
"KR";2009;8,91847757819369;"KR";"lightgreen";710
"DE";2014;4,70014040248713;"DE";"green";703
"KR";2008;8,21273964131107;"KR";"lightgreen";664
"DE";2015;4,65954889344552;"DE";"green";659
"KR";2010;8,48382486683123;"KR";"lightgreen";653
"KR";2007;8,22393822393822;"KR";"lightgreen";639
"DE";2016;4,13829229963332;"DE";"green";632
"DE";2017;3,74192018027634;"DE";"green";631
"CN";2011;5,95626318818339;"CN";"orange";621
"DE";2013;4,37270415371574;"DE";"green";619
"DE";2012;4,66085638499432;"DE";"green";615
"DE";2008;6,40692640692641;"DE";"green";518
"DE";2011;4,91079992326875;"DE";"green";512
"DE";2009;6,19268936063309;"DE";"green";493
"FR";2019;2,68010410321723;"FR";"blue";484
"DE";2007;6,04890604890605;"DE";"green";470
"KR";2006;6,74272341670323;"KR";"lightgreen";461
"CN";2010;5,89840197479537;"CN";"orange";454
"DE";2006;6,50870264735995;"DE";"green";445
"DE";2010;5,61257632843965;"DE";"green";432
"DE";2005;6,89766317485898;"DE";"green";428
"FR";2015;3,02623205826204;"FR";"blue";428
"DE";2004;7,30674196964349;"DE";"green";414
