"source","target","weight"
0,0,6
0,184,4
0,185,3
0,186,2
1,189,2
1,184,2
1,181,2
1,1,2
0,79,1
0,122,1
0,56,1
0,27,1
0,134,1
0,45,1
0,1,1
0,188,1
0,183,1
0,1,1
