"source","target","weight"
0,0,9
0,79,5
1,1,3
0,28,2
0,189,2
0,1,2
0,1,2
1,181,2
0,188,1
0,92,1
0,25,1
0,15,1
0,183,1
0,184,1
1,30,1
1,185,1
1,184,1
1,182,1
