"priority";"fua_name";"app_name";"count";"ctry"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Verily Life Sciences Llc";39;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Google Llc";39;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Uber Technologies Inc";39;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Intel Corporation";38;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Gracenote Inc";37;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Synopsys Inc";36;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Apple Inc";36;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Lawrence Livermore National Security Llc";35;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Light Field Lab Inc";35;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Entit Software Llc";33;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Intuitive Surgical Operations Inc";31;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Finisar Corporation";30;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Digilens Inc";30;"US"
"Holography";"San Jose-San Francisco-Oakland - Ca";"Light Field Lab Inc";27;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Nanosys Inc";27;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Intuit Inc";27;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Essential Products Inc";24;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Kateeva Inc";23;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Visa International Service Association";23;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Autodesk Inc";22;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Xilinx Inc";22;"US"
"Holography";"San Jose-San Francisco-Oakland - Ca";"Facebook Technologies Llc";22;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"The Climate Corporation";22;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Applied Materials Inc";21;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Digilens Inc";20;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"X Development Llc";20;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Viavi Solutions Inc";20;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Kla Corporation";20;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Opentv Inc";20;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Kla-Tencor Corporation";19;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Light Field Lab Inc";17;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Molecular Devices Llc";17;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"E Ink California Llc";17;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Nuro Inc";17;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Servicenow Inc";17;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Cisco Technology Inc";17;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Intel Corporation";16;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Coherent Inc";16;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Intematix Corporation";16;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"The Board Of Trustees Of The Leland Stanford Junior University";15;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Alliance Fiber Optic Products Inc";15;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Bae Systems Imaging Solutions Inc";15;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Kinestral Technologies Inc";15;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Invisage Technologies Inc";15;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Nuro Inc";15;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Synaptics Incorporated";14;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Nanosys Inc";14;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Invisage Technologies Inc";14;"US"
"Holography";"San Jose-San Francisco-Oakland - Ca";"Digilens Inc";13;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Avegant Corp";12;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Bolymedia Holdings Co Ltd";12;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Psiquantum Corp";12;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Nvidia Corporation";12;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Advanced Micro Devices Inc";11;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Artilux Inc";11;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Lyft Inc";11;"US"
