"id","id2","x","y","color","parent","size"
"Overijssel",0,6.4319,-52.4151,"brown","NL",1
"Gelderland",1,5.8932,-52.1263,"brown","NL",1
"Höfuðborgarsvæði",2,-21.6436,-64.1943,"darkblue","IS",1
"Landsbyggð",3,-18.3394,-64.7612,"darkblue","IS",1
"Anatoliki Makedonia, Thraki",4,25.0732,-41.1593,"springgreen","EL",1
"Kentriki Makedonia",5,22.9597,-40.8535,"springgreen","EL",1
"Dytiki Makedonia",6,21.4908,-40.3559,"springgreen","EL",1
"Thessalia",7,22.276,-39.6304,"springgreen","EL",1
"Ipeiros",8,20.7608,-39.7339,"springgreen","EL",1
"Dytiki Ellada",9,21.4038,-37.9743,"springgreen","EL",1
"Sterea Ellada",10,22.5231,-38.6168,"springgreen","EL",1
"Peloponnisos",11,22.438,-37.2428,"springgreen","EL",1
"Attiki",12,23.7713,-38.1115,"springgreen","EL",1
"Kriti",13,24.8995,-35.1734,"springgreen","EL",1
"Burgenland (AT)",14,16.5228,-47.5435,"lightblue","AT",1
"Niederösterreich",15,15.7517,-48.2722,"lightblue","AT",1
"Wien",16,16.3862,-48.2227,"lightblue","AT",1
"Kärnten",17,13.8539,-46.7174,"lightblue","AT",1
"Steiermark",18,14.8792,-47.3711,"lightblue","AT",1
"Oberösterreich",19,13.8723,-48.232,"lightblue","AT",1
"Salzburg",20,13.0437,-47.3071,"lightblue","AT",1
"Tirol",21,11.3918,-47.2088,"lightblue","AT",1
"Vorarlberg",22,9.896,-47.2398,"lightblue","AT",1
"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",23,4.3598,-50.8368,"lightgreen","BE",1
"Prov. Antwerpen",24,4.705,-51.2343,"lightgreen","BE",1
"Prov. Limburg (BE)",25,5.4292,-50.9915,"lightgreen","BE",1
"Prov. Oost-Vlaanderen",26,3.8539,-50.9796,"lightgreen","BE",1
"Prov. Vlaams-Brabant",27,4.53,-50.8711,"lightgreen","BE",1
"Prov. West-Vlaanderen",28,3.0254,-51.0209,"lightgreen","BE",1
"Prov. Brabant Wallon",29,4.5624,-50.6436,"lightgreen","BE",1
"Prov. Hainaut",30,3.906,-50.5441,"lightgreen","BE",1
"Prov. Liège",31,5.7367,-50.5206,"lightgreen","BE",1
"Prov. Luxembourg (BE)",32,5.5031,-49.9649,"lightgreen","BE",1
"Prov. Namur",33,4.908,-50.3267,"lightgreen","BE",1
"Severozapaden",34,23.7653,-43.3957,"lightred","BG",1
"Severen tsentralen",35,26.0639,-43.7268,"lightred","BG",1
"Severoiztochen",36,27.2474,-43.3903,"lightred","BG",1
"Yugoiztochen",37,26.5598,-42.5295,"lightred","BG",1
"Yugozapaden",38,23.3402,-42.1675,"lightred","BG",1
"Yuzhen tsentralen",39,25.1077,-41.7683,"lightred","BG",1
"Région lémanique",40,7.2233,-46.1292,"darkgreen","CH",1
"Espace Mittelland",41,7.4432,-46.8792,"darkgreen","CH",1
"Nordwestschweiz",42,8.1788,-47.4553,"darkgreen","CH",1
"Zürich",43,8.6717,-47.4233,"darkgreen","CH",1
"Ostschweiz",44,9.4498,-46.9099,"darkgreen","CH",1
"Zentralschweiz",45,8.5198,-46.9228,"darkgreen","CH",1
"Ticino",46,8.7715,-46.335,"darkgreen","CH",1
"Kýpros",47,33.2996,-35.0204,"lightyellow","CY",1
"Praha",48,14.4634,-50.0708,"lightorange","CZ",1
"Střední Čechy",49,14.4463,-49.7629,"lightorange","CZ",1
"Jihozápad",50,13.9888,-49.1342,"lightorange","CZ",1
"Severozápad",51,13.3463,-50.3527,"lightorange","CZ",1
"Severovýchod",52,15.6203,-50.292,"lightorange","CZ",1
"Jihovýchod",53,16.2811,-49.1776,"lightorange","CZ",1
"Střední Morava",54,17.5177,-49.3559,"lightorange","CZ",1
"Moravskoslezsko",55,18.0159,-49.7986,"lightorange","CZ",1
"Stuttgart",56,9.6163,-49.1603,"green","DE",1
"Karlsruhe",57,8.5541,-48.9278,"green","DE",1
"Freiburg",58,8.3755,-47.9546,"green","DE",1
"Tübingen",59,9.4466,-48.0669,"green","DE",1
"Oberbayern",60,11.9237,-48.0916,"green","DE",1
"Niederbayern",61,12.7134,-48.7308,"green","DE",1
"Oberpfalz",62,12.1871,-49.4112,"green","DE",1
"Oberfranken",63,11.359,-50.092,"green","DE",1
"Mittelfranken",64,10.813,-49.3306,"green","DE",1
"Unterfranken",65,9.9268,-49.9503,"green","DE",1
"Schwaben",66,10.423,-48.0226,"green","DE",1
