"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL23","Aerospace",5.53,1,10.19,53.2,0,"west"
"NL23","Batterietechnologie",0,0,11.15,54.61,0,"west"
"NL23","Chemische recycling",0,0,57.69,62.89,0,"west"
"NL23","Circulair Bouwen",0,0,39.04,60.86,0,"west"
"NL23","CO2 vrije elektriciteit",0,0,20.22,35.16,4,"west"
"NL23","Cybersecurity",0,0,2.36,36.5,3,"west"
"NL23","Defensietechnologie",0,0,4.29,55.85,0,"west"
"NL23","E-health",0,0,3.41,25.7,0,"west"
"NL23","Engineering Fabrication - Additive manufacturing",0,0,14.5,54.76,0,"west"
"NL23","Engineering Fabrication - Autonomous robots",0,0,8.25,54.76,0,"west"
"NL23","Hergebruik plastic",0,0,57.84,54.74,0,"west"
"NL23","Imaging",0,0,6.99,28.17,0,"west"
"NL23","Innovatief Waterbeheer",0,0,31.69,38.22,1,"west"
"NL23","Klimaatneutrale Landbouw",0,0,26.53,44.19,0,"west"
"NL23","Kringloop Landbouw",0,0,41.67,40.97,2,"west"
"NL23","Life sciences - Biotechnology",0,0,48.78,26.12,10,"west"
"NL23","NANO",0,0,25.33,34.17,0,"west"
"NL23","Regeneratieve geneeskunde",0,0,45.68,36.7,0,"west"
"NL23","Slimme mobiliteit",0,0,15.2,59.79,3,"west"
"NL23","Valorisatie Deltatechnologie",0,0,39.09,55.09,0,"west"
"NL23","Vertical Farming",0,0,9.74,56.43,0,"west"
"NL23","Waterstof",0,0,12.08,47.69,0,"west"
"NL31","Aerospace",1.27,45,15.02,53.2,40,"west"
"NL31","Batterietechnologie",0.68,46,14.42,54.61,4,"west"
"NL31","Chemische recycling",0.9,4,46.63,62.89,0,"west"
"NL31","Circulair Bouwen",2.06,68,29.44,60.86,0,"west"
"NL31","CO2 vrije elektriciteit",1.26,8,43.89,35.16,18,"west"
"NL31","Cybersecurity",1.15,103,8.72,36.5,7,"west"
"NL31","Defensietechnologie",0.52,18,7.07,55.85,1,"west"
"NL31","E-health",2.25,30,17.06,25.7,10,"west"
"NL31","Engineering Fabrication - Additive manufacturing",0.83,24,26.37,54.76,19,"west"
