"from";"to";"domain";"full";"binary";"expected";"untapped";"links.rca";"sum_from";"sum_to";"binary.pc";"th.max";"th.max.pc";"RD";"RD.added"
"Bulgaria (BG)";"Abruzzo (ITF1)";"Agrofood Waste Cut";0;0;0;0;0;0;0;0;0;0;75,85;4,71
"Bulgaria (BG)";"Abruzzo (ITF1)";"Biobased Materials in Construction";0;0;0;0;0;0;0;0;0;0;81,58;8,76
"Bulgaria (BG)";"Abruzzo (ITF1)";"By-Product Valorization";0;0;0;0;0;0;0;0;0;0;82,52;6,61
"Bulgaria (BG)";"Abruzzo (ITF1)";"Circular Business";0;0;0;0;0;0;0;0;0;0;68,39;5,83
"Bulgaria (BG)";"Abruzzo (ITF1)";"Circular Design";0;0;0;0;0;0;0;0;0;0;55,47;5,29
"Bulgaria (BG)";"Abruzzo (ITF1)";"Circular food packaging";0;0;0;0;0;0;0;0;0;0;74,7;4,23
"Bulgaria (BG)";"Abruzzo (ITF1)";"Critical Metals Reuse";0;0;0;0;0;0;0;0;0;0;85,82;3,34
"Bulgaria (BG)";"Abruzzo (ITF1)";"E-Waste Circularity";0;0;0;0;0;0;0;0;0;0;92,27;1,48
"Bulgaria (BG)";"Abruzzo (ITF1)";"Industrial Symbiosis";5;4;171,97;155,97;0,09;16851;29238;3e-04;23044,5;0,0032;76,19;3,87
"Bulgaria (BG)";"Abruzzo (ITF1)";"Product Services";0;0;0;0;0;0;0;0;0;0;47,93;2,33
"Bulgaria (BG)";"Abruzzo (ITF1)";"Raw Material Shift";0;0;0;0;0;0;0;0;0;0;87,17;3,88
"Bulgaria (BG)";"Abruzzo (ITF1)";"Steel Loop";0;0;0;0;0;0;0;0;0;0;93,72;0,84
"Bulgaria (BG)";"Abruzzo (ITF1)";"Textile Waste Cut";0;0;0;0;0;0;0;0;0;0;88,27;1
"Bulgaria (BG)";"Abruzzo (ITF1)";"Water Circularity";0;0;0;0;0;0;0;0;0;0;57,39;1,26
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Agrofood Waste Cut";0;0;0;0;0;0;0;0;0;0;75,85;16,82
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Biobased Materials in Construction";0;0;0;0;0;0;0;0;0;0;81,58;10,03
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"By-Product Valorization";0;0;0;0;0;0;0;0;0;0;82,52;13,97
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Circular Business";0;0;0;0;0;0;0;0;0;0;68,39;25,37
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Circular Design";0;0;0;0;0;0;0;0;0;0;55,47;43,14
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Circular food packaging";0;0;0;0;0;0;0;0;0;0;74,7;19,34
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Critical Metals Reuse";0;0;0;0;0;0;0;0;0;0;85,82;10,82
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"E-Waste Circularity";0;0;0;0;0;0;0;0;0;0;92,27;6,07
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Industrial Symbiosis";7;2;147,61;145,61;0,01;10322;29238;0;19780;0,0027;76,19;8,61
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Product Services";0;0;0;0;0;0;0;0;0;0;47,93;50,14
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Raw Material Shift";0;0;0;0;0;0;0;0;0;0;87,17;7,93
"Bulgaria (BG)";"Agder og Rogaland (NO04)";"Steel Loop";0;0;0;0;0;0;0;0;0;0;93,72;5,21
