Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Series C - ADVANCE.AI,https://www.crunchbase.com/funding_round/advance-ai-series-c--b8d0e414,ADVANCE.AI,https://www.crunchbase.com/organization/advance-ai,Series C,80000000,USD,80000000,2019-09-20,Late Stage Venture,,,,Yes,ADVANCE.AI is a fintech company that uses artificial intelligence for fraud prevention and process automation solutions.,"Artificial Intelligence (AI), Big Data, FinTech, Fraud Detection",,"Singapore, Central Region, Singapore, Asia",https://www.advance.ai/,3,Private Equity,330000000,USD,330000000,$100M to $500M,"Gaorong Capital, Pavilion Capital","eGarden Ventures, Gaorong Capital, GSR Ventures, Pavilion Capital, Unicorn Venture Partners, Vision Plus Capital",2,6,"38,494"
Seed Round - VERSATILE,https://www.crunchbase.com/funding_round/versatile-natures-seed--dd605806,VERSATILE,https://www.crunchbase.com/organization/versatile-natures,Seed,5500000,USD,5500000,2019-08-21,Seed,,,,Yes,VERSATILE uses machine learning and AI to optimize construction and industrial processes.,"Artificial Intelligence (AI), Construction, Industrial, Internet of Things, Machine Learning, Real Estate, Software","Women Founded, Women Led","Boca Raton, Florida, United States, North America",https://www.versatile.ai,6,Early Stage Venture,108532637,USD,108532637,$1M to $10M,Bosch Ventures,"Bosch Ventures, Conductive Ventures, Leigh Jasper, Robert Phillpot, Root Ventures, Saniel Ventures",,6,"39,741"
Series B - Xiaoduo,https://www.crunchbase.com/funding_round/xiaoduo-series-b--aab8c79b,Xiaoduo,https://www.crunchbase.com/organization/xiaoduo,Series B,10000000,USD,10000000,2019-05-09,Early Stage Venture,,,,Yes,Xiaoduo is an intelligent customer service robot developer.,"Artificial Intelligence (AI), Customer Service, Robotics",,"Chengdu, Sichuan, China, Asia",https://www.xiaoduoai.com/,5,,40000000,USD,40000000,Less than $1M,Vertex Ventures China,"Chengwei Capital, Oriza Holdings, Silicon Harbor Capital, Silicon Harbor Ventures, Vertex Ventures China",1,5,"42,382"
Series A - 3d Signals,https://www.crunchbase.com/funding_round/3dsignals-series-a--b02712ec,3d Signals,https://www.crunchbase.com/organization/3dsignals,Series A,12000000,USD,12000000,2019-04-15,Early Stage Venture,,,,Yes,3d Signals helps manufacturers digitalize their machines to become an industry 4.0 “factory of the future”.,"Artificial Intelligence (AI), Industrial, Industrial Automation, Machine Learning",,"Kfar Saba, HaMerkaz, Israel, Asia",https://3dsignals.com/,4,Early Stage Venture,23581868,USD,23581868,,State of Mind Ventures,"DIVEdigital, Enrique M. Aboitiz Jr., Grove Ventures, Mercura Capital, State of Mind Ventures",2,5,"40,918"
Funding Round - AUI™ (Augmented Intelligence) Inc.,https://www.crunchbase.com/funding_round/augmentedintelligence-undisclosed--200a36fe,AUI™ (Augmented Intelligence) Inc.,https://www.crunchbase.com/organization/augmentedintelligence,Funding Round,8650000,USD,8650000,2019-12-12,,,,,Yes,Controllable Language Models™,Artificial Intelligence (AI),,"New York, New York, United States, North America",http://www.aui.io,5,,43135000,USD,43135000,$1M to $10M,,"Aron Ain, Bradley M. Bloom, David Mendels, David Perlmutter, Joshua Boger, New England Development, New Era Capital Partners",,7,"41,110"
Seed Round - Corti,https://www.crunchbase.com/funding_round/corti-seed--431214c8,Corti,https://www.crunchbase.com/organization/corti,Seed,5000000,USD,5000000,2019-09-16,Seed,,,,Yes,Corti is a machine learning company that helps emergency departments to detect critical illnesses like cardiac arrest in real-time.,"Artificial Intelligence (AI), Computer, Machine Learning, Software, Speech Recognition",,"Copenhagen, Hovedstaden, Denmark, Europe",https://www.corti.ai/,6,Early Stage Venture,93298417,USD,93298417,$10M to $50M,,,,,"42,473"
Series B - AInnovation,https://www.crunchbase.com/funding_round/ainnovation-series-b--d41dd28c,AInnovation,https://www.crunchbase.com/organization/ainnovation,Series B,400000000,CNY,57229519,2019-12-25,Early Stage Venture,2800000000,CNY,400606633,Yes,AInnovation owns and operates a company that offers products and services based on artificial intelligence to different companies.,"Artificial Intelligence (AI), B2B, Information Technology, Machine Learning, Software",,"Haidian, Beijing, China, Asia",https://www.ainnovation.com,6,IPO,900000000,CNY,131051538,$100M to $500M,Huasheng Capital,"CICC Alpha, CreditEase Fintech Investment Fund, Huasheng Capital, SAIF Partners",2,4,"44,689"
Series A - AInnovation,https://www.crunchbase.com/funding_round/ainnovation-series-a--75ba0599,AInnovation,https://www.crunchbase.com/organization/ainnovation,Series A,400000000,CNY,58152213,2019-01-01,Early Stage Venture,,,,Yes,AInnovation owns and operates a company that offers products and services based on artificial intelligence to different companies.,"Artificial Intelligence (AI), B2B, Information Technology, Machine Learning, Software",,"Haidian, Beijing, China, Asia",https://www.ainnovation.com,6,IPO,900000000,CNY,131051538,$100M to $500M,CICC Alpha,"Chengwei Capital, CICC Alpha, Sinovation Ventures",2,3,"44,714"
Series C - AIWAYS,https://www.crunchbase.com/funding_round/aiways-series-c--d77ec6ab,AIWAYS,https://www.crunchbase.com/organization/aiways,Series C,1000000000,CNY,144627800,2019-05-29,Late Stage Venture,,,,Yes,"AIWAYS is a manufacturer of smart electric car, based in Shanghai.","Artificial Intelligence (AI), Automotive, Electric Vehicle, Manufacturing",,"Shanghai, Shanghai, China, Asia",https://www.ai-ways.com/,7,,5200000000,CNY,791729484,$10M to $50M,Mingchi Fund,Mingchi Fund,,1,"45,123"
Venture Round - WorkAI,https://www.crunchbase.com/funding_round/workai-series-unknown--42724ae9,WorkAI,https://www.crunchbase.com/organization/workai,Venture - Series Unknown,50000000,CNY,7019711,2019-09-28,,,,,Yes,WorkAI provides human resources services with the help of artificial intelligence.,"Artificial Intelligence (AI), Human Resources, Recruiting",,"Beijing, Beijing, China, Asia",https://www.workai.com.cn/,3,,65000000,CNY,9235455,,,"NEEO FUND, Yi Capital",,2,"45,737"
Series A - Evolv Technology,https://www.crunchbase.com/funding_round/evolv-technologies-series-a--cd91d2ab,Evolv Technology,https://www.crunchbase.com/organization/evolv-technologies,Series A,10000000,USD,10000000,2019-03-19,Early Stage Venture,,,,Yes,Evolv Technology an AI-enabled touchless security screening system that uses digital sensors and artificial intelligence to detect threats.,"Artificial Intelligence (AI), Intrusion Detection, Machine Learning, Physical Security",,"Waltham, Massachusetts, United States, North America",http://www.evolvtechnology.com,10,IPO,483319107,USD,483319107,$50M to $100M,Horizons Ventures,Horizons Ventures,,1,"47,550"
Series A - Elsa,https://www.crunchbase.com/funding_round/elsa-series-a--29202d33,Elsa,https://www.crunchbase.com/organization/elsa,Series A,7000000,USD,7000000,2019-02-26,Early Stage Venture,,,,Yes,Elsa is an AI-enabled language learning platform that focuses on spolen English communication,"Artificial Intelligence (AI), E-Learning, EdTech, Language Learning, Mobile Apps","Women Founded, Women Led","Los Gatos, California, United States, North America",https://elsaspeak.com,8,Late Stage Venture,48250000,USD,48250000,$1M to $10M,Gradient Ventures,"Gradient Ventures, Monk’s Hill Ventures, SOSV",2,3,"47,542"
Series A - Pop Meals,https://www.crunchbase.com/funding_round/dah-makan-series-a--591ff701,Pop Meals,https://www.crunchbase.com/organization/dah-makan,Series A,5000000,USD,5000000,2019-05-22,Early Stage Venture,,,,Yes,Pop Meals is a food delivery service that utilizes artificial intelligence in logistics and cooking automation.,"Artificial Intelligence (AI), Consumer Goods, Food and Beverage, Food Delivery, Logistics, Robotics",,"Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",https://popmeals.com.my/,5,Early Stage Venture,27020000,USD,27020000,$1M to $10M,,"Atami Capital, InnoStart Capital, Partech, UpHonest Capital, Y Combinator",,5,"48,224"
Series A - Deep 6 AI,https://www.crunchbase.com/funding_round/deep-6-ai-series-a--126b8f8d,Deep 6 AI,https://www.crunchbase.com/organization/deep-6-ai,Series A,17000000,USD,17000000,2019-11-25,Early Stage Venture,33000000,USD,33000000,Yes,Deep 6 AI is an AI-based platform that helps to identify patients for clinical trials,"Analytics, Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Pharmaceutical, Software",,"Pasadena, California, United States, North America",https://deep6.ai,4,Early Stage Venture,17569999,USD,17569999,$10M to $50M,Point72 Ventures,"GSR Ventures, Iaso Ventures, Point72 Ventures, Summation Health Ventures",1,4,"50,839"
Series B - Avidbots Corp.,https://www.crunchbase.com/funding_round/avidbots-series-b--52895c12,Avidbots Corp.,https://www.crunchbase.com/organization/avidbots,Series B,23600000,USD,23600000,2019-03-21,Early Stage Venture,,,,Yes,"Avidbots designs, manufactures, sells and supports autonomous connected robots that expand human potential.","Artificial Intelligence (AI), Computer Vision, Hardware, Machinery Manufacturing, Manufacturing, Robotics, Software",,"Kitchener, Ontario, Canada, North America",http://www.avidbots.com/,12,Late Stage Venture,106350535,USD,106350535,$1M to $10M,True Ventures,"500 Global, BDC Venture Capital, Business Development Bank of Canada, GGV Capital, KCPL, Next47, Real Ventures, SOSV, True Ventures",4,9,"52,720"
