Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Venture Round - DreamQuark,https://www.crunchbase.com/funding_round/dreamquark-series-unknown--a4ff6e25,DreamQuark,https://www.crunchbase.com/organization/dreamquark,Venture - Series Unknown,14000000,EUR,15568702,2019-12-13,,,,,Yes,"DreamQuark provides artificial intelligence solutions for banks, insurance, and asset management firms.","Artificial Intelligence (AI), Big Data, Financial Services, FinTech, Insurance, InsurTech, Machine Learning, Software",,"Paris, Ile-de-France, France, Europe",http://www.dreamquark.com,4,M&A,19068702,USD,19068702,$1M to $10M,Alma Mundi Ventures,"AG2R La Mondiale, Alma Mundi Ventures, CapHorn Invest, Keen Venture Partners, NewAlpha Asset Management VC",2,5,"438,083"
Series D - Iterable,https://www.crunchbase.com/funding_round/iterable-series-d--629e4734,Iterable,https://www.crunchbase.com/organization/iterable,Series D,60000000,USD,60000000,2019-12-10,Late Stage Venture,475000000,USD,475000000,Yes,"SaaS, AI-Powered, Customer Communication Platform, Cross-Channel Marketing Platform","Artificial Intelligence (AI), Marketing, Mobile Apps, SaaS, Software",,"San Francisco, California, United States, North America",https://www.iterable.com/,7,Late Stage Venture,342200000,USD,342200000,$100M to $500M,Viking Global Investors,"Blue Cloud Ventures, CRV, Harmony Partners, Index Ventures, Stereo Capital, Viking Global Investors",5,6,"438,086"
Series C - Evolv Technology,https://www.crunchbase.com/funding_round/evolv-technologies-series-c--0ce60af1,Evolv Technology,https://www.crunchbase.com/organization/evolv-technologies,Series C,24000000,USD,24000000,2019-10-31,Late Stage Venture,,,,Yes,Evolv Technology an AI-enabled touchless security screening system that uses digital sensors and artificial intelligence to detect threats.,"Artificial Intelligence (AI), Intrusion Detection, Machine Learning, Physical Security",,"Waltham, Massachusetts, United States, North America",http://www.evolvtechnology.com,10,IPO,483319107,USD,483319107,$50M to $100M,,"Bill Gates, DCVC, Finback Investment Partners, General Catalyst, Lux Capital, SineWave Ventures",1,6,"438,838"
Series A - Authenteq - an FNZ company,https://www.crunchbase.com/funding_round/authenteq-series-a--37f9cddf,Authenteq - an FNZ company,https://www.crunchbase.com/organization/authenteq,Series A,5000000,USD,5000000,2019-01-14,Early Stage Venture,,,,Yes,"Authenteq is the world’s first fully automated KYC identity verification platform. Verify identities instantly, onboard users in 35 seconds.","Asset Management, Banking, Blockchain, Compliance, Cryptocurrency, FinTech, Insurance, Machine Learning, Software, Wealth Management",,"Reykjavík, Gullbringusysla, Iceland, Europe",https://onboarding.fnz.com/solutions/id-verification,9,M&A,8169231,USD,8169231,$1M to $10M,"3VC, Draper Associates","3VC, Cavalry Ventures, Draper Associates",2,3,"439,349"
Series B - Affinity,https://www.crunchbase.com/funding_round/affinity-inc-series-b--9744971d,Affinity,https://www.crunchbase.com/organization/affinity-inc,Series B,26500000,USD,26500000,2019-02-13,Early Stage Venture,70000000,USD,70000000,Yes,Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM. ,"Analytics, Artificial Intelligence (AI), Business Development, Business Intelligence, Contact Management, CRM, Enterprise Software, Lead Generation",,"San Francisco, California, United States, North America",https://affinity.co/,5,Late Stage Venture,120000000,USD,120000000,$1M to $10M,"Advance Venture Partners, Sway Ventures","Advance Venture Partners, Lars Dalgaard, MassMutual Ventures, Next Play Capital, Pear VC, Sway Ventures",3,6,"439,500"
Series A - Wefarm,https://www.crunchbase.com/funding_round/we-farm-series-a--f44920bb,Wefarm,https://www.crunchbase.com/organization/we-farm,Series A,13000000,USD,13000000,2019-10-29,Early Stage Venture,,,,Yes,Wefarm is a farmer-to-farmer digital network that enables users to share information via SMS.,"AgTech, Farming, Internet, Machine Learning, SMS",,"London, England, United Kingdom, Europe",https://wefarm.com,11,Early Stage Venture,32014650,USD,32014650,$10M to $50M,"June Fund, True Ventures","ADV, AgFunder, Expon Capital, June Fund, LocalGlobe, Norrsken VC, Taavet Hinrikus, True Ventures",9,8,"483,786"
Series A - DemandJump,https://www.crunchbase.com/funding_round/demandjump-series-a--a50dd161,DemandJump,https://www.crunchbase.com/organization/demandjump,Series A,5500000,USD,5500000,2019-07-23,Early Stage Venture,,,,Yes,DemandJump is a customer acquisition software that shows marketers new sources of growth online.,"Artificial Intelligence (AI), Digital Marketing, Software",,"Indianapolis, Indiana, United States, North America",https://www.demandjump.com,7,,25434872,USD,25434872,$1M to $10M,BIP Capital,"BIP Capital, Cultivation Capital",1,2,"176,927"
Series A - Senseye,https://www.crunchbase.com/funding_round/senseye-series-a--b115ac5f,Senseye,https://www.crunchbase.com/organization/senseye,Series A,4300000,GBP,5626431,2019-02-01,Early Stage Venture,,,,Yes,Senseye is a cloud-based software for predictive maintenance.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Manufacturing, Predictive Analytics, Software",,"Southampton, Southampton, United Kingdom, Europe",http://www.senseye.io/,7,M&A,14600000,GBP,19176773,$1M to $10M,MMC Ventures,"Breed Reply, IQ Capital, MMC Ventures",3,3,"323,364"
Private Equity Round - Fractal Analytics,https://www.crunchbase.com/funding_round/fractal-analytics-private-equity--32d50e0b,Fractal Analytics,https://www.crunchbase.com/organization/fractal-analytics,Private Equity,200000000,USD,200000000,2019-01-16,Private Equity,,,,Yes,"Fractal Analytics is an AI company that provides solutions for marketing, distribution, actuarial, underwriting, claims, and operations.","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Consulting, InsurTech, Machine Learning",,"New York, New York, United States, North America",http://www.fractal.ai,5,Private Equity,685000000,USD,685000000,$100M to $500M,Apax Partners,"Apax Partners, Khazanah Nasional, TA Associates",2,3,"486,004"
Convertible Note - LANDR,https://www.crunchbase.com/funding_round/mixgenius-convertible-note--2387896e,LANDR,https://www.crunchbase.com/organization/mixgenius,Convertible Note,7000000,CAD,5348962,2019-07-16,,,,,No,"LANDR is a platform where music makers can create, master, and distribute their music","Audio, Content Creators, Generative AI, Music, Music Education, Musical Instruments, Software Engineering",,"Montréal, Quebec, Canada, North America",https://www.landr.com,9,Early Stage Venture,41697617,USD,41697617,$1M to $10M,Investissement Quebec,Investissement Quebec,,1,"486,604"
Series B - Realeyes,https://www.crunchbase.com/funding_round/realeyes-series-b--888ef056,Realeyes,https://www.crunchbase.com/organization/realeyes,Series B,12400000,USD,12400000,2019-06-06,Early Stage Venture,,,,Yes,Measuring Human Response At The Speed & Scale Of AI,"Advertising, Artificial Intelligence (AI), Computer Vision, Machine Learning, Marketing, SaaS",,"London, England, United Kingdom, Europe",http://www.realeyesit.com,7,,33814000,USD,33814000,$1M to $10M,"Molten Ventures, NTT DoCoMo","Entrepreneurs Fund, Global Brain Corporation, Karma Ventures, Molten Ventures, NTT DoCoMo",5,5,"297,046"
Angel Round - Supremind,https://www.crunchbase.com/funding_round/supremind-angel--b2087bcf,Supremind,https://www.crunchbase.com/organization/supremind,Angel,58000000,CNY,8185154,2019-09-18,Seed,,,,Yes,Supremind is a Chinese AI-based video big data analysis company.,"Analytics, Artificial Intelligence (AI), Computer, Robotics",,"Shanghai, Shanghai, China, Asia",https://www.supremind.com,3,Late Stage Venture,81420719,USD,81420719,$1M to $10M,Linear Venture,"Linear Venture, Redpoint Ventures China, Shanghai International Group (SIG)",,3,"487,760"
Series E - Exabeam,https://www.crunchbase.com/funding_round/exabeam-series-e--4c800259,Exabeam,https://www.crunchbase.com/organization/exabeam,Series E,75000000,USD,75000000,2019-05-07,Late Stage Venture,745000000,USD,745000000,Yes,Exabeam is a global cybersecurity leader that delivers AI-driven security operations. Learn more at www.exabeam.com.,"Analytics, Artificial Intelligence (AI), Big Data, Cloud Security, Cyber Security, Machine Learning, Software",,"Foster City, California, United States, North America",http://www.exabeam.com,8,,391000000,USD,391000000,$100M to $500M,"Lightspeed Venture Partners, Sapphire Ventures","Aspect Ventures, Cisco Investments, Icon Ventures, Lightspeed Venture Partners, Next Play Capital, Norwest Venture Partners, Sapphire Ventures, Shlomo Kramer",5,8,"431,157"
Series A - Automation Hero,https://www.crunchbase.com/funding_round/saleshero-inc-series-a--e8b496fc,Automation Hero,https://www.crunchbase.com/organization/saleshero-inc,Series A,14500000,USD,14500000,2019-03-13,Early Stage Venture,,,,Yes,We help organizations process any type of document faster than ever with the most complete intelligent document processing platform.,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, SaaS",,"San Francisco, California, United States, North America",https://automationhero.ai/,4,Early Stage Venture,19000000,USD,19000000,$1M to $10M,Atomico,"Atomico, Baidu Ventures, Cherry Ventures",3,3,"483,262"
Series B - Infarm,https://www.crunchbase.com/funding_round/infarm-series-b--e8c9c82b,Infarm,https://www.crunchbase.com/organization/infarm,Series B,100000000,USD,100000000,2019-06-11,Early Stage Venture,,,,Yes,Infarm builds and distributes efficient vertical farms throughout cities.,"Agriculture, AgTech, Farming, Machine Learning",,"Berlin, Berlin, Germany, Europe",https://infarm.com,12,Late Stage Venture,604522397,USD,604522397,$100M to $500M,Atomico,"Astanor Ventures, Atomico, Balderton Capital, Cherry Ventures, TriplePoint Capital",3,5,"326,931"
Series B - Laiye,https://www.crunchbase.com/funding_round/laiye-series-b--65115cc7,Laiye,https://www.crunchbase.com/organization/laiye,Series B,35000000,USD,35000000,2019-06-27,Early Stage Venture,,,,Yes,Laiye is an interactive platform that offers consumers and enterprises with intelligent assistant products.,"Apps, Artificial Intelligence (AI), Enterprise, Internet, Mobile, Mobile Apps, Mobile Payments, Natural Language Processing, Robotic Process Automation (RPA)",,"Beijing, Beijing, China, Asia",http://www.laiye.com/,8,Late Stage Venture,201000000,USD,201000000,$1M to $10M,Cathay Innovation,"Cathay Capital Private Equity, Cathay Innovation, Lightspeed China Partners, Wu Capital",1,4,"488,718"
Venture Round - Aillis,https://www.crunchbase.com/funding_round/aillis-series-unknown--e35c0438,Aillis,https://www.crunchbase.com/organization/aillis,Venture - Series Unknown,1250000000,JPY,11336223,2019-05-07,,,,,Yes,Aillis specializes in the development of testing methods for Influenza using artificial intelligence technology.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Medical, Medical Device",,"Tokyo, Tokyo, Japan, Asia",https://aillis.jp/,4,,1250000000,JPY,11336223,$1M to $10M,"Beyond Next Ventures, Shionogi","Beyond Next Ventures, Capital Medica Ventures, Shionogi",,3,"488,917"
Venture Round - Asteri Networks,https://www.crunchbase.com/funding_round/asteri-networks-series-unknown--8b8333f4,Asteri Networks,https://www.crunchbase.com/organization/asteri-networks,Venture - Series Unknown,7504808,USD,7504808,2019-03-08,,,,,Yes,Asteri Networks uses predictive audience analytics to improve the profitability of interactive games and linear entertainment.,"Big Data, Digital Media, Predictive Analytics, Video Games",,"Shreveport, Louisiana, United States, North America",http://www.asteri-networks.com,2,,9774808,USD,9774808,Less than $1M,,,,,"489,122"
Series C - Sight Diagnostics,https://www.crunchbase.com/funding_round/sight-diagnostics-series-c--c5883c2a,Sight Diagnostics,https://www.crunchbase.com/organization/sight-diagnostics,Series C,27800000,USD,27800000,2019-02-14,Late Stage Venture,,,,Yes,Sight Diagnostics is a medical platform for diagnosing blood diseases using digital fluorescent microscopy.,"Artificial Intelligence (AI), Computer Vision, Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device",,"Tel Aviv, Tel Aviv, Israel, Asia",http://www.sightdx.com,5,Late Stage Venture,123800000,USD,123800000,$50M to $100M,Longliv Ventures,"GO CAPITAL, Jack Nicklaus II, Longliv Ventures, New Alliance Capital, OurCrowd, Steven Esrick",3,6,"136,081"
Private Equity Round - CARS24,https://www.crunchbase.com/funding_round/cars24-private-equity--fe57f244,CARS24,https://www.crunchbase.com/organization/cars24,Private Equity,3117200000,INR,43898044,2019-11-06,Private Equity,,,,Yes,CARS24 is as AutoTech company that utilizes technology and dealer network for buying and selling pre-owned cars.,"Artificial Intelligence (AI), Automotive, E-Commerce, Marketplace",,"Gurgaon, Haryana, India, Asia",https://www.cars24.com,17,,1347590799,USD,1347590799,$100M to $500M,Global Car Group,Global Car Group,,1,"186,074"
Seed Round - MindDust Labs,https://www.crunchbase.com/funding_round/minddust-labs-seed--92748849,MindDust Labs,https://www.crunchbase.com/organization/minddust-labs,Seed,7310000,USD,7310000,2019-10-27,Seed,,,,Yes,MindDust Labs provides specialized consulting and recruiting to help businesses grow.,"Field-Programmable Gate Array (FPGA), GPS, Health Diagnostics, Internet of Things, Medical Device, Metaverse, MMO Games, Predictive Analytics, Wearables",,"San Francisco, California, United States, North America",https://solve4all.wixsite.com/minddustlabs,3,Seed,12310000,USD,12310000,$1M to $10M,,,,,"186,956"
Venture Round - LeanTaaS,https://www.crunchbase.com/funding_round/leantaas-series-unknown--adc40d5d,LeanTaaS,https://www.crunchbase.com/organization/leantaas,Venture - Series Unknown,13999998,USD,13999998,2019-06-24,,,,,Yes,LeanTaaS is a software company that uses advanced data science to significantly improve the operational performance of hospitals and clinics,"Health Care, Information Technology, Machine Learning, Predictive Analytics, Software",,"Santa Clara, California, United States, North America",https://leantaas.com/,9,M&A,237749992,USD,237749992,$10M to $50M,,,,,"187,639"
Venture Round - 6sense,https://www.crunchbase.com/funding_round/6sense-series-unknown--b8d6d891,6sense,https://www.crunchbase.com/organization/6sense,Venture - Series Unknown,27000000,USD,27000000,2019-04-16,,,,,Yes,6sense arms revenue team with the data and visibility that needs to create and convert pipeline into revenue.,"Artificial Intelligence (AI), B2B, Big Data, Business Information Systems, Machine Learning, Marketing, Sales, Software",Women Founded,"San Francisco, California, United States, North America",http://www.6sense.com,10,Late Stage Venture,526000000,USD,526000000,$100M to $500M,Industry Ventures,"Bain Capital Ventures, Battery Ventures, Costanoa Ventures, Industry Ventures, Salesforce Ventures, Venrock",4,6,"177,684"
Series A - Saleswhale,https://www.crunchbase.com/funding_round/saleswhale-series-a--07b30003,Saleswhale,https://www.crunchbase.com/organization/saleswhale,Series A,5300000,USD,5300000,2019-04-23,Early Stage Venture,,,,Yes,Saleswhale develops an AI-driven conversational marketing platform.,"Artificial Intelligence (AI), Assistive Technology, Marketing Automation, SaaS, Sales Automation",,"Singapore, Central Region, Singapore, Asia",http://saleswhale.com,4,M&A,6620000,USD,6620000,$1M to $10M,Monk’s Hill Ventures,"Monk’s Hill Ventures, STRIVE, Wavemaker Partners, Y Combinator",,4,"188,926"
Series C - Ghost Autonomy,https://www.crunchbase.com/funding_round/ghost-autonomy-series-c--c485b211,Ghost Autonomy,https://www.crunchbase.com/organization/ghost-autonomy,Series C,32749996,USD,32749996,2019-10-28,Late Stage Venture,,,,Yes,Ghost offers attention-free driving by developing a software solution with AI approaches.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning, Software, Transportation",,"Mountain View, California, United States, North America",https://www.ghostautonomy.com,6,Late Stage Venture,217049969,USD,217049969,$1M to $10M,,"Founders Fund, Khosla Ventures, Sutter Hill Ventures",3,3,"189,089"
Venture Round - Zwoop,https://www.crunchbase.com/funding_round/zwoop-series-unknown--a628665b,Zwoop,https://www.crunchbase.com/organization/zwoop,Venture - Series Unknown,13000000,USD,13000000,2019-01-11,,,,,Yes,Zwoop is revolutionizing e-commerce with its AI and blockchain enabled find engine.,"Artificial Intelligence (AI), E-Commerce",,"Houston, Texas, United States, North America",https://zwoop.com/,1,,13000000,USD,13000000,$10M to $50M,Robert Martin Friedland,Robert Martin Friedland,,1,"140,762"
Venture Round - UNIWINE,https://www.crunchbase.com/funding_round/uniwine-series-unknown--2733b09b,UNIWINE,https://www.crunchbase.com/organization/uniwine,Venture - Series Unknown,50000000,CNY,7414987,2019-04-25,,,,,Yes,Uniwine is a smart wine machine manufacturing company.,"Consumer, Food and Beverage, Intelligent Systems, Manufacturing, Wine And Spirits",,"Changning, Shanghai, China, Asia",http://9xls.com,2,Seed,70000000,CNY,10234947,,,Modern Capital,,1,"267,376"
Series C - tripla,https://www.crunchbase.com/funding_round/tripla-series-c--7f846dae,tripla,https://www.crunchbase.com/organization/tripla,Series C,600000000,JPY,5531128,2019-06-11,Late Stage Venture,,,,Yes,tripla (JPX listed: 5136.T) is a Hotel tech solution leader in Asia with the objective of assisting the Hospitality industry.,"Apparel, Artificial Intelligence (AI), Software, Travel",,"Tokyo, Tokyo, Japan, Asia",https://en.tripla.io/,6,IPO,1089160000,JPY,9901837,$1M to $10M,,"Computer Software Association of Japan, Hack Ventures, Innovation Engine, JR East Start Up, Kips, Lead Capital Management, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC), Rakus",,8,"187,636"
Series B - LANDR,https://www.crunchbase.com/funding_round/mixgenius-series-b--245aa3cb,LANDR,https://www.crunchbase.com/organization/mixgenius,Series B,19000000,CAD,14518612,2019-07-16,Early Stage Venture,,,,Yes,"LANDR is a platform where music makers can create, master, and distribute their music","Audio, Content Creators, Generative AI, Music, Music Education, Musical Instruments, Software Engineering",,"Montréal, Quebec, Canada, North America",https://www.landr.com,9,Early Stage Venture,41697617,USD,41697617,$1M to $10M,"Fonds de solidarité FTQ, Shure, Sony Innovation Fund, TechNexus Venture Collaborative","Fonds de solidarité FTQ, Peak Capital Partners, Plaza Ventures, Plus Eight Equity Fund LP, Shure, Slaight Communications, Sony Innovation Fund, TechNexus Venture Collaborative, Warner Music Group, YUL Ventures",,10,"294,567"
Series B - Clobotics,https://www.crunchbase.com/funding_round/clobotics-series-b--f5ead8cb,Clobotics,https://www.crunchbase.com/organization/clobotics,Series B,22000000,USD,22000000,2019-08-08,Early Stage Venture,,,,Yes,Clobotics provides intelligent computer vision solutions for the retail and wind power sectors.,"Agriculture, Analytics, Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Retail Technology",Women Founded,"Bellevue, Washington, United States, North America",http://www.clobotics.com/,6,Early Stage Venture,63000000,USD,63000000,$1M to $10M,"CDIB Capital, CMC Capital Group","Capital Development Investment Fund, CDIB Capital, CMC Capital Group, GGV Capital",1,4,"295,244"
Series A - Waycare,https://www.crunchbase.com/funding_round/waycare-series-a--db4eacfc,Waycare,https://www.crunchbase.com/organization/waycare,Series A,7250000,USD,7250000,2019-10-03,Early Stage Venture,,,,Yes,"WayCare optimizes traffic management systems leveraging predictive analytics, and enables two way vehicle to city communication.","Analytics, Artificial Intelligence (AI), Autonomous Vehicles, Government, GovTech, Intelligent Systems, Machine Learning",,"Palo Alto, California, United States, North America",https://waycaretech.com,3,M&A,9550000,USD,9550000,$1M to $10M,SJF Ventures,"Goldbell Group, Innogy, Janom, Next Gear Ventures, SJF Ventures, Spider Capital, UpWest",1,7,"601,564"
Series A - The Yes,https://www.crunchbase.com/funding_round/the-yes-series-a--74745bda,The Yes,https://www.crunchbase.com/organization/the-yes,Series A,30000000,USD,30000000,2019-10-22,Early Stage Venture,,,,Yes,The Yes is a next generation AI-powered shopping platform.,"Artificial Intelligence (AI), E-Commerce, Internet","Women Founded, Women Led","Burlingame, California, United States, North America",https://theyes.com,1,M&A,30000000,USD,30000000,$50M to $100M,,"Bain Capital Ventures, Comcast Ventures, Forerunner, New Enterprise Associates, True Ventures",2,5,"296,452"
Series C - Fyusion,https://www.crunchbase.com/funding_round/fyusion-series-c--c0055b1c,Fyusion,https://www.crunchbase.com/organization/fyusion,Series C,30000000,USD,30000000,2019-04-18,Late Stage Venture,,,,Yes,Fyusion develops products powered by 3D computer vision and machine learning.,"Android, Artificial Intelligence (AI), Augmented Reality, Automotive, E-Commerce, Enterprise Software, iOS, Machine Learning, Software, Virtual Reality",,"San Francisco, California, United States, North America",http://fyusion.com/,5,M&A,71350000,USD,71350000,Less than $1M,Cox Automotive,Cox Automotive,,1,"132,465"
Series C - Protenus,https://www.crunchbase.com/funding_round/protenus-series-c--954f9dc6,Protenus,https://www.crunchbase.com/organization/protenus,Series C,17000000,USD,17000000,2019-08-20,Late Stage Venture,,,,Yes,Protenus is a healthcare compliance analytics platform that brings artificial intelligence and automation to healthcare compliance.,"Analytics, Artificial Intelligence (AI), Big Data, Compliance, Health Care, Software",,"Baltimore, Maryland, United States, North America",https://www.protenus.com,6,Late Stage Venture,57200000,USD,57200000,$1M to $10M,Leerink Transformation Partners,"Arthur Ventures, F-Prime Capital, Kaiser Permanente Ventures, Leerink Transformation Partners, LionBird, Providence Ventures",4,6,"433,125"
Series A - Cyclone,https://www.crunchbase.com/funding_round/cyclone-a26f-series-a--5cd471d3,Cyclone,https://www.crunchbase.com/organization/cyclone-a26f,Series A,10000000,USD,10000000,2019-06-13,Early Stage Venture,,,,Yes,Cyclone develops and sells robotic process automation products.,"Industrial Automation, Robotic Process Automation (RPA), Robotics, Sales, Software",,"Minhang, Shanghai, China, Asia",https://www.cyclone-robotics.com/,2,Early Stage Venture,50000000,USD,50000000,$100M to $500M,,"DCM Ventures, Source Code Capital",,2,"369,467"
Series A - Kaia Health,https://www.crunchbase.com/funding_round/kaia-health-series-a--f92e99f1,Kaia Health,https://www.crunchbase.com/organization/kaia-health,Series A,8000000,USD,8000000,2019-09-17,Early Stage Venture,,,,Yes,Kaia Health is a digital therapeutics company that creates evidence-based treatments for a range of medical disorders.,"Health Care, Machine Learning, Medical, Therapeutics",,"New York, New York, United States, North America",http://www.kaiahealth.com,5,Late Stage Venture,123000000,USD,123000000,$1M to $10M,Optum Ventures,Optum Ventures,1,1,"369,939"
Seed Round - Terray Therapeutics,https://www.crunchbase.com/funding_round/terray-therapeutics-seed--9b5b9f36,Terray Therapeutics,https://www.crunchbase.com/organization/terray-therapeutics,Seed,5000000,USD,5000000,2019-03-13,Seed,,,,Yes,Terray Therapeutics is a biotechnology company that propels drug discovery into the information age.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Life Science, Medical",,"Pasadena, California, United States, North America",https://terraytx.com,5,,80000000,USD,80000000,$10M to $50M,Two Sigma,"Digitalis Ventures, KdT Ventures, Two Sigma",1,3,"370,281"
Series A - cnvrg.io,https://www.crunchbase.com/funding_round/cnvrg-io-series-a--9153eddf,cnvrg.io,https://www.crunchbase.com/organization/cnvrg-io,Series A,8000000,USD,8000000,2019-11-13,Early Stage Venture,,,,Yes,cnvrg.io is a machine learning operating system that builds and deploys AI applications.,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Predictive Analytics, SaaS, Software",,"Tel Aviv, Tel Aviv, Israel, Asia",https://cnvrg.io,1,M&A,8000000,USD,8000000,$1M to $10M,,,,,"370,426"
Series A - e-bot7,https://www.crunchbase.com/funding_round/e-bot7-series-a--582e4714,e-bot7,https://www.crunchbase.com/organization/e-bot7,Series A,5500000,EUR,6094824,2019-08-19,Early Stage Venture,,,,Yes,e-bot7 develops conversational AI customer service platform.,"Artificial Intelligence (AI), Machine Learning, SaaS, Software, Virtual Assistant",,"München, Bayern, Germany, Europe",https://e-bot7.com,5,M&A,8140000,EUR,9167071,$10M to $50M,RTP Global,"42CAP, Neosfer, RTP Global",1,3,"371,275"
Series A - Disperse.io,https://www.crunchbase.com/funding_round/disperse-io-series-a--641c33f3,Disperse.io,https://www.crunchbase.com/organization/disperse-io,Series A,15000000,USD,15000000,2019-10-22,Early Stage Venture,,,,Yes,Disperse.io is a VC-backed artificial intelligence construction startup focused on improving on-site productivity.,"Artificial Intelligence (AI), Construction, Information Technology, Machine Learning",,"London, England, United Kingdom, Europe",http://disperse.io,6,Early Stage Venture,32688838,USD,32688838,Less than $1M,Northzone,"Frontline Ventures, Kindred Capital, Northzone, Revolt Ventures",,4,"330,064"
Series B - wrnch,https://www.crunchbase.com/funding_round/wrnch-series-b--baa5fddc,wrnch,https://www.crunchbase.com/organization/wrnch,Series B,7500000,USD,7500000,2019-06-24,Early Stage Venture,,,,Yes,wrnchAI is a software platform to digitize human motion and behaviour from standard video.,"Artificial Intelligence (AI), Augmented Reality, Computer Vision, Image Recognition, Machine Learning, Software",,"Montreal, Quebec, Canada, North America",http://www.wrnch.AI,4,M&A,9761065,USD,9761065,$1M to $10M,Nikon,Nikon,,1,"372,364"
Series A - Kheiron,https://www.crunchbase.com/funding_round/kheiron-series-a--c6607483,Kheiron,https://www.crunchbase.com/organization/kheiron,Series A,22000000,USD,22000000,2019-09-23,Early Stage Venture,,,,Yes,We’re going where no-one has ever gone before. --  We’re fighting cancer.  --   Lives are at stake.,"Artificial Intelligence (AI), Health Care",,"London, England, United Kingdom, Europe",https://www.kheironmed.com/,8,Early Stage Venture,22322058,USD,22322058,Less than $1M,Atomico,"Atomico, Connect Ventures, Exor Ventures, Greycroft, Hoxton Ventures, Nina Capital",2,6,"331,359"
Series A - Adthena,https://www.crunchbase.com/funding_round/traffic-smart-adthena-series-a--14746d14,Adthena,https://www.crunchbase.com/organization/traffic-smart-adthena,Series A,14000000,USD,14000000,2019-03-13,Early Stage Venture,,,,Yes,Adthena is a competitive intelligence solution for search marketers.,"Business Intelligence, Internet, Machine Learning, Search Engine",,"London, England, United Kingdom, Europe",https://www.adthena.com/,5,,36601193,USD,36601193,$10M to $50M,Updata Partners,Updata Partners,1,1,"241,983"
Series E - Cerebras Systems,https://www.crunchbase.com/funding_round/cerebras-systems-series-e--3c7fa9f2,Cerebras Systems,https://www.crunchbase.com/organization/cerebras-systems,Series E,272000000,USD,272000000,2019-11-27,Late Stage Venture,2400000000,USD,2400000000,Yes,Cerebras Systems develops computing chips with the sole purpose of accelerating AI.,"Artificial Intelligence (AI), Computer, Hardware, Software",,"Sunnyvale, California, United States, North America",http://cerebras.net,6,Late Stage Venture,715000000,USD,715000000,,,,,,"352,161"
Series B - BlackThorn Therapeutics,https://www.crunchbase.com/funding_round/blackthorn-therapeutics-series-b--e5f26854,BlackThorn Therapeutics,https://www.crunchbase.com/organization/blackthorn-therapeutics,Series B,76000000,USD,76000000,2019-06-13,Early Stage Venture,,,,Yes,BlackThorn Therapeutics is a clinical-stage neurobehavioral health company pioneering the next generation of artificial intelligence.,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics",,"San Francisco, California, United States, North America",http://www.blackthornrx.com/,4,Early Stage Venture,138000000,USD,138000000,$1M to $10M,,"Alexandria Venture Investments, Altitude Life Science Ventures, ARCH Venture Partners, Biomatics Capital Partners, Google Ventures, Johnson & Johnson Innovation – JJDC, Mercury, Polaris Partners, Premier Partners, The Scripps Research Institute, Vertex Ventures HC",5,11,"296,731"
Series B - Moredian,https://www.crunchbase.com/funding_round/moredian-series-b--833fd1e6,Moredian,https://www.crunchbase.com/organization/moredian,Series B,60000000,CNY,8879549,2019-01-16,Early Stage Venture,,,,Yes,"Moredian is a recognition technology provider, combining artificial intelligence technology with industry applications.","Artificial Intelligence (AI), Facial Recognition, Information Technology, Machine Learning",,"Hangzhou, Zhejiang, China, Asia",http://www.moredian.com/index.html,2,Early Stage Venture,60000000,CNY,8879549,,Dingju Investment,Dingju Investment,,1,"352,535"
Series A - Cobli,https://www.crunchbase.com/funding_round/cobli-series-a--5b02509f,Cobli,https://www.crunchbase.com/organization/cobli,Series A,10000000,USD,10000000,2019-10-24,Early Stage Venture,,,,Yes,Cobli is the FleetTech that simplifies and improves fleet management.,"Artificial Intelligence (AI), Automotive, Fleet Management, Information Technology, Logistics, Software",,"São Paulo, Sao Paulo, Brazil, South America",http://www.cobli.co/,7,Early Stage Venture,65000000,USD,65000000,$50M to $100M,Fifth Wall,"Dan Rumennik, Fifth Wall, NXTP Ventures, Valor Capital Group",,4,"352,681"
