Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Funding Status,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Diversity Spotlight (US Headquarters Only),Investor Names,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series C - Rasa,https://www.crunchbase.com/funding_round/rasa-series-c--7ff0d78d,Rasa,https://www.crunchbase.com/organization/rasa,Series C,30000000,USD,30000000,2024-02-14,Late Stage Venture,Yes,,,,"Rasa provides an open platform for generative conversational AI, enabling the creation and deployment of advanced AI assistants.","Artificial Intelligence (AI), Machine Learning, Software, Virtual Assistant","San Francisco, California, United States, North America",https://rasa.com,Late Stage Venture,Less than $1M,70217952,USD,70217952,5,,"Accel, Andreessen Horowitz, Basis Set Ventures, PayPal Ventures, StepStone Group","PayPal Ventures, StepStone Group",5,4,59
Series A - Mistral AI,https://www.crunchbase.com/funding_round/mistral-ai-series-a--63b64402,Mistral AI,https://www.crunchbase.com/organization/mistral-ai,Series A,385000000,EUR,414462034,2023-12-10,Early Stage Venture,Yes,1585000000,USD,1585000000,Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","Paris, Ile-de-France, France, Europe",https://mistral.ai,Early Stage Venture,,1105000000,EUR,1187698964,7,,"Andreessen Horowitz, BNP Paribas, CMA CGM Ventures, Conviction VC, Databricks Ventures, Elad Gil, Emerson Collective, General Catalyst, La Famiglia, Lightspeed Venture Partners, Motier Ventures, NVIDIA, Salesforce, Sofina",Andreessen Horowitz,14,2,61
Series C - Recogni,https://www.crunchbase.com/funding_round/recogni-series-c--a4ed6290,Recogni,https://www.crunchbase.com/organization/recogni,Series C,102000000,USD,102000000,2024-02-20,Late Stage Venture,Yes,,,,"Recogni offers vision-based perception processing for autonomous driving platforms with high compute, low latency, and low power usage.","Artificial Intelligence (AI), Autonomous Vehicles, Semiconductor, Software","San Jose, California, United States, North America",https://recogni.com,Late Stage Venture,$1M to $10M,176050000,USD,176050000,5,Women Founded,"BMW i Ventures, Celesta Capital, DNS Capital, Fluxunit - Osram Ventures, GreatPoint Ventures, Mayfield Fund, Pledge Ventures, SW Mobility, TASARU Mobility Investments","Celesta Capital, GreatPoint Ventures",9,4,67
Seed Round - Clarity,https://www.crunchbase.com/funding_round/clarity-7512-seed--5add468b,Clarity,https://www.crunchbase.com/organization/clarity-7512,Seed,16000000,USD,16000000,2024-02-15,Seed,Yes,,,,Preserving trust in digital media by fighting AI-based misinformation and deepfakes,"Artificial Intelligence (AI), Cyber Security, Software","New York, New York, United States, North America",https://getclarity.ai,Seed,,16000000,USD,16000000,2,Women Founded,"Ascend, Bessemer Venture Partners, Bradley Horowitz, Chris Martin, Community Access Fund, Flying Fish Partners, Fusion, Kmehin Ventures, Larry Diamond, Recursive Ventures, Secret Chord Ventures, Udi Mokady, Walden Catalyst","Bessemer Venture Partners, Walden Catalyst",13,6,70
Seed Round - Sakana AI,https://www.crunchbase.com/funding_round/sakana-ai-seed--ffa94095,Sakana AI,https://www.crunchbase.com/organization/sakana-ai,Seed,30000000,USD,30000000,2024-01-16,Seed,Yes,,,,Sakana AI creates a new kind of foundation model based on nature-inspired intelligence.,"Artificial Intelligence (AI), Generative AI, Information Technology","Tokyo, Tokyo, Japan, Asia",https://sakana.ai/,Seed,,30000000,USD,30000000,1,,"500 Global, Basis Set Ventures, Clément Delangue, Geodesic Capital, Global Brain Corporation, JAFCO, Jeff Dean, July Fund, KDDI Open Innovation Fund, Khosla Ventures, Learn Capital, Lux Capital, Miyako Capital, NTT Group, Sony",Lux Capital,15,3,72
Seed Round - Liquid AI,https://www.crunchbase.com/funding_round/liquid-ai-seed--5e7f2e3d,Liquid AI,https://www.crunchbase.com/organization/liquid-ai,Seed,37600000,USD,37600000,2023-12-01,Seed,Yes,300000000,USD,300000000,Liquid AI is a developer of AI applications that help improve human experience.,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","Brookline, Massachusetts, United States, North America",http://liquid.ai,Seed,$1M to $10M,43200000,USD,43200000,2,Women Founded,"Argean Capital, Automattic, Bob Young, Bold Capital Partners, Breyer Capital, Capgemini, Chris Prucha, David Blundin, David Siegel, Duke Capital Partners, Isai, Kurt Schmidt, Latham & Watkins, Marc N. Casper, Naval Ravikant, OSS Capital L.P., Safar Partners, Samsung NEXT, Sandeep Vij, Stephen Pagliuca, The Pags Group, Tobias Lütke, Tom Preston-Werner","OSS Capital L.P., Stephen Pagliuca, The Pags Group",23,8,74
Seed Round - DatologyAI,https://www.crunchbase.com/funding_round/datologyai-seed--b80bbe74,DatologyAI,https://www.crunchbase.com/organization/datologyai,Seed,11650000,USD,11650000,2024-02-22,Seed,Yes,,,,DatologyAI is an AI-data curation startup that develops deep learning tools for automatic selection in data training.,"Artificial Intelligence (AI), Data Center, Data Integration, Database, Information Technology","Redwood City, California, United States, North America",https://www.datologyai.com/,Early Stage Venture,,57650000,USD,57650000,2,,"Adam D’Angelo, Aidan Gomez, Amplify Partners, Barry McCardel, Conviction Capital, Douwe Kiela, Geoffrey Hinton, Ivan Zhang, Jascha Sohl-Dickstein, Jeff Dean, Jonathan Frankle, Naveen Rao, Outset Capital, Quiet Capital, Radical Ventures, Yann LeCun",Amplify Partners,16,2,77
Series C - Unlearn.AI,https://www.crunchbase.com/funding_round/unlearn-ai-series-c--57604735,Unlearn.AI,https://www.crunchbase.com/organization/unlearn-ai,Series C,50000000,USD,50000000,2024-02-08,Late Stage Venture,Yes,,,,"Unlearn.AI combines AI, digital twins, and novel statistical methods to enable smaller, more efficient clinical trials.","Artificial Intelligence (AI), Bioinformatics, Clinical Trials, Life Science","San Francisco, California, United States, North America",https://www.unlearn.ai,Late Stage Venture,$10M to $50M,134850000,USD,134850000,7,,"8VC, Altimeter Capital, DCVC, DCVC Bio, EPIC Ventures, Insight Partners, Mubadala Capital, Necessary Ventures, Radical Ventures, Wittington Ventures",Altimeter Capital,10,5,79
Series C - Abridge,https://www.crunchbase.com/funding_round/abridge-d1a4-series-c--b690a6b7,Abridge,https://www.crunchbase.com/organization/abridge-d1a4,Series C,150000000,USD,150000000,2024-02-23,Late Stage Venture,Yes,700000000,USD,700000000,Abridge is a medical conversation AI startup that structures and summarizes medical conversations for doctors and patients.,"Artificial Intelligence (AI), Clinical Trials, Health Care, Machine Learning, Medical","Pittsburgh, Pennsylvania, United States, North America",https://www.abridge.com,Late Stage Venture,$1M to $10M,207500000,USD,207500000,7,,"Bessemer Venture Partners, CVS Health Ventures, IVP, Kaiser Permanente Ventures, Lightspeed Venture Partners, Mass General Brigham, Redpoint, Spark Capital, Union Square Ventures, Wittington Ventures","Lightspeed Venture Partners, Redpoint",10,4,88
Seed Round - CentML,https://www.crunchbase.com/funding_round/centml-inc-seed--e47f9d0e,CentML,https://www.crunchbase.com/organization/centml-inc,Seed,37000000,CAD,26805612,2023-10-25,Seed,Yes,,,,CentML accelerates Machine Learning workloads by maximizing training and inference efficiency leading to compute cost reduction.,"Artificial Intelligence (AI), Machine Learning, Training","Toronto, Ontario, Canada, North America",https://centml.ai,Seed,$1M to $10M,30305612,USD,30305612,2,,"AAL VC, Deloitte Ventures, Gradient Ventures, Misha Bilenko, NVIDIA, Radical Ventures, Thomson Reuters Ventures",Gradient Ventures,7,2,90
