Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Funding Status,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Diversity Spotlight (US Headquarters Only),Investor Names,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Exostellar,https://www.crunchbase.com/funding_round/exotanium-series-a--709bba15,Exostellar,https://www.crunchbase.com/organization/exotanium,Series A,15000000,USD,15000000,2023-09-13,Early Stage Venture,Yes,,,,We help enterprise companies achieve cloud optimizations and cost reductions without service interruptions.,"Artificial Intelligence (AI), Machine Learning, SaaS","Ithaca, New York, United States, North America",https://exostellar.io,Early Stage Venture,$1M to $10M,34005967,USD,34005967,7,,"Alpha Intelligence Capital, Cambium Capital Partners, Candou Ventures, Celesta Capital","Cambium Capital Partners, Celesta Capital",4,3,"5,363"
Post-IPO Equity - Lunit,https://www.crunchbase.com/funding_round/lunit-inc-post-ipo-equity--564363a6,Lunit,https://www.crunchbase.com/organization/lunit-inc,Post-IPO Equity,150000000,USD,150000000,2023-11-15,,Yes,,,,Lunit is a medical technology company that specializes in developing and providing AI-powered medical imaging solutions.,"Artificial Intelligence (AI), Computer Vision, Health Diagnostics, Image Recognition, Machine Learning, Medical Device, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.lunit.io,IPO,$1M to $10M,561074826,USD,561074826,11,,,,,,"5,440"
Venture Round - Weights & Biases,https://www.crunchbase.com/funding_round/weights-biases-series-unknown--1f1279ba,Weights & Biases,https://www.crunchbase.com/organization/weights-biases,Venture - Series Unknown,50000000,USD,50000000,2023-08-09,,Yes,1200000000,USD,1200000000,Weights & Biases is a developer-first MLOps platform that builds machine learning performance visualization tools.,"Artificial Intelligence (AI), Data Visualization, Developer Tools, Machine Learning, Software","San Francisco, California, United States, North America",https://www.wandb.ai,,$10M to $50M,250000000,USD,250000000,6,,"Bloomberg Beta, Bond, Coatue, Daniel Gross, Felicis, Insight Partners, Nat Friedman, Octave, Sapphire Ventures","Daniel Gross, Nat Friedman",9,4,"5,449"
Series D - InfoBionic,https://www.crunchbase.com/funding_round/infobionic-series-d--92b218a3,InfoBionic,https://www.crunchbase.com/organization/infobionic,Series D,57765436,USD,57765436,2023-10-16,Late Stage Venture,Yes,,,,InfoBionic is the leading Virtual Telemetry Platform with connected devices manufactured in the US,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical Device","Billerica, Massachusetts, United States, North America",http://infobionic.com,Late Stage Venture,$10M to $50M,151440166,USD,151440166,12,Women Founded,"Blue Cross and Blue Shield of Kansas, Blue Cross Blue Shield Association, Excel Venture Management, Mayo Clinic",,4,,"5,459"
Series A - ConverSight,https://www.crunchbase.com/funding_round/thickstat-inc-series-a--d5c9aeae,ConverSight,https://www.crunchbase.com/organization/thickstat-inc,Series A,9000000,USD,9000000,2023-08-28,Early Stage Venture,Yes,,,,"ConverSight is a leading unified decision intelligence solution empowering businesses with its AI assistant, Athena, and advanced analytics.","Analytics, Artificial Intelligence (AI), Generative AI, Natural Language Processing, Predictive Analytics, Software","Indianapolis, Indiana, United States, North America",http://www.conversight.ai,Early Stage Venture,$10M to $50M,15950000,USD,15950000,8,"East Asian Founded, East Asian Led","Augment Ventures, Elevate Ventures, Rev1 Ventures, Surface Ventures, Techstars",Surface Ventures,5,3,"5,572"
Series A - Pixocial,https://www.crunchbase.com/funding_round/pixocial-series-a--b3be4fe2,Pixocial,https://www.crunchbase.com/organization/pixocial,Series A,22000000,USD,22000000,2023-10-11,Early Stage Venture,Yes,,,,Pixocial is an AI technology company in the photo and video editing software industry.,"Artificial Intelligence (AI), Photo Editing, Software, Video Editing","Singapore, Central Region, Singapore, Asia",https://www.pixocial.com,Early Stage Venture,$1M to $10M,22000000,USD,22000000,1,,"Eight Roads Ventures, FutureX Capital, Meitu",Eight Roads Ventures,3,,"5,653"
Series D - Huimei Technology,https://www.crunchbase.com/funding_round/huimei-technology-1684-series-d--674a2dd4,Huimei Technology,https://www.crunchbase.com/organization/huimei-technology-1684,Series D,70000000,CNY,9866937,2024-01-25,Late Stage Venture,Yes,,,,Huimei Technology is a National high-tech enterprise that offers medical artificial intelligence solutions.,"Artificial Intelligence (AI), Data Management, Enterprise Software","Haidian, Beijing, China, Asia",https://www.huimei.com/,Late Stage Venture,,80897067,USD,80897067,3,,NRL Capital,NRL Capital,1,,"5,724"
Post-IPO Debt - View,https://www.crunchbase.com/funding_round/view-inc-post-ipo-debt--3b30883c,View,https://www.crunchbase.com/organization/view-inc,Post-IPO Debt,50000000,USD,50000000,2023-10-16,,No,,,,View is a smart building technology company that produces smart windows that adjusts in response to external conditions.,"Artificial Intelligence (AI), Smart Building, Software, Sustainability","Milpitas, California, United States, North America",https://www.view.com,IPO,$100M to $500M,2565451247,USD,2565451247,20,,"Affinius Capital, Anson Funds, Bridger Holdings, Cantor Fitzgerald, NBT Capital Management, RXR Realty",,6,,"5,721"
Corporate Round - Chai,https://www.crunchbase.com/funding_round/chai-2310-corporate-round--150308f9,Chai,https://www.crunchbase.com/organization/chai-2310,Corporate Round,8000000,USD,8000000,2023-09-24,,Yes,442000000,USD,442000000,Chai Is The Leading Platform For Chat AI. More human. Less filters.,"Apps, Artificial Intelligence (AI), Generative AI, Mobile Apps","Palo Alto, California, United States, North America",https://chai-research.com,,,8000000,USD,8000000,3,,CoreWeave,CoreWeave,1,,"5,728"
Series A - SatSure,https://www.crunchbase.com/funding_round/satsure-d0b9-series-a--90b4c59d,SatSure,https://www.crunchbase.com/organization/satsure-d0b9,Series A,15000000,USD,15000000,2023-08-29,Early Stage Venture,Yes,,,,SatSure is an innovative decision analytics company.,"Analytics, Artificial Intelligence (AI), Machine Learning","Bangalore, Karnataka, India, Asia",https://satsure.co,Early Stage Venture,$10M to $50M,24606790,USD,24606790,7,,"Baring Private Equity Partners India, Force Ventures, IndigoEdge, Luckbox Ventures, Omidyar Network India, Promus Ventures, xto10x Technologies","Baring Private Equity Partners India, Promus Ventures",7,2,"5,743"
Series D - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-d--dcb7e0c1,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series D,100000000,USD,100000000,2023-10-24,Late Stage Venture,Yes,8400000000,USD,8400000000,Pony.ai develops autonomous vehicle technology using artificial intelligence.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Transportation","Fremont, California, United States, North America",https://www.pony.ai,Late Stage Venture,$100M to $500M,1332000000,USD,1332000000,10,,NEOM Investment Fund,NEOM Investment Fund,1,,"5,768"
Venture Round - Replit,https://www.crunchbase.com/funding_round/replit-series-unknown--44c05bf8,Replit,https://www.crunchbase.com/organization/replit,Venture - Series Unknown,20000000,USD,20000000,2023-11-06,,Yes,,,,Replit is a browser-based integrated development environment for cross-platform collaborative coding.,"Artificial Intelligence (AI), Cloud Computing, Developer Tools, Information Technology, Software","San Francisco, California, United States, North America",https://replit.com,,$1M to $10M,222020000,USD,222020000,9,"Middle Eastern / North African Founded, Middle Eastern / North African Led, Women Founded","AIspace Ventures, Craft Ventures",Craft Ventures,2,1,"5,783"
Seed Round - Plenful,https://www.crunchbase.com/funding_round/plenful-seed--b3828bfa,Plenful,https://www.crunchbase.com/organization/plenful,Seed,9000000,USD,9000000,2023-09-28,Seed,Yes,,,,"Plenful is a no-code workflow automation and AI platform that optimizes healthcare's manual, administrative workflows.","Artificial Intelligence (AI), Data Center Automation, Health Care, IT Infrastructure, Machine Learning, Software","San Francisco, California, United States, North America",https://www.plenful.com,Early Stage Venture,$1M to $10M,26000000,USD,26000000,2,Women Founded,"Bessemer Venture Partners, Waterline Ventures",Bessemer Venture Partners,2,1,"5,819"
Series B - Helsing,https://www.crunchbase.com/funding_round/helsing-series-b--cffde201,Helsing,https://www.crunchbase.com/organization/helsing,Series B,209000000,EUR,222272089,2023-09-14,Early Stage Venture,Yes,1500000000,EUR,1595254225,Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,"Artificial Intelligence (AI), Information Technology, Military, Software","Berlin, Berlin, Germany, Europe",https://www.helsing.ai,Early Stage Venture,,311500000,EUR,341115700,2,,"General Catalyst, La Famiglia, Saab",General Catalyst,3,2,"5,831"
Venture Round - Moonshot AI,https://www.crunchbase.com/funding_round/dark-side-of-the-moon-series-unknown--cf324691,Moonshot AI,https://www.crunchbase.com/organization/dark-side-of-the-moon,Venture - Series Unknown,2000000000,CNY,274122807,2023-10-10,,Yes,,,,Moonshot AI seeks solutions in transforming energy into intelligence and generating intelligence with users through its product offerings.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","Haidian, Beijing, China, Asia",https://www.moonshot.ai,Early Stage Venture,,1274122807,USD,1274122807,3,,"Capital Today, Monolith Management, Sequoia Capital China, ZhenFund",,4,,"5,857"
Venture Round - MUHAYU,https://www.crunchbase.com/funding_round/muhayu-8ea4-series-unknown--b67d5bc2,MUHAYU,https://www.crunchbase.com/organization/muhayu-8ea4,Venture - Series Unknown,15000000000,KRW,11125356,2023-11-01,,Yes,,,,MUHAYU is an artificial intelligence technology startup that offers services such as plagiarism detection.,"Artificial Intelligence (AI), Information Technology, Service Industry, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.muhayu.com,,,15000000000,KRW,11125356,1,,"Devsisters Ventures, DSC Investment, Stick Ventures",,3,,"5,862"
Series B - Hong Jing Drive,https://www.crunchbase.com/funding_round/hong-jing-drive-series-b--1e867685,Hong Jing Drive,https://www.crunchbase.com/organization/hong-jing-drive,Series B,100000000,CNY,13755537,2023-09-13,Early Stage Venture,Yes,,,,Hong Jing Drive provides a computing platform for autonomous driving vehicles.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles","Hangzhou, Zhejiang, China, Asia",http://www.hongjingdrive.com/,Early Stage Venture,,50131322,USD,50131322,8,,"Bojiang Capital, China Construction Bank, Classy Solid Asset Management, Dianshi Zichan, GoldStone Investment, Hefei Industry Investment Group, Prosperity7 Ventures, Sinowealth Capital",,8,4,"5,842"
Series A - Dynamo AI,https://www.crunchbase.com/funding_round/dynamofl-series-a--425934a8,Dynamo AI,https://www.crunchbase.com/organization/dynamofl,Series A,15100000,USD,15100000,2023-08-16,Early Stage Venture,Yes,,,,"The enterprise platform for enabling private, secure, and regulation-compliant Gen AI models.","Artificial Intelligence (AI), Generative AI, Machine Learning","San Francisco, California, United States, North America",https://www.dynamo.ai/,Early Stage Venture,$1M to $10M,19250000,USD,19250000,3,,"Canapi Ventures, Charu Jangid, Formus Capital, Nexus Venture Partners, Soma Capital, Tolga, Vojta Jína","Canapi Ventures, Nexus Venture Partners",7,2,"5,973"
Series B - Reetoo Biotech,https://www.crunchbase.com/funding_round/reetoo-biotech-series-b--42c6eabb,Reetoo Biotech,https://www.crunchbase.com/organization/reetoo-biotech,Series B,100000000,CNY,14019347,2023-12-18,Early Stage Venture,Yes,,,,Reetoo Biotech is a biotechnology company that specializes in the integration of artificial intelligence and medical diagnosis.,"Artificial Intelligence (AI), Biotechnology, Medical","Shenzhen, Guangdong, China, Asia",http://www.reetoo.com.cn,Early Stage Venture,,100000000,CNY,14019347,1,,"CAS Investment Management, Shenzhen Investment Holdings",CAS Investment Management,2,2,"6,030"
Venture Round - Miovision,https://www.crunchbase.com/funding_round/miovision-technologies-series-unknown--6f24244e,Miovision,https://www.crunchbase.com/organization/miovision-technologies,Venture - Series Unknown,36000000,CAD,26222821,2023-10-20,,Yes,,,,"Miovision is a traffic optimization company that provides data monitoring, collection, and analysis.","Artificial Intelligence (AI), Software, Transportation","Kitchener, Ontario, Canada, North America",https://miovision.com,,Less than $1M,357984369,USD,357984369,10,,"BDC Venture Capital, Export Development Canada, HarbourVest Partners, Maverix Private Equity, McRock Capital, TELUS Ventures","Maverix Private Equity, TELUS Ventures",6,4,"6,038"
Private Equity Round - AISpeech,https://www.crunchbase.com/funding_round/aispeech-private-equity--8aba8a25,AISpeech,https://www.crunchbase.com/organization/aispeech,Private Equity,200000000,CNY,28178857,2024-01-11,Private Equity,Yes,,,,"AI Speech Ltd is a high-tech start up specialized in computer speech recognition, analysis.","Analytics, Artificial Intelligence (AI), Computer, Enterprise Software","Jiangshan, Zhejiang, China, Asia",http://www.aispeech.com,Private Equity,$50M to $100M,207356568,USD,207356568,8,,,,,,"6,094"
Venture Round - Algo,https://www.crunchbase.com/funding_round/algomus-inc-series-unknown--54e8ffc3,Algo,https://www.crunchbase.com/organization/algomus-inc,Venture - Series Unknown,20000000,USD,20000000,2024-01-16,,Yes,,,,Enterprise AI powered Supply Chain Planning platform delivered by a Virtual Business Analyst named Algo.,"Analytics, Artificial Intelligence (AI), Augmented Reality, Big Data, Business Intelligence, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Supply Chain Management","Troy, Michigan, United States, North America",https://algo.com,,$50M to $100M,35000000,USD,35000000,3,,Vistara Growth,Vistara Growth,1,1,"6,140"
Series C - Disprz,https://www.crunchbase.com/funding_round/learntron-series-c--116e94fb,Disprz,https://www.crunchbase.com/organization/learntron,Series C,30000000,USD,30000000,2023-08-07,Late Stage Venture,Yes,,,,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Analytics, Artificial Intelligence (AI), B2B, Content, Corporate Training, E-Learning, Enterprise Software, Software","Chennai, Tamil Nadu, India, Asia",https://www.disprz.com/,Late Stage Venture,$1M to $10M,52442199,USD,52442199,9,,"360 ONE Asset, Dallas Venture Capital, Kae Capital, KOIS, Lumos Capital Group","360 ONE Asset, Lumos Capital Group",5,1,"6,167"
Series B - Logcomex,https://www.crunchbase.com/funding_round/logcomex-series-b--0cca1c1d,Logcomex,https://www.crunchbase.com/organization/logcomex,Series B,165000000,BRL,33669347,2023-11-21,Early Stage Venture,Yes,,,,Global Trade Intelligence.,"Analytics, Artificial Intelligence (AI), Big Data, Database, Information Technology, Logistics, Machine Learning, Marine Transportation, Ports and Harbors, SaaS","Curitiba, Parana, Brazil, South America",http://logcomex.com/,Early Stage Venture,$50M to $100M,44552641,USD,44552641,5,,"Alexia Ventures, Caravela Capital, Endeavor Catalyst, Igah Ventures, Riverwood Capital",Riverwood Capital,5,1,"6,198"
Venture Round - Genmo,https://www.crunchbase.com/funding_round/genmo-series-unknown--44e31d73,Genmo,https://www.crunchbase.com/organization/genmo,Venture - Series Unknown,30000000,USD,30000000,2024-02-27,,Yes,,,,Genmo is an artificial intelligence creative content generation platform that specializes in developing creative products.,"Artificial Intelligence (AI), Content, Digital Entertainment","San Francisco, California, United States, North America",https://www.genmo.ai/,,,30000000,USD,30000000,1,,New Enterprise Associates,New Enterprise Associates,1,,"6,224"
Series A - Duckbill,https://www.crunchbase.com/funding_round/duckbill-6779-series-a--3815947a,Duckbill,https://www.crunchbase.com/organization/duckbill-6779,Series A,25000000,USD,25000000,2023-09-13,Early Stage Venture,Yes,,,,Duckbill provides personal assistant service.,"Artificial Intelligence (AI), Information Technology","Boston, Massachusetts, United States, North America",https://www.getduckbill.com/,Early Stage Venture,,33000000,USD,33000000,2,Women Founded,"Forerunner Ventures, Future Back Ventures by Bain & Company, G9 Ventures, General Catalyst, Greycroft, Inspired Capital Partners, Offline Ventures, Red Antler",Forerunner Ventures,8,2,"6,267"
Series C - Sortera Technologies,https://www.crunchbase.com/funding_round/sortera-alloys-series-c--177c2a98,Sortera Technologies,https://www.crunchbase.com/organization/sortera-alloys,Series C,30500000,USD,30500000,2023-08-30,Late Stage Venture,Yes,,,,"Sortera Alloys manufactures low-cost, high-quality metal alloys for domestic manufacturing using its artificial intelligence technology.","Artificial Intelligence (AI), Information Technology, Manufacturing","Fort Wayne, Indiana, United States, North America",https://sorteraalloys.com/,Late Stage Venture,$10M to $50M,52500000,USD,52500000,4,,"Assembly Ventures, Breakthrough Energy Ventures, Chrysalix Venture Capital, Macquarie Group, Mineral Resources, RA Capital Management, T. Rowe Price",RA Capital Management,7,3,"6,549"
Seed Round - Arkifi,https://www.crunchbase.com/funding_round/arkifi-seed--a916958b,Arkifi,https://www.crunchbase.com/organization/arkifi,Seed,9000000,USD,9000000,2023-08-21,Seed,Yes,,,,Arkifi is an artificial intelligence company that develops AI-powered financial analyst tools.,"Artificial Intelligence (AI), Finance, Financial Services","Palo Alto, California, United States, North America",https://www.arkifi.ai,Seed,$1M to $10M,9000000,USD,9000000,1,,"Aaron Applbaum, Chris Adelsbach, Correlation Ventures, G&H Partners, Khosla Ventures, MVP Ventures, Nyca Partners, Soma Capital, Valiant Capital Partners, Veredas Partners","Khosla Ventures, Nyca Partners",10,2,"6,741"
Series D - Lendbuzz,https://www.crunchbase.com/funding_round/lendbuzz-series-d--bedcc221,Lendbuzz,https://www.crunchbase.com/organization/lendbuzz,Series D,45000000,USD,45000000,2023-10-04,Late Stage Venture,Yes,1055000000,USD,1055000000,Lendbuzz is a car financing platform that helps consumers with thin U.S. credit history obtain financing for their car purchase.,"Artificial Intelligence (AI), Financial Services, FinTech, Lending","Boston, Massachusetts, United States, North America",https://lendbuzz.com,Late Stage Venture,$1M to $10M,1422913848,USD,1422913848,17,,"83North, Group1001, MUFG Innovation Partners, O.G. Venture Partners",Group1001,4,1,"6,699"
Corporate Round - TIFIN,https://www.crunchbase.com/funding_round/the-tifin-group-corporate-round--49bd5954,TIFIN,https://www.crunchbase.com/organization/the-tifin-group,Corporate Round,10000000,USD,10000000,2024-02-21,,Yes,,,,TIFIN is a financial platform that utilizes AI to provide personalized experience.,"Artificial Intelligence (AI), Financial Services, FinTech","Boulder, Colorado, United States, North America",https://tifin.com,,,223325000,USD,223325000,7,,"SEI, SEI | SEI Ventures (NASDAQ: SEIC)","SEI, SEI | SEI Ventures (NASDAQ: SEIC)",2,1,"6,801"
Seed Round - Moonhub,https://www.crunchbase.com/funding_round/moonhub-2c52-seed--1e549ca3,Moonhub,https://www.crunchbase.com/organization/moonhub-2c52,Seed,10000000,USD,10000000,2023-08-30,Seed,Yes,,,,Moonhub is building the world's first AI recruiter.,"Artificial Intelligence (AI), Human Resources, Recruiting, Software","Menlo Park, California, United States, North America",https://www.moonhub.ai,Seed,,14400000,USD,14400000,2,Women Founded,"Day One Ventures, Google Ventures, Khosla Ventures, Mike Volpi, Susan Wojcicki, Time Ventures","Google Ventures, Khosla Ventures",6,,"6,811"
Series D - Cortica,https://www.crunchbase.com/funding_round/cortica-series-d--006012c7,Cortica,https://www.crunchbase.com/organization/cortica,Series D,40000000,USD,40000000,2023-10-03,Late Stage Venture,Yes,,,,Cortica is a technology company developing AI capable of learning and reacting on its own.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Machine Learning, Security","Tel Aviv, Tel Aviv, Israel, Asia",http://www.cortica.com,Late Stage Venture,$50M to $100M,109400000,USD,109400000,7,,"Ascension Investment Management, CVS Health Ventures, LRVHealth, University of Wisconsin Foundation","CVS Health Ventures, LRVHealth",4,1,"6,815"
Series B - Inworld AI,https://www.crunchbase.com/funding_round/inworld-ai-series-b--d8fb53be,Inworld AI,https://www.crunchbase.com/organization/inworld-ai,Series B,56000000,USD,56000000,2023-08-02,Early Stage Venture,Yes,450000000,USD,450000000,Inworld AI is a character engine for creating AI NPCs in games and interactive experiences.,"Artificial Intelligence (AI), Gaming, Generative AI, Machine Learning, Virtual Reality","Mountain View, California, United States, North America",https://inworld.ai,Early Stage Venture,$1M to $10M,125700000,USD,125700000,6,,"Dentsu Ventures, First Spark Ventures, LG Technology Ventures, Lightspeed Venture Partners, M12 - Microsoft's Venture Fund, Samsung NEXT, Stanford University, XRM Media",Lightspeed Venture Partners,8,3,"6,834"
Seed Round - Elicit,https://www.crunchbase.com/funding_round/elicit-52a6-seed--6f44f844,Elicit,https://www.crunchbase.com/organization/elicit-52a6,Seed,9000000,USD,9000000,2023-09-25,Seed,Yes,,,,Elicit uses language models to help users automate research workflows.,"Artificial Intelligence (AI), Data Center Automation, Database, Information Technology","Oakland, California, United States, North America",https://elicit.com,Seed,,9000000,USD,9000000,1,Women Founded,"Arash Ferdowsi, Basis Set Ventures, Fifty Years, Illusian Family Office, Jeff Dean, Julian Capital, Mythos Ventures, Thomas Ebeling, Tom Preston-Werner",Fifty Years,9,,"6,970"
Series C - Health Data Analytics Institute,https://www.crunchbase.com/funding_round/health-data-analytics-institute-series-c--9caae527,Health Data Analytics Institute,https://www.crunchbase.com/organization/health-data-analytics-institute,Series C,31000000,USD,31000000,2023-10-02,Late Stage Venture,Yes,,,,HDAI is an health care analytics company with a platform that creates a shared understanding of health risks and personalized care profiles.,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Information Technology, Software","Dedham, Massachusetts, United States, North America",https://www.hda-institute.com/,Late Stage Venture,$1M to $10M,47000000,USD,47000000,2,,Invus,Invus,1,1,"7,005"
Series B - Saige Research,https://www.crunchbase.com/funding_round/saige-research-series-b--6b42162c,Saige Research,https://www.crunchbase.com/organization/saige-research,Series B,15500000000,KRW,11552153,2023-09-21,Early Stage Venture,Yes,,,,Saige Research specializes in artificial intelligence solutions for industrial inspection and quality control.,"Artificial Intelligence (AI), Information Technology, Machine Learning","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://saige.ai,Early Stage Venture,$1M to $10M,19800000000,KRW,15221707,3,,"Legend Capital, SV Investment Corp, TAEKWANG, WONIK Investment Partners",Legend Capital,4,,"7,111"
Series A - Rohirrim,https://www.crunchbase.com/funding_round/rohirrim-series-a--94342da0,Rohirrim,https://www.crunchbase.com/organization/rohirrim,Series A,15000000,USD,15000000,2023-12-04,Early Stage Venture,Yes,,,,Generative AI Purpose-Built for the Enterprise,"Apps, Artificial Intelligence (AI), Generative AI, SaaS","Washington, District of Columbia, United States, North America",https://rohirrim.ai,Early Stage Venture,$1M to $10M,17650000,USD,17650000,2,Women Founded,"GPVC, Insight Partners",Insight Partners,2,1,"7,129"
Venture Round - Inflection AI,https://www.crunchbase.com/funding_round/inflection-ai-series-unknown--e3f73e8a,Inflection AI,https://www.crunchbase.com/organization/inflection-ai,Venture - Series Unknown,1300000000,USD,1300000000,2023-06-29,,Yes,2700000000,USD,2700000000,Inflection AI is an artificial intelligence startup that develops personal AI chatbots.,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, Machine Learning","Palo Alto, California, United States, North America",https://inflection.ai,,$1M to $10M,1525000000,USD,1525000000,2,,"Bill Gates, CoreWeave, Eric Schmidt, Microsoft, NVIDIA, Reid Hoffman","Bill Gates, Eric Schmidt, Microsoft, NVIDIA, Reid Hoffman",6,3,"7,181"
Venture Round - NEURA Robotics,https://www.crunchbase.com/funding_round/neura-robotics-series-unknown--98db7095,NEURA Robotics,https://www.crunchbase.com/organization/neura-robotics,Venture - Series Unknown,15100000,EUR,16011027,2023-10-10,,Yes,97000000,USD,97000000,Neura Robotics develops robotic assistants used in both industrial and daily settings to enhance robots' cognitive abilities.,"Artificial Intelligence (AI), Industrial Automation, Robotics","Metzingen, Baden-Wurttemberg, Germany, Europe",https://neura-robotics.com/,,$10M to $50M,164572856,USD,164572856,4,,InterAlpen Partners,InterAlpen Partners,1,1,"7,258"
Series C - CLARA Analytics,https://www.crunchbase.com/funding_round/clara-analytics-series-c--af784994,CLARA Analytics,https://www.crunchbase.com/organization/clara-analytics,Series C,24000000,USD,24000000,2023-09-07,Late Stage Venture,Yes,,,,CLARA Analytics utilizes AI and data analytics to help insurance companies process and analyze large amounts of data related to claims.,"Analytics, Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Machine Learning, Software","Santa Clara, California, United States, North America",https://www.claraanalytics.com,,$1M to $10M,60500000,USD,60500000,5,Women Led,"Aspen Capital Group, Oak HC/FT, QBE Ventures, Spring Lake Equity Partners",Spring Lake Equity Partners,4,2,"7,286"
Series B - MobilTech,https://www.crunchbase.com/funding_round/mobiltech-series-b--fb7f07e1,MobilTech,https://www.crunchbase.com/organization/mobiltech,Series B,13000000000,KRW,9709688,2023-10-11,Early Stage Venture,Yes,,,,"MobilTech is an AI-based 3D GIS startup company that supplies 3D spatial information, hardware, and software solutions for smart cities.","3D Technology, Artificial Intelligence (AI), Information Technology","Seocho, Seoul-t'ukpyolsi, South Korea, Asia",https://www.mobiltech.io,Early Stage Venture,,17000000000,KRW,13366764,4,,"Genie Asset Management, Hyundai Motor Group, KOREA INVESTMENT & SECURITIES, Samsung Venture Investment, SJ Investment Partners, We Ventures, Woori Bank",KOREA INVESTMENT & SECURITIES,7,,"7,314"
Seed Round - Unblocked,https://www.crunchbase.com/funding_round/unblocked-528c-seed--9db5a68e,Unblocked,https://www.crunchbase.com/organization/unblocked-528c,Seed,11300000,CAD,8242267,2023-10-03,Seed,Yes,,,,Unblocked provides developers helpful answers to their questions about the codebase.,"Artificial Intelligence (AI), Internet, Software","Vancouver, British Columbia, Canada, North America",https://www.getunblocked.com,Seed,,11300000,CAD,8242267,1,,"Amplify Partners, Eric Futoran, First Round Capital, John Lilly, Mike Vernal, Stewart Butterfield, XYZ Venture Capital",Amplify Partners,7,,"7,335"
Series A - BIOS,https://www.crunchbase.com/funding_round/bios-health-series-a--91648741,BIOS,https://www.crunchbase.com/organization/bios-health,Series A,20000000,USD,20000000,2023-06-22,Early Stage Venture,Yes,,,,BIOS Health uses data-driven insights from the nervous system to build neural digital therapies - the next big trend in precision medicines.,"Artificial Intelligence (AI), Bioinformatics, Health Care, Human Computer Interaction, Machine Learning, Medical, Medical Device","Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.bios.health/,Early Stage Venture,Less than $1M,46796540,USD,46796540,10,,"Fifty Years, Real Ventures, Selvedge Venture, XTX Ventures, Y Combinator","Selvedge Venture, XTX Ventures",5,2,"7,362"
Series A - Electric Era Technologies,https://www.crunchbase.com/funding_round/electric-era-series-a--e0e0eb24,Electric Era Technologies,https://www.crunchbase.com/organization/electric-era,Series A,11500000,USD,11500000,2023-07-18,Early Stage Venture,Yes,,,,Electric Era Technologies develops AI-controlled battery storage for the cost-effective operation of charging stations.,"Artificial Intelligence (AI), Battery, Charging Infrastructure, Electric Vehicle, Energy Storage","Seattle, Washington, United States, North America",http://www.electriceratechnologies.com,Early Stage Venture,$1M to $10M,19750000,USD,19750000,6,,"Blackhorn Ventures, Chevron Technology Ventures, HSBC Asset Management, Proeza Ventures, SQM Lithium Ventures",HSBC Asset Management,5,2,"7,370"
Post-IPO Equity - Rekor Systems,https://www.crunchbase.com/funding_round/rekor-systems-inc-post-ipo-equity--328ab123,Rekor Systems,https://www.crunchbase.com/organization/rekor-systems-inc,Post-IPO Equity,22900000,USD,22900000,2024-02-07,,Yes,,,,Rekor is a real-time roadway intelligence system for vehicles.,"Artificial Intelligence (AI), Public Safety","Columbia, Maryland, United States, North America",https://www.rekor.ai/,IPO,$10M to $50M,22900000,USD,22900000,1,,,,,,"7,378"
Series C - Helm.ai,https://www.crunchbase.com/funding_round/helm-ai-series-c--bf928984,Helm.ai,https://www.crunchbase.com/organization/helm-ai,Series C,55000000,USD,55000000,2023-08-16,Late Stage Venture,Yes,,,,"Helm.ai develops AI software for driver assistance systems, autonomous driving, and robotics.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning, Software","Menlo Park, California, United States, North America",http://www.helm.ai,Late Stage Venture,,155000000,USD,155000000,8,,"ACVC Partners, Amplo, Freeman Group, Goodyear Ventures, Honda Motor, Sungwoo Hitech",Freeman Group,6,2,"7,466"
