Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Ligence,https://www.crunchbase.com/funding_round/ligence-grant--7185b7a8,Ligence,https://www.crunchbase.com/organization/ligence,Grant,5000,EUR,5403,2024-02-29,,,,,No,Deep Tech Company developing AI solutions in Healthcare. Main product - CardioEchoAI is a heart ultrasound image analysis tool.,"Analytics, Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software",,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",https://www.ligence.io/,$1M to $10M,3520508,EUR,4022384,,10,Lithuanian-American Innovation Award,Lithuanian-American Innovation Award,1,,"23,921"
Grant - FemTherapeutics Inc.,https://www.crunchbase.com/funding_round/femtherapeutics-inc-grant--fb330922,FemTherapeutics Inc.,https://www.crunchbase.com/organization/femtherapeutics-inc,Grant,10000,CAD,7393,2024-03-08,,,,,No,Leveraging artificial intelligence and 3D printing to provide personalized intra-vaginal prosthetics for common pelvic health conditions.,"3D Printing, Artificial Intelligence (AI), Health Care, Medical Device, Personal Health, Women's",,"Montréal, Quebec, Canada, North America",https://www.femtherapeutics.com,$1M to $10M,3255000,CAD,2404099,Seed,7,Visa,Visa,1,,"30,200"
Grant - Legit Health,https://www.crunchbase.com/funding_round/legit-skin-grant--99f5060c,Legit Health,https://www.crunchbase.com/organization/legit-skin,Grant,6000,EUR,6480,2024-03-29,,,,,No,"The leading Artificial Intelligence Computer Vision software for early detection, severity measure and monitoring of skin diseases.","Artificial Intelligence (AI), Beauty, Computer Vision, Health Care",,"Bilbao, Pais Vasco, Spain, Europe",https://legit.health/,$1M to $10M,6000,EUR,6480,,2,The EmprendeXXI Awards,The EmprendeXXI Awards,1,,"37,401"
Angel Round - Elm AI (Formerly Esger),https://www.crunchbase.com/funding_round/esger-angel--e63b6350,Elm AI (Formerly Esger),https://www.crunchbase.com/organization/esger,Angel,7500,USD,7500,2024-05-08,Seed,,,,Yes,Elm AI's patent-pending software helps companies assess the environmental and social impact of their supply chains,"Artificial Intelligence (AI), Data Integration, Supply Chain Management",,"New York, New York, United States, North America",https://elm-ai.com/,,332500,USD,332500,,5,,James McMichael,1,,"38,338"
Seed Round - DynaTechAnalytics,https://www.crunchbase.com/funding_round/dynatech-a2af-seed--1f6dd2f2,DynaTechAnalytics,https://www.crunchbase.com/organization/dynatech-a2af,Seed,4000,USD,4000,2023-07-08,Seed,,,,Yes,Our AI-driven applications provide doctors and patients with critical insights which lead to better patient outcomes.,"Cloud Infrastructure, Consulting, Enterprise Software, Generative AI, Health Care, Medical, Mobile Apps, Software, Web Development",,"London, England, United Kingdom, Europe",https://www.dynatechanalytics.com/,$1M to $10M,56500,USD,56500,Seed,2,,Imperial Enterprise Lab,1,,"38,881"
Grant - Enloq,https://www.crunchbase.com/funding_round/enloq-grant--7924434a,Enloq,https://www.crunchbase.com/organization/enloq,Grant,5000,USD,5000,2024-05-21,,,,,No,Our mission is reduce shrinkage for retailers using AI,"Artificial Intelligence (AI), Computer Vision, Retail Technology",,,https://www.enloq.co/,,5000,USD,5000,,1,CREATE-X,CREATE-X,1,,"44,675"
Grant - Kinemo,https://www.crunchbase.com/funding_round/kinemo-d1c6-grant--6b6a31a2,Kinemo,https://www.crunchbase.com/organization/kinemo-d1c6,Grant,5000,USD,5000,2024-06-04,,,,,No,Wearable body motion tracking,"Assistive Technology, Human Computer Interaction, Machine Learning, Medical Device, Motion Capture, Sensor, Wearables",,"Atlanta, Georgia, United States, North America",https://kinemo.io/,,105000,USD,105000,,2,,CREATE-X,1,,"46,088"
Pre Seed Round - Netagrow Technologies,https://www.crunchbase.com/funding_round/netagrow-technologies-pre-seed--513bd93d,Netagrow Technologies,https://www.crunchbase.com/organization/netagrow-technologies,Pre-Seed,5000,USD,5000,2023-09-01,Seed,,,,Yes,Netagrow is an agricultural technology (AgTech) company on a mission to empower farmers with AI-powered tools for smarter farm management.,"Aerospace, AgTech, Artificial Intelligence (AI), Internet of Things, Remote Sensing, Software",,"Lusaka, NA - Zambia, Zambia, Africa",https://www.netagrow.com,Less than $1M,12000,USD,12000,Seed,2,,Halcyon Incubator,1,,"49,045"
Pre Seed Round - Kursaha,https://www.crunchbase.com/funding_round/kursaha-pre-seed--6a1a49ea,Kursaha,https://www.crunchbase.com/organization/kursaha,Pre-Seed,490000,INR,5887,2023-12-31,Seed,,,,Yes,"Kursaha develops AI-powered solutions that enable personalized marketing campaigns, dynamic user journeys, and actionable analytics.","Generative AI, Machine Learning, Marketing Automation",,"Bangalore, Karnataka, India, Asia",https://kursaha.com,,490000,INR,5887,Seed,1,,StartInUp Gov. Of Uttar Pradesh,1,,"51,831"
Grant - Flowjin,https://www.crunchbase.com/funding_round/flowjin-grant--25db04f5,Flowjin,https://www.crunchbase.com/organization/flowjin,Grant,10000,CAD,7419,2023-09-20,,,,,No,"Flowjin is an AI platform that creates short clips from podcasts, Zoom meetings, or YouTube videos for easy sharing on social media.","Artificial Intelligence (AI), Content",,,https://www.flowjin.com,$1M to $10M,85000,CAD,62026,,2,,DMZ,1,,"52,638"
