Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Crowdz Korea,https://www.crunchbase.com/funding_round/crowdz-korea-grant--f1c7591f,Crowdz Korea,https://www.crunchbase.com/organization/crowdz-korea,Grant,16000000,KRW,14289,2017-07-31,,,,,No,Crowdz operation for Korea and Asia operations,,"B2B, Cryptocurrency, Ethereum, Predictive Analytics, Supply Chain Management","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",,$1M to $10M,48000000,KRW,43549,,2,National IT Industry Promotion Agency,"K-Startup Grand Challenge, National IT Industry Promotion Agency",2,,"270,324"
Seed Round - SafeConnect,https://www.crunchbase.com/funding_round/safeconnect-seed--492834a8,SafeConnect,https://www.crunchbase.com/organization/safeconnect,Seed,6800,USD,6800,2017-05-01,Seed,,,,Yes,"SafeConnect helps online travel agencies, airlines, and insurance companies enter the world of virtual interlining.",,"Air Transportation, Big Data, Information Services, Predictive Analytics, Software, Travel Agency","Sofia, Grad Sofiya, Bulgaria, Europe",https://www.safeconnect.pl/,Less than $1M,6800,USD,6800,Seed,1,,StartersHub XO,1,,"271,678"
Grant - Roomor PropTech,https://www.crunchbase.com/funding_round/roomor-proptech-grant--29a07e36,Roomor PropTech,https://www.crunchbase.com/organization/roomor-proptech,Grant,6170,USD,6170,2017-01-30,,,,,No,The Smart Home as a Service Platform. Transform your Landlords service with IoT and Artificial Intelligence.,,"Artificial Intelligence (AI), Electronics, Information Technology, Machine Learning, Software","London, England, United Kingdom, Europe",http://roomorapp.com,,6170,USD,6170,Seed,3,,,,,"415,451"
Grant - Rezi,https://www.crunchbase.com/funding_round/rezi-grant--9fac2647,Rezi,https://www.crunchbase.com/organization/rezi,Grant,14500000,KRW,12767,2017-08-16,,,,,No,Rezi is a software company that develops resume-building applications.,,"Artificial Intelligence (AI), Employment, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://rezi.io,,193000000,KRW,168031,Seed,9,K-Startup Grand Challenge,K-Startup Grand Challenge,1,,"323,658"
Seed Round - Pulse Reader,https://www.crunchbase.com/funding_round/infrareads-seed--bf368f1e,Pulse Reader,https://www.crunchbase.com/organization/infrareads,Seed,1000,USD,1000,2017-11-01,Seed,,,,Yes,Publishing platform for scientific commentary,,"Artificial Intelligence (AI), Internet of Things, Publishing","Berkeley, California, United States, North America",,,1000,USD,1000,Seed,1,,,,,"343,924"
Seed Round - Adapt Ready,https://www.crunchbase.com/funding_round/adapt-ready-seed--b90fe6c2,Adapt Ready,https://www.crunchbase.com/organization/adapt-ready,Seed,15000,EUR,16363,2017-04-26,Seed,,,,Yes,Adapt Ready's risk intelligence platform enables commercial insurers to quickly gain a 360° view of complex risk from external data.,"Women Founded, Women Led","Artificial Intelligence (AI), Commercial Insurance, Enterprise Software, Information Technology, Insurance, InsurTech, Risk Management, SaaS, Software","New York, New York, United States, North America",https://adaptready.com,Less than $1M,15000,EUR,16363,Seed,2,,"Startupbootcamp, Startupbootcamp InsurTech London",2,,"172,710"
Pre Seed Round - GT Digital,https://www.crunchbase.com/funding_round/gtop-group-corp-pre-seed--584f3ac3,GT Digital,https://www.crunchbase.com/organization/gtop-group-corp,Pre-Seed,1000,USD,1000,2017-01-01,Seed,7500000,USD,7500000,Yes,"Next Generation Security Technology, Connecting the Dots and Correlating digtial information for Threat Detection",Women Founded,"National Security, Predictive Analytics, Public Safety, Risk Management, Security","New York, New York, United States, North America",https://www.gtdigitalltd.com,Less than $1M,2000,USD,2000,Seed,3,,,,,"378,409"
Seed Round - TalentAdore,https://www.crunchbase.com/funding_round/talentadore-seed--4e861094,TalentAdore,https://www.crunchbase.com/organization/talentadore,Seed,15000,EUR,16400,2017-05-13,Seed,,,,Yes,Hire the Right Talent with AI-based Recruitment Software. Engage job candidates throughout the entire job application journey.,,"Artificial Intelligence (AI), Big Data, Enterprise Software, Human Resources, Information Technology, Machine Learning, SaaS, Software","Kerava, Southern Finland, Finland, Europe",http://talentadore.com/,,567778,USD,567778,Seed,9,,,,,"205,704"
Seed Round - Phalanx Analysis Group,https://www.crunchbase.com/funding_round/phalanx-analysis-group-seed--2a78f303,Phalanx Analysis Group,https://www.crunchbase.com/organization/phalanx-analysis-group,Seed,10000,USD,10000,2017-02-02,Seed,,,,Yes,Phalanx Analysis Group is a data science consulting company.,Women Led,"Artificial Intelligence (AI), Machine Learning, Software","San Francisco, California, United States, North America",https://www.phalanx-analysis-group.com/,Less than $1M,10000,USD,10000,Seed,1,,,,,"207,193"
Non Equity Assistance - Oli Fitness,https://www.crunchbase.com/funding_round/oli-fitness-non-equity-assistance--0b419518,Oli Fitness,https://www.crunchbase.com/organization/oli-fitness,Non-equity Assistance,2000,USD,2000,2017-05-03,,,,,No,"Oli, your personal gym assistant is an AI that uses 3D cameras to keep users safe and on track to hit workout goals in or out of the gym!",,"Artificial Intelligence (AI), Computer Vision, Fitness, Wellness","Seattle, Washington, United States, North America",http://www.olifitness.com,,21100,USD,21100,Seed,4,,,,,"307,336"
Grant - SNAQ,https://www.crunchbase.com/funding_round/snaq-grant--38672e74,SNAQ,https://www.crunchbase.com/organization/snaq,Grant,10000,CHF,10085,2017-12-12,,,,,No,SNAQ is a machine learning and computer vision startup active in the medical field.,,"Machine Learning, Medical Device, Software","Zürich, Zurich, Switzerland, Europe",https://snaq.io/,,10000,CHF,10085,,1,Venture Kick,Venture Kick,1,,"591,698"
Pre Seed Round - Omen Health,https://www.crunchbase.com/funding_round/omen-health-pre-seed--161f1b34,Omen Health,https://www.crunchbase.com/organization/omen-health,Pre-Seed,10000,USD,10000,2017-08-10,Seed,,,,Yes,Omen Health is a decentralised network of health care for people who have difficulty accessing their medical information.,,"Artificial Intelligence (AI), Health Care, Life Science, Medical","Zapopan, Jalisco, Mexico, North America",http://omenhealth.com,$1M to $10M,30000,USD,30000,Seed,2,,,,,"134,450"
Pre Seed Round - Tedcare,https://www.crunchbase.com/funding_round/tedcare-pre-seed--13f4b78e,Tedcare,https://www.crunchbase.com/organization/tedcare,Pre-Seed,10000,USD,10000,2017-07-01,Seed,,,,Yes,Tedcare is a baby smart monitor that measures blood oxyge and pulse rate.,,"Baby, Consumer Electronics, Hardware, Health Care, Internet of Things, Mobile, Predictive Analytics, Software, Wearables","Mexico City, Distrito Federal, Mexico, North America",http://ted.care/,,115000,USD,115000,Seed,6,,,,,"123,564"
Seed Round - Notam,https://www.crunchbase.com/funding_round/pragmatic-master-seed--22089e6d,Notam,https://www.crunchbase.com/organization/pragmatic-master,Seed,50000,ZAR,3694,2017-01-15,Seed,,,,Yes,Notam provides construction & mining analytics using drone solutions and artificial intelligence.,,"Analytics, Artificial Intelligence (AI), Consulting, Drone Management, Drones, Internet of Things, Robotics, Software","Johannesburg, NA - South Africa, South Africa, Africa",http://notam.co.za,,50000,ZAR,3694,Seed,1,,,,,"650,596"
Grant - StatusToday,https://www.crunchbase.com/funding_round/statustoday-grant--eb579d77,StatusToday,https://www.crunchbase.com/organization/statustoday,Grant,5000,EUR,5297,2017-01-11,,,,,No,StatusToday is an AI that gives people analytics to drive organizational change.,,"Analytics, Artificial Intelligence (AI), Human Resources, Machine Learning, Productivity Tools, Psychology, Training","London, England, United Kingdom, Europe",https://blog.statustoday.com,$1M to $10M,3915297,USD,3915297,M&A,3,NCSC Cyber Accelerator,NCSC Cyber Accelerator,1,,"188,663"
Seed Round - Touchabl Pictures,https://www.crunchbase.com/funding_round/touchabl-pictures-seed--866f9b66,Touchabl Pictures,https://www.crunchbase.com/organization/touchabl-pictures,Seed,176613,NGN,493,2017-11-09,Seed,,,,Yes,'Shazam' for fashion discovery. Making buying & selling of fashion stress-free in Africa; just touch or snap it to buy instantly.,,"Artificial Intelligence (AI), Business Intelligence, Commercial, E-Commerce, Machine Learning, Photo Sharing","Port Harcourt, Rivers, Nigeria, Africa",https://about.touchabl.com/,Less than $1M,21188,USD,21188,Seed,4,,Ibom LLC,1,,"420,495"
Convertible Note - HelixNano,https://www.crunchbase.com/funding_round/helixnano-convertible-note--3ec1e32b,HelixNano,https://www.crunchbase.com/organization/helixnano,Convertible Note,10000,USD,10000,2017-09-04,,,,,No,Helix Nanotechnologies uses artificial intelligence to help cure genetic diseases.,,"Artificial Intelligence (AI), Biotechnology, Genetics, Health Care","Cambridge, Massachusetts, United States, North America",http://helixnano.com/,$1M to $10M,59842000,USD,59842000,Early Stage Venture,28,,Maksim Kolysh,1,,"509,544"
Non Equity Assistance - Corstem,https://www.crunchbase.com/funding_round/corstem-non-equity-assistance--c7be0b4e,Corstem,https://www.crunchbase.com/organization/corstem,Non-equity Assistance,10000,CAD,7312,2017-05-01,,,,,No,Corstem is a machine learning and artificial intelligence software developer specialized in cardiac imaging analysis.,,"Artificial Intelligence (AI), Health Care, Machine Learning, Software","Montréal, Quebec, Canada, North America",https://corstem.ai/,,10000,CAD,7312,M&A,1,Centech,Centech,1,,"633,267"
Grant - XRVision Ltd.,https://www.crunchbase.com/funding_round/xrvision-pte-ltd-grant--1c34152a,XRVision Ltd.,https://www.crunchbase.com/organization/xrvision-pte-ltd,Grant,3000,USD,3000,2017-11-14,,,,,No,AI-based analytics and cyber intelligence,,"Artificial Intelligence (AI), Computer Vision, Cyber Security, Mobile, Software, Wearables","New York, New York, United States, North America",http://www.xrvision.com,Less than $1M,4503000,USD,4503000,,5,,"Mekong Business Initiative, TNF Ventures",2,,"659,132"
Grant - EMAGIN,https://www.crunchbase.com/funding_round/emagin-2-grant--91260756,EMAGIN,https://www.crunchbase.com/organization/emagin-2,Grant,20000,CAD,16436,2017-09-13,,,,,No,EMAGIN provides water and wastewater facilities with an operational intelligence platform that supports real-time decision making.,,"Artificial Intelligence (AI), Big Data, Predictive Analytics, Water","Kitchener, Ontario, Canada, North America",https://www.emagin.ai,$1M to $10M,2985828,USD,2985828,M&A,7,,,,,"398,932"
Seed Round - AIMO,https://www.crunchbase.com/funding_round/aimo-seed--3ab0e0fc,AIMO,https://www.crunchbase.com/organization/aimo,Seed,15000,EUR,16363,2017-04-26,Seed,,,,Yes,AIMO is a fitness application that offers an objective analysis of human movement skills supported by artificial intelligence.,,"Artificial Intelligence (AI), Health Care, InsurTech, Machine Learning","Stuttgart, Baden-Wurttemberg, Germany, Europe",https://aimo-fit.com,$1M to $10M,15000,EUR,16363,Seed,1,,"seed + speed Ventures, Startupbootcamp, Startupbootcamp InsurTech London",3,1,"473,828"
Seed Round - vHealth Lab,https://www.crunchbase.com/funding_round/vhealth-lab-seed--eb664a69,vHealth Lab,https://www.crunchbase.com/organization/vhealth-lab,Seed,15000,EUR,17615,2017-12-17,Seed,,,,Yes,"vHealth Lab is a smart telemedicine platform supporting a multitude of portable, FDA-approved ECG devices.",,"Artificial Intelligence (AI), Health Care, Information Technology, Telehealth","London, England, United Kingdom, Europe",https://www.vhealthlab.london,,15000,EUR,17615,Seed,1,,Startupbootcamp InsurTech London,1,,"537,852"
Debt Financing - Apprente,https://www.crunchbase.com/funding_round/apprente-debt-financing--b86606bb,Apprente,https://www.crunchbase.com/organization/apprente,Debt Financing,1000,USD,1000,2017-09-19,,,,,No,Intelligent voice-based conversational agents for the enterprise,,"Artificial Intelligence (AI), Customer Service, Enterprise, Natural Language Processing, Software","Mountain View, California, United States, North America",http://www.apprente.com,$1M to $10M,4751000,USD,4751000,M&A,3,,"AME Cloud Ventures, Georges Harik, Greylock, Jaan Tallinn, Morado Ventures, Pathbreaker Ventures, StageOne Ventures",7,2,"410,968"
Grant - Oli Fitness,https://www.crunchbase.com/funding_round/oli-fitness-grant--be7d06ca,Oli Fitness,https://www.crunchbase.com/organization/oli-fitness,Grant,2500,USD,2500,2017-03-02,,,,,No,"Oli, your personal gym assistant is an AI that uses 3D cameras to keep users safe and on track to hit workout goals in or out of the gym!",,"Artificial Intelligence (AI), Computer Vision, Fitness, Wellness","Seattle, Washington, United States, North America",http://www.olifitness.com,,21100,USD,21100,Seed,4,,,,,"231,102"
Seed Round - GotBot,https://www.crunchbase.com/funding_round/gotbot-seed--e5d68b99,GotBot,https://www.crunchbase.com/organization/gotbot,Seed,15000,EUR,17632,2017-08-08,Seed,,,,Yes,GotBot is an artificial intelligence chatbot solution.,,"Artificial Intelligence (AI), Business Information Systems, Chatbot, Information Technology, Machine Learning","Johannesburg, NA - South Africa, South Africa, Africa",http://www.gotbot.co.za/,Less than $1M,188606,USD,188606,Seed,2,,Startupbootcamp Cape Town,1,,"369,209"
Grant - Tawseel,https://www.crunchbase.com/funding_round/tawseel-grant--0a88c002,Tawseel,https://www.crunchbase.com/organization/tawseel,Grant,1089,USD,1089,2017-05-01,,,,,No,Tawseel is an on demand platform that provides a shared economy delivery services.,,"Car Sharing, Delivery, Mobile Apps, Predictive Analytics, Taxi Service","Makkah, Makkah, Saudi Arabia, Asia",https://www.tawseel.sa,,401093,USD,401093,Seed,3,,,,,"290,992"
Grant - Caila,https://www.crunchbase.com/funding_round/caila-grant--5b835777,Caila,https://www.crunchbase.com/organization/caila,Grant,10000,USD,10000,2017-02-01,,,,,No,Caila is a career concierge that uses artificial intelligence to upskill working learners.,Women Founded,"Artificial Intelligence (AI), B2B, Human Resources, Machine Learning, Professional Services","Cambridge, Massachusetts, United States, North America",https://www.getcaila.com/,$10M to $50M,70000,USD,70000,,3,,Halcyon Incubator,1,,"514,207"
Pre Seed Round - Spherical Defense,https://www.crunchbase.com/funding_round/spherical-defence-labs-pre-seed--ee87e5a4,Spherical Defense,https://www.crunchbase.com/organization/spherical-defence-labs,Pre-Seed,15000,GBP,18244,2017-03-10,Seed,,,,Yes,Spherical Defense offers API Security powered by Deep Learning,,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Security, Software","San Francisco, California, United States, North America",http://sphericaldefense.com,$10M to $50M,2024984,USD,2024984,Seed,6,,CyLon Ventures,1,,"600,701"
