Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - AuthBase,https://www.crunchbase.com/funding_round/auth-base-pvt-ltd-seed--2cda5646,AuthBase,https://www.crunchbase.com/organization/auth-base-pvt-ltd,Seed,15000,USD,15000,2017-01-31,Seed,,,,Yes,AuthBase is a deep tech cybersecurity startup using AI and ML to identify and mitigate threats and attacks across networks!,,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Software","Hyderabad, Andhra Pradesh, India, Asia",http://www.authbase.net/,Less than $1M,15000,USD,15000,Seed,2,,50K Ventures,1,,"300,328"
Seed Round - Oli Fitness,https://www.crunchbase.com/funding_round/oli-fitness-seed--9405591e,Oli Fitness,https://www.crunchbase.com/organization/oli-fitness,Seed,15000,USD,15000,2017-06-28,Seed,,,,Yes,"Oli, your personal gym assistant is an AI that uses 3D cameras to keep users safe and on track to hit workout goals in or out of the gym!",,"Artificial Intelligence (AI), Computer Vision, Fitness, Wellness","Seattle, Washington, United States, North America",http://www.olifitness.com,,21100,USD,21100,Seed,4,,,,,"118,078"
Grant - Retinai,https://www.crunchbase.com/funding_round/retinai-medical-grant--8807daca,Retinai,https://www.crunchbase.com/organization/retinai-medical,Grant,10000,CHF,9934,2017-02-28,,,,,No,"RetinAI optimises and simplifies clinics, research and pharmaceutical workflows to improve healthcare.",,"Artificial Intelligence (AI), Cloud Computing, Health Care, Health Diagnostics, Information Technology, Machine Learning, Software","Bern, Bern, Switzerland, Europe",http://www.retinai.com,$1M to $10M,8410000,CHF,8992425,Early Stage Venture,7,Venture Kick,Venture Kick,1,,"130,867"
Pre Seed Round - Cogno AI,https://www.crunchbase.com/funding_round/cognoai-pre-seed--d34f1920,Cogno AI,https://www.crunchbase.com/organization/cognoai,Pre-Seed,3500,USD,3500,2017-06-01,Seed,,,,Yes,AI-driven Omnichannel Cloud Communication-as-a-Service,,"Artificial Intelligence (AI), Software","Mumbai, Maharashtra, India, Asia",https://www.getcogno.ai,,3500,USD,3500,M&A,1,,,,,"166,304"
Grant - Part Analytics,https://www.crunchbase.com/funding_round/part-analytics-grant--031ac428,Part Analytics,https://www.crunchbase.com/organization/part-analytics,Grant,10000,USD,10000,2017-06-01,,,,,No,"Part Analytics, AI-powered Supply Management Solution",South Asian Founded,"Analytics, Artificial Intelligence (AI), Enterprise Software, Machine Learning, Procurement, SaaS","Milwaukee, Wisconsin, United States, North America",https://www.partanalytics.com,$1M to $10M,4015000,USD,4015000,,5,,,,,"195,174"
Pre Seed Round - Aerobotics,https://www.crunchbase.com/funding_round/aerobotics-pre-seed--2c8f4508,Aerobotics,https://www.crunchbase.com/organization/aerobotics,Pre-Seed,15000,EUR,16363,2017-04-26,Seed,,,,Yes,"Aerobotics is a data analytics company, providing tree and fruit insights enabled by drone imagery and artificial intelligence.",,"Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Drones, Farming, Machine Learning, Software","Cape Town, NA - South Africa, South Africa, Africa",https://www.aerobotics.com/,$10M to $50M,26828726,USD,26828726,Early Stage Venture,7,,"Startupbootcamp, Startupbootcamp InsurTech London",2,,"275,993"
Pre Seed Round - Alda,https://www.crunchbase.com/funding_round/alda-pre-seed--0af10fe8,Alda,https://www.crunchbase.com/organization/alda,Pre-Seed,10000,EUR,11862,2017-09-01,Seed,,,,Yes,Alda - Your AI-powered financial advisor,,"Artificial Intelligence (AI), Financial Services, FinTech","Barcelona, Catalonia, Spain, Europe",https://alda.bot/,,10000,EUR,11862,Seed,1,,,,,"277,194"
"Seed Round - Seekar Technologies, LLC.",https://www.crunchbase.com/funding_round/xchange-inc-seed--10867d16,"Seekar Technologies, LLC.",https://www.crunchbase.com/organization/xchange-inc,Seed,12000,USD,12000,2017-04-10,Seed,,,,Yes,Artificial Intelligence,,"Artificial Intelligence (AI), Machine Learning",,,$1M to $10M,12000,USD,12000,Seed,1,,,,,"598,273"
Seed Round - TalentAdore,https://www.crunchbase.com/funding_round/talentadore-seed--efd372d0,TalentAdore,https://www.crunchbase.com/organization/talentadore,Seed,15000,EUR,17641,2017-08-19,Seed,,,,Yes,Hire the Right Talent with AI-based Recruitment Software. Engage job candidates throughout the entire job application journey.,,"Artificial Intelligence (AI), Big Data, Enterprise Software, Human Resources, Information Technology, Machine Learning, SaaS, Software","Kerava, Southern Finland, Finland, Europe",http://talentadore.com/,,567778,USD,567778,Seed,9,,,,,"419,656"
Non Equity Assistance - Oli Fitness,https://www.crunchbase.com/funding_round/oli-fitness-non-equity-assistance--8efe33d9,Oli Fitness,https://www.crunchbase.com/organization/oli-fitness,Non-equity Assistance,1600,USD,1600,2017-03-26,,,,,No,"Oli, your personal gym assistant is an AI that uses 3D cameras to keep users safe and on track to hit workout goals in or out of the gym!",,"Artificial Intelligence (AI), Computer Vision, Fitness, Wellness","Seattle, Washington, United States, North America",http://www.olifitness.com,,21100,USD,21100,Seed,4,,,,,"243,739"
