Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Alixir,https://www.crunchbase.com/funding_round/alixir-pre-seed--4bbfb182,Alixir,https://www.crunchbase.com/organization/alixir,Pre-Seed,25000,USD,25000,2018-01-01,Seed,,,,Yes,"Alixir is an engineer deep learning & computer vision technology for healthcare, working on the mammographic detection system of the future.",,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Sydney, New South Wales, Australia, Oceania",https://alixir.ai/,,25000,USD,25000,Seed,2,BlueChilli,BlueChilli,1,,"19,210"
Pre Seed Round - Athena Security,https://www.crunchbase.com/funding_round/athena-security-inc-pre-seed--81b78f4e,Athena Security,https://www.crunchbase.com/organization/athena-security-inc,Pre-Seed,100000,USD,100000,2018-07-30,Seed,,,,Yes,Athena’s mission is to help save lives. Athena created a patented Weapons Detection Software inspired by Homeland Security Best Practices.,"Women Founded, Women Led","Artificial Intelligence (AI), Computer Vision, Cyber Security, Machine Learning, Physical Security","Austin, Texas, United States, North America",http://athena-security.com,$1M to $10M,18600000,USD,18600000,Seed,4,,"NOMO Ventures, XFactor Ventures",2,1,"25,859"
Pre Seed Round - Alpaca,https://www.crunchbase.com/funding_round/alpaca-pre-seed--f13335b2,Alpaca,https://www.crunchbase.com/organization/alpaca,Pre-Seed,100000,USD,100000,2018-12-10,Seed,,,,Yes,Alpaca is a tech start-up that helps both renters and landlords throughout the tedious journey of renting apartments.,,"Artificial Intelligence (AI), Consumer, Facebook, Home Services, Machine Learning, Marketplace, Rental Property","Berlin, Berlin, Germany, Europe",https://rentalpaca.com,$1M to $10M,100000,USD,100000,M&A,2,,"Alumni Ventures, Canaan Partners, Correlation Ventures, Elysium Venture Capital, Lightspeed Venture Partners, NextView Ventures",6,,"38,074"
Pre Seed Round - Persephone Biosciences,https://www.crunchbase.com/funding_round/persephone-biome-pre-seed--457a5604,Persephone Biosciences,https://www.crunchbase.com/organization/persephone-biome,Pre-Seed,120000,USD,120000,2018-01-04,Seed,,,,Yes,Persephone Biosciences uses artificial intelligence to rapidly develop microbial based immunotherapies to enable a lifetime without cancer.,"Women Founded, Women Led","Artificial Intelligence (AI), Biotechnology, Health Care, Medical","San Diego, California, United States, North America",https://www.persephonebiosciences.com,$1M to $10M,15120000,USD,15120000,Seed,3,,"Susa Ventures, Y Combinator",2,1,"42,696"
Convertible Note - Flow.ai,https://www.crunchbase.com/funding_round/flow-ai-2-convertible-note--04de1dbe,Flow.ai,https://www.crunchbase.com/organization/flow-ai-2,Convertible Note,100000,USD,100000,2018-02-02,,,,,No,"Flow.ai is an easy to use complete toolbox to create Chatbots, AI assistants, Customer service or conversational commerce solutions.",,"Artificial Intelligence (AI), Chatbot, Customer Service, Marketing Automation, Social Media, Software, UX Design","Tilburg, Noord-Brabant, The Netherlands, Europe",https://flow.ai,Less than $1M,120000,USD,120000,M&A,2,Techstars Toronto Accelerator,Techstars Toronto Accelerator,1,1,"43,462"
Pre Seed Round - Saipos,https://www.crunchbase.com/funding_round/saipos-pre-seed--6a534c26,Saipos,https://www.crunchbase.com/organization/saipos,Pre-Seed,280000,BRL,86114,2018-02-27,Seed,,,,Yes,Saipos is a POS system that changes the way restaurant owners run their businesses. ,,"Artificial Intelligence (AI), Financial Services, Information Technology, Machine Learning, Point of Sale, Software","São Leopoldo, Rio Grande do Sul, Brazil, South America",https://saipos.com,$1M to $10M,3280000,BRL,662443,Seed,2,VENTIUR,"G2 Capital, VENTIUR",2,,"44,758"
Seed Round - Konzup Hub,https://www.crunchbase.com/funding_round/konzup-seed--0eb73831,Konzup Hub,https://www.crunchbase.com/organization/konzup,Seed,20000,USD,20000,2018-07-01,Seed,,,,Yes,Help travel companies increase their revenue providing them qualified data and trends using AI.,,"Artificial Intelligence (AI), Data Mining, Developer APIs, Machine Learning, Marketing, Marketing Automation, Software, Travel",,https://konzuphub.com/,,95000,USD,95000,Seed,4,SEED,SEED,1,,"48,729"
Convertible Note - QuickSafety,https://www.crunchbase.com/funding_round/quicksafety-convertible-note--1d4398dc,QuickSafety,https://www.crunchbase.com/organization/quicksafety,Convertible Note,125000,AUD,88909,2018-12-19,,,,,No,"QuickSafety is solving compliance, risk, and safety issues in the electrical industry.",,"Asset Management, Commercial Real Estate, Construction, Insurance, Mining, Oil and Gas, Predictive Analytics, Property Management, Real Estate, Retail","Sippy Downs, Queensland, Australia, Oceania",https://www.quicksafety.com.au/,$1M to $10M,1052613,AUD,774825,Seed,8,Jolimont Global Mining Systems,"Artesian VC, Jolimont Global Mining Systems",2,,"63,938"
Pre Seed Round - Sensing Feeling,https://www.crunchbase.com/funding_round/sensing-feeling-pre-seed--4bb7d6ee,Sensing Feeling,https://www.crunchbase.com/organization/sensing-feeling,Pre-Seed,75000,GBP,103870,2018-02-12,Seed,1175000,GBP,1627300,Yes,Advanced human behaviour sensing products for business.,,"Artificial Intelligence (AI), Computer Vision, Internet of Things, Machine Learning, Sensor","London, England, United Kingdom, Europe",https://sensingfeeling.io,Less than $1M,437000,GBP,572637,Seed,3,R/GA IoT Venture Studio UK,"R/GA IoT Venture Studio UK, Wayra UK",2,,"64,571"
Grant - Sentireal,https://www.crunchbase.com/funding_round/sentireal-grant--6abee618,Sentireal,https://www.crunchbase.com/organization/sentireal,Grant,70075,GBP,91644,2018-07-18,,,,,No,"At Sentireal, we create software and media platforms that turn mobile devices and headsets into smart assistants.",,"Artificial Intelligence (AI), Augmented Reality, Corporate Training, Machine Learning, Medical, Software, Virtual Reality","Belfast, Belfast, United Kingdom, Europe",https://www.sentireal.com/,Less than $1M,154165,GBP,200541,,2,"Innovate UK, SBRI Healthcare","Innovate UK, SBRI Healthcare",2,,"65,291"
