Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Mybrana,https://www.crunchbase.com/funding_round/mybrana-seed--c3b09dd7,Mybrana,https://www.crunchbase.com/organization/mybrana,Seed,90000,EUR,94703,2016-12-31,Seed,,,,Yes,"MYBRANA is a technology company that has integrated computer vision functionalities, such as face recognition.","Ad Network, Advertising, Artificial Intelligence (AI), Augmented Reality, Computer Vision, E-Commerce, Mobile Advertising, Video Games",,"Valencia, Comunidad Valenciana, Spain, Europe",http://www.mybrana.com/,Less than $1M,1655000,EUR,1951146,Seed,6,,"BStartup, SOSV",2,,"47,780"
Funding Round - QuickSafety,https://www.crunchbase.com/funding_round/quicksafety-undisclosed--12239abc,QuickSafety,https://www.crunchbase.com/organization/quicksafety,Funding Round,50000,AUD,35971,2016-02-23,,1000000,AUD,719428,Yes,"QuickSafety is solving compliance, risk, and safety issues in the electrical industry.","Asset Management, Commercial Real Estate, Construction, Insurance, Mining, Oil and Gas, Predictive Analytics, Property Management, Real Estate, Retail",,"Sippy Downs, Queensland, Australia, Oceania",https://www.quicksafety.com.au/,$1M to $10M,1052613,AUD,774825,Seed,8,Artesian VC,"Artesian VC, BlueChilli, Chamber of Commerce and Industry Queensland, Kurt Alexander",4,,"66,651"
Pre Seed Round - Maxwell Plus,https://www.crunchbase.com/funding_round/maxwell-mri-pre-seed--a9aca1d8,Maxwell Plus,https://www.crunchbase.com/organization/maxwell-mri,Pre-Seed,60000,USD,60000,2016-09-22,Seed,,,,Yes,Maxwell Plus is an AI platform for data driven clinical diagnostics.,"Artificial Intelligence (AI), Health Care, Medical",,"Brisbane, Queensland, Australia, Oceania",https://www.maxwellplus.com,$1M to $10M,3776776,USD,3776776,Seed,5,Transition Level Investments,"muru-D, RCL Accelerator, Transition Level Investments",3,1,"66,886"
Product Crowdfunding - Vi,https://www.crunchbase.com/funding_round/vi-558e-product-crowdfunding--df936791,Vi,https://www.crunchbase.com/organization/vi-558e,Product Crowdfunding,1000,USD,1000,2016-06-05,,,,,No,Vi is the market-leading Enterprise-AI for digital health and provides AI-as-a-Service for health and wellness enterprises.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Life Science, Pharmaceutical, Software, Web Development, Wellness",,"New York, New York, United States, North America",https://vi.co/,$100M to $500M,38665676,USD,38665676,Early Stage Venture,5,,,,,"67,873"
Seed Round - Synchronized,https://www.crunchbase.com/funding_round/synchronized-seed--ca9b230d,Synchronized,https://www.crunchbase.com/organization/synchronized,Seed,50022,EUR,52211,2016-12-22,Seed,,,,Yes,"Synchronized is an AI-powered in-video intelligence platform automating editorial tasks for broadcasters, OTT, and studios.","Artificial Intelligence (AI), Media and Entertainment",,"Sucy-en-brie, Ile-de-France, France, Europe",http://www.synchronized.tv/,$10M to $50M,3019505,EUR,3362481,,9,,,,,"71,283"
Seed Round - ReDeTec,https://www.crunchbase.com/funding_round/redetec-seed--921a2b2c,ReDeTec,https://www.crunchbase.com/organization/redetec,Seed,75000,USD,75000,2016-07-26,Seed,,,,Yes,"ProtoCycler allows 3D printer users to create filament, or 'ink', for their 3D printer at home or enterprise with the touch of a button.","3D Printing, 3D Technology, Artificial Intelligence (AI), Manufacturing, Recycling, Software",,"Toronto, Ontario, Canada, North America",http://www.redetec.com/,$1M to $10M,75000,USD,75000,Seed,3,,Aurum Holdings,1,,"73,429"
Grant - Vidrovr,https://www.crunchbase.com/funding_round/vidrovr-grant--467c550b,Vidrovr,https://www.crunchbase.com/organization/vidrovr,Grant,25000,USD,25000,2016-01-01,,,,,No,"Vidrovr develops multimodal computer vision and machine learning systems to index, tag, and understand video. ","Machine Learning, Video, Web Design",,"New York, New York, United States, North America",http://vidrovr.com,$1M to $10M,5294910,USD,5294910,Seed,10,,NYC Media Lab,1,,"86,856"
Angel Round - Gideon,https://www.crunchbase.com/funding_round/GideonRobotics-angel--c6817374,Gideon,https://www.crunchbase.com/organization/GideonRobotics,Angel,15000,GBP,20005,2016-09-12,Seed,1500000,GBP,2000472,Yes,Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",,"Zagreb, Grad Zagreb, Croatia, Europe",http://www.gideon.ai,$1M to $10M,42311327,USD,42311327,,11,,,,,"92,740"
Angel Round - Gideon,https://www.crunchbase.com/funding_round/GideonRobotics-angel--ec34153e,Gideon,https://www.crunchbase.com/organization/GideonRobotics,Angel,10000,GBP,14358,2016-01-28,Seed,1500000,GBP,2153699,Yes,Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",,"Zagreb, Grad Zagreb, Croatia, Europe",http://www.gideon.ai,$1M to $10M,42311327,USD,42311327,,11,,,,,"92,981"
Angel Round - Gideon,https://www.crunchbase.com/funding_round/GideonRobotics-angel--fec31e4c,Gideon,https://www.crunchbase.com/organization/GideonRobotics,Angel,75000,GBP,98116,2016-08-30,Seed,1500000,GBP,1962311,Yes,Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",,"Zagreb, Grad Zagreb, Croatia, Europe",http://www.gideon.ai,$1M to $10M,42311327,USD,42311327,,11,,,,,"93,328"
Convertible Note - Gideon,https://www.crunchbase.com/funding_round/GideonRobotics-convertible-note--4c955139,Gideon,https://www.crunchbase.com/organization/GideonRobotics,Convertible Note,20000,USD,20000,2016-03-21,,5254000,USD,5254000,No,Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",,"Zagreb, Grad Zagreb, Croatia, Europe",http://www.gideon.ai,$1M to $10M,42311327,USD,42311327,,11,,,,,"93,212"
Seed Round - Buoy Labs,https://www.crunchbase.com/funding_round/calliope-waterworks-inc-seed--c7ef2b63,Buoy Labs,https://www.crunchbase.com/organization/calliope-waterworks-inc,Seed,60000,USD,60000,2016-03-15,Seed,,,,Yes,"Buoy Labs is a smart home Iot company that developed Buoy, the first complete device for managing household water use","Internet of Things, Predictive Analytics, Water, Water Purification",Women Founded,"Santa Cruz, California, United States, North America",https://www.buoy.ai/,Less than $1M,60000,USD,60000,M&A,4,,Highway1,1,,"102,966"
