"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL21","Analysis of biological materials",0.32,1,20.71,34.97,8,"east"
"NL21","Audio-visual technology",0,0,19.42,72.35,9,"east"
"NL21","Basic communication processes",0.59,11,10.99,82.4,5,"east"
"NL21","Basic materials chemistry",0,0,79.85,12.17,47,"east"
"NL21","Biotechnology",0.12,1,35.84,36.76,10,"east"
"NL21","Chemical engineering",0.96,63,69.24,18.36,51,"east"
"NL21","Civil engineering",0,0,51.09,13.72,63,"east"
"NL21","Computer technology",1.11,740,14.37,88.39,16,"east"
"NL21","Control",1.19,8,29.2,46.7,8,"east"
"NL21","Digital communication",2.09,1,9.13,100,14,"east"
"NL21","Electrical machinery, apparatus, energy",0,0,45.35,30.49,58,"east"
"NL21","Engines, pumps, turbines",0.87,3,55.92,25.2,15,"east"
"NL21","Environmental technology",0.79,181,71.53,24.65,26,"east"
"NL21","Food chemistry",0,0,57.04,20.91,14,"east"
"NL21","Furniture, games",0,0,56.25,18.02,29,"east"
"NL21","Green technologies",0.6,15,43.86,27.17,83,"east"
"NL21","Handling",0,0,52.41,3.8,63,"east"
"NL21","IT methods for management",0,0,19.7,55.98,1,"east"
"NL21","Machine tools",0,0,63.78,1.93,22,"east"
"NL21","Macromolecular chemistry, polymers",0.57,3,79.22,4.28,64,"east"
"NL21","Materials, metallurgy",0.39,10,71.68,19.33,28,"east"
"NL21","Measurement",0.61,13,24.27,54.84,55,"east"
"NL21","Mechanical elements",1.11,13,48.7,14.17,36,"east"
"NL21","Medical technology",0,0,43.09,41.08,39,"east"
"NL21","Micro-structural and nano-technology",1.05,69,41.34,42,5,"east"
"NL21","Optics",1.01,52,32.11,45.39,14,"east"
"NL21","Organic fine chemistry",0,0,54.13,28.13,49,"east"
"NL21","Other consumer goods",0,0,56.46,23.01,32,"east"
"NL21","Pharmaceuticals",0,0,49.63,40.46,24,"east"
"NL21","Semiconductors",0.64,6,42.01,55.41,3,"east"
"NL21","Surface technology, coating",1,13,67.75,3.88,28,"east"
"NL21","Telecommunications",0.86,3,9.19,97.24,9,"east"
"NL21","Textile and paper machines",0,0,74.82,5.66,23,"east"
"NL21","Thermal processes and apparatus",1.11,16,57.16,9.58,51,"east"
"NL21","Transport",1.64,12,39.7,23.23,50,"east"
"NL22","Analysis of biological materials",1.5,18,50.59,34.97,26,"east"
"NL22","Audio-visual technology",2.84,2,25.64,72.35,24,"east"
"NL22","Basic communication processes",1.33,95,16.7,82.4,29,"east"
"NL22","Basic materials chemistry",0,0,76.18,12.17,79,"east"
"NL22","Biotechnology",1.83,59,67.46,36.76,110,"east"
"NL22","Chemical engineering",0.58,146,61.27,18.36,94,"east"
"NL22","Civil engineering",0.13,1,40.92,13.72,101,"east"
"NL22","Computer technology",1.12,2863,17.13,88.39,43,"east"
"NL22","Control",0.39,10,24.22,46.7,18,"east"
"NL22","Digital communication",0.54,1,9.02,100,25,"east"
"NL22","Electrical machinery, apparatus, energy",0,0,33.26,30.49,97,"east"
"NL22","Engines, pumps, turbines",0.45,6,30.77,25.2,22,"east"
"NL22","Environmental technology",1.36,1198,54.2,24.65,54,"east"
"NL22","Food chemistry",0,0,86.43,20.91,144,"east"
"NL22","Furniture, games",0,0,43.32,18.02,50,"east"
"NL22","Green technologies",0.62,60,43.49,27.17,138,"east"
"NL22","Handling",0,0,45.34,3.8,121,"east"
"NL22","IT methods for management",0,0,13.58,55.98,5,"east"
"NL22","Machine tools",0,0,49.27,1.93,39,"east"
"NL22","Macromolecular chemistry, polymers",1.34,27,77.05,4.28,86,"east"
"NL22","Materials, metallurgy",0.11,11,61.5,19.33,41,"east"
"NL22","Measurement",0.77,63,32.42,54.84,88,"east"
"NL22","Mechanical elements",0.84,38,40.37,14.17,65,"east"
"NL22","Medical technology",0,0,43.28,41.08,105,"east"
"NL22","Micro-structural and nano-technology",0.71,180,56.35,42,11,"east"
"NL22","Optics",0.68,135,36.19,45.39,24,"east"
"NL22","Organic fine chemistry",7.18,1,82.99,28.13,88,"east"
"NL22","Other consumer goods",1.85,2,56.01,23.01,33,"east"
"NL22","Pharmaceuticals",0.72,2,77.53,40.46,139,"east"
"NL22","Semiconductors",0.42,15,40.65,55.41,71,"east"
"NL22","Surface technology, coating",0.56,28,54.69,3.88,53,"east"
"NL22","Telecommunications",0.3,4,14.4,97.24,21,"east"
"NL22","Textile and paper machines",0.53,5,60.48,5.66,46,"east"
"NL22","Thermal processes and apparatus",0.47,26,36.94,9.58,66,"east"
"NL22","Transport",0.78,22,28.51,23.23,86,"east"
"east","Analysis of biological materials",1.22235294117647,1,43.5594117647059,34.97,34,"east"
"east","Audio-visual technology",2.06545454545455,0,23.9436363636364,72.35,33,"east"
"east","Basic communication processes",1.22117647058824,11,15.8602941176471,82.4,34,"east"
"east","Basic materials chemistry",0,0,77.5489682539683,12.17,126,"east"
"east","Biotechnology",1.6875,1,64.825,36.76,120,"east"
"east","Chemical engineering",0.713655172413793,63,64.0732413793103,18.36,145,"east"
"east","Civil engineering",0.0800609756097561,0,44.8267682926829,13.72,164,"east"
"east","Computer technology",1.11728813559322,740,16.3815254237288,88.39,59,"east"
"east","Control",0.636153846153846,8,25.7523076923077,46.7,26,"east"
"east","Digital communication",1.09641025641026,1,9.05948717948718,100,39,"east"
"east","Electrical machinery, apparatus, energy",0,0,37.784,30.49,155,"east"
"east","Engines, pumps, turbines",0.62027027027027,3,40.9659459459459,25.2,37,"east"
"east","Environmental technology",1.17475,181,59.83225,24.65,80,"east"
"east","Food chemistry",0,0,83.8258227848101,20.91,158,"east"
"east","Furniture, games",0,0,48.0664556962025,18.02,79,"east"
"east","Green technologies",0.612488687782806,15,43.6289592760181,27.17,221,"east"
"east","Handling",0,0,47.7607065217391,3.8,184,"east"
"east","IT methods for management",0,0,14.6,55.98,6,"east"
"east","Machine tools",0,0,54.5031147540984,1.93,61,"east"
"east","Macromolecular chemistry, polymers",1.01146666666667,3,77.9758666666667,4.28,150,"east"
"east","Materials, metallurgy",0.223623188405797,10,65.6310144927536,19.33,69,"east"
"east","Measurement",0.708461538461538,13,29.2853846153846,54.84,143,"east"
"east","Mechanical elements",0.936237623762376,13,43.3391089108911,14.17,101,"east"
"east","Medical technology",0,0,43.2285416666667,41.08,144,"east"
"east","Micro-structural and nano-technology",0.81625,69,51.659375,42,16,"east"
"east","Optics",0.801578947368421,52,34.6868421052632,45.39,38,"east"
"east","Organic fine chemistry",4.61197080291971,0,72.6678102189781,28.13,137,"east"
"east","Other consumer goods",0.939230769230769,0,56.2315384615385,23.01,65,"east"
"east","Pharmaceuticals",0.61398773006135,0,73.4220245398773,40.46,163,"east"
"east","Semiconductors",0.428918918918919,6,40.7051351351351,55.41,74,"east"
"east","Surface technology, coating",0.712098765432099,13,59.2045679012346,3.88,81,"east"
"east","Telecommunications",0.468,3,12.837,97.24,30,"east"
"east","Textile and paper machines",0.353333333333333,0,65.26,5.66,69,"east"
"east","Thermal processes and apparatus",0.748974358974359,16,45.7538461538462,9.58,117,"east"
"east","Transport",1.09617647058824,12,32.6239705882353,23.23,136,"east"
"east","Analysis of biological materials",1.22235294117647,18,43.5594117647059,34.97,34,"east"
"east","Audio-visual technology",2.06545454545455,2,23.9436363636364,72.35,33,"east"
"east","Basic communication processes",1.22117647058824,95,15.8602941176471,82.4,34,"east"
"east","Biotechnology",1.6875,59,64.825,36.76,120,"east"
"east","Chemical engineering",0.713655172413793,146,64.0732413793103,18.36,145,"east"
"east","Civil engineering",0.0800609756097561,1,44.8267682926829,13.72,164,"east"
"east","Computer technology",1.11728813559322,2863,16.3815254237288,88.39,59,"east"
"east","Control",0.636153846153846,10,25.7523076923077,46.7,26,"east"
"east","Engines, pumps, turbines",0.62027027027027,6,40.9659459459459,25.2,37,"east"
"east","Environmental technology",1.17475,1198,59.83225,24.65,80,"east"
"east","Green technologies",0.612488687782806,60,43.6289592760181,27.17,221,"east"
"east","Macromolecular chemistry, polymers",1.01146666666667,27,77.9758666666667,4.28,150,"east"
"east","Materials, metallurgy",0.223623188405797,11,65.6310144927536,19.33,69,"east"
"east","Measurement",0.708461538461538,63,29.2853846153846,54.84,143,"east"
"east","Mechanical elements",0.936237623762376,38,43.3391089108911,14.17,101,"east"
"east","Micro-structural and nano-technology",0.81625,180,51.659375,42,16,"east"
"east","Optics",0.801578947368421,135,34.6868421052632,45.39,38,"east"
"east","Organic fine chemistry",4.61197080291971,1,72.6678102189781,28.13,137,"east"
"east","Other consumer goods",0.939230769230769,2,56.2315384615385,23.01,65,"east"
"east","Pharmaceuticals",0.61398773006135,2,73.4220245398773,40.46,163,"east"
"east","Semiconductors",0.428918918918919,15,40.7051351351351,55.41,74,"east"
"east","Surface technology, coating",0.712098765432099,28,59.2045679012346,3.88,81,"east"
"east","Telecommunications",0.468,4,12.837,97.24,30,"east"
"east","Textile and paper machines",0.353333333333333,5,65.26,5.66,69,"east"
"east","Thermal processes and apparatus",0.748974358974359,26,45.7538461538462,9.58,117,"east"
"east","Transport",1.09617647058824,22,32.6239705882353,23.23,136,"east"
