"from";"to";"full";"share.from.full";"binary";"share.from.bin";"pc";"thmax";"thmaxpc";"expected";"untapped";"linkrca";"prio";"dutch.reg"
"NL21";"NL21";4;23,529;2;22,222;0,070126;9;0,0266524520255864;0,760127931769723;-1,23987206823028;2,63113604488079;"Circulaire en natuur - inclusieve landbouw";"east"
"NL22";"DE11";2;0,909;1;1,538;0,011353;134;0,0750717102904267;6,61231624238078;5,61231624238078;0,151232936136755;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"NL41";8;3,636;5;7,692;0,056767;231;0,129414664754392;11,3988436715669;6,39884367156687;0,438640983600112;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"NL22";206;93,636;55;84,615;0,624432;65;0,0364153818572965;3,20746683399068;-51,7925331660093;17,1474882973521;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"NL33";1;0,455;1;1,538;0,011353;72,5;0,0406171566869846;3,5775591609896;2,5775591609896;0,279520185411382;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"BE22";1;0,455;1;1,538;0,011353;57,5;0,0322136070276085;2,83737450699175;1,83737450699175;0,352438494649133;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"NL21";1;0,455;1;1,538;0,011353;40;0,0224094657583363;1,97382574399426;0,973825743994263;0,506630336058129;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"NL32";1;0,455;1;1,538;0,011353;40,5;0,0226895840803155;1,99849856579419;0,998498565794191;0,500375640551239;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"NL41";19;37,255;2;13,333;0,022707;206;0,115408748655432;10,1652025815705;8,16520258157045;0,196749645071118;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"NL22";1;1,961;1;6,667;0,011353;40;0,0224094657583363;1,97382574399426;0,973825743994263;0,506630336058129;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"FR71";1;1,961;1;6,667;0,011353;352;0,19720329867336;17,3696665471495;16,3696665471495;0,0575716290975147;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"DEA2";6;11,765;1;6,667;0,011353;56;0,0313732520616709;2,76335604159197;1,76335604159197;0,361878811470092;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"DEA3";2;3,922;1;6,667;0,011353;32;0,0179275726066691;1,57906059519541;0,579060595195411;0,633287920072661;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"NL21";19;37,255;7;46,667;0,079473;15;0,00840354965937612;0,740184653997849;-6,25981534600215;9,45709960641841;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"NL32";2;3,922;1;6,667;0,011353;15,5;0,00868366798135532;0,764857475797777;-0,235142524202223;1,3074331253113;"Nanotechnologie en fotonica - Photonics";"east"
"NL21";"DE94";1;1,961;1;6,667;0,011353;13,5;0,00756319469343851;0,666166188598064;-0,333833811401936;1,50112692165372;"Nanotechnologie en fotonica - Photonics";"east"
"NL22";"BE23";2;10,526;2;11,765;0,109649;28,5;0,181887803944093;3,31763354394026;1,31763354394026;0,602839335180055;"Agro-tech/Smart farming";"east"
"NL22";"NO05";1;5,263;1;5,882;0,054825;22;0,140404620588423;2,56098027953284;1,56098027953284;0,3904754784689;"Agro-tech/Smart farming";"east"
"NL22";"NL33";3;15,789;3;17,647;0,164474;25;0,159550705214117;2,91020486310549;-0,0897951368945051;1,03085526315789;"Agro-tech/Smart farming";"east"
"NL22";"NL41";4;21,053;3;17,647;0,164474;20;0,127640564171294;2,3281638904844;-0,671836109515604;1,28856907894737;"Agro-tech/Smart farming";"east"
"NL22";"NL42";1;5,263;1;5,882;0,054825;11,5;0,0733933243984938;1,33869423702853;0,338694237028528;0,746996567505721;"Agro-tech/Smart farming";"east"
"NL22";"NL32";1;5,263;1;5,882;0,054825;15;0,0957304231284702;1,7461229178633;0,746122917863297;0,572697368421053;"Agro-tech/Smart farming";"east"
"NL22";"NL22";2;10,526;2;11,765;0,109649;17;0,1084944795456;1,97893930691174;-0,0210606930882633;1,01064241486068;"Agro-tech/Smart farming";"east"
"NL22";"NL21";2;10,526;1;5,882;0,054825;11;0,0702023102942115;1,28049013976642;0,280490139766418;0,780950956937799;"Agro-tech/Smart farming";"east"
"NL22";"BE24";1;5,263;1;5,882;0,054825;13;0,0829663667113409;1,51330652881486;0,513306528814857;0,660804655870445;"Agro-tech/Smart farming";"east"
"NL22";"BE10";2;10,526;2;11,765;0,109649;10,5;0,0670112961899292;1,22228604250431;-0,777713957495692;1,63627819548872;"Agro-tech/Smart farming";"east"
"NL21";"NL33";4;44,444;1;20;0,054825;19;0,121258535962729;2,21175569596018;1,21175569596018;0,452129501385042;"Agro-tech/Smart farming";"east"
"NL21";"NL22";2;22,222;1;20;0,054825;11;0,0702023102942115;1,28049013976642;0,280490139766418;0,780950956937799;"Agro-tech/Smart farming";"east"
"NL21";"NL21";1;11,111;1;20;0,054825;5;0,0319101410428234;0,582040972621099;-0,417959027378901;1,71809210526316;"Agro-tech/Smart farming";"east"
"NL21";"NL12";2;22,222;2;40;0,109649;4,5;0,0287191269385411;0,523836875358989;-1,47616312464101;3,81798245614035;"Agro-tech/Smart farming";"east"
"NL22";"NL41";1;4,348;1;12,5;0,020101;392;0,530985438537081;26,4165255672198;25,4165255672198;0,0378550917854579;"MedTech en Connected Health";"east"
"NL22";"DE30";1;4,348;1;12,5;0,020101;54,5;0,073823230612936;3,67270572299357;2,67270572299357;0,272278825319257;"MedTech en Connected Health";"east"
"NL22";"CH03";2;8,696;1;12,5;0,020101;48,5;0,0656959024720623;3,2683711479851;2,2683711479851;0,305962803709268;"MedTech en Connected Health";"east"
"NL22";"NL22";19;82,609;5;62,5;0,100503;8;0,0108364375211649;0,539112766677955;-4,46088723332205;9,27449748743719;"MedTech en Connected Health";"east"
"NL22";"DEA1";16;31,373;5;19,231;0,076313;149,5;0,117597086424026;7,70496110250218;2,70496110250218;0,648932542745252;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
