"domain","from","from_geo","to","to_geo","full","full_frac","binary","binary_frac","parent"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","University of Lisbon (PT) -- 141596103","Lisboa (PT17)",1,0.333333333333333,1,0.333333333333333,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","University of Southern Denmark (DK) -- 177969490","Syddanmark (DK03)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Giessen (DE) -- 200763008","Gießen (DE72)",3,0.0666666666666666,3,0.0666666666666666,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Hohenheim (DE) -- 110079840","Stuttgart (DE11)",3,0.0666666666666666,3,0.0666666666666666,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Zagreb (HR) -- 181343428","Kontinentalna Hrvatska (HR04)",3,1.04444444444444,3,1.04444444444444,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","Università Cattolica del Sacro Cuore (IT) -- 103320735","Lombardia (ITC4)",3,0.0666666666666666,3,0.0666666666666666,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",3,0.0666666666666666,3,0.0666666666666666,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Twente (NL) -- 94624287","Overijssel (NL21)",3,3,3,3,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Oxford (GB) -- 40120149","Berkshire, Buckinghamshire and Oxfordshire (UKJ1)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Salzburg (AT) -- 182212641","Salzburg (AT32)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Sheffield (GB) -- 91136226","South Yorkshire (UKE3)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Surrey (GB) -- 28290843","Surrey, East and West Sussex (UKJ2)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Vaasa (FI) -- 79765343","Länsi-Suomi (FI19)",1,0.333333333333333,1,0.333333333333333,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Warwick (GB) -- 39555362","West Midlands (UKG3)",1,0.0666666666666667,1,0.0666666666666667,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Aberdeen (GB) -- 195460627","Scotland (UKM)",2,0.0444444444444444,2,0.0444444444444444,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Lisbon (PT) -- 141596103","Lisboa (PT17)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Terra (NL) -- 4210103329","Noord-Nederland (NL1)","University of Minho (PT) -- 99682543","Norte (PT11)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)","University of Oulu (FI) -- 98381234","Pohjois- ja Itä-Suomi (FI1D)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Alfa College (NL) -- 4210122392","Noord-Nederland (NL1)","Fryske Akademy (NL) -- 196758499","Noord-Nederland (NL1)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Alfa College (NL) -- 4210122392","Noord-Nederland (NL1)","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Alfa College (NL) -- 4210122392","Noord-Nederland (NL1)","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Carbohydrate Competence Center (NL) -- 4210164816","Noord-Nederland (NL1)","University of Agriculture in Krakow (PL) -- 3019092743","Małopolskie (PL21)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Paques (Netherlands) (NL) -- 4210139193","Noord-Nederland (NL1)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",3,2.04761904761905,3,2.04761904761905,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Expertise Center Vocational Education (NL) -- 4210164981","Noord-Brabant (NL41)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Gemeente Den Haag (NL) -- 4210141390","Zuid-Holland (NL33)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","HAS University of Applied Sciences (NL) -- 4210166725","Noord-Brabant (NL41)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Ministry of Agriculture, Nature and Food Quality (NL) -- 1343858860","Zuid-Holland (NL33)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Netherlands Food and Consumer Product Safety Authority (NL) -- 4210130782","Utrecht (NL31)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Protix (Netherlands) (NL) -- 4210137271","Noord-Brabant (NL41)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Regulus (Czechia) (CZ) -- 4210140593","Praha (CZ01)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","Royal GD (Netherlands) (NL) -- 4210119978","Overijssel (NL21)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Dialyse Centrum Groningen (NL) -- 4210109447","Noord-Nederland (NL1)","University of Groningen (NL) -- 169381384","Noord-Nederland (NL1)",1,0.0128205128205128,1,0.0128205128205128,"Waste Cut"
"Agrofood Waste Cut","Fryske Akademy (NL) -- 196758499","Noord-Nederland (NL1)","Hanze University of Applied Sciences (NL) -- 180755707","Noord-Nederland (NL1)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
