"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"Institut National des Sciences Appliquées Rouen Normandie (FR) -- 88814501";"Normandie (FRD)";"Total (Belgium) (BE) -- 4210122041";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10)";1;0,0476190476190476;1;0,0476190476190476;"Waste Cut"
"Agrofood Waste Cut";"Institut National des Sciences Appliquées Rouen Normandie (FR) -- 88814501";"Normandie (FRD)";"University of Rostock (DE) -- 4665924";"Mecklenburg-Vorpommern (DE80)";1;0,0666666666666667;1;0,0666666666666667;"Waste Cut"
"Agrofood Waste Cut";"Normandie Université (FR) -- 4210105918";"Normandie (FRD)";"University of Lausanne (CH) -- 97565354";"Région lémanique (CH01)";1;0,0476190476190476;1;0,0476190476190476;"Waste Cut"
"Agrofood Waste Cut";"Institut Supérieur de Plasturgie d'Alençon (FR) -- 4210145259";"Normandie (FRD)";"Veolia (Sweden) (SE) -- 4210094984";"Stockholm (SE11)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Catalysis and Spectrochemistry Laboratory (FR) -- 4210110734";"Normandie (FRD)";"Université de Caen Normandie (FR) -- 98702875";"Normandie (FRD)";2;0,333333333333334;2;0,333333333333334;"Waste Cut"
"Agrofood Waste Cut";"NEOMA Business School (FR) -- 1289910757";"Normandie (FRD)";"Newcastle University (GB) -- 84884186";"Northumberland and Tyne and Wear (UKC2)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"NEOMA Business School (FR) -- 1289910757";"Normandie (FRD)";"Queen Mary University of London (GB) -- 166337079";"Inner London (UKI1)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"NEOMA Business School (FR) -- 1289910757";"Normandie (FRD)";"Universitat de València (ES) -- 16097986";"Comunidad Valenciana (ES52)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"NEOMA Business School (FR) -- 1289910757";"Normandie (FRD)";"University of Liverpool (GB) -- 146655781";"Merseyside (UKD7)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Normandie Université (FR) -- 4210105918";"Normandie (FRD)";"Royal Netherlands Institute for Sea Research (NL) -- 4210107283";"Noord-Holland (NL32)";1;0,00526315789473684;1;0,00526315789473684;"Waste Cut"
"Agrofood Waste Cut";"Normandie Université (FR) -- 4210105918";"Normandie (FRD)";"Sorbonne Université (FR) -- 39804081";"Île de France (FR10)";1;0,00526315789473684;1;0,00526315789473684;"Waste Cut"
"Agrofood Waste Cut";"Normandie Université (FR) -- 4210105918";"Normandie (FRD)";"Technische Universität Berlin (DE) -- 4577782";"Berlin (DE30)";1;0,00526315789473684;1;0,00526315789473684;"Waste Cut"
"Agrofood Waste Cut";"Normandie Université (FR) -- 4210105918";"Normandie (FRD)";"Total (Belgium) (BE) -- 4210122041";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10)";1;0,0476190476190476;1;0,0476190476190476;"Waste Cut"
