"domain","from","from_geo","to","to_geo","full","full_frac","binary","binary_frac","parent"
"Agrofood Waste Cut","Valmet (Sweden) (SE) -- 4210112189","Norra Mellansverige (SE31)","Wallenberg Wood Science Center (SE) -- 4210124641","Stockholm (SE11)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
"Agrofood Waste Cut","University of Gävle (SE) -- 4210141702","Norra Mellansverige (SE31)","University of Parma (IT) -- 124601658","Emilia-Romagna (ITH5)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
"Agrofood Waste Cut","University of Gävle (SE) -- 4210141702","Norra Mellansverige (SE31)","University of Szczecin (PL) -- 104588304","Zachodniopomorskie (PL42)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
"Agrofood Waste Cut","University of Gävle (SE) -- 4210141702","Norra Mellansverige (SE31)","University of Turku (FI) -- 155660961","Etelä-Suomi (FI1C)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
"Agrofood Waste Cut","University of Gävle (SE) -- 4210141702","Norra Mellansverige (SE31)","Warsaw University of Technology (PL) -- 108403487","Mazowieckie (PL12)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","KTH Royal Institute of Technology (SE) -- 86987016","Stockholm (SE11)",6,1.66666666666667,6,1.66666666666667,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","KU Leuven (BE) -- 99464096","Prov. Vlaams-Brabant (BE24)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","Linköping University (SE) -- 102134673","Östra Mellansverige (SE12)",2,1.33333333333333,2,1.33333333333333,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","Material (Belgium) (BE) -- 4210114297","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest (BE10)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","Open University of Cyprus (CY) -- 59746437","Kýpros (CY00)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","Stockholm University (SE) -- 161593684","Stockholm (SE11)",3,0.433333333333334,3,0.433333333333334,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","Swedish University of Agricultural Sciences (SE) -- 298625061","Östra Mellansverige (SE12)",4,1,4,1,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","University of Salerno (IT) -- 131729948","Campania (ITF3)",1,0.166666666666667,1,0.166666666666667,"Waste Cut"
"Agrofood Waste Cut","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)","VSB - Technical University of Ostrava (CZ) -- 142208455","Moravskoslezsko (CZ08)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Dalarna University (SE) -- 122274158","Norra Mellansverige (SE31)","University of Trento (IT) -- 193223587","Provincia Autonoma di Trento (ITH2)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Dalarna University (SE) -- 122274158","Norra Mellansverige (SE31)","Jönköping University (SE) -- 94616838","Småland med öarna (SE21)",1,0.333333333333333,1,0.333333333333333,"Waste Cut"
"Agrofood Waste Cut","Dalarna University (SE) -- 122274158","Norra Mellansverige (SE31)","Karlstad University (SE) -- 43968019","Norra Mellansverige (SE31)",1,0.333333333333333,1,0.333333333333333,"Waste Cut"
"Agrofood Waste Cut","Dalarna University (SE) -- 122274158","Norra Mellansverige (SE31)","Luleå University of Technology (SE) -- 190632392","Övre Norrland (SE33)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Dalarna University (SE) -- 122274158","Norra Mellansverige (SE31)","Mid Sweden University (SE) -- 56475706","Mellersta Norrland (SE32)",2,2,2,2,"Waste Cut"
"Agrofood Waste Cut","University of Gävle (SE) -- 4210141702","Norra Mellansverige (SE31)","University of Kassel (DE) -- 106157433","Kassel (DE73)",1,0.0222222222222222,1,0.0222222222222222,"Waste Cut"
