"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Radboud Institute for Molecular Life Sciences (NL) -- 4210109357";"Gelderland (NL22)";2;0,027972027972028;2;0,027972027972028;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"University of Trás-os-Montes and Alto Douro (PT) -- 155381812";"Norte (PT11)";2;0,666666666666666;2;0,666666666666666;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"AlbaNova (SE) -- 4210135511";"Stockholm (SE11)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Nofer Institute of Occupational Medicine (PL) -- 206105734";"Łódzkie (PL11)";1;0,0128205128205128;1;0,0128205128205128;"Waste Cut"
"Agrofood Waste Cut";"Helsinki Institute of Physics (FI) -- 2800229700";"Helsinki-Uusimaa (FI1B)";"Mid Sweden University (SE) -- 56475706";"Mellersta Norrland (SE32)";1;0,0666666666666667;1;0,0666666666666667;"Waste Cut"
"Agrofood Waste Cut";"Helsinki Institute of Physics (FI) -- 2800229700";"Helsinki-Uusimaa (FI1B)";"University of Eastern Finland (FI) -- 175532246";"Pohjois- ja Itä-Suomi (FI1D)";1;0,0666666666666667;1;0,0666666666666667;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Institute of Occupational Medicine (GB) -- 4210129077";"Eastern Scotland (UKM2)";2;0,027972027972028;2;0,027972027972028;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Istituto Superiore di Sanità (IT) -- 27897274";"Lazio (ITI4)";1;0,0128205128205128;1;0,0128205128205128;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"National Research Centre for the Working Environment (DK) -- 4210134815";"Hovedstaden (DK01)";2;0,184848484848485;2;0,184848484848485;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"Biotechnical Educational Centre Ljubljana (SI) -- 4210102749";"Vzhodna Slovenija (SI02)";1;0,0666666666666667;1;0,0666666666666667;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"Bournemouth University (GB) -- 9300472";"Dorset and Somerset (UKK2)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Institut National de Recherche et de Sécurité (FR) -- 85905123";"Lorraine (FR41)";3;0,0461538461538461;3;0,0461538461538461;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"University of Naples Federico II (IT) -- 71267560";"Campania (ITF3)";1;0,0128205128205128;1;0,0128205128205128;"Waste Cut"
"Agrofood Waste Cut";"Finnish Meteorological Institute (FI) -- 1285790362";"Helsinki-Uusimaa (FI1B)";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";2;0,5;2;0,5;"Waste Cut"
"Agrofood Waste Cut";"Finnish Society of Sciences and Letters (FI) -- 4210138756";"Helsinki-Uusimaa (FI1B)";"Norwegian Institute of Bioeconomy Research (NO) -- 4210143403";"Oslo og Akershus (NO01)";1;0,0357142857142857;1;0,0357142857142857;"Waste Cut"
"Agrofood Waste Cut";"Finnish Environment Institute (FI) -- 2800424308";"Helsinki-Uusimaa (FI1B)";"University of Koblenz and Landau (DE) -- 2802076133";"Rheinhessen-Pfalz (DEB3)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"Centre for Sustainable Energy (GB) -- 4210121317";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"European Forest Institute (ES) -- 4210099206";"Cataluña (ES51)";2;0,2;2;0,2;"Waste Cut"
"Agrofood Waste Cut";"Helsinki Art Museum (FI) -- 4210102852";"Helsinki-Uusimaa (FI1B)";"University of Helsinki (FI) -- 133731052";"Helsinki-Uusimaa (FI1B)";3;1,5;3;1,5;"Waste Cut"
"Agrofood Waste Cut";"Helsinki Art Museum (FI) -- 4210102852";"Helsinki-Uusimaa (FI1B)";"University of Natural Resources and Life Sciences, Vienna (AT) -- 92869138";"Wien (AT13)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"Finnish Environment Institute (FI) -- 2800424308";"Helsinki-Uusimaa (FI1B)";"Tampere University of Applied Sciences (FI) -- 150589677";"Länsi-Suomi (FI19)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Finnish Geospatial Research Institute (FI) -- 33876163";"Helsinki-Uusimaa (FI1B)";"University of Jyväskylä (FI) -- 94722563";"Länsi-Suomi (FI19)";1;0,1;1;0,1;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Health & Safety Laboratory (GB) -- 2800214767";"Derbyshire and Nottinghamshire (UKF1)";3;0,0461538461538461;3;0,0461538461538461;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Helmholtz Centre for Environmental Research (DE) -- 137479271";"Leipzig (DED5)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Finnish Environment Institute (FI) -- 2800424308";"Helsinki-Uusimaa (FI1B)";"Lappeenranta-Lahti University of Technology (FI) -- 63548447";"Etelä-Suomi (FI1C)";2;1,33333333333333;2;1,33333333333333;"Waste Cut"
"Agrofood Waste Cut";"Finnish Environment Institute (FI) -- 2800424308";"Helsinki-Uusimaa (FI1B)";"Petroleum Geo-Services (United Kingdom) (GB) -- 110537696";"Surrey, East and West Sussex (UKJ2)";1;0,0357142857142857;1;0,0357142857142857;"Waste Cut"
"Agrofood Waste Cut";"Finnish Institute of Occupational Health (FI) -- 2801770344";"Helsinki-Uusimaa (FI1B)";"Radboud University Medical Center (NL) -- 2802934949";"Gelderland (NL22)";2;0,027972027972028;2;0,027972027972028;"Waste Cut"
"Agrofood Waste Cut";"Finnish Meteorological Institute (FI) -- 1285790362";"Helsinki-Uusimaa (FI1B)";"Metsähallitus (Finland) (FI) -- 4210140866";"Helsinki-Uusimaa (FI1B)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Netherlands Enterprise Agency (NL) -- 4210100305";"Zuid-Holland (NL33)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Netherlands Environmental Assessment Agency (NL) -- 1326018075";"Utrecht (NL31)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Oeschger Centre for Climate Change Research (CH) -- 1299204452";"Espace Mittelland (CH02)";1;0,0151515151515152;1;0,0151515151515152;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Poznań University of Technology (PL) -- 46597724";"Wielkopolskie (PL41)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Research Institute of the Finnish Economy (FI) -- 192156838";"Helsinki-Uusimaa (FI1B)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Silva (FR) -- 4210104468";"Lorraine (FR41)";1;0,0357142857142857;1;0,0357142857142857;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Swansea University (GB) -- 39586589";"West Wales and The Valleys (UKL1)";1;0,0151515151515152;1;0,0151515151515152;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Swedish Forest Agency (SE) -- 4210121164";"Småland med öarna (SE21)";1;0,0357142857142857;1;0,0357142857142857;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Umeå University (SE) -- 90267481";"Övre Norrland (SE33)";2;0,0944444444444445;2;0,0944444444444445;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Universitat de Barcelona (ES) -- 71999127";"Cataluña (ES51)";1;0,0151515151515152;1;0,0151515151515152;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"University of Bath (GB) -- 51601045";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"University of Bordeaux (FR) -- 15057530";"Aquitaine (FR61)";2;0,0321067821067821;2;0,0321067821067821;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"University of Copenhagen (DK) -- 124055696";"Hovedstaden (DK01)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"Finnish Society of Sciences and Letters (FI) -- 4210138756";"Helsinki-Uusimaa (FI1B)";"Swedish University of Agricultural Sciences (SE) -- 298625061";"Östra Mellansverige (SE12)";1;0,0357142857142857;1;0,0357142857142857;"Waste Cut"
"Agrofood Waste Cut";"Finnish Society of Sciences and Letters (FI) -- 4210138756";"Helsinki-Uusimaa (FI1B)";"University of Lapland (FI) -- 95220073";"Pohjois- ja Itä-Suomi (FI1D)";1;0,0357142857142857;1;0,0357142857142857;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"European Forest Institute (FI) -- 182247830";"Pohjois- ja Itä-Suomi (FI1D)";2;0,2;2;0,2;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"Euskadiko Parke Teknologikoa (ES) -- 4210091170";"País Vasco (ES21)";1;0,1;1;0,1;"Waste Cut"
"Agrofood Waste Cut";"Stora Enso (Finland) (FI) -- 4210110674";"Helsinki-Uusimaa (FI1B)";"University of Helsinki (FI) -- 133731052";"Helsinki-Uusimaa (FI1B)";2;0,4;2;0,4;"Waste Cut"
"Agrofood Waste Cut";"University of Helsinki (FI) -- 133731052";"Helsinki-Uusimaa (FI1B)";"University of Iceland (IS) -- 165368041";"Höfuðborgarsvæði (IS001)";4;0,285602632661456;4;0,285602632661456;"Waste Cut"
"Agrofood Waste Cut";"University of Helsinki (FI) -- 133731052";"Helsinki-Uusimaa (FI1B)";"University of Tartu (EE) -- 56085075";"Eesti (EE00)";5;2,03571428571429;5;2,03571428571429;"Waste Cut"
"Agrofood Waste Cut";"University of Helsinki (FI) -- 133731052";"Helsinki-Uusimaa (FI1B)";"VetAgro Sup (FR) -- 4210104684";"Rhône-Alpes (FR71)";2;0,0697435897435897;2;0,0697435897435897;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"Helmholtz-Zentrum Dresden-Rossendorf (DE) -- 2801798921";"Dresden (DED2)";6;1,14761904761905;6;1,14761904761905;"Waste Cut"
"Agrofood Waste Cut";"Aalto University (FI) -- 9927081";"Helsinki-Uusimaa (FI1B)";"Université de Lorraine (FR) -- 90183372";"Lorraine (FR41)";3;1,14761904761905;3;1,14761904761905;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"University of Göttingen (DE) -- 74656192";"Braunschweig (DE91)";5;0,388744588744589;5;0,388744588744589;"Waste Cut"
"Agrofood Waste Cut";"Natural Resources Institute Finland (FI) -- 3017910207";"Helsinki-Uusimaa (FI1B)";"Valio (Finland) (FI) -- 4210098442";"Helsinki-Uusimaa (FI1B)";3;1,43333333333333;3;1,43333333333333;"Waste Cut"
