"domain","from","from_geo","to","to_geo","full","full_frac","binary","binary_frac","parent"
"Agrofood Waste Cut","Paques (Netherlands) (NL) -- 4210139193","Friesland (NL) (NL12)","University of Minho (PT) -- 99682543","Norte (PT11)",1,0.0476190476190476,1,0.0476190476190476,"Waste Cut"
"Agrofood Waste Cut","Paques (Netherlands) (NL) -- 4210139193","Friesland (NL) (NL12)","Universidade de Santiago de Compostela (ES) -- 200284239","Galicia (ES11)",1,0.0476190476190476,1,0.0476190476190476,"Waste Cut"
"Agrofood Waste Cut","Paques (Netherlands) (NL) -- 4210139193","Friesland (NL) (NL12)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",3,2.04761904761905,3,2.04761904761905,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Friesland (NL) (NL12)","Unitelma Sapienza University (IT) -- 4210130905","Lazio (ITI4)",1,0.333333333333333,1,0.333333333333333,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Friesland (NL) (NL12)","University of Ulster (GB) -- 138801177","Northern Ireland (UKN0)",1,1,1,1,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Friesland (NL) (NL12)","University of Twente (NL) -- 94624287","Overijssel (NL21)",2,2,2,2,"Waste Cut"
"Agrofood Waste Cut","Van Hall Larenstein University of Applied Sciences (NL) -- 2800435062","Friesland (NL) (NL12)","Wageningen University & Research (NL) -- 913481162","Gelderland (NL22)",1,0.1,1,0.1,"Waste Cut"
"Agrofood Waste Cut","Stenden University of Applied Sciences (NL) -- 36523846","Friesland (NL) (NL12)","University of Groningen (NL) -- 169381384","Groningen (NL11)",6,6,6,6,"Waste Cut"
"Agrofood Waste Cut","Fryske Akademy (NL) -- 196758499","Friesland (NL) (NL12)","Halmstad University (SE) -- 746986","Västsverige (SE23)",2,0.666666666666666,2,0.666666666666666,"Waste Cut"
"Agrofood Waste Cut","Fryske Akademy (NL) -- 196758499","Friesland (NL) (NL12)","University of Groningen (NL) -- 169381384","Groningen (NL11)",6,3,6,3,"Waste Cut"
