"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"Lithuanian University of Health Sciences (LT) -- 131736796";"Lietuva (LT00)";"Nature Research Centre (LT) -- 4210133736";"Lietuva (LT00)";4;2;4;2;"Waste Cut"
"Agrofood Waste Cut";"Klaipėda University (LT) -- 337868014";"Lietuva (LT00)";"Vilnius University (LT) -- 173212132";"Lietuva (LT00)";2;1,33333333333333;2;1,33333333333333;"Waste Cut"
"Agrofood Waste Cut";"Vilnius Gediminas Technical University (LT) -- 167420956";"Lietuva (LT00)";"Vilnius University (LT) -- 173212132";"Lietuva (LT00)";7;4,16666666666667;7;4,16666666666667;"Waste Cut"
"Agrofood Waste Cut";"Vilnius Gediminas Technical University (LT) -- 167420956";"Lietuva (LT00)";"Vytautas Magnus University (LT) -- 188730046";"Lietuva (LT00)";5;5;5;5;"Waste Cut"
"Agrofood Waste Cut";"Vilnius Gediminas Technical University (LT) -- 167420956";"Lietuva (LT00)";"Wrocław University of Science and Technology (PL) -- 11923345";"Dolnośląskie (PL51)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Agrofood Waste Cut";"Vilnius University (LT) -- 173212132";"Lietuva (LT00)";"Winclove Probiotics (Netherlands) (NL) -- 4210118961";"Noord-Holland (NL32)";1;0,1;1;0,1;"Waste Cut"
"Agrofood Waste Cut";"Šiauliai State College (LT) -- 4210109285";"Lietuva (LT00)";"Vytautas Magnus University (LT) -- 188730046";"Lietuva (LT00)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Lithuanian Research Centre for Agriculture and Forestry (LT) -- 4210154491";"Lietuva (LT00)";"World Food Programme (IT) -- 1295768896";"Lazio (ITI4)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Lithuanian Social Research Centre (LT) -- 4210116853";"Lietuva (LT00)";"University of Warmia and Mazury in Olsztyn (PL) -- 47996466";"Warmińsko-Mazurskie (PL62)";1;0,1;1;0,1;"Waste Cut"
"Agrofood Waste Cut";"Lithuanian University of Health Sciences (LT) -- 131736796";"Lietuva (LT00)";"University of Burgundy (FR) -- 177064439";"Bourgogne (FR26)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
