"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"University of Forestry (BG) -- 170627324";"Bulgaria (BG)";"University of Göttingen (DE) -- 74656192";"Braunschweig (DE91)";1;0,0151515151515152;1;0,0151515151515152;"Waste Cut"
"Agrofood Waste Cut";"Trakia University (BG) -- 173112312";"Bulgaria (BG)";"University of Chemical Technology and Metallurgy (BG) -- 4210148616";"Bulgaria (BG)";1;0,1;1;0,1;"Waste Cut"
"Agrofood Waste Cut";"D. A. Tsenov Academy of Economics (BG) -- 3131097907";"Bulgaria (BG)";"St. Cyril and St. Methodius University of Veliko Tarnovo (BG) -- 196275078";"Bulgaria (BG)";1;1;1;1;"Waste Cut"
"Agrofood Waste Cut";"Bulgarian Academy of Sciences (BG) -- 24768866";"Bulgaria (BG)";"Centre de Recherche en Informatique (FR) -- 4210115519";"Île de France (FR10)";2;0,333333333333334;2;0,333333333333334;"Waste Cut"
"Agrofood Waste Cut";"Bulgarian Academy of Sciences (BG) -- 24768866";"Bulgaria (BG)";"University of Warsaw (PL) -- 4654613";"Mazowieckie (PL12)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"Bulgarian Academy of Sciences (BG) -- 24768866";"Bulgaria (BG)";"Vytautas Magnus University (LT) -- 188730046";"Lietuva (LT00)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"Bulgarian Academy of Sciences (BG) -- 24768866";"Bulgaria (BG)";"University of Salerno (IT) -- 131729948";"Campania (ITF3)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"Bulgarian Academy of Sciences (BG) -- 24768866";"Bulgaria (BG)";"Mendel University in Brno (CZ) -- 56081889";"Jihovýchod (CZ06)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"Bulgarian Academy of Sciences (BG) -- 24768866";"Bulgaria (BG)";"Institute of Polymers (BG) -- 4210088296";"Bulgaria (BG)";5;2,16666666666667;5;2,16666666666667;"Waste Cut"
"Agrofood Waste Cut";"Agricultural University Plovdiv (BG) -- 4210144807";"Bulgaria (BG)";"National Research Institute for Agriculture, Food and Environment (FR) -- 4210088668";"Île de France (FR10)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
