"Province";"Industry";"Relatedness.Density";"Complexity";"Employment..US.";"Wage..US.";"Education..US.";"RCA";"sbi08";"omschr";"Relatedness.Density..5d.";"RCA..5d."
"NL4";" Accommodation ";55,92;27,84;1998716;27,49;12,31;1,16;5590;"Overige logiesverstrekking";48,69;0,74
"NL4";" Accommodation ";55,92;27,84;1998716;27,49;12,31;1,16;55201;"Verhuur van vakantiehuisjes en appartementen";56,16;1,73
"NL4";" Accommodation ";55,92;27,84;1998716;27,49;12,31;1,16;5530;"Kampeerterreinen";54,81;1,67
"NL4";" Accommodation ";55,92;27,84;1998716;27,49;12,31;1,16;55101;"Hotel-restaurants";51,37;0,99
"NL4";" Accommodation ";55,92;27,84;1998716;27,49;12,31;1,16;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";48,04;0,5
"NL4";" Accommodation ";55,92;27,84;1998716;27,49;12,31;1,16;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";47,75;0,91
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66293;"Waarborgfondsen";38,1;0
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66192;"Marketmakers";41,27;0,01
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66292;"Actuariële en pensioenadviesbureaus; beheer en administratie";48,77;1,19
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66299;"Overige dienstverlening op het gebied van verzekeringen";56,08;2,95
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66191;"Administratiekantoren voor aandelen en obligaties";40,21;0,3
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;6611;"Beheer van financiële markten";41,31;0
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66291;"Verzekeringsbeurzen";44,66;0,11
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;66193;"Hypotheek- en kredietbemiddeling, geldwisselkantoren";39,3;0,73
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;6630;"Vermogensbeheer";42,72;0,71
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;6622;"Assurantietussenpersonen";48,01;1,06
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;6621;"Risicoanalisten en schadetaxateurs";43,11;0,65
"NL4";" Activities auxiliary to financial services and insurance activities ";41,55;80,36;3237230;108,05;14,53;1,04;6612;"Commissionairs en makelaars in effecten, beleggingsadviseurs";41,78;0,51
"NL4";" Activities of extraterritorial organisations and bodies ";44;96,47;NA;NA;NA;0,07;9900;"Extraterritoriale organisaties en lichamen";43,81;0,07
"NL4";" Activities of head offices; management consultancy activities ";35,68;97,57;4854721;97,27;14,49;0,74;7021;"Public relationsbureaus";41,38;0,82
"NL4";" Activities of head offices; management consultancy activities ";35,68;97,57;4854721;97,27;14,49;0,74;70222;"Advisering op het gebied van management en bedrijfsvoering";40,27;0,77
"NL4";" Activities of head offices; management consultancy activities ";35,68;97,57;4854721;97,27;14,49;0,74;70221;"Organisatie-adviesbureaus";41,04;0,76
"NL4";" Activities of head offices; management consultancy activities ";35,68;97,57;4854721;97,27;14,49;0,74;70102;"Holdings (geen financiële)";42,11;0,47
"NL4";" Activities of head offices; management consultancy activities ";35,68;97,57;4854721;97,27;14,49;0,74;70101;"Concerndiensten binnen eigen concern";45,97;0,82
"NL4";" Activities of membership organisations ";35,72;98,96;2755525;30,02;14,27;0,51;94911;"Religieuze organisaties";51,98;1,28
"NL4";" Activities of membership organisations ";35,72;98,96;2755525;30,02;14,27;0,51;94991;"Gezelligheidsverenigingen";46,14;0,47
"NL4";" Activities of membership organisations ";35,72;98,96;2755525;30,02;14,27;0,51;94995;"Overkoepelende organen en samenwerkings- en adviesorganen";44,87;0,56
"NL4";" Activities of membership organisations ";35,72;98,96;2755525;30,02;14,27;0,51;9492;"Politieke organisaties";38,84;0,03
"NL4";" Activities of membership organisations ";35,72;98,96;2755525;30,02;14,27;0,51;94919;"Overige levensbeschouwelijke organisaties";39,57;0,23
"NL4";" Activities of membership organisations ";35,72;98,96;2755525;30,02;14,27;0,51;9420;"Werknemersorganisaties";42,64;0,33
