"Province";"Industry";"Relatedness.Density";"Complexity";"Employment..US.";"Wage..US.";"Education..US.";"RCA";"sbi08";"omschr";"Relatedness.Density..5d.";"RCA..5d."
"Limburg";" Accommodation ";42,63;27,84;1998716;27,49;12,31;1,68;55201;"Verhuur van vakantiehuisjes en appartementen";46,01;3,52
"Limburg";" Accommodation ";42,63;27,84;1998716;27,49;12,31;1,68;55101;"Hotel-restaurants";41,74;1,48
"Limburg";" Accommodation ";42,63;27,84;1998716;27,49;12,31;1,68;5530;"Kampeerterreinen";39,66;1,27
"Limburg";" Accommodation ";42,63;27,84;1998716;27,49;12,31;1,68;5590;"Overige logiesverstrekking";35,69;0,5
"Limburg";" Accommodation ";42,63;27,84;1998716;27,49;12,31;1,68;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";35,55;0,31
"Limburg";" Accommodation ";42,63;27,84;1998716;27,49;12,31;1,68;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";38,28;1,27
"Noord-Brabant";" Accommodation ";48,63;27,84;1998716;27,49;12,31;0,72;5590;"Overige logiesverstrekking";41,5;0,43
"Noord-Brabant";" Accommodation ";48,63;27,84;1998716;27,49;12,31;0,72;55201;"Verhuur van vakantiehuisjes en appartementen";46,34;0,83
"Noord-Brabant";" Accommodation ";48,63;27,84;1998716;27,49;12,31;0,72;5530;"Kampeerterreinen";46,11;0,99
"Noord-Brabant";" Accommodation ";48,63;27,84;1998716;27,49;12,31;0,72;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";43,69;0,51
"Noord-Brabant";" Accommodation ";48,63;27,84;1998716;27,49;12,31;0,72;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";39,79;0,63
"Noord-Brabant";" Accommodation ";48,63;27,84;1998716;27,49;12,31;0,72;55101;"Hotel-restaurants";41,84;0,66
"Zeeland";" Accommodation ";49,2;27,84;1998716;27,49;12,31;2,65;55201;"Verhuur van vakantiehuisjes en appartementen";39,07;2,76
"Zeeland";" Accommodation ";49,2;27,84;1998716;27,49;12,31;2,65;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";38,02;1,77
"Zeeland";" Accommodation ";49,2;27,84;1998716;27,49;12,31;2,65;5530;"Kampeerterreinen";45,91;7,58
"Zeeland";" Accommodation ";49,2;27,84;1998716;27,49;12,31;2,65;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";33,01;1,03
"Zeeland";" Accommodation ";49,2;27,84;1998716;27,49;12,31;2,65;55101;"Hotel-restaurants";40,58;1,8
"Zeeland";" Accommodation ";49,2;27,84;1998716;27,49;12,31;2,65;5590;"Overige logiesverstrekking";42,09;3,57
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66299;"Overige dienstverlening op het gebied van verzekeringen";35,74;0,18
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;6611;"Beheer van financiële markten";32,25;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66193;"Hypotheek- en kredietbemiddeling, geldwisselkantoren";29,16;0,55
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;6630;"Vermogensbeheer";31,94;0,51
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;6622;"Assurantietussenpersonen";35,76;1,03
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66292;"Actuariële en pensioenadviesbureaus; beheer en administratie";42,1;2,9
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;6621;"Risicoanalisten en schadetaxateurs";31,13;0,22
