"Province";"Industry";"Relatedness.Density";"Complexity";"Employment..US.";"Wage..US.";"Education..US.";"RCA";"sbi08";"omschr";"Relatedness.Density..5d.";"RCA..5d."
"Limburg";" Accommodation ";41,63;21,55;1998716;27,49;12,31;1,57;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";35,46;0,41
"Limburg";" Accommodation ";41,63;21,55;1998716;27,49;12,31;1,57;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";37,02;1,16
"Limburg";" Accommodation ";41,63;21,55;1998716;27,49;12,31;1,57;55101;"Hotel-restaurants";40,24;1,36
"Limburg";" Accommodation ";41,63;21,55;1998716;27,49;12,31;1,57;55201;"Verhuur van vakantiehuisjes en appartementen";44,9;3,44
"Limburg";" Accommodation ";41,63;21,55;1998716;27,49;12,31;1,57;5590;"Overige logiesverstrekking";39,25;1,29
"Limburg";" Accommodation ";41,63;21,55;1998716;27,49;12,31;1,57;5530;"Kampeerterreinen";39,42;1,14
"Noord-Brabant";" Accommodation ";45,04;21,55;1998716;27,49;12,31;0,74;55101;"Hotel-restaurants";40,72;0,7
"Noord-Brabant";" Accommodation ";45,04;21,55;1998716;27,49;12,31;0,74;5530;"Kampeerterreinen";45,63;1,1
"Noord-Brabant";" Accommodation ";45,04;21,55;1998716;27,49;12,31;0,74;55201;"Verhuur van vakantiehuisjes en appartementen";45,23;0,77
"Noord-Brabant";" Accommodation ";45,04;21,55;1998716;27,49;12,31;0,74;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";38,94;0,66
"Noord-Brabant";" Accommodation ";45,04;21,55;1998716;27,49;12,31;0,74;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";42,91;0,46
"Noord-Brabant";" Accommodation ";45,04;21,55;1998716;27,49;12,31;0,74;5590;"Overige logiesverstrekking";42,71;0,37
"Zeeland";" Accommodation ";45,48;21,55;1998716;27,49;12,31;2,54;5530;"Kampeerterreinen";47,26;7,49
"Zeeland";" Accommodation ";45,48;21,55;1998716;27,49;12,31;2,54;55102;"Hotels (geen hotel-restaurants), pensions en confer.-oorden";37,13;1,54
"Zeeland";" Accommodation ";45,48;21,55;1998716;27,49;12,31;2,54;5590;"Overige logiesverstrekking";47,05;5,08
"Zeeland";" Accommodation ";45,48;21,55;1998716;27,49;12,31;2,54;55202;"Jeugdherbergen, vakantiekampen en groepsaccommodaties";33,81;1,01
"Zeeland";" Accommodation ";45,48;21,55;1998716;27,49;12,31;2,54;55201;"Verhuur van vakantiehuisjes en appartementen";40,88;3,46
"Zeeland";" Accommodation ";45,48;21,55;1998716;27,49;12,31;2,54;55101;"Hotel-restaurants";39,99;1,6
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66193;"Hypotheek- en kredietbemiddeling, geldwisselkantoren";27,23;0,49
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;6612;"Commissionairs en makelaars in effecten, beleggingsadviseurs";31,41;0,28
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;6621;"Risicoanalisten en schadetaxateurs";29,88;0,23
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;6611;"Beheer van financiële markten";31,97;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;6622;"Assurantietussenpersonen";35,49;1
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66293;"Waarborgfondsen";29,89;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66191;"Administratiekantoren voor aandelen en obligaties";31,76;0,25
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;6630;"Vermogensbeheer";33,68;0,59
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66299;"Overige dienstverlening op het gebied van verzekeringen";35,1;0,18
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66192;"Marketmakers";32;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66291;"Verzekeringsbeurzen";33,28;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";29,71;77,03;3237230;108,05;14,53;0,81;66292;"Actuariële en pensioenadviesbureaus; beheer en administratie";44,8;3,98
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";34,8;77,03;3237230;108,05;14,53;1,07;6611;"Beheer van financiële markten";38,15;0,09
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";34,8;77,03;3237230;108,05;14,53;1,07;66291;"Verzekeringsbeurzen";41,02;0,31
