,id,Headquarters Location,likes,downloads,downloads_all_time,country
0,meta-llama,"Menlo Park, California, United States",41087,27676680,144728272,United States
1,stabilityai,"London, England, United Kingdom",46379,10585571,262276405,United Kingdom
2,google,"Mountain View, California, United States",22952,63536751,750142103,United States
3,Qwen,"Hangzhou, Zhejiang, China",15450,56625461,154665059,China
4,microsoft,"Redmond, Washington, United States",25916,66766663,987838371,United States
5,black-forest-labs,"Freiburg Im Breisgau, Baden-Wurttemberg, Germany",10397,3453066,10044886,Germany
6,mistralai,"Paris, Ile-de-France, France",21859,3053109,48696474,France
7,nvidia,"Santa Clara, California, United States",9697,8341988,39109852,United States
10,CohereForAI,"Toronto, Ontario, Canada",5235,127526,1319230,Canada
11,openbmb,"Beijing, Beijing, China",5323,331346,3413050,China
12,NousResearch,"New York, NY, United States",8136,1635780,37778803,United States
13,deepseek-ai,"Hangzhou, Zhejiang, China",5769,490993,5910161,China
14,apple,"Cupertino, California, United States",4591,2453083,8414989,United States
15,ByteDance,"Beijing, Beijing, China",3781,426040,5520059,China
16,THUDM,"Beijing, Beijing, China",12464,1954368,25631537,China
17,BAAI,"Beijing, Beijing, China",6715,21810771,584368766,China
18,QuantFactory,"Rabat, Agdal, Morocco",2960,617244,4447908,Morocco
19,cognitivecomputations,"Charlotte, NC, United States",8303,298314,4766089,United States
21,XLabs-AI,"San Francisco, California, United States",2755,780515,2190188,United States
26,xai-org,"Burlingame, California, United States",2184,3178,54020,United States
27,Shakker-Labs,"United States, United States, United States",2098,1057719,1984237,United States
31,facebook,"Menlo Park, California, United States",19311,80378536,1216434231,United States
34,OpenGVLab,"Beijing, Beijing, China",1912,608213,3854190,China
35,databricks,"San Francisco, California, United States",4352,74895,4809561,United States
37,HuggingFaceTB,"Brooklyn, New York, United States",1636,329181,1137723,United States
38,ai21labs,"Tel Aviv, Tel Aviv, Israel",1631,45932,452512,Israel
40,NexaAIDev,"San Jose, California, United States",1591,20650,80710,United States
41,internlm,"Shanghai, Shanghai, China",2023,501019,5206392,China
48,openai,"San Francisco, California, United States",11215,133833522,1431234758,United States
52,abacusai,"San Francisco, California, United States",1338,68939,597097,United States
54,HuggingFaceM4,"Brooklyn, New York, United States",1694,5411857,13933654,United States
57,gradientai,"Boston, Massachusetts, United States",1229,29300,359143,United States
58,stepfun-ai,"Shanghai, Shanghai, China",1222,719384,1086457,China
59,ibm-granite,"Armonk, New York, United States",1217,865575,3385593,United States
60,01-ai,"Beijing, Beijing, China",4248,289080,3062681,China
61,Salesforce,"San Francisco, California, United States",5785,6297726,74715760,United States
62,TencentARC,"Shenzhen, Guangdong, China",2411,304429,3330191,China
64,nomic-ai,"New York, New York, United States",1855,2375782,28799738,United States
65,myshell-ai,"San Francisco, California, United States",1081,1355425,20223567,United States
67,Kwai-Kolors,"Beijing ,Beijing, China",1046,48392,338389,China
69,genmo,"San Francisco, California, United States",1013,45389,49443,United States
71,fishaudio,"Santa Clara, CA, United States",977,19534,39378,United States
72,arcee-ai,"San Francisco, CA, United States",936,63720,238892,United States
74,Alibaba-NLP,"Hangzhou, Zhejiang Province, China",889,4419926,18392252,China
76,alimama-creative,"Hangzhou, Zhejiang Province, China",884,66623,141781,China
78,NeverSleep,"San Francisco, California, United States",1302,42976,746278,United States
79,mixedbread-ai,"Berlin, Berlin, Germany",873,3659954,33769582,Germany
80,rhymes-ai,"Sunnyvale, CA, United States",865,19634,40917,United States
82,AIDC-AI,"Hangzhou, Zhejiang, China",848,20200,135823,China
83,bigcode,"Santa Clara, CA, United States",5230,461976,8345627,United States
84,parler-tts,"New York, NY, United States",815,98451,639957,United States
85,tencent,"Shenzhen, Guangdong, China",805,367974,570949,China
86,Nexusflow,"Palo Alto, California, United States",1363,25539,363014,United States
88,jasperai,"Montréal, Quebec, Canada",786,27564,114935,Canada
90,metavoiceio,"London, England, United Kingdom",766,1819,20587,United Kingdom
91,Snowflake,"San Mateo, California, United States",760,755473,2567120,United States
92,Comfy-Org,"San Francisco, CA, United States",742,0,0,United States
95,numind,"Cambridge, Massachusetts, United States",852,261547,607200,United States
96,Tencent-Hunyuan,"Shenzhen, Guangdong, China",712,7540,64746,China
98,defog,"San Francisco, California, United States",1357,86709,875400,United States
99,Mozilla,"Mountain View, California, United States",915,91753,1681406,United States
100,CompVis,"Munich, Baveria, Germany",10745,2829466,118942818,Germany
101,tiiuae,"Abu Dhabi, Central Capital District, United Arab Emirates",7969,634064,49623233,United Arab Emirates
102,bigscience,"Paris, Paris, France",7912,16280552,69583948,France
103,sentence-transformers,"Darmstadt, Hessen, Germany",6844,522553896,1921096375,Germany
108,google-bert,"Mountain View, California, United States",4177,94454316,2410113452,United States
109,mosaicml,"San Francisco, California, United States",3952,69718,14666087,United States
114,lmsys,"Berkeley, CA, United States",3446,720451,23453857,United States
115,dreamlike-art,"Covent Garden, London, United Kingdom",3091,142026,4745022,United Kingdom
116,togethercomputer,"Menlo Park, California, United States",2957,94099,2956100,United States
118,pyannote,"Toulouse, Midi-Pyrenees, France",2865,56130815,461479237,France
121,baichuan-inc,"Haidian, Beijing, China",2546,178768,7206737,China
122,OpenAssistant,"Hamburg, Hamburg, Germany",2535,560570,4974378,Germany
126,coqui,"Berlin, Berlin, Germany",2365,1758343,7920591,Germany
127,briaai,"Tel Aviv-yafo, Tel Aviv, Israel",2311,1608408,6872037,Israel
129,Helsinki-NLP,"Helsinki, Helsinki, Finland",2249,8756727,272473442,Finland
130,IDEA-CCNL,"Shenzhen, Guangdong, China",2234,173913,3615909,China
132,codellama,"Menlo Park, California, USA",2134,284740,5278149,United States
135,FacebookAI,"Menlo Park, California, USA",1917,118816377,1468053131,United States
136,upstage,"Yongin, Ch'ungch'ong-namdo, South Korea",1914,194508,1728177,South Korea
139,BlinkDL,"San Francisco,CA, United States",1816,0,0,United States
141,ali-vilab,"Hangzhou, Hangzhou, China",1763,146646,3074124,China
145,PygmalionAI,"Seoul, Seoul-t'ukpyolsi, South Korea",1572,13937,3735170,South Korea
148,Intel,"Santa Clara, California, United States",1519,710527,20099518,United States
149,deepset,"Berlin, Berlin, Germany",1510,2698627,136788841,Germany
154,cardiffnlp,"Cardiff, Wales, United Kingdom",1450,10323939,481260671,United Kingdom
156,Phind,"San Francisco, California, United States",1408,7677,711562,United States
157,cagliostrolab,"Indonesia, Indonesia, Indonesia",1407,421319,2518981,Indonesia
159,suno,"Cambridge, Massachusetts, United States",1342,61791,2122948,United States
160,laion,"Hamburg, Hamburg, Germany",1329,8317601,179982959,Germany
163,playgroundai,"San Francisco, California, United States",1304,209194,2302617,United States
164,speechbrain,"Montreal, Quebec, Canada",1298,1142436,16105406,Canada
167,google-t5,"Mountain View, California, United States",1270,10725316,259165754,United States
168,cerebras,"Sunnyvale, California, United States",1265,15497,2524973,United States
172,impira,"San Francisco, California, United States",1188,46786,2561116,United States
173,Deci,"Ramat Gan, Tel Aviv, Israel",1183,65728,1063166,Israel
176,moka-ai,"Beijing, Beijing, China",1150,282219,1290739,China
177,segmind,"Bengaluru, Karnataka, India",1147,40042,3109919,India
185,adept,"San Francisco, California, United States",1061,12233,335528,United States
186,sambanovasystems,"Palo Alto, California, United States",1046,20901,141160,United States
189,replit,"San Francisco, California, United States",1011,55304,262410,United States
195,amazon,"Seattle, Washington, United States",977,8327873,121789459,United States
198,h2oai,"Mountain View, California, United States",926,329688,5351323,United States
200,lambdalabs,"San Francisco, California, United States",909,41613,2217461,United States
214,llmware,"Riverside, CT, United States ",788,27568,259096,United States
216,m-a-p,"Canada, Canada, Canada",775,58123,1554529,Canada
217,Falconsai,"Ras Al Khaimah, Ras Al Khaimah, United Arab Emirates",774,3890243,24701572,United Arab Emirates
232,ProsusAI,"Amsterdam, Noord-Holland, The Netherlands",683,1779354,46206424,The Netherlands
237,berkeley-nest,"Berkeley, CA, United States",655,17135,987727,United States
244,MBZUAI,"Masdar City, Abu Dhabi, United Arab Emirates",637,109557,1556289,United Arab Emirates
258,SkunkworksAI,"Cagayan de Oro City, Misamis Oriental, Philippines",587,1584,85228,Philippines
260,cyberagent,"Tokyo, Tokyo, Japan",585,40971,957019,Japan
261,keras-io,"Mountain View, California, United States",583,2884,75689,United States
263,riffusion,"San Francisco, California, United States",580,31706,353012,United States
264,Writer,"San Francisco, California, United States",580,16429,333689,United States
267,Trelis,"Dublin, Leinster, Ireland",565,7089,448000,Ireland
274,CrucibleAI,"San Francisco, California, United States",552,854,55095,United States
275,Vision-CAIR,"Thuwal, Makkah Province, Saudi Arabia",552,5219,70451,Saudi Arabia
276,neuralmagic,"Somerville, Massachusetts, United States",551,1095791,3889431,United States
280,princeton-nlp,"Princeton, NJ, United States",547,9634855,39525581,United States
283,craiyon,"Houston, Texas, United States",,,,United States
285,gorilla-llm,"Berkeley, CA, United States",526,12607,79493,United States
292,TheMistoAI,"Sha Tin, New Territories, Hong Kong",515,27125,198178,Hong Kong
294,ibm,"Armonk, New York, United States",509,174363,3644940,United States
300,enhanceaiteam,https://www.crunchbase.com/organization/enhance-ai,503,72671,531341,India
301,SciPhi,https://www.crunchbase.com/organization/sciphi,503,15243,113465,United States
303,inceptionai,"Princeton, New Jersey, United States",499,172636,593915,United States
304,elyza,"Tokyo, Tokyo, Japan",499,139457,1562688,Japan
307,epfl-llm,"Lausanne, Vaud, Switzerland",487,8804,110534,Switzerland
311,declare-lab,"Singapore, Singapore, Singapore",483,48230,1197970,Singapore
313,LinkSoul,"Shanghai, Changning District, China",481,4338,396939,China
316,foduucom,"Indore, Madhya Pradesh, India",468,62768,467175,India
317,PrunaAI,https://www.crunchbase.com/organization/pruna-ai,234,58629.5,721944.5,France
319,PrunaAI,https://www.crunchbase.com/organization/pruna-ai,234,58629.5,721944.5,Germany
318,RunDiffusion,https://www.crunchbase.com/organization/rundiffusion,466,1563380,3513278,United States
322,lightblue,"Tokyo, Tokyo, Japan",460,62317,366266,Japan
323,Babelscape,"Rome, Lazio, Italy",453,452131,11438174,Italy
326,waifu-diffusion,"Munich, Bavaria, Germany",452,1310,56279,Germany
327,ICTNLP,"Beijing, Beijing, China",451,6095,15297,China
331,argilla,"Madrid, Madrid, Spain",446,9606,147762,Spain
332,hpcai-tech,"Singapore, Central Region, Singapore",444,753467,4508779,Singapore
333,stanford-crfm,"Stanford, CA, United States ",442,48310,562212,United States
336,Lightricks,"Jerusalem, Yerushalayim, Israel",440,20188,20352,Israel
337,CAMB-AI,"Dubai, Dubai, United Arab Emirates",438,278,10208,United Arab Emirates
340,Systran,"Paris, Ile-de-France, France",426,3332055,22622574,France
341,VAGOsolutions,"Hennef (Sieg), NRW, Germany",424,399893,1530424,Germany
342,second-state,"Austin, Texas, United States",420,105276,1238200,United States
345,hustvl,"Wuhan, Hubei Province, China",419,879667,14921783,China
347,TMElyralab,"Shenzhen, Guangdong, China",418,0,0,China
349,Etched,"San Francisco, California, United States",417,5397,5397,United States
355,Groq,"Mountain View, California, United States",414,917,14042,United States
369,Alpha-VLLM,"Shanghai, Shanghai, China",399,28420,69962,China
373,LGAI-EXAONE,"Seoul, Seoul-t'ukpyolsi, South Korea",394,61868,129091,South Korea
379,knowledgator,"Kyiv, Kyyiv, Ukraine",388,31968,2287375,Ukraine
384,kyutai,"Paris, France, France",384,2225324,2920398,France
