"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"NL32","Environmental technology",1.26,7227,51.86,24.65,38,"west"
"NL32","Food chemistry",0.61,947,80.58,20.91,105,"west"
"NL32","Furniture, games",1.86,45,39.49,18.02,65,"west"
"NL32","Green technologies",0.73,410,36.75,27.17,157,"west"
"NL32","Handling",1.89,194,37.19,3.8,135,"west"
"NL32","IT methods for management",1.1,9,35.93,55.98,27,"west"
"NL32","Machine tools",0,0,50.61,1.93,43,"west"
"NL32","Macromolecular chemistry, polymers",0.85,85,73.63,4.28,59,"west"
"NL32","Materials, metallurgy",0.51,1233,46.79,19.33,87,"west"
"NL32","Measurement",1.22,362,48.6,54.84,139,"west"
"NL32","Mechanical elements",0.6,173,35.48,14.17,57,"west"
"NL32","Medical technology",1.44,1076,52.18,41.08,120,"west"
"NL32","Micro-structural and nano-technology",0.54,1742,47.34,42,14,"west"
"NL32","Optics",1.09,5447,39.59,45.39,34,"west"
"NL32","Organic fine chemistry",0.74,5188,77.13,28.13,107,"west"
"NL32","Other consumer goods",1.27,8,45.8,23.01,52,"west"
"NL32","Other special machines",0.53,7,44.68,0,143,"west"
"NL32","Pharmaceuticals",1.47,2640,82.97,40.46,170,"west"
"NL32","Semiconductors",0.51,69,43.88,55.41,16,"west"
"NL32","Surface technology, coating",0.38,91,45.09,3.88,88,"west"
"NL32","Telecommunications",0.76,2056,34.44,97.24,29,"west"
"NL32","Textile and paper machines",0.41,21,56.68,5.66,14,"west"
"NL32","Thermal processes and apparatus",0.71,2200,34.97,9.58,41,"west"
"NL32","Transport",1.01,467,27.84,23.23,107,"west"
"NL33","Analysis of biological materials",1.08,52,79.73,34.97,67,"west"
"NL33","Audio-visual technology",0.56,3,27.3,72.35,95,"west"
"NL33","Basic communication processes",1.16,499,35.38,82.4,19,"west"
"NL33","Basic materials chemistry",0.48,52,38.98,12.17,174,"west"
"NL33","Biotechnology",0.95,997,83.42,36.76,309,"west"
"NL33","Chemical engineering",0.55,1431,55.07,18.36,164,"west"
"NL33","Civil engineering",1.23,984,35.35,13.72,209,"west"
"NL33","Computer technology",1.16,39834,32.17,88.39,150,"west"
"NL33","Control",0.9,476,35.25,46.7,42,"west"
"NL33","Digital communication",0.71,41,17.74,100,130,"west"
"NL33","Electrical machinery, apparatus, energy",0.91,3454,48.53,30.49,190,"west"
"NL33","Engines, pumps, turbines",0.39,40,53.36,25.2,75,"west"
"NL33","Environmental technology",1.12,7614,62.31,24.65,69,"west"
"NL33","Food chemistry",0.4,747,71.82,20.91,160,"west"
"NL33","Furniture, games",1.54,44,46.02,18.02,71,"west"
"NL33","Green technologies",0.79,525,38.49,27.17,397,"west"
"NL33","Handling",1.62,197,33.98,3.8,171,"west"
"NL33","IT methods for management",0.93,9,22.68,55.98,25,"west"
"NL33","Machine tools",0.16,3,45.98,1.93,29,"west"
"NL33","Macromolecular chemistry, polymers",0.93,110,59.93,4.28,57,"west"
"NL33","Materials, metallurgy",0.62,1771,56.53,19.33,70,"west"
"NL33","Measurement",1.67,585,47.95,54.84,352,"west"
"NL33","Mechanical elements",1.08,370,41.1,14.17,96,"west"
"NL33","Medical technology",1.17,1035,49.15,41.08,163,"west"
"NL33","Micro-structural and nano-technology",0.62,2368,62.59,42,14,"west"
"NL33","Optics",1.11,6618,40.68,45.39,92,"west"
"NL33","Organic fine chemistry",0.71,5896,81.08,28.13,89,"west"
"NL33","Other consumer goods",1.34,10,38.1,23.01,57,"west"
"NL33","Other special machines",0.26,4,39.79,0,290,"west"
"NL33","Pharmaceuticals",1.17,2492,63.08,40.46,233,"west"
"NL33","Semiconductors",0.58,94,47.28,55.41,77,"west"
"NL33","Surface technology, coating",0.57,160,46.71,3.88,71,"west"
"NL33","Telecommunications",1.04,3348,36.99,97.24,78,"west"
"NL33","Textile and paper machines",0.45,27,46.84,5.66,33,"west"
"NL33","Thermal processes and apparatus",0.8,2930,46.91,9.58,77,"west"
"NL33","Transport",1.55,849,41.72,23.23,245,"west"
"west","Analysis of biological materials",1.19,162,61.3062091503268,34.97,153,"west"
"west","Audio-visual technology",0.99,15,24.3624867724868,72.35,189,"west"
"west","Basic communication processes",1.19,1443,30.4353571428571,82.4,28,"west"
"west","Basic materials chemistry",0.55,168,44.4603878116343,12.17,361,"west"
"west","Biotechnology",0.99,2958,78.2446732954545,36.76,704,"west"
"west","Chemical engineering",0.55,4078,49.516940874036,18.36,389,"west"
"west","Civil engineering",1.23,2777,33.9405540897098,13.72,379,"west"
"west","Computer technology",1.19,115094,23.952600536193,88.39,373,"west"
"west","Control",0.73,1094,31.59808,46.7,125,"west"
"west","Digital communication",0.56,91,19.5417167381974,100,233,"west"
