"reg";"tech";"count";"rca";"reldens";"comp"
"PL51";"Beeldvormingstechnologie";6;0,62;16,89;79,96
"UKL1";"Beeldvormingstechnologie";3;0,33;27,4;79,96
"ITH2";"Beeldvormingstechnologie";5;0,67;29,31;79,96
"DE40";"Beeldvormingstechnologie";51;1,19;35,01;79,96
"SE23";"Beeldvormingstechnologie";67;0,65;23,49;79,96
"RO12";"Beeldvormingstechnologie";5;2,77;56,82;79,96
"LT00";"Beeldvormingstechnologie";7;1,44;65,21;79,96
"DK05";"Beeldvormingstechnologie";7;0,26;10,51;79,96
"LVZZ";"Beeldvormingstechnologie";1;55,68;3,36;79,96
"DEC0";"Beeldvormingstechnologie";25;1,39;46,64;79,96
"NO04";"Beeldvormingstechnologie";12;0,44;22,04;79,96
"UKF3";"Beeldvormingstechnologie";5;1,07;50,56;79,96
"BE31";"Beeldvormingstechnologie";10;0,45;11,86;79,96
"ITH1";"Beeldvormingstechnologie";1;0,17;12,3;79,96
"AT22";"Beeldvormingstechnologie";43;0,88;26,73;79,96
"FR63";"Beeldvormingstechnologie";5;1,09;23,83;79,96
"CZ02";"Beeldvormingstechnologie";7;0,81;28,86;79,96
"DE91";"Beeldvormingstechnologie";118;1,78;69,8;79,96
"UKE3";"Beeldvormingstechnologie";8;0,67;41,61;79,96
"BE34";"Beeldvormingstechnologie";1;0,27;10,96;79,96
"FRY2";"Beeldvormingstechnologie";1;3,18;19,35;79,96
"BG32";"Beeldvormingstechnologie";0;0;3,02;79,96
"NO07";"Beeldvormingstechnologie";6;1,53;16,33;79,96
"ITG2";"Beeldvormingstechnologie";1;0,39;15,44;79,96
"NL21";"Beeldvormingstechnologie";10;0,6;14,32;79,96
"UKF2";"Beeldvormingstechnologie";9;0,6;29,98;79,96
"FR51";"Beeldvormingstechnologie";17;0,45;20,92;79,96
"UKM6";"Beeldvormingstechnologie";0;0;17,23;79,96
"RO42";"Beeldvormingstechnologie";21;7,35;61,3;79,96
"UKK2";"Beeldvormingstechnologie";6;0,53;19,8;79,96
"UKJ2";"Beeldvormingstechnologie";64;1,33;59,84;79,96
"ITI2";"Beeldvormingstechnologie";2;0,33;14,54;79,96
"EL53";"Beeldvormingstechnologie";0;0;1,34;79,96
"CH05";"Beeldvormingstechnologie";43;0,83;29,08;79,96
"ES64";"Beeldvormingstechnologie";0;0;1,01;79,96
"FRY1";"Beeldvormingstechnologie";0;0;24,61;79,96
"RO21";"Beeldvormingstechnologie";1;0,88;63,09;79,96
"FR61";"Beeldvormingstechnologie";45;0,98;34,23;79,96
"UKE1";"Beeldvormingstechnologie";4;0,45;12,98;79,96
"IS02";"Beeldvormingstechnologie";2;0,84;18,01;79,96
"UKH2";"Beeldvormingstechnologie";24;0,7;38,48;79,96
"FR26";"Beeldvormingstechnologie";7;0,61;23,15;79,96
"BE32";"Beeldvormingstechnologie";2;0,13;10,4;79,96
"FRY4";"Beeldvormingstechnologie";0;0;8,05;79,96
"BE23";"Beeldvormingstechnologie";42;0,88;16,11;79,96
"NL12";"Beeldvormingstechnologie";4;0,8;18,12;79,96
"UKD7";"Beeldvormingstechnologie";3;0,22;6,26;79,96
"RO32";"Beeldvormingstechnologie";6;1,48;50,67;79,96
"DEE0";"Beeldvormingstechnologie";18;0,85;21,7;79,96
"DE21";"Beeldvormingstechnologie";594;1,32;63,09;79,96
"ES30";"Beeldvormingstechnologie";58;1,01;47,99;79,96
"EL61";"Beeldvormingstechnologie";1;3,09;46,87;79,96
"BE35";"Beeldvormingstechnologie";3;0,4;22,71;79,96
"SIZZ";"Beeldvormingstechnologie";0;0;0,22;79,96
"RO11";"Beeldvormingstechnologie";4;2,11;56,38;79,96
"DEA1";"Beeldvormingstechnologie";86;0,45;4,81;79,96
"NL22";"Beeldvormingstechnologie";17;0,44;6,38;79,96
"ITI3";"Beeldvormingstechnologie";4;0,32;13,31;79,96
"DEG0";"Beeldvormingstechnologie";158;3,4;69,69;79,96
"DEB3";"Beeldvormingstechnologie";85;0,61;6,26;79,96
"IEZZ";"Beeldvormingstechnologie";14;2,01;71,48;79,96
"UKJ3";"Beeldvormingstechnologie";33;0,73;34,68;79,96
"LIZZ";"Beeldvormingstechnologie";2;0,6;28,86;79,96
"HU33";"Beeldvormingstechnologie";7;1,13;44,52;79,96
"HR03";"Beeldvormingstechnologie";2;0,9;8,05;79,96
"EE00";"Beeldvormingstechnologie";10;1,54;74,05;79,96
"DE80";"Beeldvormingstechnologie";6;0,5;19,02;79,96
"RO22";"Beeldvormingstechnologie";0;0;10,74;79,96
"UKD4";"Beeldvormingstechnologie";15;1,09;51,45;79,96
"LI00";"Beeldvormingstechnologie";3;1,08;20,47;79,96
"BG31";"Beeldvormingstechnologie";0;0;11,74;79,96
"PL63";"Beeldvormingstechnologie";5;0,89;60,29;79,96
"UKL2";"Beeldvormingstechnologie";5;0,28;21,59;79,96
"BE33";"Beeldvormingstechnologie";10;0,52;26,06;79,96
"NL31";"Beeldvormingstechnologie";20;0,67;13,65;79,96
"FI1B";"Beeldvormingstechnologie";134;0,98;49,22;79,96
"CY00";"Beeldvormingstechnologie";3;1,13;62,42;79,96
"BE10";"Beeldvormingstechnologie";37;1,02;51,68;79,96
"NL13";"Beeldvormingstechnologie";1;0,32;11,52;79,96
"ES41";"Beeldvormingstechnologie";5;0,69;48,21;79,96
"DKZZ";"Beeldvormingstechnologie";0;0;13,31;79,96
"HU10";"Beeldvormingstechnologie";60;2;67,23;79,96
"HU31";"Beeldvormingstechnologie";3;1,27;49,89;79,96
"UKK1";"Beeldvormingstechnologie";76;1,07;63,87;79,96
"PL33";"Beeldvormingstechnologie";0;0;11,74;79,96
"FI20";"Beeldvormingstechnologie";0;0;7,61;79,96
"ITI4";"Beeldvormingstechnologie";39;1,06;33,67;79,96
"AT31";"Beeldvormingstechnologie";30;0,43;25,17;79,96
"DE25";"Beeldvormingstechnologie";180;1,37;60,74;79,96
"UKD1";"Beeldvormingstechnologie";2;0,65;48,43;79,96
"NOZZ";"Beeldvormingstechnologie";1;3,59;41,61;79,96
"DK01";"Beeldvormingstechnologie";81;0,69;20,25;79,96
"DEA5";"Beeldvormingstechnologie";50;0,53;17,45;79,96
"NLZZ";"Beeldvormingstechnologie";1;0,7;32,66;79,96
"EL65";"Beeldvormingstechnologie";6;7,18;50,78;79,96
"BE22";"Beeldvormingstechnologie";14;1,07;20,25;79,96
"ITF5";"Beeldvormingstechnologie";1;1;31,66;79,96
"IE02";"Beeldvormingstechnologie";43;0,9;53,24;79,96
