"reg";"tech";"count";"rca";"reldens";"comp"
"ES62";"Biotechnologie gericht op moleculen en cellen";31;2,17;76,1;15,1
"EL61";"Biotechnologie gericht op moleculen en cellen";1;1,26;27,25;15,1
"CZ02";"Biotechnologie gericht op moleculen en cellen";34;1,61;55,64;15,1
"DEE0";"Biotechnologie gericht op moleculen en cellen";79;1,51;46,74;15,1
"BE35";"Biotechnologie gericht op moleculen en cellen";27;1,45;59,79;15,1
"DEA5";"Biotechnologie gericht op moleculen en cellen";89;0,38;11,64;15,1
"AT34";"Biotechnologie gericht op moleculen en cellen";3;0,04;1,15;15,1
"RO11";"Biotechnologie gericht op moleculen en cellen";0;0;10,05;15,1
"ES43";"Biotechnologie gericht op moleculen en cellen";2;1,12;37,39;15,1
"FI1D";"Biotechnologie gericht op moleculen en cellen";32;0,35;9,35;15,1
"SE22";"Biotechnologie gericht op moleculen en cellen";197;0,77;22,49;15,1
"EL43";"Biotechnologie gericht op moleculen en cellen";3;1,22;39,15;15,1
"BE34";"Biotechnologie gericht op moleculen en cellen";14;1,57;49,56;15,1
"ES13";"Biotechnologie gericht op moleculen en cellen";7;1,15;33,25;15,1
"PL61";"Biotechnologie gericht op moleculen en cellen";5;1,02;40,39;15,1
"BG32";"Biotechnologie gericht op moleculen en cellen";0;0;4,85;15,1
"AT21";"Biotechnologie gericht op moleculen en cellen";6;0,28;8,29;15,1
"DE23";"Biotechnologie gericht op moleculen en cellen";53;0,28;5,91;15,1
"UKF2";"Biotechnologie gericht op moleculen en cellen";39;1,05;49,21;15,1
"FR62";"Biotechnologie gericht op moleculen en cellen";199;1,33;65,96;15,1
"ITC4";"Biotechnologie gericht op moleculen en cellen";287;0,81;38,1;15,1
"BG41";"Biotechnologie gericht op moleculen en cellen";7;0,6;27,87;15,1
"DEA3";"Biotechnologie gericht op moleculen en cellen";127;0,77;31,13;15,1
"BG31";"Biotechnologie gericht op moleculen en cellen";1;2,26;13,23;15,1
"PL31";"Biotechnologie gericht op moleculen en cellen";4;0,81;34,04;15,1
"CZ08";"Biotechnologie gericht op moleculen en cellen";9;0,87;54,5;15,1
"CZ04";"Biotechnologie gericht op moleculen en cellen";7;1,1;39,24;15,1
"UKD3";"Biotechnologie gericht op moleculen en cellen";74;1,05;47;15,1
"DE50";"Biotechnologie gericht op moleculen en cellen";24;0,71;16,31;15,1
"FR23";"Biotechnologie gericht op moleculen en cellen";31;0,42;11,29;15,1
"FIZZ";"Biotechnologie gericht op moleculen en cellen";0;0;17,02;15,1
"PL41";"Biotechnologie gericht op moleculen en cellen";20;1,55;66,49;15,1
"UKJ1";"Biotechnologie gericht op moleculen en cellen";527;1,94;75,22;15,1
"ITZZ";"Biotechnologie gericht op moleculen en cellen";0;0;11,9;15,1
"DKZZ";"Biotechnologie gericht op moleculen en cellen";3;2,83;45,59;15,1
"HU31";"Biotechnologie gericht op moleculen en cellen";6;1,03;35,63;15,1
"BE32";"Biotechnologie gericht op moleculen en cellen";36;0,94;40,39;15,1
"PL63";"Biotechnologie gericht op moleculen en cellen";28;2,02;68,25;15,1
"UKD7";"Biotechnologie gericht op moleculen en cellen";13;0,38;21,25;15,1
"UKE4";"Biotechnologie gericht op moleculen en cellen";41;1,05;26,9;15,1
"ITF2";"Biotechnologie gericht op moleculen en cellen";6;2,17;49,38;15,1
"FR71";"Biotechnologie gericht op moleculen en cellen";408;0,82;29,98;15,1
"PL22";"Biotechnologie gericht op moleculen en cellen";18;0,96;30,6;15,1
"UKI2";"Biotechnologie gericht op moleculen en cellen";113;1,31;60,76;15,1
"HUZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0,62;15,1
"UKJ4";"Biotechnologie gericht op moleculen en cellen";47;1,41;57,14;15,1
"FR25";"Biotechnologie gericht op moleculen en cellen";15;0,64;43,74;15,1
"CZ06";"Biotechnologie gericht op moleculen en cellen";22;1,09;57,05;15,1
"DE30";"Biotechnologie gericht op moleculen en cellen";403;1,42;58,38;15,1
"UKM2";"Biotechnologie gericht op moleculen en cellen";134;1,77;78,57;15,1
"RO31";"Biotechnologie gericht op moleculen en cellen";0;0;1,94;15,1
"ESZZ";"Biotechnologie gericht op moleculen en cellen";4;1,3;39,51;15,1
"FRY2";"Biotechnologie gericht op moleculen en cellen";1;1,29;29,28;15,1
"NO07";"Biotechnologie gericht op moleculen en cellen";22;2,28;71,96;15,1
"UKK3";"Biotechnologie gericht op moleculen en cellen";7;0,93;38,1;15,1
"ITH4";"Biotechnologie gericht op moleculen en cellen";51;1,16;41,27;15,1
"HU33";"Biotechnologie gericht op moleculen en cellen";17;1,12;45,06;15,1
"CH06";"Biotechnologie gericht op moleculen en cellen";81;0,82;19,05;15,1
"UKD4";"Biotechnologie gericht op moleculen en cellen";10;0,3;9,61;15,1
"PL32";"Biotechnologie gericht op moleculen en cellen";1;0,12;29,37;15,1
"AT33";"Biotechnologie gericht op moleculen en cellen";34;0,87;32,01;15,1
"LU00";"Biotechnologie gericht op moleculen en cellen";38;0,94;35,19;15,1
"DE27";"Biotechnologie gericht op moleculen en cellen";42;0,2;2,73;15,1
"IE02";"Biotechnologie gericht op moleculen en cellen";154;1,31;66,23;15,1
"ITH3";"Biotechnologie gericht op moleculen en cellen";94;0,64;23,02;15,1
"EL53";"Biotechnologie gericht op moleculen en cellen";0;0;4,23;15,1
"FI1B";"Biotechnologie gericht op moleculen en cellen";180;0,54;16,84;15,1
"SI03";"Biotechnologie gericht op moleculen en cellen";50;1,57;61,29;15,1
"FR61";"Biotechnologie gericht op moleculen en cellen";151;1,34;61,82;15,1
"NO02";"Biotechnologie gericht op moleculen en cellen";2;0,45;23,02;15,1
"BE10";"Biotechnologie gericht op moleculen en cellen";167;1,87;88,18;15,1
"RO41";"Biotechnologie gericht op moleculen en cellen";0;0;0,53;15,1
"FR43";"Biotechnologie gericht op moleculen en cellen";24;0,54;19,84;15,1
"EL62";"Biotechnologie gericht op moleculen en cellen";0;0;3,7;15,1
"UKL1";"Biotechnologie gericht op moleculen en cellen";18;0,82;32,01;15,1
"FR26";"Biotechnologie gericht op moleculen en cellen";24;0,85;48,06;15,1
"PT30";"Biotechnologie gericht op moleculen en cellen";2;4,77;47,53;15,1
"ATZZ";"Biotechnologie gericht op moleculen en cellen";3;2,26;41,45;15,1
"FR22";"Biotechnologie gericht op moleculen en cellen";23;0,31;11,82;15,1
"UKM3";"Biotechnologie gericht op moleculen en cellen";45;1,44;72,84;15,1
"PL34";"Biotechnologie gericht op moleculen en cellen";5;1,97;49,82;15,1
"RO32";"Biotechnologie gericht op moleculen en cellen";2;0,2;5,29;15,1
"ITC2";"Biotechnologie gericht op moleculen en cellen";1;0,49;14,73;15,1
"DK05";"Biotechnologie gericht op moleculen en cellen";8;0,12;3,97;15,1
"HR04";"Biotechnologie gericht op moleculen en cellen";5;0,46;24,78;15,1
"UKK4";"Biotechnologie gericht op moleculen en cellen";16;0,91;24,87;15,1
"DE11";"Biotechnologie gericht op moleculen en cellen";164;0,2;4,41;15,1
"UKF3";"Biotechnologie gericht op moleculen en cellen";6;0,52;18,61;15,1
"CH07";"Biotechnologie gericht op moleculen en cellen";93;2,27;56,79;15,1
"PL33";"Biotechnologie gericht op moleculen en cellen";4;1,08;50,79;15,1
"NL22";"Biotechnologie gericht op moleculen en cellen";168;1,76;86,33;15,1
"PT17";"Biotechnologie gericht op moleculen en cellen";49;1,81;74,34;15,1
"ITI3";"Biotechnologie gericht op moleculen en cellen";21;0,69;38,89;15,1
"UKI1";"Biotechnologie gericht op moleculen en cellen";672;1,76;64,02;15,1
"SE32";"Biotechnologie gericht op moleculen en cellen";37;1,94;23,46;15,1
"ITC1";"Biotechnologie gericht op moleculen en cellen";97;0,78;21,52;15,1
"PT11";"Biotechnologie gericht op moleculen en cellen";76;1,69;85,63;15,1
"UKG3";"Biotechnologie gericht op moleculen en cellen";62;0,73;15,7;15,1
"PL42";"Biotechnologie gericht op moleculen en cellen";2;0,65;29,37;15,1
"UKE2";"Biotechnologie gericht op moleculen en cellen";41;1,61;57,85;15,1
"DE60";"Biotechnologie gericht op moleculen en cellen";97;0,72;23,46;15,1
"DE80";"Biotechnologie gericht op moleculen en cellen";42;1,42;51,76;15,1
"CH02";"Biotechnologie gericht op moleculen en cellen";199;0,96;29,54;15,1
"ISZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0;15,1
"FRY4";"Biotechnologie gericht op moleculen en cellen";6;2,26;66,58;15,1
"PLZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0;15,1
"ITI2";"Biotechnologie gericht op moleculen en cellen";13;0,88;42,59;15,1
"DE13";"Biotechnologie gericht op moleculen en cellen";193;0,69;15,7;15,1
"BE33";"Biotechnologie gericht op moleculen en cellen";65;1,36;61,11;15,1
"SK02";"Biotechnologie gericht op moleculen en cellen";7;0,64;18,87;15,1
"ITI4";"Biotechnologie gericht op moleculen en cellen";183;2,03;75,49;15,1
"UKE1";"Biotechnologie gericht op moleculen en cellen";6;0,27;9,88;15,1
"ES52";"Biotechnologie gericht op moleculen en cellen";109;1,41;64,29;15,1
"FR72";"Biotechnologie gericht op moleculen en cellen";74;0,77;33,25;15,1
"ES11";"Biotechnologie gericht op moleculen en cellen";40;2,01;75,57;15,1
"SKZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0,09;15,1
"NO05";"Biotechnologie gericht op moleculen en cellen";33;0,73;28,22;15,1
"FR82";"Biotechnologie gericht op moleculen en cellen";282;1,71;70,37;15,1
"BE23";"Biotechnologie gericht op moleculen en cellen";347;2,94;85,8;15,1
"FR83";"Biotechnologie gericht op moleculen en cellen";2;1,08;49,21;15,1
"DE72";"Biotechnologie gericht op moleculen en cellen";115;1,5;57,76;15,1
"AT31";"Biotechnologie gericht op moleculen en cellen";22;0,13;4,41;15,1
"ES51";"Biotechnologie gericht op moleculen en cellen";290;1,29;70,02;15,1
"UKC2";"Biotechnologie gericht op moleculen en cellen";73;2,16;61,38;15,1
"AT12";"Biotechnologie gericht op moleculen en cellen";128;1,16;51,68;15,1
"BGZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0;15,1
"PT20";"Biotechnologie gericht op moleculen en cellen";1;3,48;14,2;15,1
"HU23";"Biotechnologie gericht op moleculen en cellen";4;1,03;39,51;15,1
"UKD6";"Biotechnologie gericht op moleculen en cellen";20;0,48;32,19;15,1
"NLZZ";"Biotechnologie gericht op moleculen en cellen";2;0,57;36,24;15,1
"UKH3";"Biotechnologie gericht op moleculen en cellen";76;1,8;72,75;15,1
"FR51";"Biotechnologie gericht op moleculen en cellen";143;1,53;69,22;15,1
"DE71";"Biotechnologie gericht op moleculen en cellen";421;0,85;29,01;15,1
"IEZZ";"Biotechnologie gericht op moleculen en cellen";13;0,76;19,49;15,1
"ES61";"Biotechnologie gericht op moleculen en cellen";117;2,02;82,89;15,1
"PT18";"Biotechnologie gericht op moleculen en cellen";2;0,46;26,28;15,1
"ITG1";"Biotechnologie gericht op moleculen en cellen";24;1,06;51,23;15,1
"HU22";"Biotechnologie gericht op moleculen en cellen";11;1,22;47,53;15,1
"NL21";"Biotechnologie gericht op moleculen en cellen";21;0,51;24,87;15,1
"FI1C";"Biotechnologie gericht op moleculen en cellen";73;0,91;25,22;15,1
"NO03";"Biotechnologie gericht op moleculen en cellen";24;0,54;21,87;15,1
"ITF4";"Biotechnologie gericht op moleculen en cellen";36;1,4;75,93;15,1
"RO42";"Biotechnologie gericht op moleculen en cellen";0;0;1,23;15,1
"PL51";"Biotechnologie gericht op moleculen en cellen";31;1,31;51,15;15,1
"EL52";"Biotechnologie gericht op moleculen en cellen";6;0,82;46,74;15,1
"UKL2";"Biotechnologie gericht op moleculen en cellen";54;1,21;64,81;15,1
"HU32";"Biotechnologie gericht op moleculen en cellen";19;2,74;78,66;15,1
"FR30";"Biotechnologie gericht op moleculen en cellen";110;1,42;84,66;15,1
"NL41";"Biotechnologie gericht op moleculen en cellen";171;0,29;8,2;15,1
"SE11";"Biotechnologie gericht op moleculen en cellen";369;0,73;6,7;15,1
"EL41";"Biotechnologie gericht op moleculen en cellen";0;0;0,88;15,1
"IS01";"Biotechnologie gericht op moleculen en cellen";6;0,77;44;15,1
"FRY1";"Biotechnologie gericht op moleculen en cellen";2;2,74;38,54;15,1
"SE31";"Biotechnologie gericht op moleculen en cellen";5;0,1;5,82;15,1
"UKK1";"Biotechnologie gericht op moleculen en cellen";101;0,58;4,23;15,1
"ES64";"Biotechnologie gericht op moleculen en cellen";0;0;0;15,1
"DEC0";"Biotechnologie gericht op moleculen en cellen";48;1,08;50,79;15,1
"ITH1";"Biotechnologie gericht op moleculen en cellen";12;0,84;16,49;15,1
"DE12";"Biotechnologie gericht op moleculen en cellen";364;0,78;21,16;15,1
"NO01";"Biotechnologie gericht op moleculen en cellen";125;1,41;69,58;15,1
"NL23";"Biotechnologie gericht op moleculen en cellen";4;0,54;32,54;15,1
"UKG1";"Biotechnologie gericht op moleculen en cellen";20;0,48;25,13;15,1
"UKN0";"Biotechnologie gericht op moleculen en cellen";58;1,73;54,59;15,1
"ITF1";"Biotechnologie gericht op moleculen en cellen";25;1,35;61,82;15,1
"DK04";"Biotechnologie gericht op moleculen en cellen";115;0,78;27,6;15,1
"ES30";"Biotechnologie gericht op moleculen en cellen";249;1,77;73,99;15,1
"ES21";"Biotechnologie gericht op moleculen en cellen";60;1,4;62,26;15,1
"EL65";"Biotechnologie gericht op moleculen en cellen";2;0,97;19,49;15,1
"NO04";"Biotechnologie gericht op moleculen en cellen";8;0,12;7,41;15,1
"NL32";"Biotechnologie gericht op moleculen en cellen";215;1,71;80,51;15,1
"UKM6";"Biotechnologie gericht op moleculen en cellen";6;0,65;19,14;15,1
"IE01";"Biotechnologie gericht op moleculen en cellen";32;0,78;21,34;15,1
"PL43";"Biotechnologie gericht op moleculen en cellen";0;0;2,91;15,1
"ES24";"Biotechnologie gericht op moleculen en cellen";25;0,94;21,34;15,1
"FR52";"Biotechnologie gericht op moleculen en cellen";79;0,63;14,55;15,1
"PTZZ";"Biotechnologie gericht op moleculen en cellen";0;0;1,06;15,1
"DED4";"Biotechnologie gericht op moleculen en cellen";7;0,15;3,79;15,1
"DEG0";"Biotechnologie gericht op moleculen en cellen";85;0,74;16,23;15,1
"DE94";"Biotechnologie gericht op moleculen en cellen";26;0,28;8,38;15,1
"EL54";"Biotechnologie gericht op moleculen en cellen";2;1,24;29,37;15,1
"RO22";"Biotechnologie gericht op moleculen en cellen";0;0;0,79;15,1
"SI04";"Biotechnologie gericht op moleculen en cellen";26;2,34;50,44;15,1
"DEF0";"Biotechnologie gericht op moleculen en cellen";79;0,58;18,87;15,1
"AT13";"Biotechnologie gericht op moleculen en cellen";291;2,33;81,66;15,1
"PT15";"Biotechnologie gericht op moleculen en cellen";3;1,11;40,65;15,1
"UKJ2";"Biotechnologie gericht op moleculen en cellen";67;0,57;11,64;15,1
"BE24";"Biotechnologie gericht op moleculen en cellen";233;1,77;84,3;15,1
"HU21";"Biotechnologie gericht op moleculen en cellen";13;1,37;58,82;15,1
"ITI1";"Biotechnologie gericht op moleculen en cellen";81;0,88;37,04;15,1
"BG42";"Biotechnologie gericht op moleculen en cellen";3;1,25;53,44;15,1
"NL11";"Biotechnologie gericht op moleculen en cellen";51;2,52;87,39;15,1
"CH04";"Biotechnologie gericht op moleculen en cellen";471;1,55;65,87;15,1
"BE25";"Biotechnologie gericht op moleculen en cellen";57;1,01;38,1;15,1
"UKH2";"Biotechnologie gericht op moleculen en cellen";177;2,09;78,13;15,1
"BEZZ";"Biotechnologie gericht op moleculen en cellen";1;0,92;23,19;15,1
"NL33";"Biotechnologie gericht op moleculen en cellen";397;1,98;82,19;15,1
"DEA1";"Biotechnologie gericht op moleculen en cellen";323;0,68;21,34;15,1
"FR10";"Biotechnologie gericht op moleculen en cellen";1286;1,04;51,76;15,1
"NL34";"Biotechnologie gericht op moleculen en cellen";12;0,67;14,37;15,1
"FI19";"Biotechnologie gericht op moleculen en cellen";37;0,32;11,46;15,1
"FI20";"Biotechnologie gericht op moleculen en cellen";2;2,38;2,2;15,1
"DEZZ";"Biotechnologie gericht op moleculen en cellen";8;0,53;18,87;15,1
"DK03";"Biotechnologie gericht op moleculen en cellen";48;0,48;20,9;15,1
"ES42";"Biotechnologie gericht op moleculen en cellen";9;0,95;42,86;15,1
"ES12";"Biotechnologie gericht op moleculen en cellen";10;0,68;16,4;15,1
"NL12";"Biotechnologie gericht op moleculen en cellen";22;1,79;42,5;15,1
"SK04";"Biotechnologie gericht op moleculen en cellen";6;1,08;52,56;15,1
"SIZZ";"Biotechnologie gericht op moleculen en cellen";0;0;0;15,1
"NL13";"Biotechnologie gericht op moleculen en cellen";13;1,72;66,67;15,1
"SE21";"Biotechnologie gericht op moleculen en cellen";5;0,1;2,56;15,1
"EL42";"Biotechnologie gericht op moleculen en cellen";0;0;1,68;15,1
"ES41";"Biotechnologie gericht op moleculen en cellen";29;1,63;85,98;15,1
"DEB1";"Biotechnologie gericht op moleculen en cellen";17;0,25;28,31;15,1
"NO06";"Biotechnologie gericht op moleculen en cellen";17;0,4;7,76;15,1
"UKC1";"Biotechnologie gericht op moleculen en cellen";46;1,09;43,83;15,1
"ES53";"Biotechnologie gericht op moleculen en cellen";9;1,77;63,14;15,1
"HR03";"Biotechnologie gericht op moleculen en cellen";9;1,65;47,35;15,1
"FR53";"Biotechnologie gericht op moleculen en cellen";34;1,2;62,43;15,1
"DED2";"Biotechnologie gericht op moleculen en cellen";75;0,71;23,28;15,1
"FR41";"Biotechnologie gericht op moleculen en cellen";49;0,72;26,54;15,1
"UKJ3";"Biotechnologie gericht op moleculen en cellen";49;0,44;5,47;15,1
"ITC3";"Biotechnologie gericht op moleculen en cellen";30;0,81;45,77;15,1
"DEB3";"Biotechnologie gericht op moleculen en cellen";455;1,33;61,2;15,1
"ITH5";"Biotechnologie gericht op moleculen en cellen";103;0,5;9,17;15,1
"ES22";"Biotechnologie gericht op moleculen en cellen";36;1,72;63,84;15,1
"LI00";"Biotechnologie gericht op moleculen en cellen";3;0,44;12,17;15,1
"SK01";"Biotechnologie gericht op moleculen en cellen";22;2,07;69,49;15,1
"RO22";"Cybersecurity";5;9,25;39,26;76,75
"BE24";"Cybersecurity";58;0,95;19,01;76,75
"DEG0";"Cybersecurity";11;0,21;20,77;76,75
"PL22";"Cybersecurity";15;1,73;53,7;76,75
"DEE0";"Cybersecurity";11;0,46;9,33;76,75
"DK05";"Cybersecurity";24;0,78;39,08;76,75
"PTZZ";"Cybersecurity";0;0;20,25;76,75
"ITF5";"Cybersecurity";0;0;32,57;76,75
"EL52";"Cybersecurity";5;1,47;36,97;76,75
"DE23";"Cybersecurity";51;0,59;14,61;76,75
"UKL2";"Cybersecurity";198;9,65;48,77;76,75
"ITH4";"Cybersecurity";5;0,25;8,27;76,75
"EL53";"Cybersecurity";0;0;0,7;76,75
"ES51";"Cybersecurity";113;1,09;27,46;76,75
"HU33";"Cybersecurity";4;0,57;39,79;76,75
"ITZZ";"Cybersecurity";1;2,72;46,48;76,75
"ES23";"Cybersecurity";1;0,69;28,52;76,75
"PL12";"Cybersecurity";36;1,73;45,42;76,75
"ES61";"Cybersecurity";14;0,52;23,77;76,75
"DE92";"Cybersecurity";47;0,49;20,77;76,75
"HUZZ";"Cybersecurity";0;0;0,53;76,75
"ES62";"Cybersecurity";2;0,3;9,86;76,75
"EE00";"Cybersecurity";16;2,17;67,78;76,75
"ES30";"Cybersecurity";190;2,92;72,54;76,75
"BE35";"Cybersecurity";6;0,7;17,96;76,75
"NOZZ";"Cybersecurity";0;0;24,82;76,75
"BE25";"Cybersecurity";13;0,5;7,22;76,75
"LI00";"Cybersecurity";0;0;4,75;76,75
"HR04";"Cybersecurity";4;0,81;39,26;76,75
"NO01";"Cybersecurity";39;0,95;41,37;76,75
"PL33";"Cybersecurity";0;0;26,41;76,75
"ATZZ";"Cybersecurity";1;1,63;2,46;76,75
"CZ02";"Cybersecurity";30;3,07;69,89;76,75
"BG42";"Cybersecurity";0;0;9,86;76,75
"RO11";"Cybersecurity";3;1,39;33,63;76,75
"DE30";"Cybersecurity";173;1,32;75,18;76,75
"SI04";"Cybersecurity";1;0,19;11,27;76,75
"CH03";"Cybersecurity";45;0,32;6,34;76,75
"SK04";"Cybersecurity";2;0,78;38,03;76,75
"DE60";"Cybersecurity";34;0,54;9,86;76,75
"DE26";"Cybersecurity";13;0,17;7,57;76,75
"BG41";"Cybersecurity";3;0,56;41,37;76,75
"EL61";"Cybersecurity";0;0;26,41;76,75
"CH06";"Cybersecurity";58;1,28;40,85;76,75
"UKM6";"Cybersecurity";5;1,18;12,32;76,75
"ITC4";"Cybersecurity";76;0,47;17,78;76,75
"NO02";"Cybersecurity";3;1,47;26,23;76,75
"HU32";"Cybersecurity";3;0,94;35,92;76,75
"FI1B";"Cybersecurity";302;1,95;77,64;76,75
"DE93";"Cybersecurity";19;0,64;9,86;76,75
"UKG2";"Cybersecurity";5;0,48;26,94;76,75
"SE21";"Cybersecurity";18;0,79;30,46;76,75
"AT32";"Cybersecurity";4;0,31;15,67;76,75
"UKJ1";"Cybersecurity";156;1,24;43,66;76,75
"ES11";"Cybersecurity";4;0,43;18,84;76,75
"PT17";"Cybersecurity";16;1,28;25,88;76,75
"BEZZ";"Cybersecurity";1;2;30,63;76,75
"UKH2";"Cybersecurity";45;1,15;46,13;76,75
"ES41";"Cybersecurity";5;0,61;37,85;76,75
"PT16";"Cybersecurity";10;0,85;41,37;76,75
"ITI1";"Cybersecurity";24;0,56;8,98;76,75
"FR22";"Cybersecurity";6;0,17;3,7;76,75
"DE25";"Cybersecurity";153;1,03;66,2;76,75
"NLZZ";"Cybersecurity";1;0,62;19,89;76,75
"PT20";"Cybersecurity";0;0;0,18;76,75
"FR71";"Cybersecurity";99;0,43;17,43;76,75
"FRY1";"Cybersecurity";0;0;10,92;76,75
"EL51";"Cybersecurity";0;0;2,46;76,75
"DE50";"Cybersecurity";12;0,76;27,64;76,75
"UKI2";"Cybersecurity";114;2,87;81,16;76,75
"ITH5";"Cybersecurity";27;0,28;9,51;76,75
"DEA1";"Cybersecurity";56;0,26;8,45;76,75
"UKF3";"Cybersecurity";6;1,13;40,14;76,75
"AT22";"Cybersecurity";32;0,58;19,19;76,75
"BE34";"Cybersecurity";3;0,73;6,87;76,75
"ES24";"Cybersecurity";0;0;7,75;76,75
"ITI3";"Cybersecurity";2;0,14;11,09;76,75
"DEZZ";"Cybersecurity";1;0,14;9,33;76,75
"LT00";"Cybersecurity";4;0,73;39,26;76,75
"LVZZ";"Cybersecurity";0;0;0,53;76,75
"BG34";"Cybersecurity";1;1,42;28,87;76,75
"SE22";"Cybersecurity";322;2,73;69,72;76,75
"ITG2";"Cybersecurity";2;0,7;10,21;76,75
"PL42";"Cybersecurity";2;1,41;29,4;76,75
"UKK2";"Cybersecurity";26;2,01;35,04;76,75
"RO42";"Cybersecurity";2;0,62;48,24;76,75
"AT21";"Cybersecurity";14;1,42;26,23;76,75
"UKJ2";"Cybersecurity";92;1,69;82,39;76,75
"UKH3";"Cybersecurity";18;0,92;24,65;76,75
"FR72";"Cybersecurity";8;0,18;5,63;76,75
"SI03";"Cybersecurity";4;0,27;17,43;76,75
"ES43";"Cybersecurity";0;0;7,57;76,75
"PT30";"Cybersecurity";0;0;26,41;76,75
"FIZZ";"Cybersecurity";0;0;11,62;76,75
"CZ04";"Cybersecurity";6;2,05;21,13;76,75
"UKM5";"Cybersecurity";6;0,35;11,97;76,75
"LTZZ";"Cybersecurity";0;0;24,3;76,75
"HU31";"Cybersecurity";2;0,74;30,81;76,75
"IE01";"Cybersecurity";10;0,53;41,73;76,75
"FR26";"Cybersecurity";5;0,38;9,86;76,75
"EL62";"Cybersecurity";0;0;0,18;76,75
"FI19";"Cybersecurity";45;0,83;72,01;76,75
"PL34";"Cybersecurity";1;0,85;10,74;76,75
"FRY4";"Cybersecurity";1;0,82;27,46;76,75
"PL51";"Cybersecurity";9;0,82;36,97;76,75
"FR83";"Cybersecurity";1;1,17;28,17;76,75
"UKE4";"Cybersecurity";10;0,55;18,31;76,75
"EL41";"Cybersecurity";2;7,54;48,94;76,75
"BE31";"Cybersecurity";12;0,47;13,73;76,75
"NL22";"Cybersecurity";8;0,18;3,87;76,75
"NL33";"Cybersecurity";46;0,5;9,15;76,75
"PL62";"Cybersecurity";0;0;12,5;76,75
"FR21";"Cybersecurity";2;0,22;6,69;76,75
"UKM2";"Cybersecurity";51;1,45;41,55;76,75
"ROZZ";"Cybersecurity";0;0;37,32;76,75
"ESZZ";"Cybersecurity";0;0;24,82;76,75
"UKN0";"Cybersecurity";23;1,48;41,73;76,75
"IEZZ";"Cybersecurity";25;3,16;78,52;76,75
"UKJ3";"Cybersecurity";89;1,74;73,77;76,75
"ES13";"Cybersecurity";0;0;6,16;76,75
"FR81";"Cybersecurity";17;0,52;8,8;76,75
"UKE2";"Cybersecurity";9;0,77;36,97;76,75
"NL21";"Cybersecurity";13;0,69;9,86;76,75
"DE80";"Cybersecurity";3;0,22;6,51;76,75
"CZZZ";"Cybersecurity";0;0;0;76,75
"ITF4";"Cybersecurity";7;0,59;12,5;76,75
"IE02";"Cybersecurity";108;1,99;71,48;76,75
"FR62";"Cybersecurity";57;0,82;19,72;76,75
"UKC1";"Cybersecurity";7;0,36;7,92;76,75
"FR30";"Cybersecurity";15;0,42;14,96;76,75
"NL31";"Cybersecurity";8;0,24;5,63;76,75
"HU21";"Cybersecurity";1;0,23;62,15;76,75
"DE13";"Cybersecurity";46;0,36;15,49;76,75
"MT00";"Cybersecurity";4;2,56;57,92;76,75
"ITF3";"Cybersecurity";58;3,05;48,77;76,75
"RO41";"Cybersecurity";0;0;2,99;76,75
"RO21";"Cybersecurity";4;3,11;67,96;76,75
"PL31";"Cybersecurity";2;0,88;26,23;76,75
"CH01";"Cybersecurity";198;1,49;40,67;76,75
"UKG1";"Cybersecurity";12;0,62;29,93;76,75
"DK02";"Cybersecurity";9;0,46;12,68;76,75
"ES22";"Cybersecurity";7;0,73;14,79;76,75
"NL23";"Cybersecurity";3;0,88;2,11;76,75
"RO32";"Cybersecurity";26;5,63;65,49;76,75
"FI20";"Cybersecurity";1;2,58;37,32;76,75
"UKK4";"Cybersecurity";8;0,98;20,77;76,75
"AT31";"Cybersecurity";16;0,2;14,08;76,75
"ITF2";"Cybersecurity";0;0;22,89;76,75
"UKD7";"Cybersecurity";6;0,38;13,91;76,75
"DK01";"Cybersecurity";56;0,42;9,15;76,75
"UKD1";"Cybersecurity";2;0,57;33,1;76,75
"HU23";"Cybersecurity";1;0,56;29,93;76,75
"FRY3";"Cybersecurity";0;0;0;76,75
"DE21";"Cybersecurity";1000;1,95;85,04;76,75
"AT34";"Cybersecurity";5;0,13;6,16;76,75
"CH07";"Cybersecurity";6;0,32;5,11;76,75
"AT11";"Cybersecurity";0;0;14,26;76,75
"EL30";"Cybersecurity";48;3,17;69,01;76,75
"FR52";"Cybersecurity";65;1,13;69,54;76,75
"ITC1";"Cybersecurity";31;0,54;14,79;76,75
"BE21";"Cybersecurity";28;0,43;17,78;76,75
"FI1C";"Cybersecurity";59;1,6;32,75;76,75
"DED5";"Cybersecurity";7;0,42;17,25;76,75
"EL54";"Cybersecurity";0;0;5,46;76,75
"CZ01";"Cybersecurity";28;2,03;46,13;76,75
"ES70";"Cybersecurity";0;0;22,89;76,75
"FR10";"Cybersecurity";782;1,37;66,02;76,75
"DK03";"Cybersecurity";15;0,32;7,57;76,75
"ES12";"Cybersecurity";0;0;14,79;76,75
"ES42";"Cybersecurity";3;0,68;17,08;76,75
"PL32";"Cybersecurity";5;1,34;61,27;76,75
"BE10";"Cybersecurity";44;1,07;40,32;76,75
