"prio";"reg";"from";"to";"binary.pat";"binary.pub";"NEW.binary.pub"
"3D-printing/additive productie";"south-nl";"NL21";"ES51";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FR10";NA;4;4
"3D-printing/additive productie";"south-nl";"NL21";"FRB0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRE1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"FRF1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRF3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRG0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRH0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRI1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRJ2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRK1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRK2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"FRL0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"IE06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"ITC3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"ITC4";NA;3;3
"3D-printing/additive productie";"south-nl";"NL21";"ITF1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"ITF3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"ITG1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"ITI1";NA;3;3
"3D-printing/additive productie";"south-nl";"NL21";"ITI3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"ITI4";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"NL13";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL21";"NL21";24;NA;NA
"3D-printing/additive productie";"south-nl";"NL21";"NL22";2;29;29
"3D-printing/additive productie";"south-nl";"NL21";"NL31";1;3;3
"3D-printing/additive productie";"south-nl";"NL21";"NL32";NA;3;3
"3D-printing/additive productie";"south-nl";"NL21";"NL33";NA;3;3
"3D-printing/additive productie";"south-nl";"NL21";"NL34";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"NL41";1;29;29
"3D-printing/additive productie";"south-nl";"NL21";"PT11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"PT16";NA;1;1
"3D-printing/additive productie";"south-nl";"NL21";"SE22";NA;2;2
"3D-printing/additive productie";"south-nl";"NL21";"UKF3";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL22";"BE22";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"BE24";1;1;1
"3D-printing/additive productie";"south-nl";"NL22";"BE32";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"CH02";NA;8;8
"3D-printing/additive productie";"south-nl";"NL22";"CH03";NA;7;7
"3D-printing/additive productie";"south-nl";"NL22";"CH04";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"CH05";NA;8;8
"3D-printing/additive productie";"south-nl";"NL22";"DE11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"DE13";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"DE21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"DE24";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL22";"DE60";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"DE71";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"DE91";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"DE93";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"DEA2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"DEB2";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL22";"DK01";NA;3;3
"3D-printing/additive productie";"south-nl";"NL22";"ES21";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"ES30";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"ES43";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"ES51";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FR10";NA;4;4
"3D-printing/additive productie";"south-nl";"NL22";"FRB0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRE1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"FRF1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRF3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRG0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRH0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRI1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRJ2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRK1";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRK2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"FRL0";NA;2;2
"3D-printing/additive productie";"south-nl";"NL22";"IE05";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"IE06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"ITC3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"ITC4";NA;4;4
"3D-printing/additive productie";"south-nl";"NL22";"ITF1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL22";"ITF3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"ITF4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"ITG1";NA;3;3
"3D-printing/additive productie";"south-nl";"NL22";"ITI1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL22";"ITI3";NA;3;3
"3D-printing/additive productie";"south-nl";"NL22";"ITI4";NA;3;3
"3D-printing/additive productie";"south-nl";"NL22";"NL11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"NL12";NA;1;NA
"3D-printing/additive productie";"south-nl";"NL22";"NL21";2;29;29
"3D-printing/additive productie";"south-nl";"NL22";"NL22";10;NA;NA
"3D-printing/additive productie";"south-nl";"NL22";"NL31";2;20;20
"3D-printing/additive productie";"south-nl";"NL22";"NL32";1;19;19
"3D-printing/additive productie";"south-nl";"NL22";"NL33";NA;20;20
"3D-printing/additive productie";"south-nl";"NL22";"NL34";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"NL41";7;33;33
"3D-printing/additive productie";"south-nl";"NL22";"NO05";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"PL21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"PT11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"PT16";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"PT17";NA;1;1
"3D-printing/additive productie";"south-nl";"NL22";"SE22";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"BE21";6;1;1
"3D-printing/additive productie";"south-nl";"NL31";"BE23";NA;3;3
"3D-printing/additive productie";"south-nl";"NL31";"BE24";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"CH01";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"CH02";NA;9;9
"3D-printing/additive productie";"south-nl";"NL31";"CH03";NA;10;10
"3D-printing/additive productie";"south-nl";"NL31";"CH04";NA;10;10
"3D-printing/additive productie";"south-nl";"NL31";"CH05";NA;10;10
"3D-printing/additive productie";"south-nl";"NL31";"DE11";NA;4;4
"3D-printing/additive productie";"south-nl";"NL31";"DE13";NA;3;3
"3D-printing/additive productie";"south-nl";"NL31";"DE21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"DE24";NA;3;3
"3D-printing/additive productie";"south-nl";"NL31";"DE26";NA;5;5
"3D-printing/additive productie";"south-nl";"NL31";"DE27";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"DE60";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"DE71";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"DEA1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL31";"DEA2";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"DEA3";NA;4;4
"3D-printing/additive productie";"south-nl";"NL31";"DEB3";5;1;1
"3D-printing/additive productie";"south-nl";"NL31";"DK01";NA;3;3
"3D-printing/additive productie";"south-nl";"NL31";"DK02";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"DK03";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"ES21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"ES30";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"ES43";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"ES51";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"FR10";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"FR41";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL31";"FRB0";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"FRF3";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"IE04";NA;2;2
