"from";"to";"prio";"reg";"binary.pat";"binary.pub"
"NL22";"DE94";"Teeltverduurzaming";"west-nl";NA;6
"NL22";"DE94";"Tracing";"west-nl";NA;1
"NL22";"DE94";"Water- en bodem-beheer";"south-nl";NA;2
"NL22";"DE94";"Waterstof";"west-nl";1;NA
"NL22";"DEA1";"Aerospace";"west-nl";1;10
"NL22";"DEA1";"Agro-tech/Smart farming";"east-nl";NA;2
"NL22";"DEA1";"Artificial intelligence";"south-nl";NA;99
"NL22";"DEA1";"Augmented reality";"north-nl";NA;1
"NL22";"DEA1";"Batterietechnologie";"west-nl";2;NA
"NL22";"DEA1";"Bio-landbouw";"south-nl";1;1
"NL22";"DEA1";"Circulair Bouwen";"west-nl";NA;1
"NL22";"DEA1";"Circulaire en natuur - inclusieve landbouw";"east-nl";1;1
"NL22";"DEA1";"CO2 vrije elektriciteit";"west-nl";1;10
"NL22";"DEA1";"Cybersecurity";"west-nl";NA;10
"NL22";"DEA1";"Data technology";"north-nl";2;54
"NL22";"DEA1";"Defensietechnologie";"west-nl";3;NA
"NL22";"DEA1";"Digitale veiligheid";"south-nl";NA;10
"NL22";"DEA1";"E-health";"west-nl";NA;1
"NL22";"DEA1";"Electrolizers voor Power2Molecule";"south-nl";2;NA
"NL22";"DEA1";"Elektrische mobiliteit - Battery technologies";"south-nl";2;NA
"NL22";"DEA1";"Energiebesparing hardware/datacenters - Photonic memory";"south-nl";NA;1
"NL22";"DEA1";"Energieopslag - Photovoltaic";"south-nl";1;NA
"NL22";"DEA1";"Engineering Fabrication - Autonomous robots";"west-nl";NA;5
"NL22";"DEA1";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;3
"NL22";"DEA1";"Hergebruik plastic";"west-nl";1;NA
"NL22";"DEA1";"Hernieuwbare energie - Composieten";"south-nl";7;5
"NL22";"DEA1";"Hernieuwbare energie - Windturbines";"south-nl";NA;2
"NL22";"DEA1";"Hydrogen technology";"north-nl";2;NA
"NL22";"DEA1";"Imaging";"west-nl";1;8
"NL22";"DEA1";"Innovatief Waterbeheer";"west-nl";NA;4
"NL22";"DEA1";"Innovaties voor preventie - Imaging";"east-nl";1;8
"NL22";"DEA1";"Klimaatneutrale Landbouw";"west-nl";2;1
"NL22";"DEA1";"Kringloop Landbouw";"west-nl";1;1
"NL22";"DEA1";"Life sciences - Biotechnology";"west-nl";4;8
"NL22";"DEA1";"MedTech en Connected Health";"east-nl";NA;5
"NL22";"DEA1";"Medtech/beeldvorming";"south-nl";1;8
"NL22";"DEA1";"NANO";"west-nl";1;32
"NL22";"DEA1";"Nano-medicine";"south-nl";1;2
"NL22";"DEA1";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";1;32
"NL22";"DEA1";"Nanotechnologie en fotonica - Photonics";"east-nl";1;5
"NL22";"DEA1";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";7;5
"NL22";"DEA1";"Personalised/precision medicine";"south-nl";NA;3
"NL22";"DEA1";"Protein transition and food technology";"east-nl";1;NA
"NL22";"DEA1";"Recyclage";"south-nl";1;1
"NL22";"DEA1";"Regeneratieve geneeskunde";"west-nl";2;NA
"NL22";"DEA1";"Robotics - Autonomous robots";"south-nl";NA;5
"NL22";"DEA1";"Robotics - Robots";"south-nl";NA;5
"NL22";"DEA1";"Robotisering Chirurgie-opafstand";"south-nl";NA;2
"NL22";"DEA1";"Sensor technology";"north-nl";2;NA
"NL22";"DEA1";"Slimme mobiliteit";"west-nl";1;NA
"NL22";"DEA1";"Smart Industry & Industrie 4.0 - Autonomous robots";"east-nl";NA;5
"NL22";"DEA1";"Super-labfoods";"south-nl";1;NA
"NL22";"DEA1";"Teeltverduurzaming";"west-nl";NA;1
"NL22";"DEA1";"Tracing";"west-nl";NA;5
"NL22";"DEA1";"Valorisatie Deltatechnologie";"west-nl";NA;1
"NL22";"DEA1";"Waste water treatment";"south-nl";1;1
"NL22";"DEA1";"Water treatment technology";"north-nl";NA;1
"NL22";"DEA1";"Water- en bodem-beheer";"south-nl";NA;4
"NL22";"DEA1";"Waterstof";"west-nl";2;NA
"NL22";"DEA1";"Zaadveredeling";"south-nl";NA;2
"NL22";"DEA2";"3D-printing/additive productie";"south-nl";NA;2
"NL22";"DEA2";"Aerospace";"west-nl";NA;11
"NL22";"DEA2";"Agro-tech/Smart farming";"east-nl";NA;10
"NL22";"DEA2";"Agro-tech/Smart farming - Vertical Farming";"east-nl";2;NA
"NL22";"DEA2";"Artificial intelligence";"south-nl";NA;185
"NL22";"DEA2";"Augmented reality";"north-nl";NA;2
"NL22";"DEA2";"Batterietechnologie";"west-nl";NA;1
"NL22";"DEA2";"Bio-landbouw";"south-nl";NA;4
"NL22";"DEA2";"Carbon Capture";"south-nl";NA;4
"NL22";"DEA2";"Circulair Bouwen";"west-nl";NA;4
"NL22";"DEA2";"Circulaire en natuur - inclusieve landbouw";"east-nl";NA;4
"NL22";"DEA2";"CO2 vrije elektriciteit";"west-nl";1;11
"NL22";"DEA2";"Cybersecurity";"west-nl";NA;10
"NL22";"DEA2";"Data technology";"north-nl";NA;284
"NL22";"DEA2";"Defensietechnologie";"west-nl";NA;1
"NL22";"DEA2";"Digitale veiligheid";"south-nl";NA;10
"NL22";"DEA2";"Electrolizers voor Power2Molecule";"south-nl";NA;2
"NL22";"DEA2";"Elektrische mobiliteit - Battery technologies";"south-nl";NA;1
"NL22";"DEA2";"Energiebesparing hardware/datacenters - Photonic memory";"south-nl";NA;1
"NL22";"DEA2";"Energieopslag - Photovoltaic";"south-nl";1;2
"NL22";"DEA2";"Engineering Fabrication - Additive manufacturing";"west-nl";NA;2
"NL22";"DEA2";"Engineering Fabrication - Autonomous robots";"west-nl";NA;6
"NL22";"DEA2";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;3
"NL22";"DEA2";"GMO";"south-nl";NA;1
"NL22";"DEA2";"Hergebruik plastic";"west-nl";NA;2
"NL22";"DEA2";"Hernieuwbare energie - Composieten";"south-nl";NA;30
"NL22";"DEA2";"Hernieuwbare energie - Windturbines";"south-nl";NA;2
"NL22";"DEA2";"Hydrogen technology";"north-nl";NA;2
"NL22";"DEA2";"Imaging";"west-nl";2;2
"NL22";"DEA2";"Innovatief Waterbeheer";"west-nl";NA;9
"NL22";"DEA2";"Innovaties voor preventie - Imaging";"east-nl";2;2
"NL22";"DEA2";"Klimaatbeheersing";"south-nl";1;NA
"NL22";"DEA2";"Klimaatneutrale Landbouw";"west-nl";NA;4
"NL22";"DEA2";"Kringloop Landbouw";"west-nl";NA;4
"NL22";"DEA2";"Life sciences - Biotechnology";"west-nl";1;17
"NL22";"DEA2";"MedTech en Connected Health";"east-nl";NA;7
"NL22";"DEA2";"Medtech/beeldvorming";"south-nl";2;2
"NL22";"DEA2";"NANO";"west-nl";2;53
"NL22";"DEA2";"Nano-medicine";"south-nl";1;3
"NL22";"DEA2";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";2;53
"NL22";"DEA2";"Nanotechnologie en fotonica - Photonics";"east-nl";1;3
"NL22";"DEA2";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;30
"NL22";"DEA2";"Personalised/precision medicine";"south-nl";NA;3
"NL22";"DEA2";"Precisielandbouw";"south-nl";NA;2
"NL22";"DEA2";"Quantum";"west-nl";NA;6
"NL22";"DEA2";"Recyclage";"south-nl";NA;10
"NL22";"DEA2";"Regeneratieve geneeskunde";"west-nl";2;1
"NL22";"DEA2";"Robotics - Autonomous robots";"south-nl";NA;6
"NL22";"DEA2";"Robotics - Robots";"south-nl";NA;6
"NL22";"DEA2";"Robotisering Chirurgie-opafstand";"south-nl";NA;3
"NL22";"DEA2";"Sensor technology";"north-nl";2;NA
"NL22";"DEA2";"Smart Industry & Industrie 4.0 - Additive manufacturing";"east-nl";NA;2
"NL22";"DEA2";"Smart Industry & Industrie 4.0 - Autonomous robots";"east-nl";NA;6
"NL22";"DEA2";"Teeltverduurzaming";"west-nl";NA;4
"NL22";"DEA2";"Tracing";"west-nl";NA;7
"NL22";"DEA2";"Valorisatie Deltatechnologie";"west-nl";NA;3
"NL22";"DEA2";"Verduurzaming bouwsector";"west-nl";6;NA
"NL22";"DEA2";"Vertical Farming";"west-nl";2;2
"NL22";"DEA2";"Waste water treatment";"south-nl";NA;6
"NL22";"DEA2";"Water treatment technology";"north-nl";NA;2
"NL22";"DEA2";"Water- en bodem-beheer";"south-nl";NA;9
"NL22";"DEA2";"Waterstof";"west-nl";NA;2
"NL22";"DEA2";"Zaadveredeling";"south-nl";NA;3
"NL22";"DEA3";"Aerospace";"west-nl";NA;3
"NL22";"DEA3";"Agro-tech/Smart farming";"east-nl";NA;1
"NL22";"DEA3";"Artificial intelligence";"south-nl";NA;99
"NL22";"DEA3";"Augmented reality";"north-nl";NA;1
"NL22";"DEA3";"CO2 vrije elektriciteit";"west-nl";NA;2
"NL22";"DEA3";"Cybersecurity";"west-nl";NA;5
"NL22";"DEA3";"Data technology";"north-nl";NA;37
"NL22";"DEA3";"Digitale veiligheid";"south-nl";NA;5
"NL22";"DEA3";"E-health";"west-nl";NA;1
"NL22";"DEA3";"Energiebesparing hardware/datacenters - Photonic memory";"south-nl";NA;8
"NL22";"DEA3";"Energielogistiek";"west-nl";NA;2
"NL22";"DEA3";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;3
"NL22";"DEA3";"Hernieuwbare energie - Composieten";"south-nl";1;10
"NL22";"DEA3";"Imaging";"west-nl";NA;9
"NL22";"DEA3";"Innovatief Waterbeheer";"west-nl";NA;1
"NL22";"DEA3";"Innovaties voor preventie - Imaging";"east-nl";NA;9
"NL22";"DEA3";"Klimaatneutrale Landbouw";"west-nl";2;NA
"NL22";"DEA3";"Life sciences - Biotechnology";"west-nl";1;6
"NL22";"DEA3";"MedTech en Connected Health";"east-nl";NA;4
"NL22";"DEA3";"Medtech/beeldvorming";"south-nl";NA;9
"NL22";"DEA3";"NANO";"west-nl";NA;22
"NL22";"DEA3";"Nano-medicine";"south-nl";NA;2
"NL22";"DEA3";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;22
"NL22";"DEA3";"Nanotechnologie en fotonica - Photonics";"east-nl";NA;9
"NL22";"DEA3";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";1;10
"NL22";"DEA3";"Personalised/precision medicine";"south-nl";NA;3
"NL22";"DEA3";"Recyclage";"south-nl";NA;1
"NL22";"DEA3";"Robotics - Robots";"south-nl";NA;1
"NL22";"DEA3";"Robotisering Chirurgie-opafstand";"south-nl";NA;2
"NL22";"DEA3";"Smart grids";"south-nl";NA;2
"NL22";"DEA3";"Tracing";"west-nl";NA;4
"NL22";"DEA3";"Water treatment technology";"north-nl";NA;1
"NL22";"DEA3";"Water- en bodem-beheer";"south-nl";NA;1
"NL22";"DEA4";"Artificial intelligence";"south-nl";NA;15
"NL22";"DEA4";"Cybersecurity";"west-nl";NA;3
"NL22";"DEA4";"Data technology";"north-nl";NA;9
"NL22";"DEA4";"Digitale veiligheid";"south-nl";NA;3
"NL22";"DEA4";"Energiebesparing hardware/datacenters - Photonic memory";"south-nl";NA;1
"NL22";"DEA4";"Imaging";"west-nl";NA;1
"NL22";"DEA4";"Innovaties voor preventie - Imaging";"east-nl";NA;1
"NL22";"DEA4";"Life sciences - Biotechnology";"west-nl";NA;1
"NL22";"DEA4";"Medtech/beeldvorming";"south-nl";NA;1
"NL22";"DEA4";"NANO";"west-nl";NA;1
"NL22";"DEA4";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;1
"NL22";"DEA4";"Nanotechnologie en fotonica - Photonics";"east-nl";NA;4
"NL22";"DEA4";"Robotics - Robots";"south-nl";NA;2
"NL22";"DEA5";"Agro-tech/Smart farming - Vertical Farming";"east-nl";NA;1
"NL22";"DEA5";"Artificial intelligence";"south-nl";NA;44
"NL22";"DEA5";"Bio-landbouw";"south-nl";1;1
"NL22";"DEA5";"Circulaire en natuur - inclusieve landbouw";"east-nl";1;1
"NL22";"DEA5";"CO2 vrije elektriciteit";"west-nl";1;NA
"NL22";"DEA5";"Cybersecurity";"west-nl";NA;24
"NL22";"DEA5";"Data technology";"north-nl";NA;27
"NL22";"DEA5";"Defensietechnologie";"west-nl";1;NA
"NL22";"DEA5";"Digitale veiligheid";"south-nl";NA;24
"NL22";"DEA5";"Energiebesparing hardware/datacenters - Photonic memory";"south-nl";NA;1
"NL22";"DEA5";"Energieopslag - Photovoltaic";"south-nl";1;NA
"NL22";"DEA5";"Engineering Fabrication - Autonomous robots";"west-nl";NA;1
"NL22";"DEA5";"Hernieuwbare energie - Composieten";"south-nl";1;NA
"NL22";"DEA5";"Imaging";"west-nl";NA;3
"NL22";"DEA5";"Innovatief Waterbeheer";"west-nl";NA;1
"NL22";"DEA5";"Innovaties voor preventie - Imaging";"east-nl";NA;3
"NL22";"DEA5";"Klimaatneutrale Landbouw";"west-nl";NA;1
"NL22";"DEA5";"Kringloop Landbouw";"west-nl";1;NA
"NL22";"DEA5";"Life sciences - Biotechnology";"west-nl";NA;3
"NL22";"DEA5";"MedTech en Connected Health";"east-nl";NA;3
"NL22";"DEA5";"Medtech/beeldvorming";"south-nl";NA;3
"NL22";"DEA5";"NANO";"west-nl";NA;8
"NL22";"DEA5";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;8
"NL22";"DEA5";"Nanotechnologie en fotonica - Photonics";"east-nl";NA;2
"NL22";"DEA5";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";1;NA
"NL22";"DEA5";"Quantum";"west-nl";NA;1
"NL22";"DEA5";"Recyclage";"south-nl";NA;1
"NL22";"DEA5";"Robotics - Autonomous robots";"south-nl";NA;1
"NL22";"DEA5";"Robotics - Robots";"south-nl";NA;2
"NL22";"DEA5";"Slimme mobiliteit";"west-nl";1;1
"NL22";"DEA5";"Smart Industry & Industrie 4.0 - Autonomous robots";"east-nl";NA;1
"NL22";"DEA5";"Teeltverduurzaming";"west-nl";NA;1
"NL22";"DEA5";"Tracing";"west-nl";NA;3
"NL22";"DEA5";"Vertical Farming";"west-nl";NA;1
"NL22";"DEA5";"Waste water treatment";"south-nl";1;1
"NL22";"DEA5";"Water- en bodem-beheer";"south-nl";NA;1
"NL22";"DEB1";"Aerospace";"west-nl";NA;1
"NL22";"DEB1";"Artificial intelligence";"south-nl";NA;20
"NL22";"DEB1";"Cybersecurity";"west-nl";NA;3
"NL22";"DEB1";"Data technology";"north-nl";NA;5
"NL22";"DEB1";"Digitale veiligheid";"south-nl";NA;3
"NL22";"DEB1";"E-health";"west-nl";NA;1
"NL22";"DEB1";"Hernieuwbare energie - Composieten";"south-nl";NA;7
"NL22";"DEB1";"Imaging";"west-nl";NA;1
"NL22";"DEB1";"Innovatief Waterbeheer";"west-nl";NA;1
"NL22";"DEB1";"Innovaties voor preventie - Imaging";"east-nl";NA;1
"NL22";"DEB1";"Klimaatneutrale Landbouw";"west-nl";NA;2
"NL22";"DEB1";"Life sciences - Biotechnology";"west-nl";NA;1
"NL22";"DEB1";"Medtech/beeldvorming";"south-nl";NA;1
"NL22";"DEB1";"NANO";"west-nl";NA;23
"NL22";"DEB1";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;23
"NL22";"DEB1";"Nanotechnologie en fotonica - Photonics";"east-nl";1;1
"NL22";"DEB1";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;7
"NL22";"DEB1";"Waste water treatment";"south-nl";NA;2
"NL22";"DEB1";"Water- en bodem-beheer";"south-nl";NA;1
"NL22";"DEB2";"3D-printing/additive productie";"south-nl";1;NA
"NL22";"DEB2";"Agro-tech/Smart farming";"east-nl";NA;1
"NL22";"DEB2";"Artificial intelligence";"south-nl";NA;1
"NL22";"DEB2";"Data technology";"north-nl";1;3
"NL22";"DEB2";"Engineering Fabrication - Additive manufacturing";"west-nl";1;NA
"NL22";"DEB2";"Precisielandbouw";"south-nl";NA;1
"NL22";"DEB2";"Sensor technology";"north-nl";1;NA
"NL22";"DEB2";"Smart Industry & Industrie 4.0 - Additive manufacturing";"east-nl";1;NA
"NL22";"DEB3";"Aerospace";"west-nl";NA;2
"NL22";"DEB3";"Agro-tech/Smart farming";"east-nl";NA;8
"NL22";"DEB3";"Artificial intelligence";"south-nl";NA;167
"NL22";"DEB3";"Batterietechnologie";"west-nl";NA;1
"NL22";"DEB3";"Bio-landbouw";"south-nl";NA;1
"NL22";"DEB3";"Biosensors";"south-nl";1;NA
"NL22";"DEB3";"Carbon Capture";"south-nl";NA;2
"NL22";"DEB3";"Circulair Bouwen";"west-nl";NA;4
"NL22";"DEB3";"Circulaire en natuur - inclusieve landbouw";"east-nl";NA;1
"NL22";"DEB3";"CO2 vrije elektriciteit";"west-nl";1;3
"NL22";"DEB3";"Cybersecurity";"west-nl";NA;19
"NL22";"DEB3";"Data technology";"north-nl";NA;60
"NL22";"DEB3";"Digitale veiligheid";"south-nl";NA;19
"NL22";"DEB3";"E-health";"west-nl";NA;1
"NL22";"DEB3";"Elektrische mobiliteit - Battery technologies";"south-nl";NA;1
"NL22";"DEB3";"Energieopslag - Photovoltaic";"south-nl";1;NA
"NL22";"DEB3";"Engineering Fabrication - Autonomous robots";"west-nl";NA;1
"NL22";"DEB3";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;5
"NL22";"DEB3";"Hernieuwbare energie - Composieten";"south-nl";1;13
"NL22";"DEB3";"Hernieuwbare energie - Windturbines";"south-nl";NA;4
"NL22";"DEB3";"Imaging";"west-nl";NA;10
"NL22";"DEB3";"Innovatief Waterbeheer";"west-nl";NA;1
"NL22";"DEB3";"Innovaties voor preventie - Imaging";"east-nl";NA;10
"NL22";"DEB3";"Klimaatbeheersing";"south-nl";2;NA
"NL22";"DEB3";"Klimaatneutrale Landbouw";"west-nl";NA;3
"NL22";"DEB3";"Kringloop Landbouw";"west-nl";NA;4
"NL22";"DEB3";"Life sciences - Biotechnology";"west-nl";2;12
"NL22";"DEB3";"Medtech/beeldvorming";"south-nl";NA;10
"NL22";"DEB3";"NANO";"west-nl";NA;50
"NL22";"DEB3";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;50
"NL22";"DEB3";"Nanotechnologie en fotonica - Photonics";"east-nl";NA;2
"NL22";"DEB3";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";1;13
"NL22";"DEB3";"Personalised/precision medicine";"south-nl";NA;5
"NL22";"DEB3";"Precisielandbouw";"south-nl";NA;1
"NL22";"DEB3";"Quantum";"west-nl";NA;2
"NL22";"DEB3";"Recyclage";"south-nl";NA;2
"NL22";"DEB3";"Regeneratieve geneeskunde";"west-nl";2;NA
"NL22";"DEB3";"Robotics - Autonomous robots";"south-nl";NA;1
"NL22";"DEB3";"Robotics - Robots";"south-nl";NA;6
"NL22";"DEB3";"Sensor technology";"north-nl";NA;1
"NL22";"DEB3";"Smart Industry & Industrie 4.0 - Autonomous robots";"east-nl";NA;1
"NL22";"DEB3";"Teeltverduurzaming";"west-nl";NA;1
"NL22";"DEB3";"Verduurzaming bouwsector";"west-nl";2;1
"NL22";"DEB3";"Waste water treatment";"south-nl";NA;1
"NL22";"DEB3";"Water- en bodem-beheer";"south-nl";NA;1
"NL22";"DEB3";"Zaadveredeling";"south-nl";NA;1
"NL22";"DEC0";"Artificial intelligence";"south-nl";NA;21
"NL22";"DEC0";"Cybersecurity";"west-nl";NA;6
"NL22";"DEC0";"Data technology";"north-nl";NA;2
"NL22";"DEC0";"Digitale veiligheid";"south-nl";NA;6
"NL22";"DEC0";"Engineering Fabrication - Autonomous robots";"west-nl";NA;1
"NL22";"DEC0";"Hernieuwbare energie - Composieten";"south-nl";NA;5
"NL22";"DEC0";"Life sciences - Biotechnology";"west-nl";NA;2
"NL22";"DEC0";"NANO";"west-nl";NA;13
"NL22";"DEC0";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;13
"NL22";"DEC0";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;5
"NL22";"DEC0";"Robotics - Autonomous robots";"south-nl";NA;1
"NL22";"DEC0";"Robotics - Robots";"south-nl";NA;1
"NL22";"DEC0";"Smart Industry & Industrie 4.0 - Autonomous robots";"east-nl";NA;1
"NL22";"DED2";"Aerospace";"west-nl";NA;1
"NL22";"DED2";"Agro-tech/Smart farming";"east-nl";NA;2
"NL22";"DED2";"Artificial intelligence";"south-nl";NA;37
"NL22";"DED2";"Biosensors";"south-nl";NA;2
"NL22";"DED2";"Cybersecurity";"west-nl";NA;2
"NL22";"DED2";"Data technology";"north-nl";NA;16
"NL22";"DED2";"Digitale veiligheid";"south-nl";NA;2
"NL22";"DED2";"Energieopslag - Photovoltaic";"south-nl";NA;1
"NL22";"DED2";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL22";"DED2";"Hernieuwbare energie - Composieten";"south-nl";NA;8
"NL22";"DED2";"Innovatief Waterbeheer";"west-nl";NA;1
"NL22";"DED2";"MedTech en Connected Health";"east-nl";NA;1
"NL22";"DED2";"NANO";"west-nl";NA;22
"NL22";"DED2";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;22
"NL22";"DED2";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;8
"NL22";"DED2";"Personalised/precision medicine";"south-nl";NA;1
"NL22";"DED2";"Precisielandbouw";"south-nl";NA;1
"NL22";"DED2";"Recyclage";"south-nl";NA;1
"NL22";"DED2";"Sensor technology";"north-nl";NA;1
"NL22";"DED2";"Tracing";"west-nl";NA;1
"NL22";"DED2";"Valorisatie Deltatechnologie";"west-nl";NA;1
"NL22";"DED2";"Waste water treatment";"south-nl";NA;1
"NL22";"DED2";"Water treatment technology";"north-nl";NA;1
"NL22";"DED2";"Water- en bodem-beheer";"south-nl";NA;1
"NL22";"DED4";"Aerospace";"west-nl";NA;1
"NL22";"DED4";"Agro-tech/Smart farming";"east-nl";NA;2
"NL22";"DED4";"Artificial intelligence";"south-nl";NA;37
"NL22";"DED4";"Biosensors";"south-nl";NA;2
"NL22";"DED4";"Cybersecurity";"west-nl";NA;2
"NL22";"DED4";"Data technology";"north-nl";NA;23
"NL22";"DED4";"Digitale veiligheid";"south-nl";NA;2
"NL22";"DED4";"Energieopslag - Photovoltaic";"south-nl";NA;1
"NL22";"DED4";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL22";"DED4";"Hernieuwbare energie - Composieten";"south-nl";NA;12
"NL22";"DED4";"Innovatief Waterbeheer";"west-nl";NA;1
"NL22";"DED4";"MedTech en Connected Health";"east-nl";NA;1
"NL22";"DED4";"NANO";"west-nl";NA;25
"NL22";"DED4";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;25
"NL22";"DED4";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;12
"NL22";"DED4";"Personalised/precision medicine";"south-nl";NA;1
"NL22";"DED4";"Precisielandbouw";"south-nl";NA;1
"NL22";"DED4";"Recyclage";"south-nl";NA;1
"NL22";"DED4";"Sensor technology";"north-nl";NA;1
"NL22";"DED4";"Tracing";"west-nl";NA;1
"NL22";"DED4";"Valorisatie Deltatechnologie";"west-nl";NA;1
"NL22";"DED4";"Waste water treatment";"south-nl";NA;1
"NL22";"DED4";"Water treatment technology";"north-nl";NA;1
"NL22";"DED4";"Water- en bodem-beheer";"south-nl";NA;1
"NL22";"DED5";"Agro-tech/Smart farming";"east-nl";NA;1
"NL22";"DED5";"Artificial intelligence";"south-nl";NA;48
"NL22";"DED5";"Carbon Capture";"south-nl";NA;3
"NL22";"DED5";"Circulair Bouwen";"west-nl";NA;1
"NL22";"DED5";"CO2 vrije elektriciteit";"west-nl";NA;4
"NL22";"DED5";"Cybersecurity";"west-nl";NA;2
"NL22";"DED5";"Data technology";"north-nl";NA;42
"NL22";"DED5";"Digitale veiligheid";"south-nl";NA;2
"NL22";"DED5";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL22";"DED5";"Hergebruik plastic";"west-nl";NA;2
"NL22";"DED5";"Imaging";"west-nl";NA;2
"NL22";"DED5";"Innovatief Waterbeheer";"west-nl";NA;4
"NL22";"DED5";"Innovaties voor preventie - Imaging";"east-nl";NA;2
"NL22";"DED5";"Kringloop Landbouw";"west-nl";NA;1
"NL22";"DED5";"Life sciences - Biotechnology";"west-nl";2;4
"NL22";"DED5";"MedTech en Connected Health";"east-nl";NA;1
"NL22";"DED5";"Medtech/beeldvorming";"south-nl";NA;2
"NL22";"DED5";"NANO";"west-nl";NA;3
"NL22";"DED5";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;3
"NL22";"DED5";"Personalised/precision medicine";"south-nl";NA;1
"NL22";"DED5";"Precisielandbouw";"south-nl";NA;1
"NL22";"DED5";"Protein transition and food technology";"east-nl";4;1
"NL22";"DED5";"Super-labfoods";"south-nl";4;NA
"NL22";"DED5";"Tracing";"west-nl";NA;1
"NL22";"DED5";"Verduurzaming bouwsector";"west-nl";NA;2
"NL22";"DED5";"Waste water treatment";"south-nl";NA;5
"NL22";"DED5";"Water treatment technology";"north-nl";NA;2
"NL22";"DED5";"Water- en bodem-beheer";"south-nl";NA;4
"NL22";"DED5";"Zaadveredeling";"south-nl";NA;1
"NL22";"DEE0";"Artificial intelligence";"south-nl";NA;23
"NL22";"DEE0";"Augmented reality";"north-nl";NA;1
"NL22";"DEE0";"Bio-landbouw";"south-nl";NA;5
"NL22";"DEE0";"Circulaire en natuur - inclusieve landbouw";"east-nl";NA;5
"NL22";"DEE0";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL22";"DEE0";"Cybersecurity";"west-nl";NA;2
"NL22";"DEE0";"Data technology";"north-nl";NA;20
"NL22";"DEE0";"Digitale veiligheid";"south-nl";NA;2
"NL22";"DEE0";"Hernieuwbare energie - Composieten";"south-nl";NA;2
"NL22";"DEE0";"Klimaatneutrale Landbouw";"west-nl";NA;5
"NL22";"DEE0";"Life sciences - Biotechnology";"west-nl";NA;21
"NL22";"DEE0";"MedTech en Connected Health";"east-nl";NA;1
"NL22";"DEE0";"NANO";"west-nl";NA;4
"NL22";"DEE0";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;4
"NL22";"DEE0";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;2
"NL22";"DEE0";"Robotics - Robots";"south-nl";NA;2
"NL22";"DEE0";"Teeltverduurzaming";"west-nl";NA;5
"NL22";"DEE0";"Tracing";"west-nl";NA;1
"NL22";"DEE0";"Waste water treatment";"south-nl";NA;2
"NL22";"DEF0";"Aerospace";"west-nl";NA;8
"NL22";"DEF0";"Agro-tech/Smart farming";"east-nl";NA;2
"NL22";"DEF0";"Artificial intelligence";"south-nl";NA;89
"NL22";"DEF0";"Bio-landbouw";"south-nl";NA;1
"NL22";"DEF0";"Carbon Capture";"south-nl";NA;6
"NL22";"DEF0";"Circulair Bouwen";"west-nl";NA;1
"NL22";"DEF0";"Circulaire en natuur - inclusieve landbouw";"east-nl";NA;1
"NL22";"DEF0";"CO2 vrije elektriciteit";"west-nl";NA;4
"NL22";"DEF0";"Cybersecurity";"west-nl";NA;13
"NL22";"DEF0";"Data technology";"north-nl";NA;34
"NL22";"DEF0";"Digitale veiligheid";"south-nl";NA;13
"NL22";"DEF0";"E-health";"west-nl";NA;1
"NL22";"DEF0";"Energiebesparing hardware/datacenters - Photonic memory";"south-nl";NA;1
"NL22";"DEF0";"Engineering Fabrication - Autonomous robots";"west-nl";NA;1
"NL22";"DEF0";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
