"from";"to";"prio";"reg";"binary.pat";"binary.pub"
"NL11";"BE31";"Artificial intelligence";"south-nl";NA;8
"NL11";"BE31";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL11";"BE31";"Data technology";"north-nl";NA;7
"NL11";"BE31";"E-health";"west-nl";NA;1
"NL11";"BE31";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"BE31";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"BE31";"Hernieuwbare energie - Windturbines";"south-nl";NA;2
"NL11";"BE31";"Imaging";"west-nl";NA;3
"NL11";"BE31";"Innovaties voor preventie - Imaging";"east-nl";NA;3
"NL11";"BE31";"Medtech/beeldvorming";"south-nl";NA;3
"NL11";"BE31";"NANO";"west-nl";NA;3
"NL11";"BE31";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;3
"NL11";"BE31";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;1
"NL11";"BE31";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"BE31";"Regeneratieve geneeskunde";"west-nl";NA;1
"NL11";"BE32";"Aerospace";"west-nl";NA;2
"NL11";"BE32";"Artificial intelligence";"south-nl";NA;6
"NL11";"BE32";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL11";"BE32";"Data technology";"north-nl";NA;6
"NL11";"BE32";"E-health";"west-nl";NA;1
"NL11";"BE32";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"BE32";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"BE32";"Hernieuwbare energie - Windturbines";"south-nl";NA;2
"NL11";"BE32";"Imaging";"west-nl";NA;3
"NL11";"BE32";"Innovaties voor preventie - Imaging";"east-nl";NA;3
"NL11";"BE32";"Medtech/beeldvorming";"south-nl";NA;3
"NL11";"BE32";"NANO";"west-nl";NA;1
"NL11";"BE32";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;1
"NL11";"BE32";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;1
"NL11";"BE32";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"BE33";"Aerospace";"west-nl";NA;3
"NL11";"BE33";"Artificial intelligence";"south-nl";NA;10
"NL11";"BE33";"Biosensors";"south-nl";1;NA
"NL11";"BE33";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL11";"BE33";"Data technology";"north-nl";NA;10
"NL11";"BE33";"E-health";"west-nl";NA;1
"NL11";"BE33";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"BE33";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"BE33";"Hernieuwbare energie - Windturbines";"south-nl";NA;2
"NL11";"BE33";"Imaging";"west-nl";NA;3
