"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL34","A01",32,3.11,41.98,71.85,"south"
"NL41","A01",134,0.48,24.87,71.85,"south"
"NL42","A01",66,1.1,41.45,71.85,"south"
"NL34","A21",3,3.6,50,86.55,"south"
"NL41","A21",34,1.51,59.14,86.55,"south"
"NL42","A21",17,3.49,61.14,86.55,"south"
"NL34","A22",3,5.72,42.18,78.48,"south"
"NL41","A22",48,3.39,51.7,78.48,"south"
"NL42","A22",13,4.25,43.2,78.48,"south"
"NL34","A23",13,2.09,43.22,68.1,"south"
"NL41","A23",179,1.06,45.44,68.1,"south"
"NL42","A23",100,2.75,57.13,68.1,"south"
"NL41","A24",2,0.03,52.59,61.94,"south"
"NL41","A41",9,0.38,31.58,77.43,"south"
"NL42","A41",7,1.37,45.36,77.43,"south"
"NL42","A42",2,1.17,43.01,68.08,"south"
"NL41","A43",2,0.09,16.04,73.11,"south"
"NL42","A43",3,0.65,58.82,73.11,"south"
"NL41","A44",8,0.48,19.16,84.26,"south"
"NL42","A44",1,0.28,35.58,84.26,"south"
"NL41","A45",89,1.72,44.23,66.17,"south"
"NL42","A45",3,0.27,34.18,66.17,"south"
"NL34","A46",3,3.99,14.89,71.86,"south"
"NL41","A46",106,5.21,70.51,71.86,"south"
"NL42","A46",1,0.23,14.61,71.86,"south"
"NL34","A47",3,0.32,28.19,84.05,"south"
"NL41","A47",293,1.16,31.77,84.05,"south"
"NL42","A47",10,0.18,34.67,84.05,"south"
"NL34","A61",25,0.46,38.09,50.73,"south"
"NL41","A61",3067,2.09,37.59,50.73,"south"
"NL42","A61",182,0.57,48,50.73,"south"
"NL41","A62",49,1.57,17.7,64.68,"south"
"NL34","A63",1,0.47,13.43,54.42,"south"
"NL41","A63",38,0.67,47.17,54.42,"south"
"NL42","A63",6,0.49,19.96,54.42,"south"
"NL34","B01",44,2.88,42,70.09,"south"
"NL41","B01",205,0.5,17.97,70.09,"south"
"NL42","B01",138,1.55,35.31,70.09,"south"
"NL41","B02",11,0.51,18.4,89.99,"south"
"NL42","B02",4,0.87,30.51,89.99,"south"
"NL34","B03",1,1.71,38.77,76.29,"south"
"NL41","B03",9,0.57,10.86,76.29,"south"
"NL41","B04",7,0.54,19.64,72.73,"south"
"NL34","B05",10,2.45,33.37,88.62,"south"
"NL41","B05",57,0.52,23.88,88.62,"south"
"NL42","B05",27,1.13,47.23,88.62,"south"
"NL41","B06",87,7.22,62.54,60.67,"south"
"NL34","B07",2,2.69,35.05,88.89,"south"
"NL41","B07",6,0.3,26.64,88.89,"south"
"NL42","B07",3,0.69,32.48,88.89,"south"
"NL34","B08",1,0.69,36.61,84.31,"south"
"NL41","B08",64,1.63,26.79,84.31,"south"
"NL42","B08",1,0.12,29.76,84.31,"south"
"NL41","B09",2,0.19,10.66,75.31,"south"
"NL42","B09",1,0.45,29.62,75.31,"south"
"NL34","B21",1,0.33,19.79,90.56,"south"
"NL41","B21",11,0.13,9.38,90.56,"south"
"NL42","B21",3,0.17,20.7,90.56,"south"
"NL34","B22",1,0.29,41.04,79.04,"south"
"NL41","B22",10,0.11,6.51,79.04,"south"
"NL42","B22",5,0.25,34.31,79.04,"south"
"NL34","B23",2,0.27,19.23,84.39,"south"
"NL41","B23",31,0.16,14.58,84.39,"south"
"NL42","B23",16,0.37,21.15,84.39,"south"
