"country";"fua_id";"fua_name";"city";"tech";"index";"rankindex";"pat";"rankpat";"rel";"rankrel";"rca";"rankrca"
"KP";"KP3";"Hamhung";"Hamhung";"Autonomous vehicles";17,81;87;0;96;3,92;87;0;96
"KR";"KR011";"Seoul";"Seoul";"Autonomous vehicles";97,26;4;1535;3;39,38;9;1,42;6
"KR";"KR012";"Incheon";"Incheon";"Autonomous vehicles";84,47;16;61;15;27,51;25;0,82;21
"KR";"KR021";"Busan";"Busan";"Autonomous vehicles";71,69;31;18;27;23,92;33;0,36;44
"KR";"KR022";"Ulsan";"Ulsan";"Autonomous vehicles";64,38;44;8;42;19,1;41;0,4;38
"KR";"KR031";"Daegu";"Daegu";"Autonomous vehicles";78,54;20;26;20;21,71;36;0,62;28
"KR";"KR032";"Gyeongsangbuk-do";"Gumi";"Autonomous vehicles";66,21;38;20;25;12,97;58;0,38;42
"KR";"KR041";"Gwangju";"Gwangju";"Autonomous vehicles";85,39;15;24;21;35,39;15;0,95;14
"KR";"KR042";"Jeollabuk-do";"Jeonju";"Autonomous vehicles";59,82;49;8;42;16,28;50;0,35;46
"KR";"KR051";"Daejeon";"Daejon";"Autonomous vehicles";65,3;41;54;17;5,95;78;0,21;54
"KR";"KR052";"Chungcheongbuk-do";"Cheongju";"Autonomous vehicles";67,12;37;15;30;15,52;52;0,47;34
"KR";"KR053";"Chungcheongnam-do";"Cheonan";"Autonomous vehicles";64,84;42;15;30;13,37;57;0,39;40
"KR";"KR071";"Jeju-do";"Jeju";"Autonomous vehicles";65,75;40;3;51;30,85;20;0,38;42
"LA";"LA4";"Vientiane";"Vientiane";"Autonomous vehicles";3,65;118;0;96;0,05;118;0;96
"MM";"MM18";"Yangon";"Yangon";"Autonomous vehicles";0;126;0;96;0;126;0;96
"MM";"MM5";"Mandalay";"Mandalay";"Autonomous vehicles";3,2;119;0;96;0,04;119;0;96
"MN";"MN1";"Ulaanbaatar";"Ulaanbaatar";"Autonomous vehicles";24,66;72;0;96;12,56;61;0;96
"MO";"MO000";"Macau";"Macao";"Autonomous vehicles";21,46;79;0;96;7,78;76;0;96
"MY";"MY1";"Alor Setar";"Alor Star";"Autonomous vehicles";25,11;71;0;96;12,64;59;0;96
"MY";"MY12";"Kota Kinabalu";"Kota Kinabalu";"Autonomous vehicles";18,26;86;0;96;4,36;86;0;96
"MY";"MY13";"Kuala Lumpur";"Kuala Lumpur";"Autonomous vehicles";50,23;58;1;61;18,89;42;0,2;56
"MY";"MY14";"Kuala Terengganu";"Kuala Terengganu";"Autonomous vehicles";9,59;105;0;96;0,29;105;0;96
"MY";"MY15";"Kuantan";"Kuantan";"Autonomous vehicles";12,33;99;0;96;1,06;99;0;96
"MY";"MY16";"Kuching";"Kuching";"Autonomous vehicles";13,24;97;0;96;1,2;97;0;96
"MY";"MY24";"Seremban";"Seremban";"Autonomous vehicles";15,53;92;0;96;2,15;92;0;96
"MY";"MY29";"Sandakan";"Sandakan";"Autonomous vehicles";2,74;120;0;96;0,02;120;0;96
"MY";"MY8";"Ipoh";"Ipoh";"Autonomous vehicles";25,57;70;0;96;13,48;55;0;96
"MY";"MY9";"Johor Bahru";"Johor Bahru";"Autonomous vehicles";31,96;66;0;96;28,17;23;0;96
"PH";"PH1";"Angeles";"Angeles City";"Autonomous vehicles";4,57;116;0;96;0,07;116;0;96
"PH";"PH12";"Cebu";"Cebu City";"Autonomous vehicles";19,63;83;0;96;5,35;82;0;96
"PH";"PH15";"Davao";"Davao City";"Autonomous vehicles";10,5;103;0;96;0,63;103;0;96
"PH";"PH18";"General Santos";"General Santos City";"Autonomous vehicles";11,87;100;0;96;0,78;100;0;96
"PH";"PH2";"Bacolod";"Bacolod";"Autonomous vehicles";17,35;88;0;96;3,89;88;0;96
"PH";"PH21";"Iloilo";"Iloilo City";"Autonomous vehicles";16,89;89;0;96;3,57;89;0;96
"PH";"PH3";"Baguio";"Baguio City";"Autonomous vehicles";6,39;112;0;96;0,19;112;0;96
"PH";"PH32";"Manila";"Manila";"Autonomous vehicles";23,29;75;0;96;9,42;69;0;96
"PH";"PH46";"Tarlac";"Tarlac";"Autonomous vehicles";7,31;110;0;96;0,2;110;0;96
"PH";"PH5";"Batangas";"Batangas City";"Autonomous vehicles";22,37;77;0;96;8,29;74;0;96
"PH";"PH52";"San Fernando";"San Fernando";"Autonomous vehicles";5,48;114;0;96;0,1;114;0;96
"PH";"PH9";"Cagayan de Oro";"Cagayan de Oro City";"Autonomous vehicles";21;80;0;96;5,79;79;0;96
"SG";"SGZZZ";"Singapore";"Singapore";"Autonomous vehicles";90,41;10;104;12;33,92;16;0,98;12
"TH";"TH1";"Bangkok";"Bangkok";"Autonomous vehicles";57,08;53;3;51;16,6;49;0,4;38
"TH";"TH13";"Rayong";"Rayong";"Autonomous vehicles";14,61;94;0;96;1,89;94;0;96
"TH";"TH16";"Surat Thani";"Suphan Buri";"Autonomous vehicles";15,98;91;0;96;2,29;91;0;96
"TH";"TH17";"Ubon Ratchathani";"Ubon Ratchathani";"Autonomous vehicles";1,83;122;0;96;0,01;122;0;96
"TH";"TH18";"Udon Thani";"Udon Thani";"Autonomous vehicles";15,07;93;0;96;1,98;93;0;96
"TH";"TH2";"Chiang Mai";"Chiang Mai";"Autonomous vehicles";16,44;90;0;96;2,36;90;0;96
"TH";"TH3";"Chon Buri";"Chon Buri";"Autonomous vehicles";13,7;96;0;96;1,43;96;0;96
"TH";"TH6";"Khon Kaen";"Khon-Kaen";"Autonomous vehicles";7,31;110;0;96;0,2;110;0;96
"TH";"TH7";"Lampang";"Lampang";"Autonomous vehicles";9,13;106;0;96;0,27;106;0;96
"TH";"TH9";"Nakhon Ratchasima";"Nakhon Ratchasima";"Autonomous vehicles";8,68;107;0;96;0,26;107;0;96
"TW";"TW000";"Chinese Taipei";"Taipei";"Autonomous vehicles";74,43;24;35;19;18,75;44;0,43;36
"VN";"VN11";"Ho Chi Minh City";"Ho Chi Minh City";"Autonomous vehicles";57,99;51;1;61;19,74;39;0,49;32
"VN";"VN12";"Hanoi";"Hanoi";"Autonomous vehicles";71,69;31;2;55;27,17;26;2,6;1
"VN";"VN18";"Nha Trang";"Nha Trang";"Autonomous vehicles";4,57;116;0;96;0,07;116;0;96
