"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL22","Analysis of biological materials",26,0.92,50.59,34.97,"east"
"NL21","Analysis of biological materials",8,0.61,20.71,34.97,"east"
"NL21","Audio-visual technology",9,0.43,19.42,72.35,"east"
"NL22","Audio-visual technology",24,0.53,25.64,72.35,"east"
"NL21","Basic communication processes",5,0.67,10.99,82.4,"east"
"NL22","Basic communication processes",29,1.81,16.7,82.4,"east"
"NL21","Basic materials chemistry",47,1.51,79.85,12.17,"east"
"NL22","Basic materials chemistry",79,1.18,76.18,12.17,"east"
"NL21","Biotechnology",10,0.29,35.84,36.76,"east"
"NL22","Biotechnology",110,1.5,67.46,36.76,"east"
"NL21","Chemical engineering",51,1.36,69.24,18.36,"east"
"NL22","Chemical engineering",94,1.16,61.27,18.36,"east"
"NL21","Civil engineering",63,1.84,51.09,13.72,"east"
"NL22","Civil engineering",101,1.37,40.92,13.72,"east"
"NL21","Computer technology",16,0.28,14.37,88.39,"east"
"NL22","Computer technology",43,0.36,17.13,88.39,"east"
"NL21","Control",8,0.26,29.2,46.7,"east"
"NL22","Control",18,0.27,24.22,46.7,"east"
"NL21","Digital communication",14,0.29,9.13,100,"east"
"NL22","Digital communication",25,0.24,9.02,100,"east"
"NL21","Electrical machinery, apparatus, energy",58,0.86,45.35,30.49,"east"
"NL22","Electrical machinery, apparatus, energy",97,0.67,33.26,30.49,"east"
"NL21","Engines, pumps, turbines",15,0.51,55.92,25.2,"east"
"NL22","Engines, pumps, turbines",22,0.35,30.77,25.2,"east"
"NL21","Environmental technology",26,1.62,71.53,24.65,"east"
"NL22","Environmental technology",54,1.56,54.2,24.65,"east"
"NL21","Food chemistry",14,1.11,57.04,20.91,"east"
"NL22","Food chemistry",144,5.32,86.43,20.91,"east"
"NL21","Furniture, games",29,1.42,56.25,18.02,"east"
"NL22","Furniture, games",50,1.14,43.32,18.02,"east"
"NL21","Green technologies",83,1.21,43.86,27.17,"east"
"NL22","Green technologies",138,0.93,43.49,27.17,"east"
"NL21","Handling",63,1.72,52.41,3.8,"east"
"NL22","Handling",121,1.54,45.34,3.8,"east"
"NL21","IT methods for management",1,0.08,19.7,55.98,"east"
"NL22","IT methods for management",5,0.19,13.58,55.98,"east"
"NL22","Machine tools",39,0.66,49.27,1.93,"east"
"NL21","Machine tools",22,0.8,63.78,1.93,"east"
"NL22","Macromolecular chemistry, polymers",86,1.64,77.05,4.28,"east"
"NL21","Macromolecular chemistry, polymers",64,2.63,79.22,4.28,"east"
"NL22","Materials, metallurgy",41,0.79,61.5,19.33,"east"
"NL21","Materials, metallurgy",28,1.16,71.68,19.33,"east"
"NL22","Measurement",88,0.57,32.42,54.84,"east"
"NL21","Measurement",55,0.77,24.27,54.84,"east"
"NL21","Mechanical elements",36,0.95,48.7,14.17,"east"
"NL22","Mechanical elements",65,0.8,40.37,14.17,"east"
"NL21","Medical technology",39,0.65,43.09,41.08,"east"
"NL22","Medical technology",105,0.81,43.28,41.08,"east"
"NL21","Micro-structural and nano-technology",5,1.4,41.34,42,"east"
"NL22","Micro-structural and nano-technology",11,1.43,56.35,42,"east"
"NL21","Optics",14,0.77,32.11,45.39,"east"
"NL22","Optics",24,0.61,36.19,45.39,"east"
"NL21","Organic fine chemistry",49,1.63,54.13,28.13,"east"
"NL22","Organic fine chemistry",88,1.36,82.99,28.13,"east"
"NL21","Other consumer goods",32,1.21,56.46,23.01,"east"
"NL22","Other consumer goods",33,0.58,56.01,23.01,"east"
"NL21","Other special machines",103,1.93,63.12,0,"east"
"NL22","Other special machines",242,2.11,49.5,0,"east"
"NL21","Pharmaceuticals",24,0.55,49.63,40.46,"east"
"NL22","Pharmaceuticals",139,1.48,77.53,40.46,"east"
"NL21","Semiconductors",3,0.27,42.01,55.41,"east"
"NL22","Semiconductors",71,2.98,40.65,55.41,"east"
"NL21","Surface technology, coating",28,1.3,67.75,3.88,"east"
"NL22","Surface technology, coating",53,1.14,54.69,3.88,"east"
