"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL23","A01B",1,1.81,7.29,54.69,"west"
"NL31","A01B",3,0.81,11.8,54.69,"west"
"NL32","A01B",10,1.66,33.55,54.69,"west"
"NL33","A01B",7,0.79,63.79,54.69,"west"
"NL31","A01C",2,0.66,33.04,58.42,"west"
"NL32","A01C",10,2.02,61.53,58.42,"west"
"NL33","A01C",10,1.36,41.85,58.42,"west"
"NL31","A01D",2,0.37,17.14,49.51,"west"
"NL32","A01D",3,0.34,36.8,49.51,"west"
"NL33","A01D",20,1.53,49.14,49.51,"west"
"NL31","A01F",1,0.4,15.25,51.74,"west"
"NL32","A01F",1,0.25,23.58,51.74,"west"
"NL33","A01F",37,6.14,58.33,51.74,"west"
"NL31","A01G",6,1.35,28.03,39.29,"west"
"NL32","A01G",23,3.19,51.8,39.29,"west"
"NL33","A01G",65,6.1,46.89,39.29,"west"
"NL31","A01H",9,7.62,81.69,38.15,"west"
"NL32","A01H",15,7.82,83.45,38.15,"west"
"NL33","A01H",41,14.45,80.28,38.15,"west"
"NL23","A01J",16,108.73,56.88,53.28,"west"
"NL31","A01J",2,2.02,60.63,53.28,"west"
"NL33","A01J",45,18.92,70.63,53.28,"west"
"NL23","A01K",3,3.77,32.15,25.71,"west"
"NL31","A01K",20,3.73,51.61,25.71,"west"
"NL32","A01K",10,1.15,40.86,25.71,"west"
"NL33","A01K",71,5.51,60.11,25.71,"west"
"NL32","A01M",2,0.49,58.87,42.14,"west"
"NL33","A01M",13,2.14,43.87,42.14,"west"
"NL23","A01N",2,1.08,34.97,21.63,"west"
"NL31","A01N",7,0.56,47.44,21.63,"west"
"NL32","A01N",10,0.5,59.3,21.63,"west"
"NL33","A01N",23,0.77,55.01,21.63,"west"
"NL33","A01P",1,1.73,42.58,41.01,"west"
"NL33","A21B",2,1.15,47.49,59.39,"west"
"NL32","A21C",14,9.62,54.49,58.22,"west"
"NL33","A21C",3,1.39,74.4,58.22,"west"
"NL31","A21D",6,3.61,68.48,41.76,"west"
"NL32","A21D",14,5.19,77.92,41.76,"west"
"NL33","A21D",17,4.26,89.76,41.76,"west"
"NL32","A22B",7,10.19,60.05,35.14,"west"
"NL33","A22B",4,3.94,80.16,35.14,"west"
"NL31","A22C",3,1.84,43.02,33.59,"west"
"NL32","A22C",27,10.2,62.13,33.59,"west"
"NL33","A22C",9,2.3,70.93,33.59,"west"
"NL23","A23B",3,15.99,54.01,33.15,"west"
"NL31","A23B",8,6.34,66.6,33.15,"west"
"NL32","A23B",2,0.97,75.38,33.15,"west"
"NL33","A23B",17,5.61,73.66,33.15,"west"
"NL23","A23C",4,9.3,70.7,29.67,"west"
"NL31","A23C",25,8.64,88.96,29.67,"west"
"NL32","A23C",6,1.28,64.26,29.67,"west"
"NL33","A23C",11,1.58,82.26,29.67,"west"
"NL23","A23D",1,4.55,52.05,38.94,"west"
"NL31","A23D",8,5.41,92.91,38.94,"west"
"NL32","A23D",20,8.32,86.57,38.94,"west"
"NL33","A23D",55,15.49,94.96,38.94,"west"
"NL23","A23F",4,21.21,74.24,37.46,"west"
"NL31","A23F",27,21.28,80.95,37.46,"west"
"NL32","A23F",5,2.43,65.37,37.46,"west"
"NL33","A23F",5,1.64,58.44,37.46,"west"
"NL23","A23G",3,7.21,58.12,37.59,"west"
"NL31","A23G",7,2.5,78.06,37.59,"west"
"NL32","A23G",15,3.3,78.92,37.59,"west"
"NL33","A23G",17,2.53,82.05,37.59,"west"
"NL31","A23J",6,4.31,91.49,28.7,"west"
"NL33","A23J",12,3.59,94.04,28.7,"west"
"NL31","A23K",7,1.79,81.59,28.04,"west"
"NL32","A23K",4,0.63,75.92,28.04,"west"
"NL33","A23K",20,2.13,80.03,28.04,"west"
"NL23","A23L",15,7.02,60.46,23.61,"west"
"NL31","A23L",124,8.63,82.56,23.61,"west"
"NL32","A23L",47,2.01,70.16,23.61,"west"
"NL33","A23L",140,4.06,81.85,23.61,"west"
"NL31","A23N",2,3.34,62.87,44.4,"west"
"NL32","A23N",6,6.17,48.02,44.4,"west"
"NL23","A23P",2,5.24,60.52,39.58,"west"
"NL31","A23P",24,9.35,79.64,39.58,"west"
"NL32","A23P",6,1.44,75.52,39.58,"west"
"NL33","A23P",31,5.03,83.91,39.58,"west"
"NL23","A23V",9,6.43,65.07,21.95,"west"
"NL31","A23V",101,10.73,86.12,21.95,"west"
"NL32","A23V",35,2.29,71.57,21.95,"west"
"NL33","A23V",89,3.94,83.96,21.95,"west"
"NL23","A23Y",1,9.46,83.24,34.38,"west"
"NL31","A23Y",12,16.87,94.89,34.38,"west"
"NL32","A23Y",1,0.87,89.77,34.38,"west"
"NL33","A23Y",1,0.59,96.02,34.38,"west"
"NL33","A24B",3,0.56,10.78,31.52,"west"
"NL31","A24D",1,0.47,5.04,36.86,"west"
"NL33","A24D",1,0.2,4.75,36.86,"west"
"NL31","A24F",2,0.39,10.33,30.35,"west"
"NL32","A24F",15,1.79,12.51,30.35,"west"
"NL33","A24F",4,0.32,12.06,30.35,"west"
"NL32","A41B",1,1.16,20.46,56.82,"west"
"NL31","A41D",3,1.25,25.37,40.54,"west"
"NL32","A41D",2,0.51,36.57,40.54,"west"
"NL33","A41D",4,0.69,11.66,40.54,"west"
"NL23","A42B",1,6.69,8.3,42.52,"west"
"NL32","A42B",1,0.61,24.2,42.52,"west"
"NL31","A43B",3,1.22,28.93,45.79,"west"
"NL32","A43B",5,1.25,56.67,45.79,"west"
"NL33","A43B",5,0.85,22.43,45.79,"west"
"NL32","A43C",1,1.23,62.39,53.97,"west"
"NL31","A43D",1,2.02,34.68,45.42,"west"
"NL32","A43D",1,1.24,45.72,45.42,"west"
"NL33","A43D",2,1.68,8.11,45.42,"west"
"NL31","A44B",1,1.3,19.91,51.45,"west"
"NL32","A44B",1,0.8,27.51,51.45,"west"
"NL33","A44B",1,0.54,13.83,51.45,"west"
"NL31","A44C",1,0.7,11.93,49.38,"west"
"NL32","A44C",2,0.86,21.78,49.38,"west"
"NL31","A45B",1,3.43,41.37,51.57,"west"
"NL31","A45C",1,0.67,37.68,41.19,"west"
"NL32","A45C",6,2.48,38.08,41.19,"west"
"NL33","A45C",9,2.51,17.04,41.19,"west"
"NL32","A45D",4,0.56,23.59,37.31,"west"
"NL33","A45D",4,0.38,27.56,37.31,"west"
"NL31","A45F",2,2.22,30.92,44.56,"west"
"NL32","A45F",2,1.37,48.42,44.56,"west"
"NL33","A45F",2,0.93,42.99,44.56,"west"
"NL32","A46B",1,0.24,14.81,45.43,"west"
"NL33","A46B",2,0.33,16.29,45.43,"west"
"NL23","A47B",1,1.15,26.24,52.72,"west"
"NL31","A47B",2,0.34,24.74,52.72,"west"
"NL32","A47B",7,0.74,39.83,52.72,"west"
"NL33","A47B",11,0.78,35.71,52.72,"west"
"NL31","A47C",2,0.61,29.88,46.07,"west"
"NL32","A47C",4,0.75,41.25,46.07,"west"
"NL33","A47C",3,0.38,37.5,46.07,"west"
"NL31","A47D",1,2.55,39.5,43.76,"west"
"NL32","A47D",2,3.14,48.9,43.76,"west"
"NL33","A47D",3,3.19,36.36,43.76,"west"
"NL31","A47F",1,0.51,21,50.2,"west"
"NL32","A47F",4,1.24,33.39,50.2,"west"
"NL33","A47F",9,1.89,34.48,50.2,"west"
"NL31","A47G",2,0.86,34.48,38.77,"west"
"NL32","A47G",6,1.59,41.86,38.77,"west"
"NL33","A47G",7,1.25,33.33,38.77,"west"
"NL32","A47H",1,3.57,41.63,54.96,"west"
"NL33","A47H",1,2.42,47.37,54.96,"west"
"NL23","A47J",3,1.91,37.55,44.57,"west"
"NL31","A47J",61,5.76,48.34,44.57,"west"
"NL32","A47J",15,0.87,53.51,44.57,"west"
"NL33","A47J",15,0.59,54.06,44.57,"west"
"NL31","A47K",3,1.21,30.9,44.27,"west"
"NL32","A47K",6,1.49,34.25,44.27,"west"
"NL33","A47K",6,1.01,30.9,44.27,"west"
"NL31","A47L",1,0.13,24.87,54.15,"west"
"NL32","A47L",3,0.23,28.47,54.15,"west"
"NL33","A47L",9,0.48,21.48,54.15,"west"
"NL23","A61B",3,0.43,8.32,14.45,"west"
"NL31","A61B",42,0.9,24.3,14.45,"west"
"NL32","A61B",61,0.8,29.58,14.45,"west"
"NL33","A61B",80,0.71,32.12,14.45,"west"
"NL32","A61C",7,0.64,21.43,37.44,"west"
"NL33","A61C",6,0.37,20.62,37.44,"west"
"NL31","A61D",2,2.96,33.33,41.08,"west"
"NL33","A61D",4,2.46,42.9,41.08,"west"
"NL23","A61F",1,0.34,22.05,29.07,"west"
"NL31","A61F",14,0.71,30.53,29.07,"west"
