"id","x","y","parent","color"
"Artificial intelligence",2011,1.79,"Digital transition","blue"
"Autonomous robots",2015,1.32,"Digital transition","blue"
"Blockchain",2020,0.92,"Digital transition","blue"
"Autonomous vehicles",2020,0.92,"Digital transition","blue"
"Batteries",2020,0.92,"Green transition","green"
"Additive manufacturing",2016,1.15,"Digital transition","blue"
"Air & Water pollution reduction",2013,1.51,"Green transition","green"
"Cybersecurity",2021,1.67,"Digital transition","blue"
"Additive manufacturing",2011,1.63,"Digital transition","blue"
"Blockchain",2018,0.81,"Digital transition","blue"
"Autonomous vehicles",2019,0.72,"Digital transition","blue"
"Batteries",2014,1.17,"Green transition","green"
"Cybersecurity",2014,1.11,"Digital transition","blue"
"Batteries",2013,1.26,"Green transition","green"
"Cloud computing",2014,1.06,"Digital transition","blue"
"Cloud computing",2016,0.93,"Digital transition","blue"
"Internet of things",2021,1.37,"Digital transition","blue"
"Internet of things",2012,1.26,"Digital transition","blue"
"Additive manufacturing",2015,1.01,"Digital transition","blue"
"Additive manufacturing",2013,1.21,"Digital transition","blue"
"Autonomous robots",2021,1.28,"Digital transition","blue"
"Batteries",2012,1.16,"Green transition","green"
"Autonomous vehicles",2018,0.6,"Digital transition","blue"
"Air & Water pollution reduction",2021,1.13,"Green transition","green"
"Blockchain",2017,0.64,"Digital transition","blue"
"Autonomous robots",2014,0.86,"Digital transition","blue"
"Additive manufacturing",2014,0.84,"Digital transition","blue"
"Blockchain",2015,0.82,"Digital transition","blue"
"Cybersecurity",2013,0.97,"Digital transition","blue"
"Quantum computers",2016,0.71,"Digital transition","blue"
"Autonomous robots",2013,0.93,"Digital transition","blue"
"Waste management",2019,0.49,"Green transition","green"
"Cloud computing",2013,0.9,"Digital transition","blue"
"Additive manufacturing",2012,0.91,"Digital transition","blue"
"Internet of things",2011,0.98,"Digital transition","blue"
"Batteries",2011,0.97,"Green transition","green"
"Solar energy",2016,0.65,"Green transition","green"
"Batteries",2010,0.95,"Green transition","green"
"Batteries",2021,0.92,"Green transition","green"
"Internet of things",2010,0.91,"Digital transition","blue"
"Quantum computers",2019,0.42,"Digital transition","blue"
"Quantum computers",2014,0.69,"Digital transition","blue"
"Solar energy",2020,0.47,"Green transition","green"
