"id","x","y","parent","color"
"Autonomous robots",2010,4.24,"Digital transition","blue"
"Autonomous vehicles",2016,1.86,"Digital transition","blue"
"Cloud computing",2012,3.23,"Digital transition","blue"
"Blockchain",2014,2.14,"Digital transition","blue"
"Quantum computers",2013,2.96,"Digital transition","blue"
"Quantum computers",2011,3.9,"Digital transition","blue"
"Quantum computers",2018,1.08,"Digital transition","blue"
"Autonomous robots",2011,3.6,"Digital transition","blue"
"Cloud computing",2021,2.03,"Digital transition","blue"
"Cybersecurity",2010,3.62,"Digital transition","blue"
"Autonomous vehicles",2014,1.77,"Digital transition","blue"
"Autonomous robots",2012,2.37,"Digital transition","blue"
"Quantum computers",2020,0.75,"Digital transition","blue"
"Cloud computing",2010,2.69,"Digital transition","blue"
"Cybersecurity",2011,2.6,"Digital transition","blue"
"Quantum computers",2010,2.69,"Digital transition","blue"
"Autonomous vehicles",2013,1.85,"Digital transition","blue"
"Autonomous vehicles",2021,1.41,"Digital transition","blue"
"Quantum computers",2015,1.13,"Digital transition","blue"
"Cloud computing",2011,2.3,"Digital transition","blue"
"Smart grids",2020,0.64,"Digital transition","blue"
"Blockchain",2013,1.63,"Digital transition","blue"
"Quantum computers",2021,0.96,"Digital transition","blue"
"Autonomous vehicles",2012,1.26,"Digital transition","blue"
"Blockchain",2012,1.26,"Digital transition","blue"
"Autonomous vehicles",2010,1.45,"Digital transition","blue"
"Blockchain",2010,1.45,"Digital transition","blue"
"Blockchain",2011,1.3,"Digital transition","blue"
"Smart grids",2017,0.44,"Digital transition","blue"
"Smart grids",2015,0.61,"Digital transition","blue"
"Autonomous vehicles",2011,1.2,"Digital transition","blue"
"Smart grids",2018,0.26,"Digital transition","blue"
"Smart grids",2012,0.71,"Digital transition","blue"
"Smart grids",2014,0.43,"Digital transition","blue"
"Smart grids",2016,0.32,"Digital transition","blue"
"Smart grids",2011,0.6,"Digital transition","blue"
"Smart grids",2019,0.12,"Digital transition","blue"
"Smart grids",2010,0.52,"Digital transition","blue"
"Smart grids",2013,0.3,"Digital transition","blue"
"Smart grids",2021,0.11,"Digital transition","blue"
