"id","x","y","parent","color"
"Efficient power & combustion",2019,0.74,"Green transition","green"
"Hydrogen",2016,0.88,"Green transition","green"
"Wind energy",2013,1.06,"Green transition","green"
"Efficient power & combustion",2011,1.71,"Green transition","green"
"Efficient power & combustion",2013,1.02,"Green transition","green"
"Hydrogen",2011,1.71,"Green transition","green"
"Hydrogen",2014,0.96,"Green transition","green"
"Waste management",2013,1.02,"Green transition","green"
"Efficient power & combustion",2015,0.93,"Green transition","green"
"Hydrogen",2020,0.78,"Green transition","green"
"Wind energy",2020,0.78,"Green transition","green"
"Hydrogen",2012,1.19,"Green transition","green"
"Hydrogen",2021,1.58,"Green transition","green"
"Recycling technologies",2015,0.89,"Green transition","green"
"Recycling technologies",2017,0.66,"Green transition","green"
"Efficient power & combustion",2012,1.13,"Green transition","green"
"Nuclear energy",2018,0.58,"Green transition","green"
"Water related adaptation technologies",2017,0.59,"Green transition","green"
"Wind energy",2011,1.4,"Green transition","green"
"Wind energy",2015,0.8,"Green transition","green"
"Hydrogen",2010,1.81,"Green transition","green"
"Recycling technologies",2012,1.01,"Green transition","green"
"Recycling technologies",2013,0.74,"Green transition","green"
"Recycling technologies",2021,1.26,"Green transition","green"
"Other energy storage",2018,0.46,"Green transition","green"
"Other energy storage",2017,0.49,"Green transition","green"
"Waste management",2021,1.19,"Green transition","green"
"Efficient power & combustion",2020,0.52,"Green transition","green"
"Nuclear energy",2016,0.51,"Green transition","green"
"Water related adaptation technologies",2021,1.11,"Green transition","green"
"Nuclear energy",2019,0.4,"Green transition","green"
"Nuclear energy",2017,0.43,"Green transition","green"
"Other energy storage",2016,0.48,"Green transition","green"
"Other energy storage",2015,0.58,"Green transition","green"
"Wind energy",2010,1.39,"Green transition","green"
"Greenhouse gas capture",2013,0.55,"Green transition","green"
"Water related adaptation technologies",2016,0.44,"Green transition","green"
"Air & Water pollution reduction",2010,1.17,"Green transition","green"
"Other energy storage",2013,0.51,"Green transition","green"
"Other energy storage",2012,0.65,"Green transition","green"
"Recycling technologies",2010,1.17,"Green transition","green"
"Waste management",2011,0.85,"Green transition","green"
"Waste management",2012,0.65,"Green transition","green"
"Nuclear energy",2015,0.44,"Green transition","green"
"Other energy storage",2020,0.37,"Green transition","green"
"Wind energy",2021,0.79,"Green transition","green"
"Biofuels",2018,0.28,"Green transition","green"
"Other energy storage",2019,0.28,"Green transition","green"
"Recycling technologies",2011,0.7,"Green transition","green"
"Water related adaptation technologies",2014,0.39,"Green transition","green"
"Other energy storage",2014,0.35,"Green transition","green"
"Waste management",2010,0.85,"Green transition","green"
"Biofuels",2015,0.31,"Green transition","green"
"Biofuels",2019,0.22,"Green transition","green"
"Biofuels",2011,0.54,"Green transition","green"
"Geothermal energy",2012,0.42,"Green transition","green"
"Nuclear energy",2020,0.26,"Green transition","green"
"Nuclear energy",2012,0.42,"Green transition","green"
"Other energy storage",2010,0.75,"Green transition","green"
"Water related adaptation technologies",2015,0.31,"Green transition","green"
"Water related adaptation technologies",2011,0.54,"Green transition","green"
"Water related adaptation technologies",2012,0.42,"Green transition","green"
"Biofuels",2012,0.36,"Green transition","green"
"Biofuels",2013,0.28,"Green transition","green"
"Marine & hydro energy",2019,0.18,"Green transition","green"
"Nuclear energy",2014,0.26,"Green transition","green"
"Water related adaptation technologies",2010,0.64,"Green transition","green"
"Biofuels",2010,0.53,"Green transition","green"
"Biofuels",2020,0.19,"Green transition","green"
"Biofuels",2014,0.22,"Green transition","green"
"Biofuels",2016,0.18,"Green transition","green"
"Efficient power & combustion",2021,0.4,"Green transition","green"
"Marine & hydro energy",2017,0.16,"Green transition","green"
"Nuclear energy",2021,0.4,"Green transition","green"
"Biofuels",2017,0.13,"Green transition","green"
"Biofuels",2021,0.32,"Green transition","green"
"Geothermal energy",2013,0.18,"Green transition","green"
"Nuclear energy",2013,0.18,"Green transition","green"
"Other energy storage",2021,0.32,"Green transition","green"
"Water related adaptation technologies",2013,0.18,"Green transition","green"
"Greenhouse gas capture",2014,0.13,"Green transition","green"
"Nuclear energy",2010,0.32,"Green transition","green"
"Other energy storage",2011,0.23,"Green transition","green"
"Efficient power & combustion",2010,0.21,"Green transition","green"
"Geothermal energy",2018,0.06,"Green transition","green"
"Geothermal energy",2017,0.07,"Green transition","green"
"Greenhouse gas capture",2012,0.12,"Green transition","green"
"Marine & hydro energy",2018,0.06,"Green transition","green"
"Marine & hydro energy",2013,0.09,"Green transition","green"
"Marine & hydro energy",2016,0.07,"Green transition","green"
"Nuclear energy",2011,0.16,"Green transition","green"
"Geothermal energy",2010,0.11,"Green transition","green"
"Geothermal energy",2016,0.04,"Green transition","green"
"Geothermal energy",2015,0.04,"Green transition","green"
"Greenhouse gas capture",2019,0.03,"Green transition","green"
"Greenhouse gas capture",2020,0.04,"Green transition","green"
"Greenhouse gas capture",2021,0.08,"Green transition","green"
"Greenhouse gas capture",2018,0.03,"Green transition","green"
"Greenhouse gas capture",2016,0.04,"Green transition","green"
"Greenhouse gas capture",2015,0.04,"Green transition","green"
"Marine & hydro energy",2012,0.06,"Green transition","green"
"Marine & hydro energy",2011,0.08,"Green transition","green"
"Marine & hydro energy",2015,0.04,"Green transition","green"
"Marine & hydro energy",2014,0.04,"Green transition","green"
"Marine & hydro energy",2020,0.04,"Green transition","green"
"Marine & hydro energy",2010,0.11,"Green transition","green"
