"reg","tech","count","rca","reldens","comp","dutch.reg"
"NL23","A01B",0,0,24.75,64.62,"west"
"NL31","A01B",0,0,12.38,64.62,"west"
"NL33","A01B",6,0.59,44.12,64.62,"west"
"NL32","A01B",2,0.3,23.28,64.62,"west"
"NL23","A01C",0,0,18.29,58.02,"west"
"NL33","A01C",11,1.75,47.23,58.02,"west"
"NL32","A01C",4,0.97,46.93,58.02,"west"
"NL31","A01C",0,0,35.08,58.02,"west"
"NL23","A01D",1,1.36,4.76,51.08,"west"
"NL32","A01D",2,0.22,20.11,51.08,"west"
"NL33","A01D",10,0.71,40.65,51.08,"west"
"NL31","A01D",0,0,14.27,51.08,"west"
"NL23","A01F",0,0,50,54.75,"west"
"NL33","A01F",7,1.28,11.71,54.75,"west"
"NL32","A01F",0,0,18.18,54.75,"west"
"NL31","A01F",1,0.41,21.33,54.75,"west"
"NL32","A01G",12,1.71,40.64,45.53,"west"
"NL33","A01G",59,5.49,44.57,45.53,"west"
"NL23","A01G",0,0,27.98,45.53,"west"
"NL31","A01G",9,1.86,35.32,45.53,"west"
"NL23","A01H",1,7.29,41.07,45.94,"west"
"NL33","A01H",30,11.48,77.08,45.94,"west"
"NL31","A01H",2,1.7,77.98,45.94,"west"
"NL32","A01H",17,9.97,78.57,45.94,"west"
"NL23","A01J",8,82.84,50.97,60.12,"west"
"NL33","A01J",28,15.22,61.69,60.12,"west"
"NL31","A01J",3,3.62,59.09,60.12,"west"
"NL32","A01J",0,0,60.39,60.12,"west"
"NL33","A01K",55,4.65,54.93,41.21,"west"
"NL32","A01K",9,1.17,43.01,41.21,"west"
"NL31","A01K",17,3.2,50.16,41.21,"west"
"NL23","A01K",3,4.84,30.66,41.21,"west"
"NL33","A01L",0,0,38.38,63.83,"west"
"NL32","A01L",0,0,32.43,63.83,"west"
"NL31","A01L",0,0,45.41,63.83,"west"
"NL23","A01L",0,0,24.32,63.83,"west"
"NL32","A01M",7,1.57,37.06,49.8,"west"
"NL33","A01M",7,1.02,48.66,49.8,"west"
"NL31","A01M",2,0.65,35.79,49.8,"west"
"NL23","A01M",0,0,21.5,49.8,"west"
"NL33","A01N",16,0.71,59.39,39.24,"west"
"NL32","A01N",8,0.55,45.3,39.24,"west"
"NL31","A01N",4,0.4,46.97,39.24,"west"
"NL23","A01N",1,0.85,54.7,39.24,"west"
"NL33","A01P",5,1.29,23.76,49.44,"west"
"NL32","A01P",0,0,28.47,49.44,"west"
"NL23","A01P",1,4.91,28.47,49.44,"west"
"NL31","A01P",0,0,35.06,49.44,"west"
"NL23","A21B",0,0,22.47,63.85,"west"
"NL33","A21B",0,0,41.8,63.85,"west"
"NL32","A21B",1,1.2,53.93,63.85,"west"
"NL31","A21B",2,3.49,58.2,63.85,"west"
"NL32","A21C",6,5.3,71.86,67.73,"west"
"NL23","A21C",0,0,34.33,67.73,"west"
"NL31","A21C",0,0,78.04,67.73,"west"
"NL33","A21C",1,0.58,61.19,67.73,"west"
"NL31","A21D",2,1.57,69.59,51.32,"west"
"NL23","A21D",0,0,47.13,51.32,"west"
"NL32","A21D",11,5.94,89.81,51.32,"west"
"NL33","A21D",7,2.47,64.65,51.32,"west"
"NL31","A22B",0,0,76.53,53.23,"west"
"NL23","A22B",0,0,7.14,53.23,"west"
"NL32","A22B",11,17.97,75,53.23,"west"
"NL33","A22B",3,3.2,73.98,53.23,"west"
"NL31","A22C",2,1.35,36.2,52.5,"west"
"NL32","A22C",19,8.85,68.25,52.5,"west"
"NL33","A22C",8,2.43,56.13,52.5,"west"
"NL23","A22C",0,0,20.09,52.5,"west"
"NL31","A23B",6,4.97,74.3,45.49,"west"
"NL23","A23B",0,0,45.03,45.49,"west"
"NL32","A23B",4,2.29,78.05,45.49,"west"
"NL33","A23B",19,7.09,72.61,45.49,"west"
"NL23","A23C",4,12.97,55.08,45.43,"west"
"NL32","A23C",9,2.35,86.23,45.43,"west"
"NL31","A23C",24,9.08,89.83,45.43,"west"
"NL33","A23C",9,1.53,86.49,45.43,"west"
"NL23","A23D",1,7.2,63.16,47.03,"west"
"NL33","A23D",29,10.97,92.86,47.03,"west"
"NL32","A23D",18,10.43,93.98,47.03,"west"
"NL31","A23D",6,5.04,93.98,47.03,"west"
"NL32","A23F",9,5.35,83.85,57.12,"west"
"NL31","A23F",21,18.11,78.32,57.12,"west"
"NL33","A23F",2,0.78,76.55,57.12,"west"
"NL23","A23F",3,22.18,63.27,57.12,"west"
"NL23","A23G",3,11.15,56.12,53.26,"west"
"NL31","A23G",3,1.3,79.42,53.26,"west"
"NL33","A23G",9,1.76,69.93,53.26,"west"
"NL32","A23G",19,5.68,82.73,53.26,"west"
"NL33","A23J",12,3.03,90.63,44.52,"west"
"NL23","A23J",0,0,64.4,44.52,"west"
"NL32","A23J",5,1.94,89.61,44.52,"west"
"NL31","A23J",10,5.62,82.11,44.52,"west"
"NL23","A23K",0,0,53.85,43.09,"west"
"NL31","A23K",4,1.1,81.24,43.09,"west"
"NL32","A23K",7,1.32,81.38,43.09,"west"
"NL33","A23K",16,1.97,81.24,43.09,"west"
"NL23","A23L",9,5.45,50.43,33.51,"west"
"NL32","A23L",50,2.44,85.3,33.51,"west"
"NL31","A23L",108,7.63,81.5,33.51,"west"
"NL33","A23L",88,2.8,80.76,33.51,"west"
"NL23","A23N",0,0,44.15,54.54,"west"
"NL31","A23N",1,1.6,69.51,54.54,"west"
"NL32","A23N",0,0,69.76,54.54,"west"
"NL33","A23N",1,0.72,54.39,54.54,"west"
"NL23","A23P",3,11.64,52.3,50.65,"west"
"NL33","A23P",19,3.87,70.81,50.65,"west"
"NL31","A23P",16,7.24,80,50.65,"west"
"NL32","A23P",9,2.81,84.32,50.65,"west"
"NL23","A23V",5,5.41,53.26,37.71,"west"
"NL33","A23V",51,2.9,83.18,37.71,"west"
"NL32","A23V",35,3.05,87.42,37.71,"west"
"NL31","A23V",71,8.97,85.3,37.71,"west"
"NL23","A23Y",0,0,65.35,51.86,"west"
"NL33","A23Y",2,1.5,97.57,51.86,"west"
"NL31","A23Y",6,10,96.66,51.86,"west"
"NL32","A23Y",2,2.3,97.57,51.86,"west"
"NL32","A24B",0,0,10.82,50.91,"west"
"NL23","A24B",0,0,9.28,50.91,"west"
"NL31","A24B",0,0,11.34,50.91,"west"
"NL33","A24B",5,0.71,9.92,50.91,"west"
"NL23","A24C",0,0,1.82,52.21,"west"
"NL31","A24C",0,0,5.93,52.21,"west"
"NL33","A24C",1,0.21,8.66,52.21,"west"
"NL32","A24C",0,0,8.51,52.21,"west"
"NL23","A24D",0,0,3.36,45.28,"west"
"NL32","A24D",0,0,5.16,45.28,"west"
"NL33","A24D",2,0.27,3.84,45.28,"west"
"NL31","A24D",0,0,4.2,45.28,"west"
"NL23","A24F",0,0,5.09,45.96,"west"
"NL32","A24F",8,0.65,10.19,45.96,"west"
"NL33","A24F",5,0.27,8.03,45.96,"west"
"NL31","A24F",0,0,10.87,45.96,"west"
"NL32","A41B",2,3.43,28.03,63.33,"west"
"NL23","A41B",0,0,7.59,63.33,"west"
"NL31","A41B",1,2.49,40.33,63.33,"west"
"NL33","A41B",0,0,14.47,63.33,"west"
"NL23","A41C",0,0,5.71,59.72,"west"
"NL33","A41C",0,0,6.98,59.72,"west"
"NL32","A41C",0,0,24.13,59.72,"west"
"NL31","A41C",0,0,36.19,59.72,"west"
"NL23","A41D",0,0,12.28,51.92,"west"
"NL31","A41D",4,1.43,31.71,51.92,"west"
"NL33","A41D",6,0.96,17.16,51.92,"west"
"NL32","A41D",4,0.99,34.84,51.92,"west"
"NL33","A41F",0,0,30.32,66.2,"west"
"NL23","A41F",0,0,5.26,66.2,"west"
"NL32","A41F",0,0,42.32,66.2,"west"
"NL31","A41F",0,0,53.05,66.2,"west"
"NL31","A41G",0,0,18.32,65.67,"west"
"NL23","A41G",0,0,7.85,65.67,"west"
"NL32","A41G",0,0,14.66,65.67,"west"
"NL33","A41G",0,0,9.42,65.67,"west"
"NL23","A41H",0,0,3.23,72.43,"west"
"NL31","A41H",0,0,25.87,72.43,"west"
"NL32","A41H",0,0,15.01,72.43,"west"
"NL33","A41H",0,0,7.39,72.43,"west"
"NL31","A42B",0,0,36.46,56.15,"west"
"NL32","A42B",3,2.04,30.73,56.15,"west"
"NL23","A42B",1,8.44,7.64,56.15,"west"
"NL33","A42B",0,0,25.87,56.15,"west"
"NL31","A42C",0,0,6.25,69.8,"west"
"NL23","A42C",0,0,63.89,69.8,"west"
"NL32","A42C",0,0,79.86,69.8,"west"
"NL33","A42C",0,0,8.33,69.8,"west"
"NL23","A43B",0,0,15.68,54.26,"west"
"NL32","A43B",5,1.39,50.48,54.26,"west"
"NL31","A43B",3,1.21,36.22,54.26,"west"
"NL33","A43B",1,0.18,9.14,54.26,"west"
"NL23","A43C",0,0,8.65,68.35,"west"
"NL32","A43C",2,3.92,58.35,68.35,"west"
"NL31","A43C",0,0,61.77,68.35,"west"
"NL33","A43C",0,0,14.89,68.35,"west"
"NL23","A43D",0,0,12.06,57.62,"west"
"NL33","A43D",1,0.95,8.98,57.62,"west"
"NL31","A43D",1,2.12,45.86,57.62,"west"
"NL32","A43D",0,0,60.99,57.62,"west"
"NL31","A44B",2,3.06,28.73,66.85,"west"
"NL23","A44B",0,0,17.11,66.85,"west"
"NL33","A44B",2,1.38,18.84,66.85,"west"
