"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"33","Hong Kong","Ukraine","Aerospace",67837,117868099471,34593620,"0.0293 %","0.004 %",-0.0254,67837,0.004,"Asia",1715370302,2024,0.1961,"$67.84k",0.13,"#A54C4C","Hong Kong",67837,2024
"34","Hungary","Ukraine","Aerospace",51301,117868099471,34593620,"0.0293 %","0.0132 %",-0.0162,51301,0.0132,"Europe",389005222,2024,0.1483,"$51.3k",0.45,"#BB8E8E","Hungary",51301,2024
"35","Iceland","Ukraine","Aerospace",11295,117868099471,34593620,"0.0293 %","0.0248 %",-0.0045,11295,0.0248,"Europe",45511942,2024,0.0327,"$11.3k",0.85,"#CDC3C3","Iceland",11295,2024
"36","India","Ukraine","Aerospace",16916881,117868099471,34593620,"0.0293 %","1.9679 %",1.9385,16916881,1.9679,"Asia",859648684,2024,48.9017,"$16.92M",67.05,"#006400","India",16916881,2024
"37","Indonesia","Ukraine","Aerospace",138,117868099471,34593620,"0.0293 %","0 %",-0.0293,138,0,"Asia",974792926,2024,4e-04,"$0.14k",0,"darkred","Indonesia",138,2024
"38","Ireland","Ukraine","Aerospace",430677,117868099471,34593620,"0.0293 %","0.0584 %",0.029,430677,0.0584,"Europe",737841644,2024,1.245,"$430.68k",1.99,"#609660","Ireland",430677,2024
"39","Israel","Ukraine","Aerospace",5000,117868099471,34593620,"0.0293 %","7e-04 %",-0.0287,5000,7e-04,"Asia",732153959,2024,0.0145,"$5k",0.02,"#951E1E","Israel",5000,2024
"40","Italy","Ukraine","Aerospace",1381,117868099471,34593620,"0.0293 %","0 %",-0.0293,1381,0,"Europe",2782231972,2024,0.004,"$1.38k",0,"darkred","Italy",1381,2024
"41","Japan","Ukraine","Aerospace",2473,117868099471,34593620,"0.0293 %","1e-04 %",-0.0293,2473,1e-04,"Asia",3432883788,2024,0.0071,"$2.47k",0,"darkred","Japan",2473,2024
"42","Kazakhstan","Ukraine","Aerospace",26477,117868099471,34593620,"0.0293 %","0.0205 %",-0.0088,26477,0.0205,"Asia",128926253,2024,0.0765,"$26.48k",0.7,"#C7B1B1","Kazakhstan",26477,2024
"43","Kuwait","Ukraine","Aerospace",422,117868099471,34593620,"0.0293 %","2e-04 %",-0.0292,422,2e-04,"Asia",272849893,2024,0.0012,"$0.42k",0.01,"#921515","Kuwait",422,2024
"44","Kyrgyzstan","Ukraine","Aerospace",2083,117868099471,34593620,"0.0293 %","0.0082 %",-0.0211,2083,0.0082,"Asia",25273076,2024,0.006,"$2.08k",0.28,"#B17070","Kyrgyzstan",2083,2024
"45","Latvia","Ukraine","Aerospace",117942,117868099471,34593620,"0.0293 %","0.1977 %",0.1683,117942,0.1977,"Europe",59668599,2024,0.3409,"$117.94k",6.73,"#136E13","Latvia",117942,2024
"46","Lebanon","Ukraine","Aerospace",53,117868099471,34593620,"0.0293 %","2e-04 %",-0.0292,53,2e-04,"Asia",26867781,2024,2e-04,"$0.05k",0.01,"#921515","Lebanon",53,2024
"47","Libya","Ukraine","Aerospace",70,117868099471,34593620,"0.0293 %","8e-04 %",-0.0285,70,8e-04,"Africa",8579757,2024,2e-04,"$0.07k",0.03,"#972525","Libya",70,2024
"48","Lithuania","Ukraine","Aerospace",188629,117868099471,34593620,"0.0293 %","0.1572 %",0.1279,188629,0.1572,"Europe",119962391,2024,0.5453,"$188.63k",5.36,"#1F741F","Lithuania",188629,2024
"49","Malawi","Ukraine","Aerospace",879,117868099471,34593620,"0.0293 %","0.0936 %",0.0642,879,0.0936,"Africa",939206,2024,0.0025,"$0.88k",3.19,"#3D843D","Malawi",879,2024
