"domain";"from";"from_geo";"to";"to_geo";"full";"full_frac";"binary";"binary_frac";"parent"
"Agrofood Waste Cut";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Valmet (Sweden) (SE) -- 4210112189";"Värmlands County (SE311)";2;2;2;2;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Kassel (DE) -- 106157433";"Kassel (DE73)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Parma (IT) -- 124601658";"Emilia-Romagna (ITH5)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Szczecin (PL) -- 104588304";"Zachodniopomorskie (PL42)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Turku (FI) -- 155660961";"Etelä-Suomi (FI1C)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"Warsaw University of Technology (PL) -- 108403487";"Mazowieckie (PL12)";1;0,0222222222222222;1;0,0222222222222222;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Warwick (GB) -- 39555362";"West Midlands (UKG3)";1;0,166666666666667;1;0,166666666666667;"Waste Cut"
"Agrofood Waste Cut";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Gothenburg (SE) -- 881427289";"Västsverige (SE23)";1;0,333333333333333;1;0,333333333333333;"Waste Cut"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"Uppsala University (SE) -- 123387679";"Östra Mellansverige (SE12)";4;3,03571428571429;4;3,03571428571429;"Industrial Loops"
"Biobased Materials in Construction";"Iggesund Paperboard (Sweden) (SE) -- 2978444008";"Gävleborg County (SE313)";"Lund University (SE) -- 187531555";"Sydsverige (SE22)";1;1;1;1;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Kassel (DE) -- 106157433";"Kassel (DE73)";2;0,0256410256410256;2;0,0256410256410256;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Minho (PT) -- 99682543";"Norte (PT11)";2;0,0256410256410256;2;0,0256410256410256;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of the Basque Country (ES) -- 169108374";"País Vasco (ES21)";2;0,0256410256410256;2;0,0256410256410256;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Gothenburg (SE) -- 881427289";"Västsverige (SE23)";1;0,166666666666667;1;0,166666666666667;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Nyíregyháza (HU) -- 4210141873";"Észak-Alföld (HU32)";1;0,0222222222222222;1;0,0222222222222222;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Oslo (NO) -- 184942183";"Oslo og Akershus (NO01)";1;1;1;1;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Lisbon (PT) -- 141596103";"Lisboa (PT17)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Lincoln (GB) -- 51532219";"Lincolnshire (UKF3)";2;0,0256410256410256;2;0,0256410256410256;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Liège (BE) -- 157674565";"Region Wallone (BE3)";6;0,0876456876456876;6;0,0876456876456876;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Helsinki (FI) -- 133731052";"Helsinki-Uusimaa (FI1B)";2;0,0373737373737374;2;0,0373737373737374;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Northampton (GB) -- 35870678";"Leicestershire, Rutland and Northamptonshire (UKF2)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Parma (IT) -- 124601658";"Emilia-Romagna (ITH5)";2;0,0373737373737374;2;0,0373737373737374;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of La Rochelle (FR) -- 78744979";"Poitou-Charentes (FR53)";4;0,062004662004662;4;0,062004662004662;"Industrial Loops"
"Biobased Materials in Construction";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"Warsaw University of Technology (PL) -- 108403487";"Mazowieckie (PL12)";2;0,0373737373737374;2;0,0373737373737374;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University West (SE) -- 110263422";"Västsverige (SE23)";2;1,33333333333333;2;1,33333333333333;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Southampton (GB) -- 43439940";"Hampshire and Isle of Wight (UKJ3)";1;1;1;1;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Southern Denmark (DK) -- 177969490";"Syddanmark (DK03)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Szczecin (PL) -- 104588304";"Zachodniopomorskie (PL42)";1;0,0222222222222222;1;0,0222222222222222;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Turku (FI) -- 155660961";"Etelä-Suomi (FI1C)";1;0,0222222222222222;1;0,0222222222222222;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"Warsaw University of Technology (PL) -- 108403487";"Mazowieckie (PL12)";1;0,0222222222222222;1;0,0222222222222222;"Industrial Loops"
"By-Product Valorization";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"French National Centre for Scientific Research (FR) -- 1294671590";"Île de France (FR10)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"By-Product Valorization";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Institut National des Sciences Appliquées de Lyon (FR) -- 48430043";"Rhône-Alpes (FR71)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"By-Product Valorization";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Jean Monnet University (FR) -- 86767153";"Rhône-Alpes (FR71)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"By-Product Valorization";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Wallenberg Wood Science Center (SE) -- 4210124641";"Stockholm (SE11)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Kassel (DE) -- 106157433";"Kassel (DE73)";1;0,0222222222222222;1;0,0222222222222222;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Parma (IT) -- 124601658";"Emilia-Romagna (ITH5)";1;0,0222222222222222;1;0,0222222222222222;"Industrial Loops"
"By-Product Valorization";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Messina (IT) -- 112862951";"Sicilia (ITG1)";1;1;1;1;"Industrial Loops"
"Circular Design";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University West (SE) -- 110263422";"Västsverige (SE23)";1;0,333333333333333;1;0,333333333333333;"Circular Models"
"Circular Design";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Gothenburg (SE) -- 881427289";"Västsverige (SE23)";3;0,5;3;0,5;"Circular Models"
"Circular Design";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Messina (IT) -- 112862951";"Sicilia (ITG1)";1;1;1;1;"Circular Models"
"E-Waste Circularity";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"Uppsala University (SE) -- 123387679";"Östra Mellansverige (SE12)";3;2,33333333333333;3;2,33333333333333;"Waste Cut"
"Industrial Symbiosis";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"Uppsala University (SE) -- 123387679";"Östra Mellansverige (SE12)";6;4,36904761904762;6;4,36904761904762;"Industrial Loops"
"Industrial Symbiosis";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"French National Centre for Scientific Research (FR) -- 1294671590";"Île de France (FR10)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Industrial Symbiosis";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Institut National des Sciences Appliquées de Lyon (FR) -- 48430043";"Rhône-Alpes (FR71)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Industrial Symbiosis";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Jean Monnet University (FR) -- 86767153";"Rhône-Alpes (FR71)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Industrial Symbiosis";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Wallenberg Wood Science Center (SE) -- 4210124641";"Stockholm (SE11)";1;0,0476190476190476;1;0,0476190476190476;"Industrial Loops"
"Industrial Symbiosis";"SenseAir (Sweden) (SE) -- 4210113160";"Gävleborg County (SE313)";"Swiss Center for Electronics and Microtechnology (Switzerland) (CH) -- 135218257";"Espace Mittelland (CH02)";2;1,04761904761905;2;1,04761904761905;"Industrial Loops"
"Industrial Symbiosis";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Gothenburg (SE) -- 881427289";"Västsverige (SE23)";2;0,5;2;0,5;"Industrial Loops"
"Industrial Symbiosis";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Nottingham (GB) -- 142263535";"Derbyshire and Nottinghamshire (UKF1)";1;0,333333333333333;1;0,333333333333333;"Industrial Loops"
"Industrial Symbiosis";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Southampton (GB) -- 43439940";"Hampshire and Isle of Wight (UKJ3)";1;1;1;1;"Industrial Loops"
"Industrial Symbiosis";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of La Rochelle (FR) -- 78744979";"Poitou-Charentes (FR53)";4;0,062004662004662;4;0,062004662004662;"Industrial Loops"
"Industrial Symbiosis";"University of Gävle (SE) -- 4210141702";"Gävleborg County (SE313)";"University of Liège (BE) -- 157674565";"Region Wallone (BE3)";6;0,0876456876456876;6;0,0876456876456876;"Industrial Loops"
"Industrial Symbiosis";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"Swedish University of Agricultural Sciences (SE) -- 298625061";"Östra Mellansverige (SE12)";2;0,333333333333334;2;0,333333333333334;"Industrial Loops"
"Industrial Symbiosis";"Fiber Optic Valley (SE) -- 4210143758";"Gävleborg County (SE313)";"University of Oulu (FI) -- 98381234";"Pohjois- ja Itä-Suomi (FI1D)";2;0,333333333333334;2;0,333333333333334;"Industrial Loops"
