Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - ceτi AI,https://www.crunchbase.com/funding_round/ceτi-ai-seed--436f1361,ceτi AI,https://www.crunchbase.com/organization/ceτi-ai,Seed,,,,2024-06-20,Seed,Yes,,,,ceτi AI's mission is to accelerate the advancement of decentralized artificial intelligence.,"Artificial Intelligence (AI), Decentralized Finance (DeFi)",,,https://taoceti.ai,,,2,60000000,USD,60000000,Alpha Transform Holdings,Alpha Transform Holdings,1,1,"21,505"
Post-IPO Equity - Snowflake,https://www.crunchbase.com/funding_round/snowflake-computing-post-ipo-equity--59ff262f,Snowflake,https://www.crunchbase.com/organization/snowflake-computing,Post-IPO Equity,621456438,USD,621456438,2022-04-19,,Yes,,,,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software",,"San Mateo, California, United States, North America",https://www.snowflake.com,$1B to $10B,IPO,9,2029355548,USD,2029355548,,"Berkshire Hathaway, Blackstone Group",2,,"23,112"
Seed Round - Crabi,https://www.crunchbase.com/funding_round/crabi-autoseguros-seed--4cc92605,Crabi,https://www.crunchbase.com/organization/crabi-autoseguros,Seed,4000000,USD,4000000,2021-10-11,Seed,Yes,,,,"Full stack, digital car insurance","Auto Insurance, Insurance, InsurTech",,"Mexico City, Distrito Federal, Mexico, North America",https://www.crabi.com,$1M to $10M,,3,12900000,USD,12900000,Kaszek,"Kaszek, Redwood Ventures, Tuesday Capital",3,1,"23,459"
Seed Round - TensorOpera,https://www.crunchbase.com/funding_round/tensoropera-seed--d692339e,TensorOpera,https://www.crunchbase.com/organization/tensoropera,Seed,13200000,USD,13200000,2023-06-30,Seed,Yes,,,,TensorOpera is a scale-up AI platform that enables developers and enterprises to create and sell their own generative AI applications.,Generative AI,,"Palo Alto, California, United States, North America",https://tensoropera.com/,,Seed,1,13200000,USD,13200000,,"AC Ventures, Aimtop Ventures, DHVC",3,,"23,815"
Series A - Veevt,https://www.crunchbase.com/funding_round/veevt-series-a--8bac4357,Veevt,https://www.crunchbase.com/organization/veevt,Series A,150000000,USD,150000000,2024-01-01,Early Stage Venture,Yes,,,,Veevt is an AI research and deployment company.,Artificial Intelligence (AI),,,https://www.veevt.com/,,Early Stage Venture,1,150000000,USD,150000000,,,,,"24,687"
Series A - Wuwen Xinqiong,https://www.crunchbase.com/funding_round/wuwen-xinqiong-series-a--19361914,Wuwen Xinqiong,https://www.crunchbase.com/organization/wuwen-xinqiong,Series A,450000000,CNY,62017641,2024-06-17,Early Stage Venture,Yes,,,,Wuwen Core Dome is dedicated to providing AGI computing power solutions based on its large model energy efficiency optimization tools.,"Artificial Intelligence (AI), Cloud Computing, Electronics",,"Beijing, Beijing, China, Asia",https://www.infini-ai.com/,,,3,450000000,CNY,62017641,,Qiming Venture Partners,1,1,"27,994"
Seed Round - Cambrium,https://www.crunchbase.com/funding_round/cambrium-seed--23f5af17,Cambrium,https://www.crunchbase.com/organization/cambrium,Seed,8000000,EUR,8462796,2023-10-31,Seed,Yes,,,,Cambrium is engineering biology to create high-performance proteins.,"Advanced Materials, Bioinformatics, Biotechnology, Machine Learning, Robotics",,"Berlin, Berlin, Germany, Europe",https://www.cambrium.bio,,Seed,2,8000000,EUR,8462796,Essential Capital,"Essential Capital, HOF Capital, SNR.vc, Valor Equity Partners",4,1,"31,706"
Seed Round - Banana,https://www.crunchbase.com/funding_round/banana-d87d-seed--64925750,Banana,https://www.crunchbase.com/organization/banana-d87d,Seed,3400000,USD,3400000,2024-02-05,Seed,Yes,,,,"Banana is an ML API for developers to run ML workloads from a single line of code, without any learning curve.","Developer APIs, Information Technology, Machine Learning, Software",,"San Francisco, California, United States, North America",https://www.banana.dev,,Seed,3,3400000,USD,3400000,"Basecamp Fund, CapitalX","Basecamp Fund, CapitalX",2,,"32,082"
Debt Financing - Kythera,https://www.crunchbase.com/funding_round/kythera-bf9b-debt-financing--7bffe2d2,Kythera,https://www.crunchbase.com/organization/kythera-bf9b,Debt Financing,,,,2023-11-07,,No,,,,"Kythera is a healthcare data science platform co. that improves quality, integration & speeds decision making by uncovering hidden data.","Analytics, Big Data, Data Visualization, Electronic Health Record (EHR), Health Care, Hospital, Machine Learning, Pharmaceutical, Software",,"Franklin, Tennessee, United States, North America",https://www.kytheralabs.com/,,,5,29189312,USD,29189312,"BIP Ventures, CIBC","BIP Ventures, CIBC",2,1,"34,607"
Pre Seed Round - Generative Engineering,https://www.crunchbase.com/funding_round/generative-engineering-pre-seed--5bd8a7bc,Generative Engineering,https://www.crunchbase.com/organization/generative-engineering,Pre-Seed,4000000,EUR,4355159,2023-11-22,Seed,Yes,,,,"A platform that generates, tests, and simulates thousands of different engineering designs. Parallel engineering.","3D Technology, Generative AI, Simulation, Software",,"London, England, United Kingdom, Europe",https://generative.vision/,,Seed,1,4000000,EUR,4355159,EQT Ventures,"EQT Ventures, Join Capital",2,2,"34,797"
Grant - Markopolo ai,https://www.crunchbase.com/funding_round/markopolo-grant--355f24b9,Markopolo ai,https://www.crunchbase.com/organization/markopolo,Grant,40000,USD,40000,2024-03-14,,No,,,,An AI Co-pilot that allows CMOs tailor individual journeys for every customer based on their previous behavior and preferences.,"Artificial Intelligence (AI), Generative AI, Machine Learning, SaaS",,"Sheridan, Wyoming, United States, North America",https://markopolo.ai/,$1M to $10M,Seed,5,3500000,USD,3500000,LEAP,LEAP,1,,"34,941"
Pre Seed Round - 1337,https://www.crunchbase.com/funding_round/1337-pre-seed--77a15a55,1337,https://www.crunchbase.com/organization/1337,Pre-Seed,4000000,USD,4000000,2023-10-26,Seed,Yes,,,,"1337 is an IT firm that offers AI, computer vision, machine learning, 3d, and computer graphics services.","Artificial Intelligence (AI), Computer Vision, Consumer Software, Internet, Machine Learning, Media and Entertainment",Women Founded,"New York, New York, United States, North America",https://1337.org,$1M to $10M,Seed,1,4000000,USD,4000000,,"Clément Delangue, Credo Ventures, GFR Fund, Kearny Jackson, Roosh Ventures, Spacecadet Ventures, Treble",7,1,"35,117"
Pre Seed Round - ASIMOV by Haltia.AI,https://www.crunchbase.com/funding_round/haltia-pre-seed--500d6b7c,ASIMOV by Haltia.AI,https://www.crunchbase.com/organization/haltia,Pre-Seed,2100000,USD,2100000,2024-06-29,Seed,Yes,35000000,USD,35000000,"ASIMOV by Haltia.AI: Pioneering explainable, actionable, and trustworthy AI for people and organizations.","Apps, Artificial Intelligence (AI), Machine Learning, Mobile Apps, Software",,"Wilmington, Delaware, United States, North America",https://haltia.ai,,Seed,2,2600000,USD,2600000,,,,,"36,830"
Post-IPO Debt - Northern Data Group,https://www.crunchbase.com/funding_round/northern-data-post-ipo-debt--115126ab,Northern Data Group,https://www.crunchbase.com/organization/northern-data,Post-IPO Debt,575000000,EUR,610403397,2023-11-02,,No,,,,Northern Data builds and offers global infrastructure solutions in high-performance computing and AI cloud platforms.,"Cloud Computing, Generative AI, Machine Learning",,"Frankfurt, Hessen, Germany, Europe",https://northerndata.de,$50M to $100M,,1,575000000,EUR,610403397,Tether,Tether,1,,"37,361"
Pre Seed Round - Send AI,https://www.crunchbase.com/funding_round/auto-pilot-pre-seed--dc167e2f,Send AI,https://www.crunchbase.com/organization/auto-pilot,Pre-Seed,2500000,USD,2500000,2024-01-24,Seed,Yes,,,,Document Processing Infrastructure,"Information Technology, Machine Learning, Natural Language Processing, SaaS, Software",,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://send.ai,,Seed,2,2500000,USD,2500000,Gradient Ventures,"Gradient Ventures, Keen Venture Partners",2,,"37,751"
Series A - Aqtual,https://www.crunchbase.com/funding_round/aqtual-series-a--eda672d0,Aqtual,https://www.crunchbase.com/organization/aqtual,Series A,16000000,USD,16000000,2023-10-31,Early Stage Venture,Yes,,,,"Aqtual is a biotechnology diagnostics platform that provides healthcare solutions, novel technology and biochemistry for chronic disease.","Biotechnology, Machine Learning, Wellness",Women Founded,"Hayward, California, United States, North America",https://aqtual.com/,$1M to $10M,Early Stage Venture,2,16000000,USD,16000000,"Genoa Ventures, Manta Ray Ventures, Yu Galaxy","Genoa Ventures, Manta Ray Ventures, Yu Galaxy",3,,"38,560"
"Pre Seed Round - Speechlab, Inc.",https://www.crunchbase.com/funding_round/speechlab-inc-pre-seed--168dce38,"Speechlab, Inc.",https://www.crunchbase.com/organization/speechlab-inc,Pre-Seed,2900000,USD,2900000,2024-06-19,Seed,Yes,,,,Speechlab is making the world accessible to people who speak different languages using generative AI for speech-to-speech translation.,"Artificial Intelligence (AI), Digital Media, Generative AI, Information Technology, Natural Language Processing, Software, Speech Recognition, Translation Service",,"San Francisco, California, United States, North America",https://www.speechlab.ai/,$1M to $10M,Seed,1,2900000,USD,2900000,AI Fund,"AI Fund, Gaingels, Grit Capital Partners, Handmade Ventures, i-Hatch Ventures, Platform Venture Studio, Red Bridge Ventures, Sand Hill Angels",8,3,"40,402"
Series A - Kythera,https://www.crunchbase.com/funding_round/kythera-bf9b-series-a--c993f85c,Kythera,https://www.crunchbase.com/organization/kythera-bf9b,Series A,20000000,USD,20000000,2023-11-07,Early Stage Venture,Yes,,,,"Kythera is a healthcare data science platform co. that improves quality, integration & speeds decision making by uncovering hidden data.","Analytics, Big Data, Data Visualization, Electronic Health Record (EHR), Health Care, Hospital, Machine Learning, Pharmaceutical, Software",,"Franklin, Tennessee, United States, North America",https://www.kytheralabs.com/,,,5,29189312,USD,29189312,"BIP Ventures, CIBC","BIP Ventures, CIBC",2,1,"41,806"
Series E - Snowflake,https://www.crunchbase.com/funding_round/snowflake-computing-series-e--4c732a7a,Snowflake,https://www.crunchbase.com/organization/snowflake-computing,Series E,263000000,USD,263000000,2018-01-25,Late Stage Venture,Yes,1237000000,USD,1237000000,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software",,"San Mateo, California, United States, North America",https://www.snowflake.com,$1B to $10B,IPO,9,2029355548,USD,2029355548,"Altimeter Capital, ICONIQ Growth, Sequoia Capital","Altimeter Capital, Human Capital, ICONIQ Growth, Sequoia Capital",4,2,"41,871"
Pre Seed Round - Klu.ai,https://www.crunchbase.com/funding_round/klu-ai-pre-seed--06a9597f,Klu.ai,https://www.crunchbase.com/organization/klu-ai,Pre-Seed,1700000,USD,1700000,2023-10-24,Seed,Yes,,,,"Klu.ai is a generative AI platform that simplifies the process of designing, deploying, and optimizing AI applications.","PaaS, SaaS",,"San Francisco, California, United States, North America",https://klu.ai,,Seed,2,1700000,USD,1700000,Firstminute Capital,"Andreessen Horowitz, Atomico, Craft Ventures, Firstminute Capital, Sequoia Capital",5,1,"42,251"
Series A - Kinetic Automation,https://www.crunchbase.com/funding_round/kinetic-automation-series-a--05483b19,Kinetic Automation,https://www.crunchbase.com/organization/kinetic-automation,Series A,10000000,USD,10000000,2023-10-05,Early Stage Venture,Yes,,,,Kinetic is a digital repair system that provides automated maintenance and service for electric and autonomous vehicles.,"Art, Hardware, Robotic Process Automation (RPA), Robotics, Software",,"Santa Ana, California, United States, North America",https://www.kinetic.auto,,Early Stage Venture,2,31000000,USD,31000000,"Construct Capital, Lux Capital","Automotive Ventures, Construct Capital, Gokul Rajaram, Haystack, Lux Capital, Qasar Younis, Rick Wagoner, SHAKTI Ventures",8,6,"42,795"
Series D - Snowflake,https://www.crunchbase.com/funding_round/snowflake-computing-series-d--55c10999,Snowflake,https://www.crunchbase.com/organization/snowflake-computing,Series D,105000000,USD,105000000,2017-09-06,Late Stage Venture,Yes,395000000,USD,395000000,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software",,"San Mateo, California, United States, North America",https://www.snowflake.com,$1B to $10B,IPO,9,2029355548,USD,2029355548,ICONIQ Growth,"Altimeter Capital, Capital One Ventures, ICONIQ Growth, Madrona, Redpoint, Sutter Hill Ventures, Wing Venture Capital",7,1,"44,685"
Series F - Snowflake,https://www.crunchbase.com/funding_round/snowflake-computing-series-f--f50e6cd8,Snowflake,https://www.crunchbase.com/organization/snowflake-computing,Series F,450000000,USD,450000000,2018-10-11,Late Stage Venture,Yes,3050000000,USD,3050000000,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software",,"San Mateo, California, United States, North America",https://www.snowflake.com,$1B to $10B,IPO,9,2029355548,USD,2029355548,Sequoia Capital,"Altimeter Capital, Capital One Ventures, ICONIQ Growth, Madrona, Meritech Capital Partners, Redpoint, Sequoia Capital, Sutter Hill Ventures, Wing Venture Capital",9,3,"44,684"
Debt Financing - Kythera,https://www.crunchbase.com/funding_round/kythera-bf9b-debt-financing--d3b931a9,Kythera,https://www.crunchbase.com/organization/kythera-bf9b,Debt Financing,,,,2024-05-29,,No,,,,"Kythera is a healthcare data science platform co. that improves quality, integration & speeds decision making by uncovering hidden data.","Analytics, Big Data, Data Visualization, Electronic Health Record (EHR), Health Care, Hospital, Machine Learning, Pharmaceutical, Software",,"Franklin, Tennessee, United States, North America",https://www.kytheralabs.com/,,,5,29189312,USD,29189312,,,,,"50,837"
Venture Round - Kythera,https://www.crunchbase.com/funding_round/kythera-bf9b-series-unknown--f5b3014b,Kythera,https://www.crunchbase.com/organization/kythera-bf9b,Venture - Series Unknown,9189312,USD,9189312,2024-05-29,,Yes,,,,"Kythera is a healthcare data science platform co. that improves quality, integration & speeds decision making by uncovering hidden data.","Analytics, Big Data, Data Visualization, Electronic Health Record (EHR), Health Care, Hospital, Machine Learning, Pharmaceutical, Software",,"Franklin, Tennessee, United States, North America",https://www.kytheralabs.com/,,,5,29189312,USD,29189312,,,,,"50,832"
Series B - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-series-b--e6326ae8,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Series B,175000000,USD,175000000,2021-12-01,Early Stage Venture,Yes,2075000000,USD,2075000000,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,Amber Group,"Alameda Research, Amber Group, Celsius Network, CTC Venture Capital, Fenbushi Capital, Fourth Revolution Capital, Gemini Frontier Fund, Jane Street Capital, Kommune.one, Nexo, Tribe Capital, VanEck, Wavemaker Genesis, Wintermute Ventures",14,2,"51,151"
Seed Round - SmartD Technologies,https://www.crunchbase.com/funding_round/smartd-technologies-seed--3cfc258c,SmartD Technologies,https://www.crunchbase.com/organization/smartd-technologies,Seed,,,,2022-01-01,Seed,Yes,,,,SmartD Technologies develops efficient power distribution solutions using solid-state technology and sensor-driven motor control products.,"Electrical Distribution, Intelligent Systems, Sensor",,"Montréal, Quebec, Canada, North America",https://smartd.tech/,$1M to $10M,Early Stage Venture,2,14200000,CAD,10373671,,Boreal Ventures,1,,"51,717"
Series A - Chenlu Technology,https://www.crunchbase.com/funding_round/chenlu-technology-series-a--ef5995cd,Chenlu Technology,https://www.crunchbase.com/organization/chenlu-technology,Series A,100000000,CNY,13666243,2023-10-27,Early Stage Venture,Yes,,,,Chenlu Technology is an automobile company that provides full-stack intelligent steering products and services.,"Automotive, Intelligent Systems",,"Shanghai, Shanghai, China, Asia",,,Early Stage Venture,1,100000000,CNY,13666243,"Harvest Capital, ThunderSoft","Harvest Capital, ThunderSoft",2,,"52,805"
Seed Round - Sift AI,https://www.crunchbase.com/funding_round/niftory-seed--09d24129,Sift AI,https://www.crunchbase.com/organization/niftory,Seed,5000000,USD,5000000,2022-05-10,Seed,Yes,,,,"Sift is an AI-first platform to bring community-led teams from Chaos to Clarity. Understand, Support, and Manage your communities.","Communities, Customer Service, Digital Marketing, Information Technology, Technical Support",,"Seattle, Washington, United States, North America",https://getsift.ai,,Seed,1,5000000,USD,5000000,Foundation Capital,"Dapper Labs, Firsthand Alliance, Foundation Capital, Zero Prime Ventures",4,,"53,761"
Venture Round - Mu Sigma,https://www.crunchbase.com/funding_round/mu-sigma-series-unknown--3848e7a4,Mu Sigma,https://www.crunchbase.com/organization/mu-sigma,Venture - Series Unknown,2010651,USD,2010651,2024-05-06,,Yes,,,,Mu Sigma offers management consulting services designed to provide decision sciences and big data analysis.,"Analytics, Big Data, Business Information Systems, Business Intelligence, Data Mining, Fraud Detection, Machine Learning, Management Consulting, Predictive Analytics, SaaS",,"Bengaluru, Karnataka, India, Asia",http://www.mu-sigma.com,$10M to $50M,,7,211860651,USD,211860651,,,,,"54,198"
Seed Round - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-seed--7a4eece5,Black Semiconductor,https://www.crunchbase.com/organization/black-semiconductor,Seed,,,,2022-10-11,Seed,Yes,,,,Black Semiconductor manufacture microchips with integrated electronic-photonic circuits using graphene technology.,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor",,"Aachen, Nordrhein-Westfalen, Germany, Europe",https://blacksemiconductor.de,,Early Stage Venture,4,254400000,EUR,273281864,,"Andreas von Bechtolsheim, Cambium Capital Partners, Project A Ventures, Vsquared Ventures",4,,"54,139"
Seed Round - ælf,https://www.crunchbase.com/funding_round/ælf-seed--3dda0436,ælf,https://www.crunchbase.com/organization/ælf,Seed,1000000,USD,1000000,2017-11-01,Seed,Yes,,,,"aelf, an AI-enhanced Layer 1 blockchain network, leverages the robust C# programming language......","Artificial Intelligence (AI), Blockchain, Cloud Computing, Internet",,"Singapore, Central Region, Singapore, Asia",https://www.aelf.com/,Less than $1M,,2,41000000,USD,41000000,,"Hashed, JLAB | JD capital, Nirvana Capital, Node Capital",4,,"54,415"
Series A - Evident Vascular,https://www.crunchbase.com/funding_round/evident-vascular-series-a--735a4341,Evident Vascular,https://www.crunchbase.com/organization/evident-vascular,Series A,35000000,USD,35000000,2023-10-17,Early Stage Venture,Yes,,,,Evident Vascular offers an advanced IVUS platform that leverages Artificial Intelligence to deliver superior Vascular.,"Artificial Intelligence (AI), Health Care, Medical, Medical Device",,"San Jose, California, United States, North America",https://evidentvascular.com/,,Early Stage Venture,1,35000000,USD,35000000,Vensana Capital,Vensana Capital,1,2,"56,214"
Seed Round - ClickPost,https://www.crunchbase.com/funding_round/clickpost-3c8c-seed--0618bdda,ClickPost,https://www.crunchbase.com/organization/clickpost-3c8c,Seed,,,,2020-04-01,Seed,Yes,,,,ClickPost is a logistics intelligence platform that helps companies use data science to improve supply chain performance.,"Enterprise Software, Logistics, Machine Learning, SaaS, Software",,"New Delhi, Delhi, India, Asia",https://www.clickpost.in/,$1M to $10M,Early Stage Venture,2,6000000,USD,6000000,,"Rebright Partners, Shrishti Sahu, Titan Capital",3,2,"57,905"
Seed Round - Kaiosi Data Technology,https://www.crunchbase.com/funding_round/kaiosi-data-technology-seed--4c701ed5,Kaiosi Data Technology,https://www.crunchbase.com/organization/kaiosi-data-technology,Seed,,,,2021-09-10,Seed,Yes,,,,Kaiosi Data Technology is a big data analytics platform specializing in intelligent operations and industrial Internet of Things solutions.,"Big Data, Intelligent Systems, Internet of Things, Software",,"Nanjing, Jiangsu, China, Asia",http://www.njchaos.com,,Early Stage Venture,3,100000000,CNY,13674840,,"Bondshine Capital, Dongda Capital, Ralph Investment Management, Yingxin Capital",4,,"59,015"
Series A - Kaiosi Data Technology,https://www.crunchbase.com/funding_round/kaiosi-data-technology-series-a--09a3752b,Kaiosi Data Technology,https://www.crunchbase.com/organization/kaiosi-data-technology,Series A,100000000,CNY,13674840,2023-10-17,Early Stage Venture,Yes,,,,Kaiosi Data Technology is a big data analytics platform specializing in intelligent operations and industrial Internet of Things solutions.,"Big Data, Intelligent Systems, Internet of Things, Software",,"Nanjing, Jiangsu, China, Asia",http://www.njchaos.com,,Early Stage Venture,3,100000000,CNY,13674840,,"Dongda Capital, Dynamic Balance Capital, Nanjing Venture Capital, Unicom Venture Capital",4,1,"59,128"
Private Equity Round - BlueHalo,https://www.crunchbase.com/funding_round/bluehalo-0cfe-private-equity--20271653,BlueHalo,https://www.crunchbase.com/organization/bluehalo-0cfe,Private Equity,723160139,USD,723160139,2024-03-18,Private Equity,Yes,,,,BlueHalo is the transformation of modern warfare in defense and space.,"Intelligent Systems, Military, Satellite Communication",,"Arlington, Virginia, United States, North America",https://www.bluehalo.com/,$1B to $10B,Private Equity,1,723160139,USD,723160139,,,,,"59,665"
Seed Round - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-seed--b53b29e0,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Seed,2800000,USD,2800000,2020-08-11,Seed,Yes,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,"Binance Labs, Galaxy Digital","Binance Labs, Divergence Ventures, Dragonfly Capital, FTX, Galaxy Digital, Genblock Capital, Greenfield, Illia Polosukhin, IOSG Ventures, LAUNCHub Ventures, Libertus Capital, Loi Luu",12,,"59,672"
Seed Round - Shinkei Systems,https://www.crunchbase.com/funding_round/shinkei-systems-seed--f6c87168,Shinkei Systems,https://www.crunchbase.com/organization/shinkei-systems,Seed,,,,2022-03-22,Seed,Yes,,,,Shinkei Systems is an automation agency that provides automation for fish harvesting.,"Food and Beverage, Food Processing, Intelligent Systems, Seafood, Supply Chain Management",,"New York, New York, United States, North America",https://www.shinkei.systems,,Seed,2,6000000,USD,6000000,,"Carya Venture Partners, Y Combinator",2,,"59,748"
Pre Seed Round - Disruptional,https://www.crunchbase.com/funding_round/disruptional-pre-seed--25c328a7,Disruptional,https://www.crunchbase.com/organization/disruptional,Pre-Seed,,,,2016-01-01,Seed,Yes,,,,Disruptional is leading the development of next-generation AI and Deep Learning to disrupt the industry.,"Artificial Intelligence (AI), Computer, Machine Learning, Software",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.disruptional.com,,Seed,1,,,,,Novator,1,,"61,105"
Secondary Market - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-secondary-market--906312ff,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Secondary Market,,,,2021-02-21,,No,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,,ICONIUM,1,,"62,897"
Venture Round - ælf,https://www.crunchbase.com/funding_round/ælf-series-unknown--19c7bf7d,ælf,https://www.crunchbase.com/organization/ælf,Venture - Series Unknown,40000000,USD,40000000,2017-12-04,,Yes,,,,"aelf, an AI-enhanced Layer 1 blockchain network, leverages the robust C# programming language......","Artificial Intelligence (AI), Blockchain, Cloud Computing, Internet",,"Singapore, Central Region, Singapore, Asia",https://www.aelf.com/,Less than $1M,,2,41000000,USD,41000000,,"1kx, 8 Decimal Capital, Chain Capital, Continue Capital, Fundamental Labs, ZMT Capital",6,,"63,521"
Venture Round - Manthan,https://www.crunchbase.com/funding_round/manthan-systems-series-unknown--678fc6a3,Manthan,https://www.crunchbase.com/organization/manthan-systems,Venture - Series Unknown,,,,2019-01-01,,Yes,,,,Manthan Software Services offers a portfolio of business-ready products in advanced analytics and big data for consumer industries.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Consumer, Data Management, SaaS, Software",,"Bangalore, Karnataka, India, Asia",http://www.manthan.com,$100M to $500M,,8,98400000,USD,98400000,InnoVen Capital,InnoVen Capital,1,,"64,384"
Series B - 1inch Limited,https://www.crunchbase.com/funding_round/1inch-limited-series-b--d3e69a24,1inch Limited,https://www.crunchbase.com/organization/1inch-limited,Series B,,,,2021-12-01,Early Stage Venture,Yes,,,,1inch Limited works with multiple developers and other professionals to develop software and offer it on the SaaS basis.,"Artificial Intelligence (AI), Blockchain, Content Delivery Network, Cryptocurrency, Decentralized Finance (DeFi), Information Services, Information Technology, Non Profit, Open Source, Software",,"Old Road Town, Saint Thomas Middle Island, Saint Kitts and Nevis, North America",https://1inch.io,$10M to $50M,,9,192600000,USD,192600000,,,,,"65,183"
Venture Round - Partium,https://www.crunchbase.com/funding_round/partium-io-series-unknown--509b6abb,Partium,https://www.crunchbase.com/organization/partium-io,Venture - Series Unknown,10776050,USD,10776050,2024-02-14,,Yes,,,,Partium offers a solution for the fast identification of parts within industrial and retail environments.,"E-Commerce, Machine Learning, Product Search, Search Engine, Semantic Search, Software, Visual Search",,"Philadelphia, Pennsylvania, United States, North America",https://partium.io/,$10M to $50M,,3,10776050,USD,10776050,,,,,"65,943"
Convertible Note - Standard Bots,https://www.crunchbase.com/funding_round/standard-bots-convertible-note--74c46c82,Standard Bots,https://www.crunchbase.com/organization/standard-bots,Convertible Note,2000000,USD,2000000,2024-01-19,,No,,,,"Standard Bots offers advanced automation solutions, including the RO1 robot, to help businesses streamline their operations.","Artificial Intelligence (AI), Information Technology, Robotics, Software",,"New York, New York, United States, North America",https://standardbots.com,$1M to $10M,Early Stage Venture,6,65000000,USD,65000000,,Presight Capital,1,1,"67,026"
Series A - Supermicro,https://www.crunchbase.com/funding_round/super-micro-computer-series-a--9026262c,Supermicro,https://www.crunchbase.com/organization/super-micro-computer,Series A,,,,2022-09-20,Early Stage Venture,Yes,,,,"Supermicro is a global leader in high-performance, high-efficiency server technology and innovation.","Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Embedded Systems, Manufacturing, Software",Women Founded,"San Jose, California, United States, North America",http://www.supermicro.com,$10B+,IPO,2,1500000000,USD,1500000000,,Pioneer Holding Group,1,1,"67,335"
Pre Seed Round - Kalendar AI,https://www.crunchbase.com/funding_round/kalendar-ai-pre-seed--95e32cd6,Kalendar AI,https://www.crunchbase.com/organization/kalendar-ai,Pre-Seed,75000,USD,75000,2017-04-01,Seed,Yes,,,,"KalendarAI agents generate meetings, new sign ups, and revenue on autopilot by engaging your potential customers from 300+ million","Artificial Intelligence (AI), Email, Internet, Machine Learning",,"New York, New York, United States, North America",https://kalendar.ai,$1M to $10M,Seed,3,3545500,USD,3545500,,"Boost VC, Daniel Curran",2,,"67,668"
Pre Seed Round - Kalendar AI,https://www.crunchbase.com/funding_round/kalendar-ai-pre-seed--cfae63db,Kalendar AI,https://www.crunchbase.com/organization/kalendar-ai,Pre-Seed,30000,USD,30000,2019-08-30,Seed,Yes,,,,"KalendarAI agents generate meetings, new sign ups, and revenue on autopilot by engaging your potential customers from 300+ million","Artificial Intelligence (AI), Email, Internet, Machine Learning",,"New York, New York, United States, North America",https://kalendar.ai,$1M to $10M,Seed,3,3545500,USD,3545500,,Tim Mayeur,1,,"67,683"
