Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - QpiAI,https://www.crunchbase.com/funding_round/qpiai-seed--9e66c219,QpiAI,https://www.crunchbase.com/organization/qpiai,Seed,6500000,USD,6500000,2024-06-21,Seed,Yes,,,,QpiAI is a quantum computing and generative AI.,"Artificial Intelligence (AI), Computer, Hardware, Machine Learning, Manufacturing",,"Bangalore, Karnataka, India, Asia",https://qpiai.tech,,Seed,1,6500000,USD,6500000,"SIDBI Venture Capital, YourNest Venture Capital","Bhupinder Singh, Debraj Banerjee, HEM ANGELS, Kailash Katkar, Lakshmi Narayanan, Pratap Reddy, Ramaswamy Prabhakar, Ramesh Radhakrishnan, Sahasra capital, Sanjay Katkar, SIDBI Venture Capital, We Founder Circle, YourNest Venture Capital",13,2,"5,102"
Series B - Kinetic Automation,https://www.crunchbase.com/funding_round/kinetic-automation-series-b--a9e01288,Kinetic Automation,https://www.crunchbase.com/organization/kinetic-automation,Series B,21000000,USD,21000000,2024-06-20,Early Stage Venture,Yes,,,,Kinetic is a digital repair system that provides automated maintenance and service for electric and autonomous vehicles.,"Art, Hardware, Robotic Process Automation (RPA), Robotics, Software",,"Santa Ana, California, United States, North America",https://www.kinetic.auto,,Early Stage Venture,2,31000000,USD,31000000,Menlo Ventures,"Allstate Strategic Ventures, Construct Capital, Haystack Ventures, Liberty Mutual Strategic Ventures, Lux Capital, Menlo Ventures",6,2,"5,583"
Series A - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-series-a--16791c47,Black Semiconductor,https://www.crunchbase.com/organization/black-semiconductor,Series A,25700000,EUR,27607484,2024-06-12,Early Stage Venture,Yes,,,,Black Semiconductor manufacture microchips with integrated electronic-photonic circuits using graphene technology.,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor",,"Aachen, Nordrhein-Westfalen, Germany, Europe",https://blacksemiconductor.de,,Early Stage Venture,4,254400000,EUR,273281864,"Porsche Ventures, Project A Ventures","Cambium Capital Partners, Capnamic Ventures, NRW.BANK, Onsight Ventures, Porsche Ventures, Project A Ventures, Scania Growth Capital, TechVision Fund, Vsquared Ventures",9,2,"5,679"
Series A - Norm AI,https://www.crunchbase.com/funding_round/norm-ai-series-a--e03cc0c4,Norm AI,https://www.crunchbase.com/organization/norm-ai,Series A,27000000,USD,27000000,2024-06-25,Early Stage Venture,Yes,,,,Norm AI provides an AI-powered regulatory compliance platform for the legal and compliance industries.,"Artificial Intelligence (AI), Compliance, Information Technology, Legal Tech",,"New York, New York, United States, North America",https://www.norm.ai/,,Early Stage Venture,2,38100000,USD,38100000,Coatue,"Bain Capital Ventures, Blackstone Innovations Investments, Citi Ventures, Coatue, Jefferson River Capital, New York Life Ventures, TIAA",7,6,"5,764"
Seed Round - Anon,https://www.crunchbase.com/funding_round/anon-df99-seed--7f0be6c3,Anon,https://www.crunchbase.com/organization/anon-df99,Seed,4500000,USD,4500000,2024-04-24,Seed,Yes,17500000,USD,17500000,The Integration Platform for the Internet. Empowering AI developers to build user-permissioned integrations for sites without APIs.,"Developer Platform, Generative AI, Identity Management, Software",,"San Francisco, California, United States, North America",https://www.anon.com,$1M to $10M,Seed,2,6500000,USD,6500000,"Abstract Ventures, Union Square Ventures","Abstract Ventures, Amjad Masad, BlockTower Capital, Brad Gerstner, Ex/Ante, Gokul Rajaram, Impatient Ventures, Ryan Hoover, Scott Belsky, Spice Capital, Union Square Ventures",11,2,"5,905"
Seed Round - TextQL,https://www.crunchbase.com/funding_round/textql-seed--b6f854be,TextQL,https://www.crunchbase.com/organization/textql,Seed,4100000,USD,4100000,2024-01-24,Seed,Yes,,,,TextQL is a platform that simplifies the data-to-insight process for organizations.,"Analytics, Big Data",,"San Francisco, California, United States, North America",https://www.textql.com/,,Seed,2,4100000,USD,4100000,"DCM Ventures, Neo","Abe Othman, Brian Denker, Chris Prucha, DCM Ventures, Dillon Woods, Firsthand Alliance, Indicator Fund, John Jahnke, Jonathan Dawe, Kenn So, Kevin Wang, Matt Kraning, Neo, Page One Ventures, Spencer Burke, Tristan Handy, Unshackled Ventures",17,2,"5,938"
Seed Round - Wave Photonics,https://www.crunchbase.com/funding_round/wave-photonics-seed--bc574158,Wave Photonics,https://www.crunchbase.com/organization/wave-photonics,Seed,4500000,GBP,5692592,2024-06-21,Seed,Yes,,,,Wave Photonics utilizes computational techniques to accelerate integrated photonics product designs.,"Data Integration, Predictive Analytics, Software",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.wavephotonics.com/,,Seed,4,5742592,USD,5742592,"UK Innovation & Science Seed Fund, University of Cambridge Enterprise","Deeptech Labs, Kyra Ventures, Redstone, The Quantum Fund, UK Innovation & Science Seed Fund, University of Cambridge Enterprise",6,4,"6,052"
Seed Round - Shengshu Technology,https://www.crunchbase.com/funding_round/shengshu-technology-seed--8c901de6,Shengshu Technology,https://www.crunchbase.com/organization/shengshu-technology,Seed,288300000,CNY,39893175,2024-05-10,Seed,Yes,,,,"Shengshu Technology is a generative AI infrastructure that develops native multi-modal large models such as images, 3D, and video.","Artificial Intelligence (AI), Generative AI",,"Haidian, Beijing, China, Asia",https://www.shengshu-ai.com,,Seed,2,450000000,CNY,62407795,"Baidu, Beijing Artificial Intelligence Industry Investment Fund","Baidu, Beijing Artificial Intelligence Industry Investment Fund, Qiming Venture Partners, Zhongguancun Science City Science, Zhuoyuan Capital",5,2,"6,081"
Seed Round - BlinqIO,https://www.crunchbase.com/funding_round/blinqio-seed--02712b07,BlinqIO,https://www.crunchbase.com/organization/blinqio,Seed,5000000,USD,5000000,2024-06-12,Seed,Yes,,,,BlinqIO leverages Generative AI into the software testing world.,"Artificial Intelligence (AI), Generative AI, Software",Women Founded,"Wilmington, Delaware, United States, North America",https://blinq.io/,$1M to $10M,Seed,2,5000000,USD,5000000,Flint Capital,"Flint Capital, Inovia Capital, SeedIL Ventures, Tal Ventures",4,1,"6,485"
Pre Seed Round - TextQL,https://www.crunchbase.com/funding_round/textql-pre-seed--478d743f,TextQL,https://www.crunchbase.com/organization/textql,Pre-Seed,,,,2023-12-12,Seed,Yes,,,,TextQL is a platform that simplifies the data-to-insight process for organizations.,"Analytics, Big Data",,"San Francisco, California, United States, North America",https://www.textql.com/,,Seed,2,4100000,USD,4100000,"DCM Ventures, Neo","Brian Denker, Chris Prucha, DCM Ventures, Dillon Woods, Firsthand Alliance, Indicator Fund, John Jahnke, Kevin Wang, Matt Kraning, Neo, Page One Ventures, Spencer Burke, Tristan Handy, Unshackled Ventures, Worklife",15,2,"6,626"
