Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Funding Status,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Series A - yunjiacloud.com,https://www.crunchbase.com/funding_round/yunjiacloud-com-series-a--4d43bbde,yunjiacloud.com,https://www.crunchbase.com/organization/yunjiacloud-com,Series A,10000000,CNY,1502890,2016-07-01,Early Stage Venture,,,,Yes,"Yunjia Cloud is an IT company that offers cloud computing, big data, and artificial intelligence services.","Artificial Intelligence (AI), Big Data, Cloud Computing",,"Yuhang, Zhejiang, China, Asia",http://www.yunjiacloud.com,,10000000,CNY,1502890,1,Early Stage Venture,,"Bojiang Capital, Yinxinggu Capital",,2,"50,064"
Series D - Blippar,https://www.crunchbase.com/funding_round/blippar-series-d--349ce71e,Blippar,https://www.crunchbase.com/organization/blippar,Series D,54000000,USD,54000000,2016-03-02,Late Stage Venture,184700000,GBP,260028044,Yes,"Blippar is a technology company specializing in augmented reality, artificial intelligence and computer vision.","Advertising, Artificial Intelligence (AI), Augmented Reality, Computer Vision, Image Recognition, Machine Learning, Marketing, Software",,"London, England, United Kingdom, Europe",http://www.blippar.com,$10M to $50M,141000000,USD,141000000,6,M&A,Khazanah Nasional,Khazanah Nasional,,1,"54,384"
Seed Round - Owkin,https://www.crunchbase.com/funding_round/owkin-2-seed--c51c6657,Owkin,https://www.crunchbase.com/organization/owkin-2,Seed,2100000,USD,2100000,2016-10-30,Seed,,,,Yes,Owkin is an AI precision medicine company with a vision to find the right drug for every patient.,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Machine Learning, Pharmaceutical, Precision Medicine",,"New York, New York, United States, North America",http://www.owkin.com,$1M to $10M,304100000,USD,304100000,8,Early Stage Venture,,"Brent Hoberman, Jean-Paul Clozel, Jorg Mohaupt, NJF Capital, Shana Fisher",1,5,"54,688"
Seed Round - Aidoc,https://www.crunchbase.com/funding_round/aidoc-seed--087a98d9,Aidoc,https://www.crunchbase.com/organization/aidoc,Seed,4000000,USD,4000000,2016-10-20,Seed,,,,Yes,Aidoc specializes in developing artificial intelligence tools for radiologists and multidisciplinary response teams.,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device",,"Tel Aviv, Tel Aviv, Israel, Asia",http://aidoc.com,$10M to $50M,264000000,USD,264000000,9,,Magma Venture Partners,"Emerge, Magma Venture Partners",1,2,"58,047"
Seed Round - People.ai,https://www.crunchbase.com/funding_round/people-ai-seed--fe21c38e,People.ai,https://www.crunchbase.com/organization/people-ai,Seed,3000000,USD,3000000,2016-08-24,Seed,,,,Yes,"People.ai is an AI platform for enterprise sales, marketing, and customer success that uncovers revenue opportunities.","Artificial Intelligence (AI), Consumer Research, Enterprise Software, Intelligent Systems, Machine Learning",,"San Francisco, California, United States, North America",https://people.ai/,$10M to $50M,200001000,USD,200001000,9,,,"408 Ventures, Ashish Toshniwal, AVentures Capital, Benjamin Boyer, CSC Upshot, Garage Technology Ventures, Haystack, Kevin Mahaffey, Nick Bilogorskiy, Partech, Paul Levine, Sam Kwok, SV Angel, Y Combinator, Zillionize",3,15,"60,218"
Series B - Hubba,https://www.crunchbase.com/funding_round/hubba-series-b--2001c0db,Hubba,https://www.crunchbase.com/organization/hubba,Series B,45000000,USD,45000000,2016-12-06,Early Stage Venture,,,,Yes,Hubba is a software company that uses a combination of machine learning and personal curation to match brands with buyers.,"B2B, Brand Marketing, E-Commerce, Enterprise Software, Machine Learning, Product Management, Retail, SaaS, Software",,"Toronto, Ontario, Canada, North America",http://www.hubba.com,$10M to $50M,61386580,USD,61386580,5,Early Stage Venture,Goldman Sachs Investment Partners,"Brightspark Ventures, Dream Maker Ventures (DMV), Goldman Sachs Investment Partners, Kensington Capital Partners Limited, Kensington Capital Ventures, Real Ventures",2,6,"61,089"
Seed Round - Sentenai,https://www.crunchbase.com/funding_round/sentenai-seed--41cd29f3,Sentenai,https://www.crunchbase.com/organization/sentenai,Seed,1800000,USD,1800000,2016-01-21,Seed,,,,Yes,"Sentenai is a cloud-based platform for automating data engineering for machine learning and predictive applications, primarily in IoT.","Analytics, Artificial Intelligence (AI), Cloud Data Services, Cloud Infrastructure, Infrastructure, Machine Learning, Software","South Asian Founded, South Asian Led","Boston, Massachusetts, United States, North America",http://www.sentenai.com/,$1M to $10M,3800000,USD,3800000,7,,Flybridge,"Alumni Ventures, Castor Ventures, Flybridge, Founder Collective, Hyperplane, Project 11 Ventures, Riot Ventures",2,7,"62,582"
Series A - SparkCognition,https://www.crunchbase.com/funding_round/sparkcognition-series-a--985f8375,SparkCognition,https://www.crunchbase.com/organization/sparkcognition,Series A,6000000,USD,6000000,2016-04-26,Early Stage Venture,,,,Yes,SparkCognition is an AI technology startup operating a machine learning software to analyze increasingly complex data stores.,"Analytics, Artificial Intelligence (AI), Cyber Security, Machine Learning, Software",,"Austin, Texas, United States, North America",https://sparkcognition.com,$100M to $500M,286581738,USD,286581738,9,Late Stage Venture,"CME Ventures, Verizon Ventures","Alameda Ventures, CME Ventures, Sternhill Associates, The Entrepreneurs' Fund, Verizon Ventures",,5,"63,485"
Seed Round - Vi,https://www.crunchbase.com/funding_round/vi-558e-seed--2621f715,Vi,https://www.crunchbase.com/organization/vi-558e,Seed,16000000,USD,16000000,2016-03-24,Seed,,,,Yes,Vi is the market-leading Enterprise-AI for digital health and provides AI-as-a-Service for health and wellness enterprises.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Life Science, Pharmaceutical, Software, Web Development, Wellness",,"New York, New York, United States, North America",https://vi.co/,$100M to $500M,38665676,USD,38665676,5,Early Stage Venture,Square Peg Capital,"Atomics 14 Ventures, Cerca Partners, Square Peg Capital, Triventures, Wellborn Ventures, World Trade Ventures",3,6,"63,807"
Seed Round - LocalizeOS,https://www.crunchbase.com/funding_round/localize-city-seed--caddb6c8,LocalizeOS,https://www.crunchbase.com/organization/localize-city,Seed,3000000,USD,3000000,2016-01-15,Seed,,,,Yes,"LocalizeOS is a real estate operating system that enables agents to connect, track, and co-manage all of their leads in one place.","Artificial Intelligence (AI), Operating Systems, Productivity Tools, Real Estate, Software",,"New York, New York, United States, North America",http://www.localizeos.com,Less than $1M,40000000,USD,40000000,5,Early Stage Venture,"Avigdor Willenz, Zvi Limon","Avigdor Willenz, Lip-Bu Tan, Noam Gottesman, Zvi Limon",,4,"63,744"
