Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Splight,https://www.crunchbase.com/funding_round/splight-seed--3dd9e7cb,Splight,https://www.crunchbase.com/organization/splight,Seed,12000000,USD,12000000,2024-07-24,Seed,,,,Yes,"Artificial Intelligence (AI), Information Services, Information Technology",Splight is a technology business that creates artificial energy for digital solutions in existing power infrastructure.,,"Washington, District of Columbia, United States, North America",https://www.splight-ai.com,,12000000,USD,12000000,Seed,2,noa,"Ascent Energy Ventures, Barn Investments, Draper B1, Draper Cygnus, EDP Ventures, Elewit, Fen Ventures, noa, Reaction, U.C. Berkeley",2,10,192
Venture Round - DataShapes,https://www.crunchbase.com/funding_round/rokio-inc-series-unknown--bdd29d35,DataShapes,https://www.crunchbase.com/organization/rokio-inc,Venture - Series Unknown,6750000,USD,6750000,2024-02-23,,,,,Yes,"Artificial Intelligence (AI), Enterprise, Machine Learning, Real Time, SaaS, Software","Provides hardware-agnostic, low SWaP RF AI software for real-time situational awareness and analytics anywhere, anytime it is needed.",,"Charlottesville, Virginia, United States, North America",https://www.datashapes.com,$1M to $10M,17750000,USD,17750000,,4,,,,,"10,311"
Seed Round - Fileread,https://www.crunchbase.com/funding_round/aurelogy-seed--72ce68ba,Fileread,https://www.crunchbase.com/organization/aurelogy,Seed,6491996,USD,6491996,2023-06-09,Seed,,,,Yes,"Artificial Intelligence (AI), Legal Tech, Machine Learning, Software",AI powered fact finding. Human powered analysis.,Women Founded,"Long Island City, New York, United States, North America",https://fileread.com,,6491996,USD,6491996,Seed,1,Gradient Ventures,"Gradient Ventures, Soma Capital",1,2,"458,483"
Series A - Mitang Technology,https://www.crunchbase.com/funding_round/mitang-technology-series-a--14e33f6c,Mitang Technology,https://www.crunchbase.com/organization/mitang-technology,Series A,46000000,CNY,6486639,2024-04-07,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Big Data",Mitang Technology provides AI intelligent personalized products.,,"Hangzhou, Zhejiang, China, Asia",,,46000000,CNY,6486639,Early Stage Venture,1,,,,,"23,493"
Series A - EdgeTier,https://www.crunchbase.com/funding_round/edgetier-series-a--3910bb64,EdgeTier,https://www.crunchbase.com/organization/edgetier,Series A,6000000,EUR,6457515,2023-06-12,Early Stage Venture,,,,Yes,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software",Human-Centric Artificial Intelligence,,"Dublin, Dublin, Ireland, Europe",https://www.edgetier.com/,$1M to $10M,7500000,EUR,8146274,Early Stage Venture,2,Smedvig Ventures,"Act Venture Capital, Episode 1, Smedvig Ventures",1,3,"300,785"
Seed Round - Skyline Robotics,https://www.crunchbase.com/funding_round/skyline-robotics-seed--e72933be,Skyline Robotics,https://www.crunchbase.com/organization/skyline-robotics,Seed,6450000,USD,6450000,2023-12-20,Seed,,,,Yes,"Artificial Intelligence (AI), Building Maintenance, PropTech, Robotics, Sensor",Skyline Robotics is a robotics and automation company that develops a cleaning system that automates real estate maintenance work.,,"Tel Aviv, Tel Aviv, Israel, Asia",https://skylinerobotics.com,$1M to $10M,19300000,USD,19300000,Seed,5,Skyline Standard Holdings,"Accelerator Ventures, Durst Ventures, Skyline Standard Holdings",,3,"8,767"
Seed Round - PreemptiveAI,https://www.crunchbase.com/funding_round/preemptiveai-seed--35ea1334,PreemptiveAI,https://www.crunchbase.com/organization/preemptiveai,Seed,6400000,USD,6400000,2024-03-06,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care",PreemptiveAI is predictive medical model that maps human physilogy/pathology in real-time via biomedical signals from smartphones.,,"Seattle, Washington, United States, North America",https://www.preemptiveai.com,,6400000,USD,6400000,Seed,1,Meridian Street Capital,"Inspired Capital Partners, Meridian Street Capital, Precursor Ventures",,3,"11,533"
Seed Round - Handraise,https://www.crunchbase.com/funding_round/handraise-seed--9d80b657,Handraise,https://www.crunchbase.com/organization/handraise,Seed,6400000,USD,6400000,2023-11-12,Seed,,,,Yes,"Artificial Intelligence (AI), Market Research, News, Public Relations, Social News, Software",Handraise is unlocking the power of news with AI.,,"Austin, Texas, United States, North America",https://www.handraise.com,,6400000,USD,6400000,Seed,1,Silverton Partners,"Active Capital, AperiamVentures, Bill Wood Ventures, Capital Factory, Firebrand Ventures, Floodgate, Silverton Partners, Sputnik ATX",2,8,"13,302"
Seed Round - Empion,https://www.crunchbase.com/funding_round/empion-seed--f10523f0,Empion,https://www.crunchbase.com/organization/empion,Seed,6000000,EUR,6339814,2023-10-25,Seed,,,,Yes,"Artificial Intelligence (AI), Human Resources","Empion is the first automated headhunting system matching candidates and companies based on values, skills, and personality traits.",,"Berlin, Berlin, Germany, Europe",https://empion.io,,8400000,EUR,8842797,Seed,2,Cavalry Ventures,"Cavalry Ventures, Redstone",2,2,"44,656"
Seed Round - Lambda Automata,https://www.crunchbase.com/funding_round/lambda-automata-seed--4887accf,Lambda Automata,https://www.crunchbase.com/organization/lambda-automata,Seed,6000000,EUR,6322678,2023-10-18,Seed,,,,Yes,"Artificial Intelligence (AI), Homeland Security, National Security",Lambda Automata builds autonomous systems tailored for addressing national security challenges in the EU and its allies.,,"Athens, Attiki, Greece, Europe",https://www.lambda-automata.eu,,6000000,EUR,6322678,Seed,2,Air Street Capital,"201 Ventures, Air Street Capital, Daniel Kan, HCVC, Marathon Venture Capital, Oliver Cameron",4,6,"34,165"
