Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series C - Magic,https://www.crunchbase.com/funding_round/magic-83fe-series-c--1f3ca7cc,Magic,https://www.crunchbase.com/organization/magic-83fe,Series C,320000000,USD,320000000,2024-08-29,Late Stage Venture,,,,Yes,"Artificial Intelligence (AI), Information Technology, Machine Learning",Magic is an AI coding startup that enables developers to work with AI to find code for building apps.,,"San Francisco, California, United States, North America",https://magic.dev,,465125000,USD,465125000,Late Stage Venture,4,,"Atlassian Ventures, CapitalG, Daniel Gross, Elad Gil, Eric Schmidt, Jane Street Capital, Nat Friedman, Sequoia Capital",8,1,73
Pre Seed Round - Pryzm,https://www.crunchbase.com/funding_round/pryzm-f60d-pre-seed--99e8e8ed,Pryzm,https://www.crunchbase.com/organization/pryzm-f60d,Pre-Seed,2000000,USD,2000000,2024-08-28,Seed,,,,Yes,"Aerospace, Artificial Intelligence (AI), Government",AI for government contract capture,,"Boston, Massachusetts, United States, North America",https://www.pryzm.io,,2000000,USD,2000000,Seed,2,"Amplify.LA, XYZ Venture Capital","Amplify.LA, First In, XYZ Venture Capital",3,1,82
Series A - Bland AI,https://www.crunchbase.com/funding_round/bland-ai-series-a--5dfe460e,Bland AI,https://www.crunchbase.com/organization/bland-ai,Series A,16000000,USD,16000000,2024-08-28,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Infrastructure",Bland AI is the infrastructure for building AI phone calling applications at scale.,,"San Francisco, California, United States, North America",https://www.bland.ai/,,16000000,USD,16000000,Early Stage Venture,2,Scale Venture Partners,"Cameron Ventures, Jeff Lawson, Max Levchin, Piotr Dabkowski, Scale Venture Partners, Upfront Ventures, Y Combinator",7,1,89
Seed Round - Moveo.AI,https://www.crunchbase.com/funding_round/moveo-0629-seed--7cf0e3f7,Moveo.AI,https://www.crunchbase.com/organization/moveo-0629,Seed,2300000,EUR,2568217,2024-08-27,Seed,,,,Yes,"Artificial Intelligence (AI), Customer Service, Natural Language Processing, Software",Moveo.AI provides a conversational AI platform that automates customer interactions.,,"New Milford, New Jersey, United States, North America",https://moveo.ai,,2968217,USD,2968217,Seed,2,Eleven Ventures,"Charge Ventures, Eleven Ventures, Uni.Fund",3,2,90
Seed Round - Approveit,https://www.crunchbase.com/funding_round/approveit-today-seed--7ae537f3,Approveit,https://www.crunchbase.com/organization/approveit-today,Seed,1000000,USD,1000000,2024-09-02,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, SaaS, Software",Approveit is a business process management software that automates business workflows to enhance operational efficiency.,,"San Francisco, California, United States, North America",https://approveit.today,,2013000,USD,2013000,Seed,4,"10vc, Telegraph Hill Capital, Verras Capital","10vc, Telegraph Hill Capital, Verras Capital",3,,111
Seed Round - Swiss-Mile,https://www.crunchbase.com/funding_round/swiss-mile-seed--a9cbfcae,Swiss-Mile,https://www.crunchbase.com/organization/swiss-mile,Seed,22000000,USD,22000000,2024-08-29,Seed,78000000,USD,78000000,Yes,"Artificial Intelligence (AI), Information Technology, Manufacturing, Robotics",Swiss-Mile develops an artificial intelligence-driven wheeled-legged robot to collect insights and streamline labor processes.,,"Zürich, Zurich, Switzerland, Europe",https://www.swiss-mile.com,,25500000,USD,25500000,Seed,2,"Bezos Expeditions, HongShan","Amazon Industrial Innovation Fund, Armada Investment AG, Bezos Expeditions, HongShan, Linear Capital",5,1,112
Seed Round - Inventive AI,https://www.crunchbase.com/funding_round/inventive-ai-seed--fbf64de6,Inventive AI,https://www.crunchbase.com/organization/inventive-ai,Seed,4000000,USD,4000000,2024-08-28,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Software",AI-powered RFX & Questionnaire Response Management platform,,"Mountain View, California, United States, North America",https://www.inventive.ai,$1M to $10M,4500000,USD,4500000,Seed,2,Sierra Ventures,"General Catalyst, Sierra Ventures, Soma Capital, Y Combinator",4,9,138
Pre Seed Round - Agency AI,https://www.crunchbase.com/funding_round/agentops-pre-seed--a1db3b14,Agency AI,https://www.crunchbase.com/organization/agentops,Pre-Seed,2600000,USD,2600000,2024-08-28,Seed,,,,Yes,"Artificial Intelligence (AI), Data Management, Generative AI",Agency AI provides AgentOps.ai to create a reliable environment for AI agent development.,,"San Francisco, California, United States, North America",https://agen.cy,,2600000,USD,2600000,Seed,1,"645 Ventures, Afore Capital","645 Ventures, Afore Capital",2,2,162
Series A - Hypernative,https://www.crunchbase.com/funding_round/hypernative-series-a--d69283a9,Hypernative,https://www.crunchbase.com/organization/hypernative,Series A,16000000,USD,16000000,2024-09-03,Early Stage Venture,,,,Yes,"Cyber Security, Information Technology, Machine Learning, Web3",Hypernative is a software development company that protects digital assets using AI.,,"Herzliya, Tel Aviv, Israel, Asia",https://www.hypernative.io,$1M to $10M,36499872,USD,36499872,Early Stage Venture,4,Quantstamp,"Bloccelerate VC, boldstart ventures, Borderless Capital, CMT Digital, IBI Tech Fund, Knollwood Investment Advisory, Quantstamp, Re7 Capital",8,1,190
Series B - Oda Class,https://www.crunchbase.com/funding_round/oda-class-series-b--aacc0f6a,Oda Class,https://www.crunchbase.com/organization/oda-class,Series B,40000000,INR,476785,2024-08-29,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), E-Learning, EdTech, Education, SaaS",ODA Class is an EdTech company that provides AI-driven interactive live online classes to K-12 students.,,"Bengaluru, Karnataka, India, Asia",https://www.odaclass.com/,,12726785,USD,12726785,Early Stage Venture,5,,"Daituzi Education Technology Corporation Limited, Matrix Partners China, Skywalker Education Technology",3,,233
