Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Corporate Round - Terminus Technologies,https://www.crunchbase.com/funding_round/terminus-technologies-co-corporate-round--a8ee4f97,Terminus Technologies,https://www.crunchbase.com/organization/terminus-technologies-co,Corporate Round,50000000,CNY,7045727,2024-08-29,,20783333333,CNY,2928673759,Yes,"Artificial Intelligence (AI), Information Technology, Internet of Things, Robotics, Software",Terminus Technologies is a city-level AI+IoT platform operator in China.,,"Beijing, Beijing, China, Asia",http://www.terminusgroup.com/,,5750000000,CNY,813167289,,7,Microware,Microware,1,,854
Series A - Mala'a Technologies,https://www.crunchbase.com/funding_round/mala-a-technologies-series-a--46e39356,Mala'a Technologies,https://www.crunchbase.com/organization/mala-a-technologies,Series A,65000000,SAR,17320982,2024-09-03,Early Stage Venture,,,,Yes,"Financial Services, FinTech, Mobile Apps, Predictive Analytics",Mala'a Technologies is a finance management app that helps manage finances and provides recommendations on finances.,,"Riyadh, Ar Riyad, Saudi Arabia, Asia",https://www.malaa.tech,$1M to $10M,71400000,SAR,19026524,Early Stage Venture,2,SNB Capital,"Derayah Financial, Impact46, Khwarizmi Ventures, SNB Capital, Woken Investment",5,,903
Corporate Round - Quanzhentong,https://www.crunchbase.com/funding_round/quanzhentong-corporate-round--86320c4c,Quanzhentong,https://www.crunchbase.com/organization/quanzhentong,Corporate Round,27940000,CNY,3921899,2024-08-28,,108021070,CNY,15162767,Yes,"Artificial Intelligence (AI), Medical, Medical Device","Quanzhentong specializes in medical AI products and services, utilizing its comprehensive platform in numerous hospitals.",,"Hangzhou, Zhejiang, China, Asia",https://www.aioclinic.com,,27940000,CNY,3921899,,1,Innovative Medical Management,Innovative Medical Management,1,,914
Seed Round - Vector Equation,https://www.crunchbase.com/funding_round/vector-equation-seed--001a5c0c,Vector Equation,https://www.crunchbase.com/organization/vector-equation,Seed,,,,2024-08-27,Seed,,,,Yes,"Digital Media, Generative AI, Video Editing","Vector Equation Pomegranate Digital Human is a developer of intelligent digital human platforms, specializing in AGI and machine vision.",,,,,,,,Seed,1,,,,,"1,079"
Venture Round - AironWorks,https://www.crunchbase.com/funding_round/aironworks-series-unknown--58e7da62,AironWorks,https://www.crunchbase.com/organization/aironworks,Venture - Series Unknown,450000000,JPY,3077869,2024-08-30,,,,,Yes,"Artificial Intelligence (AI), Consulting, Cyber Security, Fraud Detection, Network Security",AironWorks develops a cybersecurity training platform for countering social engineering and targeted attacks.,,"Tokyo, Tokyo, Japan, Asia",https://www.aironworks.com,,3877869,USD,3877869,,2,,"All Star SAAS Fund, Salesforce Ventures, SBI Investment, Shizen Capital",4,5,"1,102"
Seed Round - ZhongQing Robot,https://www.crunchbase.com/funding_round/zhongqing-robot-seed--34e942bd,ZhongQing Robot,https://www.crunchbase.com/organization/zhongqing-robot,Seed,100000000,CNY,14036861,2024-08-28,Seed,,,,Yes,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Robotics","Zhongqing Robotics focuses on intelligent robots and industry solutions, including humanoid robots.",,"Shenzhen, Guangdong, China, Asia",https://www.engineai.com.cn,,100000000,CNY,14036861,Seed,1,"Highlight Capital, Sense Capital","Hefei Binhu Financial Investment, Highlight Capital, Sense Capital, Xunshang Venture Capital",4,,"1,175"
Seed Round - Entalpic,https://www.crunchbase.com/funding_round/entalpic-seed--e306c4ec,Entalpic,https://www.crunchbase.com/organization/entalpic,Seed,8500000,USD,8500000,2024-09-04,Seed,,,,Yes,"Artificial Intelligence (AI), Chemical, Product Research",Entalpic is an AI-driven discovery platform for sustainable industries aiming to optimize carbon-intensive sectors.,,"Paris, Ile-de-France, France, Europe",https://entalpic.ai/,,8500000,USD,8500000,Seed,1,"Breega, Cathay Innovation, Felicis","Arnaud Robert, Breega, Cathay Innovation, Felicis, Gilles Wainrib, Jorg Weiser, Michal Valko, Thomas Wolf, Yoshua Bengio",9,3,"1,266"
Grant - Subtle Medical,https://www.crunchbase.com/funding_round/subtle-medical-grant--7e320e42,Subtle Medical,https://www.crunchbase.com/organization/subtle-medical,Grant,,,,2024-09-04,,,,,No,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software","Subtle Medical utilizes AI to enhance various imaging processes, such as PET and MRI scans, improving both speed and quality.",,"Menlo Park, California, United States, North America",https://subtlemedical.com,$1M to $10M,59200000,USD,59200000,Early Stage Venture,10,National Institutes of Health,National Institutes of Health,1,,"1,288"
Grant - Deep Breathe,https://www.crunchbase.com/funding_round/deep-breathe-grant--909bb56a,Deep Breathe,https://www.crunchbase.com/organization/deep-breathe,Grant,95000,USD,95000,2024-09-03,,,,,No,"Artificial Intelligence (AI), Health Care, Medical",Deep Breathe is lung ultrasound and deep learning medical technology company.,,"London, Ontario, Canada, North America",https://www.deepbreathe.ai/,,95000,USD,95000,,2,xTech,xTech,1,,"1,314"
Grant - FLock.io,https://www.crunchbase.com/funding_round/flock-io-grant--aefbae3d,FLock.io,https://www.crunchbase.com/organization/flock-io,Grant,1000000,USD,1000000,2024-09-03,,,,,No,"Artificial Intelligence (AI), Blockchain, Machine Learning, Web3",We build Federated Learning Blocks: A native Web3 Data Privacy solution for Artificial Intelligence,,"London, England, United Kingdom, Europe",https://flock.io,,9000000,USD,9000000,Seed,3,Ethereum Foundation,Ethereum Foundation,1,,"1,317"
Series A - Sedric.ai,https://www.crunchbase.com/funding_round/sedric-ai-series-a--aacf78b6,Sedric.ai,https://www.crunchbase.com/organization/sedric-ai,Series A,18500000,USD,18500000,2024-09-05,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), FinTech, Information Services, Information Technology, SaaS",Sedric is a compliance excellence platform for next-gen fintech companies.,,"Tel Aviv-yafo, Tel Aviv, Israel, Asia",https://www.sedric.ai/company,$1M to $10M,22000000,USD,22000000,Early Stage Venture,3,Foundation Capital,"American Express, Foundation Capital, Gefen Capital, K20 Fund, Secret Chord Ventures, Skywell Capital Partners, StageOne Ventures, The Garage",8,1,"1,321"
Venture Round - assetbird,https://www.crunchbase.com/funding_round/assetbird-series-unknown--7ceb90fe,assetbird,https://www.crunchbase.com/organization/assetbird,Venture - Series Unknown,2400000,EUR,2682514,2024-08-28,,,,,Yes,"Artificial Intelligence (AI), B2B, Productivity Tools, Real Estate, Software",Through us invests the real estate industry. AI data extraction and automated management processes for dealflow and more motivated teams.,,"Berlin, Berlin, Germany, Europe",https://www.assetbird.de/,Less than $1M,2400000,EUR,2682514,,1,"468 Capital, IBB Ventures","468 Capital, IBB Ventures",2,2,"1,359"
Seed Round - Thakaa Med,https://www.crunchbase.com/funding_round/thakaa-med-seed--56bf84b2,Thakaa Med,https://www.crunchbase.com/organization/thakaa-med,Seed,,,,2024-09-01,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care",Thakaa Med is a leading AI-driven healthcare innovator.,,"Riyadh, Ar Riyad, Saudi Arabia, Asia",https://thakaamed.ai,,,,,Seed,1,Falak Angels,Falak Angels,1,1,"1,379"
Venture Round - Polaris.AI,https://www.crunchbase.com/funding_round/polaris-ai-6b62-series-unknown--91c7487e,Polaris.AI,https://www.crunchbase.com/organization/polaris-ai-6b62,Venture - Series Unknown,,,,2024-08-28,,,,,Yes,"Artificial Intelligence (AI), Business Development, Information Technology","Polaris.AI offers AI contract development, support and AI technology education services.",,"Tokyo, Tokyo, Japan, Asia",https://polarisai.co.jp,,,,,,1,Deep30,Deep30,1,1,"1,541"
Seed Round - Digital China,https://www.crunchbase.com/funding_round/digital-china-seed--f544dda8,Digital China,https://www.crunchbase.com/organization/digital-china,Seed,,,,2024-08-28,Seed,,,,Yes,"Hardware, Robotic Process Automation (RPA), Robotics",Digital China is a robotics company focused on developing humanoid interactive robots.,,"Shenzhen, Guangdong, China, Asia",,,,,,Seed,1,Agibot,Agibot,1,,"1,544"
Venture Round - WOMBO,https://www.crunchbase.com/funding_round/wombo-series-unknown--2ca30bbf,WOMBO,https://www.crunchbase.com/organization/wombo,Venture - Series Unknown,12200000,CAD,9001265,2024-09-04,,,,,Yes,"Artificial Intelligence (AI), Digital Entertainment, Machine Learning, Mobile, Music, Social Media, Software",WOMBO is an AI-powered lip sync app that creates deepfake copies of images lip-syncing to a selection of songs.,,"Toronto, Ontario, Canada, North America",https://www.wombo.ai,$1M to $10M,18501265,USD,18501265,,6,Round13 Capital,"CoreWeave, NVIDIA, Round13 Capital, SBI Ven Capital, Web3.com Ventures",5,1,"1,626"
Seed Round - EXeX,https://www.crunchbase.com/funding_round/exex-eecb-seed--28a18d31,EXeX,https://www.crunchbase.com/organization/exex-eecb,Seed,5800000,USD,5800000,2024-08-27,Seed,,,,Yes,"Artificial Intelligence (AI), Machine Learning, SaaS",EXeX is a software development company that develops AI-driven and enhanced surgical procedures for hospitals.,,"Orlando, Florida, United States, North America",https://exex.ai,,5800000,USD,5800000,Seed,1,,,,,"1,756"
Seed Round - Ventory,https://www.crunchbase.com/funding_round/ventory-seed--8f5a32a3,Ventory,https://www.crunchbase.com/organization/ventory,Seed,1750000,EUR,1937092,2024-09-02,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, SaaS, Software","Ventory specializes in field inventory management, SaaS, analytics & insights, AI, and supply chain services.",,"Kraainem, Vlaams-Brabant, Belgium, Europe",https://ventory.io/,$1M to $10M,1750000,EUR,1937092,Seed,1,"Finindus, Matterwave Ventures","Finindus, Matterwave Ventures, Ventures by delaware",3,2,"1,968"
Seed Round - Acuvity,https://www.crunchbase.com/funding_round/acuvity-seed--3fae6008,Acuvity,https://www.crunchbase.com/organization/acuvity,Seed,9000000,USD,9000000,2024-09-05,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology",Acuvity is a team of security and AI experts provides the solutions to safely adopt GenAI in enterprises.,,"Sunnyvale, California, United States, North America",https://acuvity.ai/,,9000000,USD,9000000,Seed,1,Foundation Capital,"Foundation Capital, Satyam Sinha",2,1,"2,034"
Seed Round - Dotyon.AI,https://www.crunchbase.com/funding_round/dotyon-ai-seed--e14f19a9,Dotyon.AI,https://www.crunchbase.com/organization/dotyon-ai,Seed,3200000,USD,3200000,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Service Industry",Dotyon.AI is an artificial intelligence service provider that automates time-consuming legal activities.,,"Toronto, Ontario, Canada, North America",http://dotyon.ai/,,3200000,USD,3200000,Seed,1,,"Bailian Capital, Guojian Group",2,,"2,092"
Corporate Round - Nimble Robotics,https://www.crunchbase.com/funding_round/qoowa-corporate-round--2cdf7de0,Nimble Robotics,https://www.crunchbase.com/organization/qoowa,Corporate Round,,,,2024-09-05,,,,,Yes,"Artificial Intelligence (AI), Computer Vision, Industrial Automation, Logistics, Robotics, Software, Warehousing",Nimble Robotics reimagines fulfillment with intelligent robots that can pick and pack anything.,,"San Francisco, California, United States, North America",https://nimble.ai,$10M to $50M,115000000,USD,115000000,,3,FedEx,FedEx,1,,"2,201"
Grant - AcuraStem,https://www.crunchbase.com/funding_round/acurastem-grant--e125a5e2,AcuraStem,https://www.crunchbase.com/organization/acurastem,Grant,4000000,USD,4000000,2024-09-03,,,,,No,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical, Neuroscience, Therapeutics","AcuraStem harnesses human, patient-specific in vitro cell models and assays to develop cures and improve diagnoses in disorders of the CNS.",Women Founded,"Monrovia, California, United States, North America",https://acurastem.com/,$1M to $10M,16000000,USD,16000000,,5,California Institute for Regenerative Medicine,California Institute for Regenerative Medicine,1,,"2,276"
Seed Round - Shieldbase AI,https://www.crunchbase.com/funding_round/shieldbase-ai-seed--1c7c50b5,Shieldbase AI,https://www.crunchbase.com/organization/shieldbase-ai,Seed,,,,2024-09-02,Seed,,,,Yes,"Analytics, Artificial Intelligence (AI), Business Intelligence, Database, Knowledge Management","Shieldbase is an AI operating system for enterprises that automates knowledge retrieval, generation, and processes.",,"San Francisco, California, United States, North America",https://shieldbase.ai,,,,,Seed,1,Tenity,Tenity,1,1,"2,291"
Corporate Round - APLAYZ,https://www.crunchbase.com/funding_round/aplayz-corporate-round--3438cc87,APLAYZ,https://www.crunchbase.com/organization/aplayz,Corporate Round,1200000000,KRW,904048,2024-08-28,,,,,Yes,"Artificial Intelligence (AI), Music, Real Time","APLAYZ uses AI curation Engine to deliver real-time recommendations based on collected data, including venues, situations &music sources.",,"Mapo, Seoul-t'ukpyolsi, South Korea, Asia",https://www.aplayz.co.kr,,1200000000,KRW,904048,,1,OBIGO Inc.,OBIGO Inc.,1,,"2,297"
Grant - OpsLab,https://www.crunchbase.com/funding_round/skyschedule-grant--95318c83,OpsLab,https://www.crunchbase.com/organization/skyschedule,Grant,,,,2024-08-28,,,,,No,"Artificial Intelligence (AI), Drones, Machine Learning, Scheduling",OpsLab is an airline operations and financial technology.,,"Austin, Texas, United States, North America",https://www.opslab.com,,5000000,USD,5000000,Seed,2,U.S. Department of Defense,U.S. Department of Defense,1,,"2,525"
Seed Round - The Cloud Minders,https://www.crunchbase.com/funding_round/the-cloud-minders-seed--42bd98f4,The Cloud Minders,https://www.crunchbase.com/organization/the-cloud-minders,Seed,3000000,USD,3000000,2024-08-30,Seed,,,,Yes,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, GPU, Information Technology, IT Infrastructure",Alt investments in AI supercomputers.,,"Atlanta, Georgia, United States, North America",https://thecloudminders.com/,,3000000,USD,3000000,Seed,1,Global Digital Holdings,"Alder Capital Management, Fluent Holdings, Global Digital Holdings, Rhythmic Ventures",4,1,"3,416"
Seed Round - Capsa AI,https://www.crunchbase.com/funding_round/capsa-ai-seed--98197f27,Capsa AI,https://www.crunchbase.com/organization/capsa-ai,Seed,1700000,GBP,2238777,2024-09-05,Seed,,,,Yes,"Artificial Intelligence (AI), Financial Services, Trading Platform",Capsa AI helps private equity firms to take data-driven investment decisions using AI to transform due diligence process.,,"London, England, United Kingdom, Europe",https://capsa.ai/,,1820000,GBP,2391237,Seed,3,Outward VC,"Antler, Cornerstone VC, Outward VC",3,1,"3,437"
Seed Round - Angel AI Company,https://www.crunchbase.com/funding_round/angel-ai-company-seed--62a07a55,Angel AI Company,https://www.crunchbase.com/organization/angel-ai-company,Seed,1100000,USD,1100000,2024-09-05,Seed,,,,Yes,"Artificial Intelligence (AI), EdTech, Primary Education",Angel AI Company is an AI platform that offers kids between the ages of five and twelve an age-appropriate online experience.,,"Nashville, Tennessee, United States, North America",https://angelkids.ai,,5850000,USD,5850000,Seed,2,,"Atland Ventures, City Light Capital, Magnify Ventures",3,2,"3,436"
Pre Seed Round - eNOugh,https://www.crunchbase.com/funding_round/enough-5b9f-pre-seed--5cb7f07e,eNOugh,https://www.crunchbase.com/organization/enough-5b9f,Pre-Seed,280000,EUR,312652,2024-08-27,Seed,,,,Yes,"Artificial Intelligence (AI), Public Safety","eNOugh combines superior hardware, personalized features, and AI technology to provide a powerful and dependable personal safety solution.",,"London, England, United Kingdom, Europe",https://enoughsafety.com/,,280000,EUR,312652,Seed,1,PurposeTech,"Klara Losert, PurposeTech",2,,"3,531"
Private Equity Round - MyndYou,https://www.crunchbase.com/funding_round/myndyou-private-equity--08c195d6,MyndYou,https://www.crunchbase.com/organization/myndyou,Private Equity,,,,2024-09-05,Private Equity,,,,Yes,"Artificial Intelligence (AI), Elder Care, Health Care, Home Health Care, mHealth, Neuroscience",MyndYou is an  AI-based platform that empowers practitioners to deliver personalized and data-driven cognitive care to seniors.,,"Herzliya, Tel Aviv, Israel, Asia",https://www.myndyou.com/,Less than $1M,4000000,USD,4000000,Private Equity,8,WindRose Health Investors,WindRose Health Investors,1,,"4,025"
Seed Round - Hypherdata,https://www.crunchbase.com/funding_round/scienticore-seed--c5a341d6,Hypherdata,https://www.crunchbase.com/organization/scienticore,Seed,21000000,CZK,936956,2024-08-27,Seed,,,,Yes,"Artificial Intelligence (AI), Big Data, Data Visualization, Health Diagnostics, Information Technology, Life Science, Machine Learning, Personal Health",B2B closed data marketplace for life science: get confidentially introduced to providers of health data and AI services.,,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://www.hypherdata.com/,$1M to $10M,2034758,USD,2034758,Seed,5,,"CB ESPRi, N1",2,,"4,028"
Venture Round - Icon,https://www.crunchbase.com/funding_round/icon-ai-series-unknown--ae28f99a,Icon,https://www.crunchbase.com/organization/icon-ai,Venture - Series Unknown,,,,2024-09-04,,,,,Yes,"Advertising, Artificial Intelligence (AI), Content Creators, Internet, Marketing, Software","Partner with creators, turn 1 video into 20 videos with AI, and A/B test messaging to find winning ads.",,"New York, New York, United States, North America",https://icon.me,,,,,,1,Founders Fund,"Alexandra Botez, Ben Braverman, David Petersen, Eric Glyman, Eric Wei, Founders Fund, Jayendra Jog, Justin Mares, Karim Atiyeh, Kevin Hartz, Kevin Lee, Kevin Miller - GR0, Matteo Franceschetti, Max Altman, Rahul Sengottuvelu, Roger Beaman, Saga Ventures Management, Sara Du, Tomer Tagrin, Will Kim, Yunyu Lin",21,,"4,169"
Seed Round - Outcome,https://www.crunchbase.com/funding_round/outcome-23c0-seed--f3488cfa,Outcome,https://www.crunchbase.com/organization/outcome-23c0,Seed,,,,2024-08-30,Seed,,,,Yes,Artificial Intelligence (AI),Outcome is an AI-powered solution to help B2B sales and marketing professionals find and engage with clients more efficiently.,,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.outcome.co.kr/,,,,,Seed,1,TheVentures,TheVentures,1,,"4,300"
Venture Round - Hedgehog,https://www.crunchbase.com/funding_round/hedgehog-3339-series-unknown--e8de29c6,Hedgehog,https://www.crunchbase.com/organization/hedgehog-3339,Venture - Series Unknown,12780166,USD,12780166,2024-08-30,,,,,Yes,"Agriculture, Artificial Intelligence (AI), Food Processing, Organic Food, Robotics","Hedgehog enables low-cost production of fungi-based products like mushrooms, mycelium protein, feed amendments, and bulk animal feed.",,,https://www.hedgehogfoods.com,,12780166,USD,12780166,,2,,,,,"4,962"
Venture Round - Biometry,https://www.crunchbase.com/funding_round/biometry-series-unknown--21dbf0ba,Biometry,https://www.crunchbase.com/organization/biometry,Venture - Series Unknown,4986402,USD,4986402,2024-08-30,,,,,Yes,"Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Medical Device, Software",Biometry is a predictive analytics and clinical oversight to manage asthma.,,"Boston, Massachusetts, United States, North America",https://www.mybiometry.com/,Less than $1M,5662402,USD,5662402,,7,,,,,"4,961"
Venture Round - Phidata,https://www.crunchbase.com/funding_round/phidata-series-unknown--a10815ba,Phidata,https://www.crunchbase.com/organization/phidata,Venture - Series Unknown,5404992,USD,5404992,2024-08-29,,,,,Yes,"Artificial Intelligence (AI), Language Learning, Software",Phidata is a SAAS company that offers AI tools for improving LLMs.,,"New York, New York, United States, North America",http://phidata.com,,5404992,USD,5404992,,2,,,,,"5,041"
Venture Round - Rollstack,https://www.crunchbase.com/funding_round/rollstack-series-unknown--48928919,Rollstack,https://www.crunchbase.com/organization/rollstack,Venture - Series Unknown,12924998,USD,12924998,2024-08-28,,,,,Yes,"Analytics, Artificial Intelligence (AI), Business Intelligence, Productivity Tools, Sales Automation",Rollstack automatically creates and updates slide decks and documents.,,"New York, New York, United States, North America",https://www.rollstack.com,$1M to $10M,14849998,USD,14849998,,3,,,,,"5,096"
Pre Seed Round - AnswersAI,https://www.crunchbase.com/funding_round/answersai-pre-seed--f7ab8840,AnswersAI,https://www.crunchbase.com/organization/answersai,Pre-Seed,1500000,USD,1500000,2024-08-28,Seed,,,,Yes,"Artificial Intelligence (AI), Education","Study tools for stuends to answer questions, understand equations, and interact with lectures in new ways.",,"Los Angeles, California, United States, North America",https://answersai.com/,,1500000,USD,1500000,Seed,1,,,,,"5,143"
Series A - Series Entertainment,https://www.crunchbase.com/funding_round/series-ai-c6e9-series-a--b36de32d,Series Entertainment,https://www.crunchbase.com/organization/series-ai-c6e9,Series A,27999999,USD,27999999,2024-08-27,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Creative Agency, Gaming",Series Entertainment is a creative company that specializes in the development of games using artificial intelligence.,,"Rocklin, California, United States, North America",https://series.ai/,,35899999,USD,35899999,Early Stage Venture,2,,,,,"5,339"
Non Equity Assistance - Wetime,https://www.crunchbase.com/funding_round/wetime-non-equity-assistance--62dbea96,Wetime,https://www.crunchbase.com/organization/wetime,Non-equity Assistance,,,,2024-08-31,,10000000,USD,10000000,No,"Air Transportation, Artificial Intelligence (AI), B2B, B2C, Generative AI, Hospitality, Hotel, Information Technology, Leisure, Travel",Wetime: Delivering tailor-made city trips with our proprietary AI. Experience travel that's uniquely yours,,"Dover, Delaware, United States, North America",https://www.wetime.ai,,,,,Seed,7,,AWS Startup Loft Accelerator,1,,"24,848"
Seed Round - HydroMind,https://www.crunchbase.com/funding_round/hydromind-seed--bf359f2a,HydroMind,https://www.crunchbase.com/organization/hydromind,Seed,,,,2024-08-30,Seed,30000000,INR,357936,Yes,"Artificial Intelligence (AI), Consulting, Information Technology, Machine Learning, Software","AI, Hiring Platform, IT Consulting, Business Development, Product Development",,"Chennai, Tamil Nadu, India, Asia",https://www.hydromind.in,,150000,USD,150000,Seed,4,,6th Element Inc,1,,"41,047"
Series A - Thunderbirds,https://www.crunchbase.com/funding_round/thunderbirds-me-inc-series-a--a0af4d33,Thunderbirds,https://www.crunchbase.com/organization/thunderbirds-me-inc,Series A,,,,2024-08-31,Early Stage Venture,50000000,USD,50000000,Yes,"Artificial Intelligence (AI), Blockchain, Cloud Computing, Computer Vision, Generative AI, Human Computer Interaction, Information Technology, Machine Learning, Metaverse, Virtual Reality",Thunderbirds is an augmented reality virtual reality mixed reality generative AI frameworks platform & services provider.,,"Orlando, Florida, United States, North America",https://www.thunderbirds.me,$1M to $10M,9500000,USD,9500000,Early Stage Venture,4,,Del Morgan & Co,1,,"42,145"
Venture Round - IMPAVIDUS,https://www.crunchbase.com/funding_round/impavidus-series-unknown--a169e6e9,IMPAVIDUS,https://www.crunchbase.com/organization/impavidus,Venture - Series Unknown,,,,2024-09-03,,,,,Yes,"Blockchain, Cloud Data Services, Machine Learning",B2B Venture Studio,,"Houston, Texas, United States, North America",http://impvfund.com,,,,,,1,,,,,"64,909"
Pre Seed Round - Minimist,https://www.crunchbase.com/funding_round/minimist-pre-seed--e59e6880,Minimist,https://www.crunchbase.com/organization/minimist,Pre-Seed,120000,EUR,133021,2024-09-19,Seed,,,,Yes,"Artificial Intelligence (AI), Computer Vision, E-Commerce Platforms, Information Technology, Machine Learning, Marketplace, Sharing Economy",The OS for effortless second-hand selling,,"Vienna, Wien, Austria, Europe",https://mnm.st,,120000,EUR,133021,Seed,1,,,,,"64,733"
Pre Seed Round - Galactics Defense Systems,https://www.crunchbase.com/funding_round/galactics-defense-systems-pre-seed--48a69035,Galactics Defense Systems,https://www.crunchbase.com/organization/galactics-defense-systems,Pre-Seed,100000,USD,100000,2024-09-01,Seed,10000000,USD,10000000,Yes,"Artificial Intelligence (AI), Robotics",AI Defense Systems,,,http://galacticsdefense.com/,,100000,USD,100000,Seed,1,,,,,"64,994"
Seed Round - PluggableAI,https://www.crunchbase.com/funding_round/pluggable-ai-seed--e24fa1df,PluggableAI,https://www.crunchbase.com/organization/pluggable-ai,Seed,1750000,EUR,1933076,2024-09-17,Seed,,,,Yes,"Artificial Intelligence (AI), Digital Marketing, Machine Learning, Software",Meaningful Fan Engagement,,"Braga, Braga, Portugal, Europe",https://www.pluggableai.xyz/,,1850001,EUR,2042012,Seed,2,,,,,"64,999"
Pre Seed Round - Mazaal AI,https://www.crunchbase.com/funding_round/mazaal-ai-pre-seed--aff0d4e1,Mazaal AI,https://www.crunchbase.com/organization/mazaal-ai,Pre-Seed,200000,AUD,135364,2024-09-01,Seed,,,,Yes,"Apps, Artificial Intelligence (AI), Software","Mazaal AI offers a no-code platform for easy AI model building and deployment, making AI accessible to all.",,"Sydney, New South Wales, Australia, Oceania",https://mazaal.ai,,250000,AUD,168699,Seed,2,,,,,"65,064"
Seed Round - VMind AI,https://www.crunchbase.com/funding_round/vmind-technologies-seed--8dba81af,VMind AI,https://www.crunchbase.com/organization/vmind-technologies,Seed,,,,2024-09-04,Seed,,,,Yes,"Artificial Intelligence (AI), Cloud Computing, Generative AI, Machine Learning, Training",Technology company in stealth mode.,"Women Founded, Women Led","Cambridge, Massachusetts, United States, North America",https://www.vmindai.com,$1M to $10M,2000000,USD,2000000,Seed,2,,,,,"65,113"
Pre Seed Round - Inspecti | iListing AI,https://www.crunchbase.com/funding_round/ilisting-ai-pre-seed--2165b6aa,Inspecti | iListing AI,https://www.crunchbase.com/organization/ilisting-ai,Pre-Seed,50000,GBP,65621,2024-09-03,Seed,1700000,GBP,2231115,Yes,"Apps, Artificial Intelligence (AI), Information Technology, Real Estate, Software","Inspecti, an AI-driven property inventory management solution for efficient and secure real-time inspections.",,"London, England, United Kingdom, Europe",https://ilistingai.com,,50000,GBP,65621,Seed,1,,,,,"65,150"
Non Equity Assistance - Wetime,https://www.crunchbase.com/funding_round/wetime-non-equity-assistance--f3e681f4,Wetime,https://www.crunchbase.com/organization/wetime,Non-equity Assistance,,,,2024-09-03,,,,,No,"Air Transportation, Artificial Intelligence (AI), B2B, B2C, Generative AI, Hospitality, Hotel, Information Technology, Leisure, Travel",Wetime: Delivering tailor-made city trips with our proprietary AI. Experience travel that's uniquely yours,,"Dover, Delaware, United States, North America",https://www.wetime.ai,,,,,Seed,7,,,,,"65,376"
Pre Seed Round - Venditori,https://www.crunchbase.com/funding_round/venditori-pre-seed--c1d68b58,Venditori,https://www.crunchbase.com/organization/venditori,Pre-Seed,,,,2024-09-01,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, IT Management, Marketing Automation, Sales, UX Design, Web Development","Venditori is a Growth strategy partner that offers MarTech solutions and automation process, under an All In One services model.",,"Medellín, Antioquia, Colombia, South America",https://www.venditori.co/,,,,,Seed,1,,,,,"65,463"
Seed Round - Wetime,https://www.crunchbase.com/funding_round/wetime-seed--4e6f46d0,Wetime,https://www.crunchbase.com/organization/wetime,Seed,,,,2024-09-10,Seed,,,,Yes,"Air Transportation, Artificial Intelligence (AI), B2B, B2C, Generative AI, Hospitality, Hotel, Information Technology, Leisure, Travel",Wetime: Delivering tailor-made city trips with our proprietary AI. Experience travel that's uniquely yours,,"Dover, Delaware, United States, North America",https://www.wetime.ai,,,,,Seed,7,,,,,"65,380"
Seed Round - YourSkills,https://www.crunchbase.com/funding_round/yourskills-seed--bab758b9,YourSkills,https://www.crunchbase.com/organization/yourskills,Seed,,,,2024-09-01,Seed,4000000,USD,4000000,Yes,"Artificial Intelligence (AI), B2B, Human Resources, Professional Services, SaaS, Virtual Workforce",YourSkills is AI platform instantly matching pre-vetted skilled talent with business project requirements,"Women Founded, Women Led","London, England, United Kingdom, Europe",https://yourskills.pro/,,,,,Seed,1,,,,,"65,678"
Pre Seed Round - Wurkzen Nexus,https://www.crunchbase.com/funding_round/wurkzen-pre-seed--4a590104,Wurkzen Nexus,https://www.crunchbase.com/organization/wurkzen,Pre-Seed,,,,2024-09-01,Seed,,,,Yes,"Artificial Intelligence (AI), CRM, Generative AI, Payments, Project Management, SaaS, Software",Wurkzen is a B2B AI SaaS that is enabling the autonomous businesses of tomorrow with easy AI integration and AI workforce management.,Hispanic / Latine Led,"Miami, Florida, United States, North America",https://www.wurkzen.com,,,,,Seed,1,,,,,"65,617"
