Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - Hyper Anna,https://www.crunchbase.com/funding_round/hyper-anna-series-unknown--45a15e47,Hyper Anna,https://www.crunchbase.com/organization/hyper-anna,Venture - Series Unknown,1250000,AUD,950299,2016-10-16,,,,,Yes,AI-powered data insights meets interactive storytelling in real time.,,"Analytics, Artificial Intelligence (AI), Banking, Data Visualization, Machine Learning, SaaS, Software","Sydney, New South Wales, Australia, Oceania",http://www.hyperanna.com,$1M to $10M,17250000,AUD,13647654,M&A,2,Airtree Ventures,"Airtree Ventures, Reinventure",2,1,"9,099"
Seed Round - Bon de Visite,https://www.crunchbase.com/funding_round/bon-de-visite-seed--bec2d8d1,Bon de Visite,https://www.crunchbase.com/organization/bon-de-visite,Seed,485000,EUR,545434,2016-09-14,Seed,,,,Yes,Creates and develops algorithms and analytics based digital information in the space of urbanism,,"Analytics, Artificial Intelligence (AI), Real Estate","Paris, Ile-de-France, France, Europe",https://bondevisite.fr/,Less than $1M,485000,EUR,545434,Seed,1,,Alive Ideas,1,,"22,524"
Seed Round - Massive Bio,https://www.crunchbase.com/funding_round/massivebio-seed--88f36005,Massive Bio,https://www.crunchbase.com/organization/massivebio,Seed,900000,USD,900000,2016-07-04,Seed,,,,Yes,Massive Bio is an AI powered oncology platform that connects patients to clinical trials while enabling pharma to get access to patients.,"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Artificial Intelligence (AI), Big Data, Biotechnology, Health Care, Machine Learning, Medical, Natural Language Processing, Oncology, Pharmaceutical, Therapeutics","New York, New York, United States, North America",https://massivebio.com/,$1M to $10M,23817500,USD,23817500,Early Stage Venture,6,,"500 Emerging Europe, Gyan Kapur",2,,"34,497"
Seed Round - Pinscreen,https://www.crunchbase.com/funding_round/pinscreen-seed--7270001e,Pinscreen,https://www.crunchbase.com/organization/pinscreen,Seed,800000,USD,800000,2016-07-15,Seed,,,,Yes,"We build the most advanced Gen-AI technology for VFX and interactive experiences, including visual dubbing, face swaps, and deepfakes.",Women Founded,"Artificial Intelligence (AI), Consumer Applications, Information Technology, Media and Entertainment, Mobile Apps, Photo Editing, Software, Video Games, Virtual Reality","Los Angeles, California, United States, North America",http://www.pinscreen.com,$1M to $10M,5800000,USD,5800000,Seed,5,,Colopl Next,1,,"40,217"
Seed Round - Salt Security,https://www.crunchbase.com/funding_round/saltsecurity-seed--7515cb35,Salt Security,https://www.crunchbase.com/organization/saltsecurity,Seed,1000000,USD,1000000,2016-03-22,Seed,,,,Yes,Salt Security provides an API protection platform designed to prevent attacks by leveraging machine learning and AI.,,"Artificial Intelligence (AI), Cyber Security, Developer APIs, Machine Learning","Palo Alto, California, United States, North America",https://salt.security,$1M to $10M,271000000,USD,271000000,,8,Y Combinator,"Follow[the]Seed, FoundersX Ventures, Y Combinator",3,,"42,165"
Seed Round - Jobbatical,https://www.crunchbase.com/funding_round/jobbatical-seed--7d6fd0f4,Jobbatical,https://www.crunchbase.com/organization/jobbatical,Seed,1000000,USD,1000000,2016-11-21,Seed,,,,Yes,Jobbatical is an AI-enabled immigration and relocation platform focused on making immigration easy.,,"Artificial Intelligence (AI), Education, Information Technology, Professional Services, Recruiting","Tallinn, Harjumaa, Estonia, Europe",http://jobbatical.com/,$10M to $50M,19677848,USD,19677848,Early Stage Venture,7,Airtree Ventures,Airtree Ventures,1,1,"42,878"
Series A - Momenta,https://www.crunchbase.com/funding_round/momenta-ai-series-a--72858f5e,Momenta,https://www.crunchbase.com/organization/momenta-ai,Series A,1000000,CNY,150880,2016-08-16,Early Stage Venture,,,,Yes,Momenta is a developer of autonomous driving technology designed to improve efficiency.,,"Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Mapping Services, Software","Beijing, Beijing, China, Asia",https://www.momenta.cn,$10M to $50M,1203150880,USD,1203150880,Late Stage Venture,10,,"Sagamore Investments, ZhenFund",2,,"45,969"
Angel Round - Phrasee,https://www.crunchbase.com/funding_round/phrasee-angel--a04be5a0,Phrasee,https://www.crunchbase.com/organization/phrasee,Angel,1000000,GBP,1334267,2016-07-14,Seed,,,,Yes,"Phrasee is AI that specializes in language generation for email marketing, push, and Facebook copy.",,"Artificial Intelligence (AI), Content, Marketing, Natural Language Processing","London, England, United Kingdom, Europe",https://phrasee.co/,$1M to $10M,5334267,USD,5334267,M&A,3,"Galvanise Capital, Next Fifteen Communications Group","Galvanise Capital, Next Fifteen Communications Group",2,1,"47,792"
Series A - Giiso,https://www.crunchbase.com/funding_round/giiso-series-a--9d992d8a,Giiso,https://www.crunchbase.com/organization/giiso,Series A,3000000,CNY,450114,2016-09-08,Early Stage Venture,,,,Yes,Giiso is a search engine developer of artificial intelligence based on field data collection sources.,,"Artificial Intelligence (AI), Big Data, Data Collection and Labeling, Search Engine","Shenzhen, Guangdong, China, Asia",http://www.giiso.com,,51290322,CNY,7732913,Early Stage Venture,4,,"Minyin International, Zhixin Touzi",2,,"50,441"
Pre Seed Round - Vibe,https://www.crunchbase.com/funding_round/vibe-3fdf-pre-seed--68c5ce01,Vibe,https://www.crunchbase.com/organization/vibe-3fdf,Pre-Seed,1200000,USD,1200000,2016-10-01,Seed,,,,Yes,"Vibe is an all-in-one collaboration hub for hybrid teams that empowers them to brainstorm, create, and ideate in new & more efficient ways.","East Asian Led, Women Founded","Artificial Intelligence (AI), Augmented Reality, Collaboration, Communication Hardware, Computer, Information Technology, SaaS, Software","Bellevue, Washington, United States, North America",https://vibe.us/,$10M to $50M,15200000,USD,15200000,Early Stage Venture,4,Cherubic Ventures,"Cherubic Ventures, InnoLinks Ventures, Unity Ventures, UnityVC",4,,"50,837"
Seed Round - MioTech,https://www.crunchbase.com/funding_round/miotech-seed--31494120,MioTech,https://www.crunchbase.com/organization/miotech,Seed,1000000,USD,1000000,2016-09-01,Seed,,,,Yes,MioTech is an artificial intelligence platform that provides users with ESG data to draw actionable insights on their data.,,"Analytics, Artificial Intelligence (AI), Finance, Financial Services, FinTech","Sheung Wan, Hong Kong Island, Hong Kong, Asia",https://www.miotech.com/,$10M to $50M,8000000,USD,8000000,,9,,ZhenFund,1,,"53,178"
Angel Round - Cobot,https://www.crunchbase.com/funding_round/cobot-bbd4-angel--f2d58db1,Cobot,https://www.crunchbase.com/organization/cobot-bbd4,Angel,5000000,CNY,752607,2016-08-01,Seed,,,,Yes,Chinese intelligent robot manipulation system provider.,,"Artificial Intelligence (AI), Education, Industrial, Machine Learning, Operating Systems, Robotics","Wuhan, Hubei, China, Asia",http://www.cobotsys.com/,$1M to $10M,252000000,CNY,38175093,Late Stage Venture,6,Empower Investment,Empower Investment,1,,"56,851"
Pre Seed Round - VideoVerse,https://www.crunchbase.com/funding_round/videoverse-pre-seed--fc8b5e82,VideoVerse,https://www.crunchbase.com/organization/videoverse,Pre-Seed,150000,USD,150000,2016-06-07,Seed,,,,Yes,Revolutionising video content creation & distribution through AI,,"Artificial Intelligence (AI), Generative AI, Media and Entertainment, Sports, Video, Video Editing","Los Angeles, California, United States, North America",https://vverse.ai/,$50M to $100M,60100000,USD,60100000,Private Equity,11,,,,,"59,103"
Seed Round - Mainstay,https://www.crunchbase.com/funding_round/admithub-seed--98aaa666,Mainstay,https://www.crunchbase.com/organization/admithub,Seed,250000,USD,250000,2016-12-15,Seed,,,,Yes,"Mainstay is a developer of a chatbot platform that increases student engagement, enrollment, and success.",,"Artificial Intelligence (AI), Chatbot, Education, Information Services, Machine Learning, Mobile Apps, Natural Language Processing, Virtual Assistant","Boston, Massachusetts, United States, North America",https://www.mainstay.com,$1M to $10M,30158000,USD,30158000,,10,,"Alumni Ventures, Antoine Hatoun, Bill Lynch, Charles Cheever, Doyle Enterprises, FundersClub, Harvard Innovation Labs, Iron Yard Ventures, Launch LAB, Leonard Lynch, NXT Ventures, Raymond Magliozzi, Reach Capital, Relay Ventures, Right Side Capital Management, Samuel Hwang, Startup Next, Techstars, University Ventures, Walter Winshall",20,,"62,378"
Seed Round - CohortIQ,https://www.crunchbase.com/funding_round/cohortiq-seed--fc8e1cec,CohortIQ,https://www.crunchbase.com/organization/cohortiq,Seed,200000,USD,200000,2016-01-19,Seed,,,,Yes,CohortiQ delivers health analytics enabling more people to spend less time in hospital.,,"Analytics, Artificial Intelligence (AI), Big Data, Data Visualization, Health Care, Hospital, Machine Learning, Medical","Sydney, New South Wales, Australia, Oceania",http://cohortiq.com/,Less than $1M,200000,USD,200000,Seed,1,,"Pollenizer, Right Click Capital",2,3,"66,628"
Seed Round - ResponSight,https://www.crunchbase.com/funding_round/responsight-seed--ed10d245,ResponSight,https://www.crunchbase.com/organization/responsight,Seed,1150000,AUD,875957,2016-07-14,Seed,,,,Yes,ResponSight offers enterprise risk and security profiling technology using behavioral analytics without collecting private information.,,"Analytics, Cyber Security, Intelligent Systems, Network Security, Risk Management, Security","Melbourne, Victoria, Australia, Oceania",https://www.responsight.com/,Less than $1M,2932980,USD,2932980,,4,Carthona Capital,"Black Sheep Capital, Carthona Capital",2,,"66,759"
Pre Seed Round - Marlee (Fingerprint For Success),https://www.crunchbase.com/funding_round/fingerprint-for-success-pre-seed--62412e72,Marlee (Fingerprint For Success),https://www.crunchbase.com/organization/fingerprint-for-success,Pre-Seed,1075000,AUD,791685,2016-12-15,Seed,,,,Yes,Marlee is a collaboration and performance AI for individuals and teams to bring out the best in everyone.,,"Artificial Intelligence (AI), Personal Development, Predictive Analytics, Productivity Tools, Software","Sydney, New South Wales, Australia, Oceania",https://getmarlee.com,$1M to $10M,7675000,AUD,5436332,Early Stage Venture,3,Investible,"Investible, ROCeteer",2,5,"67,616"
Non Equity Assistance - SIME,https://www.crunchbase.com/funding_round/sime-diagnostics-non-equity-assistance--e12f48c2,SIME,https://www.crunchbase.com/organization/sime-diagnostics,Non-equity Assistance,500000,USD,500000,2016-05-30,,,,,No,SIME is a clinical AI platform company that provides data-driven and precise insights to doctors in decisive moments.,,"Artificial Intelligence (AI), Data Integration, Health Care, Machine Learning, Medical","London, England, United Kingdom, Europe",http://www.simedx.com,$1M to $10M,5023777,USD,5023777,,5,,"DigitalHealth.London Accelerator, Microsoft Accelerator London",2,,"71,248"
Angel Round - GOTTEN,https://www.crunchbase.com/funding_round/gotten-angel--d411e75a,GOTTEN,https://www.crunchbase.com/organization/gotten,Angel,3000000,CNY,449085,2016-07-20,Seed,,,,Yes,"GOTTEN offers software development, big data analysis, and artificial intelligence technology services.",,"Artificial Intelligence (AI), Big Data, Software","Xuhui, Shanghai, China, Asia",http://www.17got.com,,17000000,CNY,2551665,Early Stage Venture,4,,"K2VC, Sea of Stars Capital",2,,"72,544"
Angel Round - WeCredo,https://www.crunchbase.com/funding_round/wecredo-angel--2bff4988,WeCredo,https://www.crunchbase.com/organization/wecredo,Angel,3000000,CNY,446566,2016-10-12,Seed,,,,Yes,WeCredo offers big data and artificial intelligence products and platforms for credit and financial services.,,"Artificial Intelligence (AI), Big Data, Financial Services, FinTech, Machine Learning","Beijing, Beijing, China, Asia",http://www.wecredo.com,,3000000,CNY,446566,Seed,1,Peak Valley Capital,Peak Valley Capital,1,,"73,551"
Seed Round - Cobot,https://www.crunchbase.com/funding_round/cobot-bbd4-seed--f5e433fe,Cobot,https://www.crunchbase.com/organization/cobot-bbd4,Seed,5000000,CNY,749640,2016-10-01,Seed,,,,Yes,Chinese intelligent robot manipulation system provider.,,"Artificial Intelligence (AI), Education, Industrial, Machine Learning, Operating Systems, Robotics","Wuhan, Hubei, China, Asia",http://www.cobotsys.com/,$1M to $10M,252000000,CNY,38175093,Late Stage Venture,6,,Empower Investment,1,,"75,367"
Seed Round - Brain of Things,https://www.crunchbase.com/funding_round/brain-of-things-6416-seed--cb86421e,Brain of Things,https://www.crunchbase.com/organization/brain-of-things-6416,Seed,870000,USD,870000,2016-10-01,Seed,20000000,USD,20000000,Yes,Smart home that adapts to you,,"Artificial Intelligence (AI), Information Technology, Smart Home",,,,12859000,USD,12859000,,8,,,,,"77,101"
Seed Round - Brain of Things,https://www.crunchbase.com/funding_round/brain-of-things-6416-seed--b02b20fb,Brain of Things,https://www.crunchbase.com/organization/brain-of-things-6416,Seed,1055000,USD,1055000,2016-02-01,Seed,15000000,USD,15000000,Yes,Smart home that adapts to you,,"Artificial Intelligence (AI), Information Technology, Smart Home",,,,12859000,USD,12859000,,8,,,,,"77,314"
Seed Round - Brain of Things,https://www.crunchbase.com/funding_round/brain-of-things-6416-seed--76b7e983,Brain of Things,https://www.crunchbase.com/organization/brain-of-things-6416,Seed,555000,USD,555000,2016-01-01,Seed,12000000,USD,12000000,Yes,Smart home that adapts to you,,"Artificial Intelligence (AI), Information Technology, Smart Home",,,,12859000,USD,12859000,,8,,,,,"77,340"
Grant - GroundWOW,https://www.crunchbase.com/funding_round/groundwow-grant--e909b7ad,GroundWOW,https://www.crunchbase.com/organization/groundwow,Grant,299032,GBP,394219,2016-08-01,,,,,No,AI based SaaS /HaaS enabling a distributed network of autonomous robots to work cooperatively with humans in Sports Technology applications.,,"Advertising, Artificial Intelligence (AI), Manufacturing, Robotics, Sports","Stockport, Stockport, United Kingdom, Europe",https://groundwow.com,$1M to $10M,5639069,GBP,7555628,Seed,7,,,,,"77,020"
Seed Round - Preligens,https://www.crunchbase.com/funding_round/earthcube-seed--1f0242a3,Preligens,https://www.crunchbase.com/organization/earthcube,Seed,1000000,EUR,1039080,2016-12-20,Seed,,,,Yes,We develop pioneering technology to empower analysts to take smart actions for a safer world,,"Aerospace, Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Satellite Communication","Paris, Ile-de-France, France, Europe",http://www.preligens.com,$1M to $10M,34200000,EUR,39184596,Early Stage Venture,7,Bpifrance,Bpifrance,1,,"81,877"
Convertible Note - iDAvatars,https://www.crunchbase.com/funding_round/idavatars-convertible-note--3d74130b,iDAvatars,https://www.crunchbase.com/organization/idavatars,Convertible Note,1300000,USD,1300000,2016-05-18,,,,,No,iDAvatars is a next generation of interactive mobile technology that thrives on the relationship with the user.,,"Artificial Intelligence (AI), Education, Natural Language Processing","Mequon, Wisconsin, United States, North America",http://idavatars.com/,$1M to $10M,2609990,USD,2609990,Seed,3,,,,,"83,774"
Seed Round - Caper,https://www.crunchbase.com/funding_round/caper-seed--0c21a50b,Caper,https://www.crunchbase.com/organization/caper,Seed,850000,USD,850000,2016-01-01,Seed,,,,Yes,Caper builds autonomous retailer devices and solutions powered by deep learning and computer vision,"East Asian Founded, East Asian Led, Middle Eastern / North African Founded","Artificial Intelligence (AI), Computer, Retail, Shopping, Software","New York, New York, United States, North America",https://www.caper.ai/,$1M to $10M,13000000,USD,13000000,M&A,4,,"Big Red Ventures, Interaction Ventures, Y Combinator",3,,"84,831"
