Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Investor Names,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Push.ai LLC,https://www.crunchbase.com/funding_round/gift-voucher-kiosk-pre-seed--505ad7d6,Push.ai LLC,https://www.crunchbase.com/organization/gift-voucher-kiosk,Pre-Seed,200000,CHF,202562,2019-01-03,Seed,2000000,CHF,2025618,Yes,The best shopping experience in your favorite chat app,"Apps, Artificial Intelligence (AI), Gift Card, Machine Learning, Social Shopping",,"Zug, Zug, Switzerland, Europe",https://masha.ai,$1M to $10M,982524,USD,982524,Seed,3,,,,,"583,423"
Convertible Note - Bisu,https://www.crunchbase.com/funding_round/bisuhealth-convertible-note--ff82016a,Bisu,https://www.crunchbase.com/organization/bisuhealth,Convertible Note,210000,USD,210000,2019-02-11,,,,,No,"Enabling affordable access to actionable health data at home, through easy, accurate urine and saliva tests.","Advice, Big Data, Fitness, Health Care, Home Health Care, Internet of Things, Lifestyle, Machine Learning, Personal Health, Wellness",,"Tokyo, Tokyo, Japan, Asia",https://www.bisu.com,$1M to $10M,4860000,USD,4860000,Seed,7,"HAX, SOSV",SOSV,2,1,"138,375"
Seed Round - nanochomp,https://www.crunchbase.com/funding_round/nanochomp-seed--40715b89,nanochomp,https://www.crunchbase.com/organization/nanochomp,Seed,200000,USD,200000,2019-03-15,Seed,,,,Yes,"Approachable AI for product and marketing teams. AI, Data Analytics, Agile Marketing and Product Strategy, IoT","Analytics, Artificial Intelligence (AI), Consulting, Data Visualization, Internet of Things, Machine Learning, Management Consulting, Marketing, Software",Women Founded,"Raleigh, North Carolina, United States, North America",https://www.nanochomp.com/,Less than $1M,200000,USD,200000,Seed,1,,,,,"465,036"
Pre Seed Round - Genomawork,https://www.crunchbase.com/funding_round/genomawork-pre-seed--71877142,Genomawork,https://www.crunchbase.com/organization/genomawork,Pre-Seed,200000,USD,200000,2019-10-01,Seed,2400000,USD,2400000,Yes,AI driven platform for better hiring. We use neuroscience-based games and machine learning for staffing services.,"Artificial Intelligence (AI), Gamification, Human Resources, Machine Learning, Recruiting",,"Santiago, Region Metropolitana, Chile, South America",https://www.genoma.work/,Less than $1M,900000,USD,900000,Seed,3,,,,,"361,480"
Seed Round - Lullaai: Baby Sleep App,https://www.crunchbase.com/funding_round/lullaai-seed--72e69202,Lullaai: Baby Sleep App,https://www.crunchbase.com/organization/lullaai,Seed,200000,USD,200000,2019-07-10,Seed,,,,Yes,Lullaai is a AI assisted baby sleep app.,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Machine Learning, Wellness",,"Madrid, Madrid, Spain, Europe",http://www.lullaai.com,Less than $1M,475115,USD,475115,Seed,5,,,,,"509,948"
Seed Round - Anduud Lab,https://www.crunchbase.com/funding_round/anduud-lab-seed--0b560c17,Anduud Lab,https://www.crunchbase.com/organization/anduud-lab,Seed,200000,USD,200000,2019-06-01,Seed,,,,Yes,"Artificial Intelligence, Chatbot, Virtual Assistant, Business Intelligence, Knowledge Graph","Artificial Intelligence (AI), Business Intelligence, Chatbot, Intelligent Systems, Knowledge Management, Natural Language Processing, Semantic Search, Software",,"Ulaanbaatar, Ulaanbaatar, Mongolia, Asia",https://anduud.ai,,250000,USD,250000,Seed,2,Gund Investment LLC,,1,,"512,549"
Debt Financing - Bridgetown AI,https://www.crunchbase.com/funding_round/bridgetown-ai-debt-financing--ce6e3b06,Bridgetown AI,https://www.crunchbase.com/organization/bridgetown-ai,Debt Financing,200000,USD,200000,2019-03-05,,,,,No,Bridgetown AI is an automated insights SaaS platform.,"Artificial Intelligence (AI), Machine Learning, SaaS, Software",,"Portland, Oregon, United States, North America",https://www.bridgetown.ai/,Less than $1M,200000,USD,200000,,1,,,,,"263,672"
Pre Seed Round - Alpine Intuition,https://www.crunchbase.com/funding_round/alpine-intuition-pre-seed--2bccfeb1,Alpine Intuition,https://www.crunchbase.com/organization/alpine-intuition,Pre-Seed,200000,CHF,201501,2019-11-05,Seed,800000,CHF,806002,Yes,Alpine Intuition enables companies to deploy Artificial Intelligence algorithms at scale within minutes.,"Artificial Intelligence (AI), Cloud Computing, Computer Vision, Information Technology, Machine Learning, Software",,"Ecublens, Vaud, Switzerland, Europe",https://www.alpineintuition.com/,Less than $1M,520000,CHF,552011,Seed,4,Alpine Tech,Alpine Tech,1,,"301,742"
Pre Seed Round - TSQR,https://www.crunchbase.com/funding_round/tokensquare-pre-seed--75d08d1e,TSQR,https://www.crunchbase.com/organization/tokensquare,Pre-Seed,200000,USD,200000,2019-03-01,Seed,,,,Yes,Digital townsquare for evolving industries. Curated news and media and community from around the web.,"Artificial Intelligence (AI), Augmented Reality, Bitcoin, Blockchain, Cannabis, eSports, News, Social Media, Virtual Currency, Virtual Reality",,"Los Angeles, California, United States, North America",,,200000,USD,200000,Seed,1,,,,,"305,653"
Pre Seed Round - Kumi Analytics Pte Ltd,https://www.crunchbase.com/funding_round/kumi-analytics-pte-ltd-pre-seed--136d95cd,Kumi Analytics Pte Ltd,https://www.crunchbase.com/organization/kumi-analytics-pte-ltd,Pre-Seed,200000,USD,200000,2019-03-01,Seed,,,,Yes,Kumi Analytics utilizes satellite imagery and machine learning to provide insights into the environment and the economy.,"Information Technology, Machine Learning",,"Singapore, Central Region, Singapore, Asia",https://www.kumianalytics.com,Less than $1M,200000,USD,200000,Seed,1,,,,,"281,712"
Pre Seed Round - Robin AI,https://www.crunchbase.com/funding_round/robin-ai-pre-seed--86d7f370,Robin AI,https://www.crunchbase.com/organization/robin-ai,Pre-Seed,210000,USD,210000,2019-03-01,Seed,,,,Yes,Robin AI serves as an AI-driven legal assistant designed to automate and expedite the drafting and negotiation of contracts.,"Artificial Intelligence (AI), Contact Management, Legal, Legal Tech, Machine Learning, Software",,"London, England, United Kingdom, Europe",https://www.robinai.com,$10M to $50M,43379575,USD,43379575,Early Stage Venture,9,,,,,"180,213"
Grant - Xopolis,https://www.crunchbase.com/funding_round/xopolis-grant--ca6bf4fa,Xopolis,https://www.crunchbase.com/organization/xopolis,Grant,214218,USD,214218,2019-01-31,,,,,No,Xopolis provides AI solutions for economic and workforce managers.,"Artificial Intelligence (AI), Enterprise, Information Technology, Machine Learning, Software",,"Reston, Virginia, United States, North America",http://xopol.is,,214218,USD,214218,,1,National Science Foundation,National Science Foundation,1,,"619,236"
Seed Round - Hyperhire,https://www.crunchbase.com/funding_round/hyperhire-seed--7fad92c6,Hyperhire,https://www.crunchbase.com/organization/hyperhire,Seed,200000,USD,200000,2019-05-30,Seed,,,,Yes,Hyperhire is a B2B End to End HR Solutions Platform that leverages Artificial Intelligence.,"Artificial Intelligence (AI), News",,"New Delhi, Delhi, India, Asia",https://www.hyperhire.in,Less than $1M,200000,USD,200000,Seed,3,Spring Camp,Spring Camp,1,1,"519,485"
Seed Round - Van Robotics,https://www.crunchbase.com/funding_round/vän-robotics-seed--7162ea49,Van Robotics,https://www.crunchbase.com/organization/vän-robotics,Seed,200000,USD,200000,2019-06-03,Seed,,,,Yes,Vän Robotics delivers robot-assisted tutoring that makes learning K-8 subjects fun and accessible.,"Artificial Intelligence (AI), Computer, Consumer Electronics, Education, Software","Women Founded, Women Led","Columbia, South Carolina, United States, North America",https://smartrobottutor.com,Less than $1M,1022997,USD,1022997,,6,"SC Launch, Inc., Social Starts, South Carolina Research Authority",,3,,"577,042"
Pre Seed Round - Sken.ai,https://www.crunchbase.com/funding_round/sken-ai-pre-seed--fab78ede,Sken.ai,https://www.crunchbase.com/organization/sken-ai,Pre-Seed,200000,USD,200000,2019-09-27,Seed,,,,Yes,"Sken.ai, offers a “DevOps first AppSec”.","Cyber Security, Developer Platform, Developer Tools, DevOps, Machine Learning, SaaS",,"Dublin, California, United States, North America",https://www.sken.ai,$1M to $10M,400000,USD,400000,M&A,3,Ben Cherian,,1,,"172,816"
Convertible Note - Buffalo Automation,https://www.crunchbase.com/funding_round/buffalo-automation-group-convertible-note--1a2f9a4c,Buffalo Automation,https://www.crunchbase.com/organization/buffalo-automation-group,Convertible Note,210000,USD,210000,2019-03-08,,,,,No,Buffalo Automation provides embedded software systems to improve maritime safety and enable autonomous navigation.,"Artificial Intelligence (AI), Assistive Technology, Autonomous Vehicles, Electric Vehicle, Navigation, Taxi Service, Water Transportation","South Asian Founded, South Asian Led","Buffalo, New York, United States, North America",https://www.buffaloautomation.ai,$1M to $10M,2557325,USD,2557325,,12,Jerry Jacobs Jr.,Jerry Jacobs Jr.,1,,"609,001"
