Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Disruptional,https://www.crunchbase.com/funding_round/disruptional-pre-seed--25c328a7,Disruptional,https://www.crunchbase.com/organization/disruptional,Pre-Seed,,,,2016-01-01,Seed,,,,Yes,Disruptional is leading the development of next-generation AI and Deep Learning to disrupt the industry.,"Artificial Intelligence (AI), Computer, Machine Learning, Software",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.disruptional.com,,,,,Seed,1,,Novator,1,,"61,105"
Seed Round - Eagle Vision Systems,https://www.crunchbase.com/funding_round/eagle-vision-systems-dee1-seed--b5449ac6,Eagle Vision Systems,https://www.crunchbase.com/organization/eagle-vision-systems-dee1,Seed,,,,2016-01-01,Seed,,,,Yes,Eagle Vision Systems is a company that uses AI-based recognition technology for curbside waste that fully operates the truck.,"Artificial Intelligence (AI), Business Information Systems, Industrial Automation, Machine Learning",,"Kitchener, Ontario, Canada, North America",http://eaglevisionsystems.com/,,,,,Seed,1,Accelerator Centre,Accelerator Centre,1,,"502,887"
Seed Round - Indalyz Monitoring & Prognostics,https://www.crunchbase.com/funding_round/indalyz-monitoring-prognostics-seed--35f11a06,Indalyz Monitoring & Prognostics,https://www.crunchbase.com/organization/indalyz-monitoring-prognostics,Seed,,,,2016-01-01,Seed,,,,Yes,Indalyz Monitoring & Prognostics is a software company offering a proven predictive maintenance software solution.,"Predictive Analytics, Software",,"Halle, Sachsen-Anhalt, Germany, Europe",https://www.imprognostics.com/,,,,,Seed,1,bmp Ventures,bmp Ventures,1,,"156,676"
Venture Round - Yegii,https://www.crunchbase.com/funding_round/yegii-inc-series-unknown--4c6063de,Yegii,https://www.crunchbase.com/organization/yegii-inc,Venture - Series Unknown,,,,2016-01-01,,,,,Yes,Yegii is an online content search and discovery platform.,"Analytics, Market Research, Predictive Analytics, Search Engine, Service Industry",,"Wellesley, Massachusetts, United States, North America",https://www.yegii.com,$1M to $10M,,,,,1,,Half Court Ventures,1,,"218,527"
Seed Round - Correlor,https://www.crunchbase.com/funding_round/correlor-tech-seed--b5f686b7,Correlor,https://www.crunchbase.com/organization/correlor-tech,Seed,,,,2016-01-01,Seed,,,,Yes,Predictive analytics for the industrial world,"Analytics, Machine Learning, SaaS",,"Jerusalem, Yerushalayim, Israel, Asia",http://www.correlor.com,Less than $1M,,,,Seed,1,,"AltaIR Capital, Jerusalem Venture Partners (JVP)",2,1,"196,382"
Seed Round - Planejei,https://www.crunchbase.com/funding_round/planejei-2-seed--374f03c1,Planejei,https://www.crunchbase.com/organization/planejei-2,Seed,,,,2016-01-01,Seed,,,,Yes,Planejei analyzes clients' finances and deliver financial tips directly to mobile devices through a robot.,"Artificial Intelligence (AI), Finance, Financial Services, Insurance, Mobile, Mobile Apps",,"Porto Alegre, Rio Grande do Sul, Brazil, South America",https://planejei.com/,,,,,Seed,1,,Plug and Play,1,,"198,949"
Seed Round - BootstrapWorks,https://www.crunchbase.com/funding_round/bootstrapworks-seed--670c62da,BootstrapWorks,https://www.crunchbase.com/organization/bootstrapworks,Seed,,,,2016-01-01,Seed,,,,Yes,BootstrapWorks matches entrepreneurs with top tier advisors using data and machine learning to empower them to execute at their best.,"Advice, Machine Learning, Social Entrepreneurship",,"Redwood City, California, United States, North America",https://bootstrapworks.com,,,,,Seed,1,BootstrapLabs,BootstrapLabs,1,2,"591,683"
Seed Round - Vanus AI,https://www.crunchbase.com/funding_round/vanus-seed--d356dc1f,Vanus AI,https://www.crunchbase.com/organization/vanus,Seed,,,,2023-07-31,Seed,,,,Yes,"Linkall provides Vanus AI and Vanus Connect, middleware solutions for LLM (large language model) App development.","Artificial Intelligence (AI), Data Integration, Enterprise Software, Natural Language Processing, PaaS, SaaS",,"Beijing, Beijing, China, Asia",https://www.vanus.ai,,,,,Seed,1,"Eminence Ventures, Plug and Play","Eminence Ventures, Plug and Play",2,,"571,057"
Seed Round - AWESOMEPIA,https://www.crunchbase.com/funding_round/awesomepia-seed--1002b6a9,AWESOMEPIA,https://www.crunchbase.com/organization/awesomepia,Seed,,,,2016-01-01,Seed,,,,Yes,"AWESOMEPIA is an ICT company that offers virtual reality, artificial intelligence, data, and networking services.","Artificial Intelligence (AI), Database, Information and Communications Technology (ICT), Network Hardware, Virtual Reality",,"Yeoksamdong, Seoul-t'ukpyolsi, South Korea, Asia",http://www.awesomepia.kr,,,,,Seed,1,,Evergreen Investment Partners,1,,"479,222"
Non Equity Assistance - Alsen Inc.,https://www.crunchbase.com/funding_round/alsen-inc-non-equity-assistance--02905404,Alsen Inc.,https://www.crunchbase.com/organization/alsen-inc,Non-equity Assistance,,,,2016-01-01,,,,,No,Alsen is a B2B platform that helps organizations with large commercial buildings to save energy.,"Artificial Intelligence (AI), Big Data, Energy, Energy Efficiency, Internet of Things, Smart Building, Software",,"Merced, California, United States, North America",http://alseninc.com/,Less than $1M,,,,,1,,CITRIS Foundry,1,,"608,551"
