"sector","2020_Webb_robot","2020_Webb_software","2021/3_Felten_AIOE","2021/3_Felten_genAIOE","2021_Tolan_AI","2023_Gmyrek_LLM","2024_Autor_augm","2024_Autor_autom","2024_Eloundou_GPT","2024_Engberg_DAIOE","2024_Loaiza_augm","2024_Loaiza_autom","2024_Prytkova_digital","2025_Gmyrek_LLM","intensity_pat","intensity_cb","intensity_pub","intensity_ranking","2026_Nurski_Balland_PAT","2026_Nurski_Balland_PUB","2026_Nurski_Balland_INV","2026_Nurski_Balland_ALL"
"Q - Human health and social work activities",0.412637634336632,0.392197190930855,0.540940126129226,0.504207888589595,0.440493453470253,0.452699246105245,0.412929899522884,0.356671311638344,0.495587217099163,0.449026046561918,0.646556892034921,0.387380319864518,0.404868876728206,0.452245548214362,19.03,13.71,1.27,7,0.647058823529412,0.235294117647059,0.647058823529412,0.647058823529412
"J - Information and communication",0.385351631640442,0.538941534829092,0.748374568335007,0.802328135596048,0.845321995800224,0.734674204219765,0.676246638355783,0.723932864501775,0.759195544317281,0.830795840471484,0.590294789057443,0.288859486922427,0.717649866116112,0.826420051304239,32.92,26.65,33.99,1,1,1,1,1
"C - Manufacturing",0.589833569669153,0.607086696554362,0.436549545440524,0.447009205141099,0.536966776184822,0.455170011943385,0.629696841016722,0.69617723041218,0.444148379237353,0.491388955424161,0.445368465875391,0.542752143278368,0.500748158067257,0.46090156057772,6.97,8.41,3.89,11,0.235294117647059,0.705882352941177,0.235294117647059,0.411764705882353
"B - Mining and quarrying",0.639038047889435,0.664269581241262,0.405304140134571,0.424145845922704,0.502278623768711,0.425963884668125,0.589407394140005,0.682536629632496,0.405387059015725,0.407298859264827,0.449745802271052,0.540680002377963,0.571854389933577,0.418340727800435,7.86,8.91,9.07,8,0.352941176470588,0.88235294117647,0.294117647058824,0.588235294117647
"S - Other service activities",0.415319186908856,0.353212838965554,0.513340947943839,0.501799869329882,0.3753978889055,0.485472290494373,0.441776585766155,0.344496357609285,0.454062400143286,0.538334802894619,0.574141274671803,0.442199456924838,0.318296310773862,0.441437866665929,NA,NA,NA,NA,NA,NA,NA,NA
"M - Professional, scientific and technical activities",0.344996538094088,0.486558665050699,0.759522841056934,0.769500727011048,0.791477518106882,0.705940659503494,0.549970176132574,0.491270059807091,0.742067862085817,0.773024944013993,0.511474874149881,0.310347529543505,0.46518052477128,0.736656148629439,19.78,13.74,2.88,6,0.705882352941177,0.588235294117647,0.705882352941177,0.705882352941177
"O - Public administration and defence; compulsory social security",0.398308027785077,0.447650221237234,0.650325811959003,0.630797865784132,0.600304597845575,0.63042516193393,0.523686168031312,0.42236087955749,0.660620180149473,0.612751199318474,0.544132831107232,0.337737087698395,0.389335980684272,0.63240143175196,28.97,25.19,1.72,5,0.88235294117647,0.352941176470588,0.941176470588235,0.764705882352941
"L - Real estate activities",0.383646172413929,0.446543063172793,0.663702541704209,0.641235079984854,0.610213095983838,0.725824995886631,0.602535426275882,0.471596086735204,0.6914414713549,0.63537001426921,0.569324463658804,0.360471119189884,0.515877494937083,0.723151672156998,15.51,9.48,1.37,9,0.588235294117647,0.294117647058824,0.470588235294118,0.529411764705882
"H - Transportation and storage",0.595652454607963,0.600737817426898,0.481059730269832,0.489889957045367,0.436166499046783,0.527388721945461,0.599659295989794,0.500853846335556,0.56339957931631,0.46286473306782,0.475013891074491,0.441168197701833,0.668174299620479,0.5182989531975,7.21,11.1,1.93,10,0.294117647058824,0.529411764705882,0.529411764705882,0.470588235294118
"E - Water supply; sewerage, waste management and remediation activities",0.641606208336186,0.650846295044684,0.427332533918612,0.438543483791846,0.440550525442991,0.417992166651875,0.578170064728205,0.48197540036804,0.479774905948367,0.422595356686857,0.44439968064379,0.524274053077124,0.541386918388127,0.418525439154673,3.76,7.07,1.85,16,0.176470588235294,0.470588235294118,0.0588235294117647,0.117647058823529
"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0.44706153415593,0.448568846316642,0.552867460665823,0.53079301714022,0.349430983271479,0.655368674533133,0.64588863181742,0.545409537749926,0.59869698570454,0.46241314615625,0.546974861838176,0.39375260247604,0.541202872051325,0.634558992456619,11.9,8.93,0.38,14,0.529411764705882,0.117647058823529,0.352941176470588,0.235294117647059
