"sector","2020_Webb_robot","2020_Webb_software","2021/3_Felten_AIOE","2021/3_Felten_genAIOE","2021_Tolan_AI","2023_Gmyrek_LLM","2024_Autor_augm","2024_Autor_autom","2024_Eloundou_GPT","2024_Engberg_DAIOE","2024_Loaiza_augm","2024_Loaiza_autom","2024_Prytkova_digital","2025_Gmyrek_LLM","intensity_pat","intensity_cb","intensity_pub","intensity_ranking","2026_Nurski_Balland_PAT","2026_Nurski_Balland_PUB","2026_Nurski_Balland_INV","2026_Nurski_Balland_ALL"
"I - Accommodation and food service activities",0.56925389204633,0.33721510493451,0.387718893235279,0.339004471414792,0.162003676987512,0.448840609310635,0.492457984068634,0.257263697147117,0.368057523605672,0.316883956036312,0.482286529509515,0.541621785138554,0.421453374374869,0.44563510646832,8.42,4.22,0.29,17,0.411764705882353,0,0,0.0588235294117647
"U - Activities of extraterritorial organisations and bodies",0.312458010462603,0.407776532959191,0.769459634115264,0.755625375755675,0.734949420529538,0.742208083159791,0.557572403555896,0.486876002942629,0.759267812850721,0.750682688751026,0.53726558864201,0.263185378084572,0.399406065784261,0.763128422762581,NA,NA,NA,NA,NA,NA,NA,NA
"T - Activities of households as employers; [...] activities of households for own use",0.751124083548479,0.454450172915765,0.187529382204049,0.160150545577209,0.114909515638232,0.174253551250651,0.460331760260324,0.310960091919326,0.165961092278742,0.178647029979323,0.497831406870174,0.605946927386086,0.244804950666028,0.17128848834493,NA,NA,NA,NA,NA,NA,NA,NA
"N - Administrative and support service activities",0.610600335653248,0.523618383430129,0.401988045982031,0.387457729911787,0.364005696883717,0.426337049814016,0.520882854744287,0.408811497251699,0.42170172507985,0.382895384171609,0.501981250758585,0.50424188781703,0.418264645370641,0.420949612612159,28.03,20.97,4.57,3,0.823529411764706,0.764705882352941,0.88235294117647,0.88235294117647
"A - Agriculture, forestry and fishing",0.749362842442265,0.791861707265195,0.262761618652242,0.261220554004132,0.508167288549722,0.31013260393563,0.52393152018208,0.293505841563751,0.28891601276989,0.225670780164534,0.419524529082689,0.639141669175852,0.508583971761412,0.258029509787906,3.3,7.09,0.3,18,0.0588235294117647,0.0588235294117647,0.117647058823529,0
"R - Arts, entertainment and recreation",0.386706395932398,0.39432447422587,0.530118239206844,0.527184938863338,0.458812050128674,0.615233908903027,0.46751285461668,0.372599039523605,0.552564131674906,0.521440680061133,0.569425859066979,0.335189540511616,0.486226883185146,0.596006765360727,9,7.78,0.94,15,0.470588235294118,0.176470588235294,0.176470588235294,0.176470588235294
"F - Construction",0.647645917288369,0.608098528225294,0.333076282999391,0.354929527584859,0.428144653829461,0.298929634838094,0.606035251093547,0.677302179408275,0.352481946746902,0.327177167621163,0.391729038519366,0.609244080115596,0.386812833648717,0.295409798103567,1.14,14.73,1.79,12,0,0.411764705882353,0.764705882352941,0.352941176470588
"P - Education",0.322338960243264,0.335036183427805,0.681753232596689,0.663085144093653,0.661575720986684,0.555640492609321,0.307399963643267,0.184385995071075,0.515328440049177,0.61710887266963,0.779638037384235,0.223697923324118,0.333230083150116,0.532482013679824,21.19,16.18,25.2,2,0.764705882352941,0.941176470588235,0.823529411764706,0.941176470588235
"D - Electricity, gas, steam and air conditioning supply",0.475721919008985,0.567352542584225,0.598309853644779,0.611952748872236,0.713480271506891,0.592106452853403,0.628246182700358,0.671487980254053,0.613049131166516,0.628166378179438,0.531102630378021,0.419346165138471,0.54870886416151,0.610630153243455,3.52,9.29,3.26,13,0.117647058823529,0.647058823529412,0.411764705882353,0.294117647058824
"K - Financial and insurance activities",0.280412282356255,0.409290308898717,0.80941432930913,0.780627591237069,0.742050935470041,0.827244805004604,0.568085661195494,0.462796168559132,0.80198827541675,0.80470243840924,0.542173340111355,0.344346010959083,0.618318745458982,0.853308584737837,31.6,11.63,4.59,4,0.941176470588235,0.823529411764706,0.588235294117647,0.823529411764706
