"id";"value";"share";"ctry"
"Volume Graphics Gmbh";3;0,12;"DE"
"Qingdao University Of Technology";3;0,12;"CN"
"Signify Holding Bv";3;0,12;"NL"
"Soochow University";3;0,12;"CN"
"Wsp Global Inc";3;0,12;"CA"
"Conocophillips Company";3;0,12;"US"
"Resonant Inc";3;0,12;"US"
"Thyssenkrupp Steel Europe Ag";3;0,12;"DE"
"Drishti Technologies Inc";3;0,12;"US"
"Exxonmobil Research And Engineering Company";3;0,12;"US"
"Honda Motor Co Ltd";3;0,12;"JP"
"Continuous Composites Inc";3;0,12;"US"
"Hunan University Of Science And Technology";3;0,12;"CN"
"Duke University";3;0,12;"US"
"Alibaba Group Holding Limited";3;0,12;"KY"
"Exxonmobil Upstream Research Company";3;0,12;"US"
"Sifive Inc";3;0,12;"US"
"Tektronix Inc";3;0,12;"US"
"Arm Ltd";3;0,12;"UK"
"Imagination Technologies Limited";3;0,12;"UK"
"Technische Universitã¤T Wien";3;0,12;"AT"
"Ecole Normale Superieure Paris-Saclay";3;0,12;"FR"
"Centre National De La Recherche Scientifique ( Cnrs)";3;0,12;"FR"
"Addup";3;0,12;"FR"
"Lam Research Corporation";3;0,12;"US"
"Micron Technology Inc";3;0,12;"US"
"China Electric Power Research Institute Company Limited";3;0,12;"CN"
"Tokyo Electron Limited";3;0,12;"JP"
"Koa Corporation";3;0,12;"JP"
"Csmc Technologies Fab2 Co Ltd";3;0,12;"CN"
"Kabushiki Kaisha Zuken";3;0,12;"JP"
"Yixing Silicon Valley Electronics Tech Co Ltd";3;0,12;"CN"
"Shenzhen Jingyuan Information Technology Co Ltd";3;0,12;"CN"
"Bavastro Frederic";3;0,12;"NC"
"Bavastro Frederic";3;0,12;"MC"
"Bavastro Frederic";3;0,12;"PF"
"Achoice Ab";2;0,08;"SE"
"Siemens Industry Software Limited";2;0,08;"UK"
"Best Apps Llc";2;0,08;"US"
"Nihon Unisys Ltd";2;0,08;"JP"
"Goggle Collective Ltd";2;0,08;"UK"
"Nike Innovate Cv";2;0,08;"US"
"Siege Tek Llc";2;0,08;"US"
"Smartscapes Studio Sl";2;0,08;"ES"
"Covestro Llc";2;0,08;"US"
"Lenze Se";2;0,08;"DE"
"National Institute For Materials Science";2;0,08;"JP"
"Digital Alloys Incorporated";2;0,08;"US"
"Procore Technologies Inc";2;0,08;"US"
"Levi Strauss&Co";2;0,08;"US"
"Kecom (Beijing) Technology Co Ltd";2;0,08;"CN"
"Walmart Apollo Llc";2;0,08;"US"
"Ã‰Cole Normale Supã©Rieure Paris-Saclay";2;0,08;"FR"
"Flight Training Solutions Consulting";2;0,08;"FR"
"Centre National D'etudes Spatiales";2;0,08;"FR"
"Deepscale Inc";2;0,08;"US"
"Guangdong University Of Technology";2;0,08;"CN"
"Commercial Aircraft Corporation Of China Ltd";2;0,08;"CN"
"Guangzhou Shipyard International Company Limited";2;0,08;"CN"
"Imperial College Of Science Technology And Medici";2;0,08;"UK"
"Arconic Inc";2;0,08;"US"
"Abb Schweiz Ag";2;0,08;"CH"
"Compagnie Generale Des Etablissements Michelin";2;0,08;"FR"
"Tusimple Inc";2;0,08;"US"
"Siemens Mobility Gmbh";2;0,08;"DE"
"Facebook Inc";2;0,08;"US"
"Scania Cv Ab";2;0,08;"SE"
"Japan Aerospace Exploration Agency";2;0,08;"JP"
"Siemens Industry Software Netherlands Bv";2;0,08;"NL"
"Nanjing University Of Aeronautics And Astronautics";2;0,08;"CN"
"Waymo Llc";2;0,08;"US"
"Psa Automobiles Sa";2;0,08;"FR"
"Universitã© De Lorraine";2;0,08;"FR"
"Kawasaki Jukogyo Kabushiki Kaisha";2;0,08;"JP"
"Dassault Systemes Solidworks Corporation";2;0,08;"US"
"Canon Kabushiki Kaisha";2;0,08;"JP"
"Politecnico Di Milano";2;0,08;"IT"
"Carl Zeiss Ag";2;0,08;"DE"
"Beijing University Of Technology";2;0,08;"CN"
"China University Of Petroleum East China";2;0,08;"CN"
"Amsis Gmbh";2;0,08;"DE"
"Korea Institute Of Industrial Technology";2;0,08;"KR"
"Huazhong University Of Science And Technology";2;0,08;"CN"
"East China University Of Science And Technology";2;0,08;"CN"
"Inventio Ag";2;0,08;"CH"
"Detroit Engineered Products Inc";2;0,08;"US"
"Foshan Angels Biotechnology Co Ltd";2;0,08;"CN"
"Dentsply Sirona Inc";2;0,08;"US"
"Jiangnan University";2;0,08;"CN"
"Spherene Ag";2;0,08;"CH"
"Tianjin University";2;0,08;"CN"
"Jiangsu University Of Science And Technology";2;0,08;"CN"
"Geomni Inc";2;0,08;"US"
