"id";"value";"share";"ctry"
"Microsoft Technology Licensing Llc";739;5,95;"US"
"Ping An Technology (Shenzhen) Co Ltd";451;3,63;"CN"
"Huawei Technologies Co Ltd";224;1,8;"CN"
"Mitsubishi Electric Corporation";176;1,42;"JP"
"Siemens Aktiengesellschaft";175;1,41;"DE"
"Nec Corporation";154;1,24;"JP"
"Google Llc";131;1,05;"US"
"Alibaba Group Holding Limited";124;1;"KY"
"Intel Corporation";124;1;"US"
"Zte Corporation";123;0,99;"CN"
"Hitachi Ltd";121;0,97;"JP"
"Advanced New Technologies Co Ltd";107;0,86;"KY"
"Hewlett-Packard Development Company Lp";95;0,76;"US"
"Samsung Electronics Co Ltd";95;0,76;"KR"
"Oracle International Corporation";89;0,72;"US"
"One Connect Smart Technology Co Ltd (Shenzhen)";88;0,71;"CN"
"Nippon Telegraph And Telephone Corporation";87;0,7;"JP"
"Walmart Apollo Llc";76;0,61;"US"
"Sumitomo Electric Industries Ltd";74;0,6;"JP"
"Telefonaktiebolaget Lm Ericsson (Publ)";62;0,5;"SE"
"International Business Machines Corporation";60;0,48;"US"
"Denso Corporation";58;0,47;"JP"
"Tencent Technology (Shenzhen) Company Limited";55;0,44;"CN"
"Omron Corporation";48;0,39;"JP"
"Beijing Didi Infinity Technology And Development Co Ltd";45;0,36;"CN"
"Koninklijke Philips Nv";41;0,33;"NL"
"Sumitomo Wiring Systems Ltd";41;0,33;"JP"
"Wuhan Douyu Network Technology Co Ltd";40;0,32;"CN"
"Robert Bosch Gmbh";39;0,31;"DE"
"Uber Technologies Inc";39;0,31;"US"
"Beijing Didi Infinity Technology And Development C";39;0,31;"CN"
"Autonetworks Technologies Ltd";38;0,31;"JP"
"General Electric Company";38;0,31;"US"
"Hewlett Packard Enterprise Development Lp";37;0,3;"US"
"Apple Inc";36;0,29;"US"
"Fujitsu Limited";36;0,29;"JP"
"Coupang Corp";36;0,29;"KR"
"Qualcomm Incorporated";35;0,28;"US"
"Citrix Systems Inc";34;0,27;"US"
"Entit Software Llc";34;0,27;"US"
"Citrix Systems Inc";34;0,27;"CN"
"Honeywell International Inc";34;0,27;"US"
"Honda Motor Co Ltd";34;0,27;"JP"
"Hitachi Automotive Systems Ltd";32;0,26;"JP"
"Guangdong Oppo Mobile Telecommunications Corp Ltd";31;0,25;"CN"
"Guangdong Oppo Mobile Telecommunications Corp Lt";31;0,25;"CN"
"Sony Group Corporation";30;0,24;"JP"
"Onetrust Llc";28;0,23;"US"
"Intuit Inc";27;0,22;"US"
"Amazon Technologies Inc";27;0,22;"US"
"Saudi Arabian Oil Company";27;0,22;"SA"
"Jpmorgan Chase Bank Na";26;0,21;"US"
"Alipay (Hangzhou) Information Technology Co Ltd";25;0,2;"CN"
"Geoquest Systems Bv";25;0,2;"NL"
"Carrier Corporation";25;0,2;"US"
"State Grid Corporation Of China";24;0,19;"CN"
"Sony Corporation";24;0,19;"JP"
"Mastercard International Incorporated";24;0,19;"US"
"Boe Technology Group Co Ltd";24;0,19;"CN"
"Visa International Service Association";23;0,19;"US"
"Abb Schweiz Ag";23;0,19;"CH"
"Bayerische Motoren Werke Aktiengesellschaft";23;0,19;"DE"
"Webank Co Ltd";23;0,19;"CN"
"Services P„©Troliers Schlumberger";23;0,19;"FR"
"Motorola Solutions Inc";23;0,19;"US"
"Arm Limited";22;0,18;"UK"
"Le Holdings (Beijing) Co Ltd";22;0,18;"CN"
"Ab Initio Technology Llc";22;0,18;"US"
"Sz Dji Technology Co Ltd";22;0,18;"CN"
"Nchain Holdings Limited";22;0,18;"AG"
"The Climate Corporation";22;0,18;"US"
"Johnson Controls Technology Company";21;0,17;"US"
"3m Innovative Properties Company";21;0,17;"US"
"Caterpillar Inc";21;0,17;"US"
