"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2015920";"Greenland (GL)";"United States (US)";1;100;0,02;0;7,09;"Energy Efficiency"
"1865614";"Greenland (GL)";"United States (US)";1;100;0,02;0;7,17;"EVs & Charging Infrastructure"
"117769";"Greenland (GL)";"United States (US)";155;88,07;0,03;0,01;19,15;"Other"
